TABLE=008 | AREA=Phường Tân Triều | SECTION=agricultural | SEGMENTS=1
P=0268 | X=0117.170-0390.660 | Y=0503.420-0514.660 | Trường đoạn từ Đường tỉnh 768 đến Ranh Sân bay Biên Hòa
P=0268 | X=0117.170-0324.020 | Y=0514.940-0526.180 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0268 | X=0095.060-0111.700 | Y=0522.820-0532.140 | 102
P=0268 | X=0445.850-0462.490 | Y=0522.820-0532.140 | 230
P=0268 | X=0505.390-0522.030 | Y=0522.820-0532.140 | 140
P=0268 | X=0117.170-0402.980 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0268 | X=0117.170-0340.820 | Y=0549.770-0561.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0268 | X=0117.170-0402.430 | Y=0567.530-0578.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0268 | X=0117.170-0398.360 | Y=0579.050-0590.290 | Đường vào Phi Trường đoạn từ Đường tỉnh 768 đến Ranh Sân
P=0268 | X=0117.170-0386.910 | Y=0590.570-0601.810 | bay Biên Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0268 | X=0095.060-0111.700 | Y=0598.450-0607.770 | 103
P=0268 | X=0445.850-0462.490 | Y=0598.450-0607.770 | 450
P=0268 | X=0505.390-0522.030 | Y=0598.450-0607.770 | 300
P=0268 | X=0117.170-0348.250 | Y=0608.090-0619.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0268 | X=0117.170-0394.380 | Y=0625.630-0636.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0268 | X=0117.170-0402.430 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0268 | X=0117.170-0398.360 | Y=0654.910-0666.150 | Đường vào Phi Trường đoạn từ Đường tỉnh 768 đến Ranh Sân
P=0268 | X=0117.170-0386.910 | Y=0666.430-0677.670 | bay Biên Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0268 | X=0095.060-0111.700 | Y=0674.310-0683.630 | 104
P=0268 | X=0445.850-0462.490 | Y=0674.310-0683.630 | 350
P=0268 | X=0505.390-0522.030 | Y=0674.310-0683.630 | 220
P=0268 | X=0117.170-0348.720 | Y=0683.950-0695.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0268 | X=0117.170-0370.480 | Y=0701.490-0712.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0269 | X=0117.170-0212.150 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=0269 | X=0117.170-0340.340 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0269 | X=0117.170-0402.430 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0269 | X=0117.170-0398.360 | Y=0119.330-0130.570 | Đường vào Phi Trường đoạn từ Đường tỉnh 768 đến Ranh Sân
P=0269 | X=0117.170-0386.920 | Y=0130.850-0142.090 | bay Biên Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0269 | X=0095.060-0111.700 | Y=0138.730-0148.050 | 105
P=0269 | X=0445.850-0462.490 | Y=0138.730-0148.050 | 230
P=0269 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 140
P=0269 | X=0117.170-0402.980 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0269 | X=0117.170-0343.460 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0269 | X=0321.000-0398.380 | Y=0183.410-0194.650 | Ranh thửa đất số
P=0269 | X=0321.000-0397.190 | Y=0194.930-0206.170 | 193, tờ BĐĐC số
P=0269 | X=0095.060-0219.030 | Y=0200.710-0211.950 | 106 Đường Cây Quéo ấp 4
P=0269 | X=0233.140-0303.310 | Y=0200.710-0211.950 | Đường tỉnh 768
P=0269 | X=0445.850-0462.490 | Y=0202.590-0211.910 | 670
P=0269 | X=0505.390-0522.030 | Y=0202.590-0211.910 | 470
P=0269 | X=0321.000-0384.500 | Y=0208.350-0217.670 | 37 về bên trái,
P=0269 | X=0321.000-0402.230 | Y=0217.990-0229.230 | phường Tân Triều
P=0269 | X=0117.170-0386.060 | Y=0235.750-0246.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cây
P=0269 | X=0117.170-0395.590 | Y=0247.270-0258.510 | Quéo ấp 4 đoạn từ Đường tỉnh 768 đến Ranh thửa đất số 193,
P=0269 | X=0117.170-0392.370 | Y=0258.790-0270.030 | tờ BĐĐC số 37 về bên trái, phường Tân Triều có hiện trạng là
P=0269 | X=0095.060-0252.940 | Y=0270.310-0281.750 | 107 đường nhựa, bê tông xi măng:
P=0269 | X=0445.850-0462.490 | Y=0272.430-0281.750 | 450
P=0269 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 300
P=0269 | X=0117.170-0348.250 | Y=0287.860-0299.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0269 | X=0117.170-0394.380 | Y=0305.380-0316.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0269 | X=0117.170-0386.060 | Y=0323.140-0334.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cây
P=0269 | X=0117.170-0395.590 | Y=0334.660-0345.900 | Quéo ấp 4 đoạn từ Đường tỉnh 768 đến Ranh thửa đất số 193,
P=0269 | X=0117.170-0392.370 | Y=0345.940-0357.180 | tờ BĐĐC so 37 về bên trái, phường Tân Triều có hiện trạng là
P=0269 | X=0117.170-0252.940 | Y=0357.460-0368.700 | đường nhựa, bê tông xi măng:
P=0269 | X=0095.060-0348.720 | Y=0374.240-0386.240 | 108 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0269 | X=0445.850-0462.490 | Y=0374.240-0383.560 | 350
P=0269 | X=0505.390-0522.030 | Y=0374.240-0383.560 | 220
P=0269 | X=0117.170-0370.480 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0269 | X=0117.170-0212.150 | Y=0404.040-0415.280 | >500m đến ≤1.000m.
P=0269 | X=0117.170-0340.340 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0269 | X=0117.170-0386.060 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cây
P=0269 | X=0117.170-0395.590 | Y=0450.860-0462.100 | Quéo ấp 4 đoạn từ Đường tỉnh 768 đến Ranh thửa đất số 193,
P=0269 | X=0117.170-0392.370 | Y=0462.380-0473.620 | tờ BĐĐC số 37 về bên trái, phường Tân Triều có hiện trạng là
P=0269 | X=0095.060-0252.940 | Y=0473.900-0485.340 | 109 đường nhựa, bê tông xi măng:
P=0269 | X=0445.850-0462.490 | Y=0476.020-0485.340 | 230
P=0269 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 140
P=0269 | X=0117.170-0402.980 | Y=0491.420-0502.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0269 | X=0117.170-0340.810 | Y=0508.940-0520.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0269 | X=0117.170-0402.430 | Y=0526.460-0537.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0269 | X=0117.170-0398.630 | Y=0538.010-0549.250 | Đường Cây Quéo ấp 4 đoạn từ Đường tỉnh 768 đến Ranh thửa
P=0269 | X=0117.170-0386.630 | Y=0549.530-0560.770 | đất số 193, tờ BĐĐC số 37 về bên trái, phường Tân Triều có
P=0269 | X=0095.060-0310.810 | Y=0561.050-0572.490 | 110 hiện trạng là đường nhựa, bê tông xi măng:
P=0269 | X=0445.850-0462.490 | Y=0563.170-0572.490 | 450
P=0269 | X=0505.390-0522.030 | Y=0563.170-0572.490 | 300
P=0269 | X=0117.170-0348.250 | Y=0578.570-0589.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0269 | X=0117.170-0394.380 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0269 | X=0117.170-0402.430 | Y=0613.850-0625.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0269 | X=0117.170-0398.630 | Y=0625.390-0636.630 | Đường Cây Quéo ấp 4 đoạn từ Đường tỉnh 768 đến Ranh thửa
P=0269 | X=0117.170-0386.620 | Y=0636.910-0648.150 | đất số 193, tờ BĐĐC số 37 về bên trái, phường Tân Triều có
P=0269 | X=0117.170-0310.810 | Y=0648.430-0659.670 | hiện trạng là đường nhựa, bê tông xi măng:
P=0269 | X=0095.060-0111.700 | Y=0656.310-0665.630 | 111
P=0269 | X=0445.850-0462.490 | Y=0656.310-0665.630 | 350
P=0269 | X=0505.390-0522.030 | Y=0656.310-0665.630 | 220
P=0269 | X=0117.170-0348.720 | Y=0665.950-0677.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0269 | X=0117.170-0370.480 | Y=0683.470-0694.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0269 | X=0117.170-0212.150 | Y=0694.750-0705.990 | >500m đến ≤1.000m.
P=0270 | X=0117.170-0340.340 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0270 | X=0117.170-0402.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0270 | X=0117.170-0398.630 | Y=0107.780-0119.020 | Đường Cây Quéo ấp 4 đoạn từ Đường tỉnh 768 đến Ranh thửa
P=0270 | X=0117.170-0386.620 | Y=0119.330-0130.570 | đất số 193, tờ BĐĐC số 37 về bên trái, phường Tân Triều có
P=0270 | X=0095.060-0310.810 | Y=0130.850-0142.290 | 112 hiện trạng là đường nhựa, bê tông xi măng:
P=0270 | X=0445.850-0462.490 | Y=0132.970-0142.290 | 230
P=0270 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 140
P=0270 | X=0117.170-0402.980 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0270 | X=0117.170-0343.460 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0270 | X=0117.170-0214.720 | Y=0183.410-0194.650 | Đường trục chính vào
P=0270 | X=0321.000-0389.650 | Y=0183.410-0194.650 | Hết khu dân cư
P=0270 | X=0233.140-0303.310 | Y=0189.170-0200.410 | Đường tỉnh 768
P=0270 | X=0095.060-0111.700 | Y=0191.050-0200.370 | 113
P=0270 | X=0445.850-0462.490 | Y=0191.050-0200.370 | 670
P=0270 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 470
P=0270 | X=0117.170-0207.270 | Y=0194.930-0206.170 | khu dân cư Tín Khải
P=0270 | X=0321.000-0358.300 | Y=0196.810-0206.130 | Tín Khải
P=0270 | X=0117.170-0385.100 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trục
P=0270 | X=0117.170-0401.350 | Y=0224.230-0235.470 | chính vào khu dân cư Tín Khải đoạn từ Đường tỉnh 768 đến Hết
P=0270 | X=0117.170-0386.390 | Y=0235.750-0246.990 | khu dân cư Tín Khải có hiện trạng là đường nhựa, bê tông xi
P=0270 | X=0095.060-0145.170 | Y=0247.270-0258.710 | 114 măng:
P=0270 | X=0445.850-0462.490 | Y=0249.390-0258.710 | 450
P=0270 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 300
P=0270 | X=0117.170-0348.250 | Y=0264.790-0276.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0270 | X=0117.170-0394.380 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0270 | X=0117.170-0385.100 | Y=0300.100-0311.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trục
P=0270 | X=0117.170-0401.350 | Y=0311.620-0322.860 | chính vào khu dân cư Tín Khải đoạn từ Đường tỉnh 768 đến Hết
P=0270 | X=0117.170-0386.360 | Y=0323.140-0334.380 | khu dân cư Tín Khải có hiện trạng là đường nhựa, bê tông xi
P=0270 | X=0117.170-0145.170 | Y=0334.660-0345.900 | măng:
P=0270 | X=0095.060-0348.720 | Y=0351.180-0363.180 | 115 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0270 | X=0445.850-0462.490 | Y=0351.180-0360.500 | 350
P=0270 | X=0505.390-0522.030 | Y=0351.180-0360.500 | 220
P=0270 | X=0117.170-0370.480 | Y=0369.480-0380.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0270 | X=0117.170-0212.140 | Y=0381.000-0392.240 | >500m đến ≤1.000m.
P=0270 | X=0117.170-0340.340 | Y=0398.520-0409.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0270 | X=0117.170-0385.100 | Y=0416.280-0427.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường trục
P=0270 | X=0117.170-0401.350 | Y=0427.800-0439.040 | chính vào khu dân cư Tín Khải đoạn từ Đường tỉnh 768 đến Hết
P=0270 | X=0117.170-0386.360 | Y=0439.320-0450.560 | khu dân cư Tín Khải có hiện trạng là đường nhựa, bê tông xi
P=0270 | X=0095.060-0145.170 | Y=0450.860-0462.300 | 116 măng:
P=0270 | X=0445.850-0462.490 | Y=0452.980-0462.300 | 230
P=0270 | X=0505.390-0522.030 | Y=0452.980-0462.300 | 140
P=0270 | X=0117.170-0403.020 | Y=0468.380-0479.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0270 | X=0117.170-0340.810 | Y=0485.900-0497.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0270 | X=0117.170-0402.430 | Y=0503.660-0514.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0270 | X=0117.170-0398.140 | Y=0515.180-0526.420 | Đường trục chính vào khu dân cư Tín Khải đoạn từ Đường tỉnh
P=0270 | X=0117.170-0397.270 | Y=0526.460-0537.700 | 768 đến Hết khu dân cư Tín Khải có hiện trạng là đường nhựa,
P=0270 | X=0095.060-0191.250 | Y=0538.010-0549.450 | 117 bê tông xi măng:
P=0270 | X=0445.850-0462.490 | Y=0540.130-0549.450 | 450
P=0270 | X=0505.390-0522.030 | Y=0540.130-0549.450 | 300
P=0270 | X=0117.170-0348.250 | Y=0555.530-0566.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0270 | X=0117.170-0394.380 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0270 | X=0117.170-0402.430 | Y=0590.810-0602.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0270 | X=0117.170-0398.140 | Y=0602.330-0613.570 | Đường trục chính vào khu dân cư Tín Khải đoạn từ Đường tỉnh
P=0270 | X=0117.170-0397.270 | Y=0613.850-0625.090 | 768 đến Hết khu dân cư Tín Khải có hiện trạng là đường nhựa,
P=0270 | X=0117.170-0191.250 | Y=0625.390-0636.630 | bê tông xi măng:
P=0270 | X=0095.060-0348.740 | Y=0641.910-0654.150 | 118 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0270 | X=0445.850-0462.490 | Y=0641.910-0651.230 | 350
P=0270 | X=0505.390-0522.030 | Y=0641.910-0651.230 | 220
P=0270 | X=0117.170-0370.480 | Y=0660.430-0671.670 | - Cổ bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0270 | X=0117.170-0212.150 | Y=0671.950-0683.190 | >500m đến ≤1.000m.
P=0270 | X=0117.170-0340.340 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0270 | X=0095.060-0402.430 | Y=0707.250-0718.490 | 119 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0270 | X=0445.850-0462.490 | Y=0709.140-0718.460 | 230
P=0270 | X=0505.390-0522.030 | Y=0709.140-0718.460 | 140
P=0271 | X=0117.170-0398.140 | Y=0072.500-0083.740 | Đường trục chính vào khu dân cư Tín Khải đoạn từ Đường tỉnh
P=0271 | X=0117.170-0397.270 | Y=0084.020-0095.260 | 768 đến Hết khu dân cư Tín Khải có hiện trạng là đường nhựa,
P=0271 | X=0117.170-0191.250 | Y=0095.540-0106.780 | bê tông xi măng:
P=0271 | X=0117.170-0402.980 | Y=0113.060-0124.300 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0271 | X=0117.170-0343.460 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0271 | X=0095.060-0162.860 | Y=0148.370-0159.610 | 120 Đường 16
P=0271 | X=0233.140-0303.310 | Y=0148.370-0159.610 | Đường tỉnh 768
P=0271 | X=0321.000-0368.380 | Y=0148.370-0159.610 | Đường D1
P=0271 | X=0445.850-0462.490 | Y=0150.250-0159.570 | 700
P=0271 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 500
P=0271 | X=0117.170-0379.430 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 16
P=0271 | X=0117.170-0397.900 | Y=0177.410-0188.650 | đoạn từ Đường tỉnh 768 đến Đường D1 có hiện trạng là đường
P=0271 | X=0117.170-0220.280 | Y=0188.930-0200.170 | nhựa, bê tông xi măng:
P=0271 | X=0095.060-0111.730 | Y=0196.810-0206.130 | 121
P=0271 | X=0445.850-0462.490 | Y=0196.810-0206.130 | 480
P=0271 | X=0505.390-0522.030 | Y=0196.810-0206.130 | 310
P=0271 | X=0117.170-0348.250 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0271 | X=0117.170-0394.380 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0271 | X=0117.170-0379.430 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 16
P=0271 | X=0117.170-0397.900 | Y=0253.270-0264.510 | đoạn từ Đường tỉnh 768 đến Đường D1 có hiện trạng là đường
P=0271 | X=0117.170-0220.280 | Y=0264.790-0276.030 | nhựa, bê tông xi măng:
P=0271 | X=0095.060-0348.720 | Y=0282.340-0296.420 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0271 | X=0445.850-0462.490 | Y=0287.100-0296.420 | 370
P=0271 | X=0505.390-0522.030 | Y=0287.100-0296.420 | 240
P=0271 | X=0117.170-0370.480 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0271 | X=0117.170-0212.150 | Y=0311.380-0322.620 | >500m đến ≤1.000m.
P=0271 | X=0117.170-0340.340 | Y=0328.900-0340.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0271 | X=0117.170-0379.430 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 16
P=0271 | X=0117.170-0397.900 | Y=0357.940-0369.180 | đoạn từ Đường tỉnh 768 đến Đường D1 có hiện trạng là đường
P=0271 | X=0117.170-0220.280 | Y=0369.480-0380.720 | nhựa, bê tông xi măng:
P=0271 | X=0095.060-0111.700 | Y=0377.360-0386.680 | 123
P=0271 | X=0445.850-0462.490 | Y=0377.360-0386.680 | 250
P=0271 | X=0505.390-0522.030 | Y=0377.360-0386.680 | 160
P=0271 | X=0117.170-0403.000 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0271 | X=0117.170-0340.810 | Y=0404.520-0415.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0271 | X=0117.170-0402.430 | Y=0422.280-0433.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0271 | X=0117.170-0402.950 | Y=0433.800-0445.040 | Đường 16 đoạn từ Đường tỉnh 768 đến Đường D1 có hiện trạng
P=0271 | X=0117.170-0263.500 | Y=0445.320-0456.560 | là đường nhựa, bê tông xi măng:
P=0271 | X=0095.060-0111.700 | Y=0453.220-0462.540 | 124
P=0271 | X=0445.850-0462.490 | Y=0453.220-0462.540 | 480
P=0271 | X=0505.390-0522.030 | Y=0453.220-0462.540 | 310
P=0271 | X=0117.170-0348.250 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0271 | X=0117.170-0394.380 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0271 | X=0117.170-0402.430 | Y=0498.140-0509.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0271 | X=0117.170-0402.940 | Y=0509.660-0520.900 | Đường 16 đoạn từ Đường tỉnh 768 đến Đường D1 có hiện trạng
P=0271 | X=0117.170-0263.500 | Y=0521.180-0532.420 | là đường nhựa, bê tông xi măng:
P=0271 | X=0095.060-0348.720 | Y=0538.490-0552.810 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0271 | X=0445.850-0462.490 | Y=0543.490-0552.810 | 370
P=0271 | X=0505.390-0522.030 | Y=0543.490-0552.810 | 240
P=0271 | X=0117.170-0370.480 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0271 | X=0117.170-0212.140 | Y=0567.530-0578.770 | >500m đến ≤1.000m.
P=0271 | X=0117.170-0340.340 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0271 | X=0117.170-0402.430 | Y=0602.810-0614.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0271 | X=0117.170-0402.950 | Y=0614.330-0625.570 | Đường 16 đoạn từ Đường tỉnh 768 đến Đường D1 có hiện trạng
P=0271 | X=0117.170-0263.500 | Y=0625.870-0637.110 | là đường nhựa, bê tông xi măng:
P=0271 | X=0095.060-0111.700 | Y=0633.750-0643.070 | 126
P=0271 | X=0445.850-0462.490 | Y=0633.750-0643.070 | 250
P=0271 | X=0505.390-0522.030 | Y=0633.750-0643.070 | 160
P=0271 | X=0117.170-0402.980 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0271 | X=0117.170-0343.460 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0271 | X=0095.060-0162.860 | Y=0678.670-0689.910 | 127 Đường 16
P=0271 | X=0233.140-0280.500 | Y=0678.670-0689.910 | Đường D1
P=0271 | X=0321.000-0369.590 | Y=0678.670-0689.910 | Hết đường
P=0271 | X=0445.850-0462.490 | Y=0680.550-0689.870 | 700
P=0271 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 500
P=0271 | X=0117.170-0379.430 | Y=0696.430-0707.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 16
P=0271 | X=0095.060-0111.700 | Y=0704.100-0713.420 | 128
P=0271 | X=0445.850-0462.490 | Y=0704.100-0713.420 | 480
P=0271 | X=0505.390-0522.030 | Y=0704.100-0713.420 | 310
P=0271 | X=0117.170-0376.310 | Y=0707.970-0719.210 | đoạn từ Đường D1 đến Hết đường có hiện trạng là đường
P=0272 | X=0117.170-0220.280 | Y=0072.500-0083.740 | nhựa, bê tông xi măng:
P=0272 | X=0117.170-0348.250 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0272 | X=0117.170-0394.380 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0272 | X=0117.170-0379.430 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 16
P=0272 | X=0117.170-0376.310 | Y=0136.850-0148.090 | đoạn từ Đường D1 đến Hết đường có hiện trạng là đường
P=0272 | X=0117.170-0220.280 | Y=0148.370-0159.610 | nhựa, bê tông xi măng:
P=0272 | X=0095.060-0348.720 | Y=0165.650-0179.970 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0272 | X=0445.850-0462.490 | Y=0170.650-0179.970 | 370
P=0272 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 240
P=0272 | X=0117.170-0370.480 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0272 | X=0117.170-0212.140 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=0272 | X=0117.170-0340.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0272 | X=0117.170-0379.430 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 16
P=0272 | X=0117.170-0376.310 | Y=0241.510-0252.750 | đoạn từ Đường D1 đến Hết đường có hiện trạng là đường
P=0272 | X=0117.170-0220.280 | Y=0253.030-0264.270 | nhựa, bê tông xi măng:
P=0272 | X=0095.060-0111.700 | Y=0260.910-0270.230 | 130
P=0272 | X=0445.850-0462.490 | Y=0260.910-0270.230 | 250
P=0272 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 160
P=0272 | X=0117.170-0402.980 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0272 | X=0117.170-0340.810 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0272 | X=0117.170-0402.430 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0272 | X=0117.170-0391.890 | Y=0317.380-0328.620 | Đường 16 đoạn từ Đường D1 đến Hết đường có hiện trạng là
P=0272 | X=0117.170-0252.940 | Y=0328.900-0340.140 | đường nhựa, bê tông xi măng:
P=0272 | X=0095.060-0111.700 | Y=0336.780-0346.100 | 131
P=0272 | X=0445.850-0462.490 | Y=0336.780-0346.100 | 480
P=0272 | X=0505.390-0522.030 | Y=0336.780-0346.100 | 310
P=0272 | X=0117.170-0348.250 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0272 | X=0117.170-0394.380 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0272 | X=0117.170-0402.430 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0272 | X=0117.170-0391.890 | Y=0393.000-0404.240 | Đường 16 đoạn từ Đường D1 đến Hết đường có hiện trạng là
P=0272 | X=0117.170-0252.940 | Y=0404.520-0415.760 | đường nhựa, bê tông xi măng:
P=0272 | X=0095.060-0348.720 | Y=0422.040-0436.360 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0272 | X=0445.850-0462.490 | Y=0427.040-0436.360 | 370
P=0272 | X=0505.390-0522.030 | Y=0427.040-0436.360 | 240
P=0272 | X=0117.170-0370.480 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0272 | X=0117.170-0212.140 | Y=0451.100-0462.340 | >500m đến ≤1.000m.
P=0272 | X=0117.170-0340.340 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0272 | X=0117.170-0402.430 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0272 | X=0117.170-0391.890 | Y=0497.900-0509.140 | Đường 16 đoạn từ Đường D1 đến Hết đường có hiện trạng là
P=0272 | X=0117.170-0252.950 | Y=0509.420-0520.660 | đường nhựa, bê tông xi măng:
P=0272 | X=0095.060-0111.700 | Y=0517.300-0526.620 | 133
P=0272 | X=0445.850-0462.490 | Y=0517.300-0526.620 | 250
