TABLE=006 | AREA=Phường Hố Nai | SECTION=agricultural | SEGMENTS=1
P=0206 | X=0505.390-0522.030 | Y=0457.780-0467.100 | 350
P=0206 | X=0107.330-0422.070 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến ≤
P=0206 | X=0107.330-0143.730 | Y=0483.700-0493.020 | 1.000m.
P=0206 | X=0107.330-0330.510 | Y=0499.340-0510.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0206 | X=0107.330-0428.140 | Y=0517.340-0528.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ Giáp
P=0206 | X=0107.330-0428.380 | Y=0528.860-0540.100 | ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình Minh có hiện trạng là
P=0206 | X=0107.330-0243.080 | Y=0540.410-0551.650 | đường nhựa, bê tông xi măng:
P=0206 | X=0092.900-0104.020 | Y=0548.290-0557.610 | 60
P=0206 | X=0461.210-0477.850 | Y=0548.290-0557.610 | 290
P=0206 | X=0505.390-0522.030 | Y=0548.290-0557.610 | 250
P=0206 | X=0107.330-0393.180 | Y=0557.930-0569.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0206 | X=0107.330-0330.970 | Y=0575.450-0586.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0206 | X=0107.330-0419.180 | Y=0593.450-0604.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0206 | X=0107.330-0412.970 | Y=0604.970-0616.210 | lộ 1 đoạn từ Giáp ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình
P=0206 | X=0107.330-0338.660 | Y=0616.270-0627.510 | Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0206 | X=0092.900-0104.020 | Y=0624.150-0633.470 | 61
P=0206 | X=0461.210-0477.850 | Y=0624.150-0633.470 | 500
P=0206 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 450
P=0206 | X=0107.330-0338.410 | Y=0633.790-0645.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0206 | X=0107.330-0384.500 | Y=0651.310-0662.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0206 | X=0107.330-0419.180 | Y=0669.310-0680.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0206 | X=0092.900-0412.970 | Y=0680.830-0692.070 | 62 lộ 1 đoạn từ Giáp ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình
P=0206 | X=0461.210-0477.850 | Y=0682.710-0692.030 | 400
P=0206 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 350
P=0206 | X=0107.330-0338.660 | Y=0692.350-0703.590 | Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0107.330-0338.880 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0207 | X=0107.330-0413.750 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0207 | X=0107.330-0149.010 | Y=0107.780-0119.020 | ≤1.000m.
P=0207 | X=0107.330-0330.500 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0207 | X=0107.330-0419.180 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=0207 | X=0107.330-0412.970 | Y=0154.850-0166.090 | lộ 1 đoạn từ Giáp ranh huyện Trảng Bom (cũ) đến Giáp ranh xã Bình
P=0207 | X=0107.330-0338.660 | Y=0166.370-0177.610 | Minh có hiện trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0092.900-0104.020 | Y=0174.250-0183.570 | 63
P=0207 | X=0461.210-0477.850 | Y=0174.250-0183.570 | 290
P=0207 | X=0505.390-0522.030 | Y=0174.250-0183.570 | 250
P=0207 | X=0107.330-0393.120 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0207 | X=0107.330-0333.640 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0207 | X=0107.330-0196.390 | Y=0219.190-0230.430 | Đường Phùng Khắc
P=0207 | X=0272.020-0349.880 | Y=0224.950-0236.190 | Đường Điểu Xiển
P=0207 | X=0092.900-0104.020 | Y=0226.830-0236.150 | 57
P=0207 | X=0203.830-0246.900 | Y=0226.830-0236.150 | Quốc lộ 1
P=0207 | X=0453.050-0478.100 | Y=0226.830-0236.150 | 1.200
P=0207 | X=0505.390-0522.030 | Y=0226.830-0236.150 | 770
P=0207 | X=0107.330-0136.220 | Y=0232.590-0241.910 | Khoan
P=0207 | X=0107.330-0412.940 | Y=0248.710-0259.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng Khắc
P=0207 | X=0107.330-0423.340 | Y=0260.230-0271.470 | Khoan đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện trạng là đường
P=0207 | X=0107.330-0210.440 | Y=0271.750-0282.990 | nhựa, bê tông xi măng:
P=0207 | X=0092.900-0104.020 | Y=0279.630-0288.950 | 58
P=0207 | X=0461.210-0477.850 | Y=0279.630-0288.950 | 780
P=0207 | X=0505.390-0522.030 | Y=0279.630-0288.950 | 510
P=0207 | X=0107.330-0330.240 | Y=0289.300-0300.540 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0207 | X=0107.330-0384.500 | Y=0306.820-0318.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0207 | X=0107.330-0412.940 | Y=0324.820-0336.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng Khắc
P=0207 | X=0107.330-0423.340 | Y=0336.340-0347.580 | Khoan đoạn từ Quốc lộ 1 đến Đường Điểu Xiển cũ hiện trạng là đường
P=0207 | X=0107.330-0210.440 | Y=0347.860-0359.100 | nhựa, bê tông xi măng:
P=0207 | X=0092.900-0330.500 | Y=0365.400-0379.480 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0207 | X=0461.210-0477.850 | Y=0370.160-0379.480 | 660
P=0207 | X=0505.390-0522.030 | Y=0370.160-0379.480 | 440
P=0207 | X=0107.330-0413.750 | Y=0382.920-0394.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0207 | X=0107.330-0140.850 | Y=0394.200-0405.440 | ≤600m.
P=0207 | X=0107.330-0330.500 | Y=0411.720-0422.960 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0207 | X=0107.330-0412.940 | Y=0429.720-0440.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng Khắc
P=0207 | X=0107.330-0423.340 | Y=0441.240-0452.480 | Khoan đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện trạng là đường
P=0207 | X=0107.330-0210.440 | Y=0452.780-0464.020 | nhựa, bê tông xi măng:
P=0207 | X=0092.900-0104.020 | Y=0460.660-0469.980 | 60
P=0207 | X=0461.210-0477.850 | Y=0460.660-0469.980 | 520
P=0207 | X=0505.390-0522.030 | Y=0460.660-0469.980 | 350
P=0207 | X=0107.330-0384.740 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0207 | X=0107.330-0330.970 | Y=0487.820-0499.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0207 | X=0107.330-0426.940 | Y=0505.820-0517.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0207 | X=0107.330-0411.820 | Y=0517.340-0528.580 | Phùng Khắc Khoan đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện
P=0207 | X=0107.330-0279.110 | Y=0528.860-0540.100 | trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0092.900-0104.020 | Y=0536.770-0546.090 | 61
P=0207 | X=0461.210-0477.850 | Y=0536.770-0546.090 | 780
P=0207 | X=0505.390-0522.030 | Y=0536.770-0546.090 | 510
P=0207 | X=0107.330-0330.240 | Y=0546.410-0557.650 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0207 | X=0107.330-0384.500 | Y=0563.930-0575.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0207 | X=0107.330-0426.940 | Y=0581.930-0593.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0207 | X=0107.330-0411.820 | Y=0593.450-0604.690 | Phùng Khắc Khoan đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện
P=0207 | X=0107.330-0279.110 | Y=0604.970-0616.210 | trạng là đường nhựa, bê tông xi măng:
P=0207 | X=0092.900-0330.500 | Y=0622.270-0636.590 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0207 | X=0461.210-0477.850 | Y=0627.270-0636.590 | 660
P=0207 | X=0505.390-0522.030 | Y=0627.270-0636.590 | 440
P=0207 | X=0107.330-0413.750 | Y=0639.790-0651.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0207 | X=0107.330-0140.850 | Y=0651.310-0662.550 | ≤600m.
P=0207 | X=0107.330-0330.500 | Y=0668.830-0680.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0207 | X=0107.330-0426.940 | Y=0686.830-0698.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0207 | X=0092.900-0104.020 | Y=0694.470-0703.790 | 63
P=0207 | X=0461.210-0477.850 | Y=0694.470-0703.790 | 520
P=0207 | X=0505.390-0522.030 | Y=0694.470-0703.790 | 350
P=0207 | X=0107.330-0411.820 | Y=0698.350-0709.590 | Phùng Khắc Khoan đoạn từ Quốc lộ 1 đến Đường Điểu Xiển có hiện
P=0208 | X=0107.330-0279.110 | Y=0072.740-0083.980 | trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0107.330-0384.740 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0208 | X=0107.330-0333.620 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0208 | X=0272.020-0425.530 | Y=0125.810-0137.050 | Đường vào Trường THPT Nguyễn
P=0208 | X=0092.900-0192.450 | Y=0131.570-0142.810 | 64 Đường Lê Ngô Cát
P=0208 | X=0203.830-0246.900 | Y=0133.450-0142.770 | Quốc lộ 1
P=0208 | X=0453.050-0478.100 | Y=0133.450-0142.770 | 1.200
P=0208 | X=0505.390-0522.030 | Y=0133.450-0142.770 | 770
P=0208 | X=0272.020-0315.020 | Y=0139.210-0148.530 | Công Trứ
P=0208 | X=0107.330-0409.000 | Y=0155.330-0166.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0208 | X=0107.330-0422.140 | Y=0166.850-0178.090 | đoạn từ Quốc lộ 1 đến Đường vào Trường THPT Nguyễn Công Trứ có
P=0208 | X=0107.330-0300.940 | Y=0178.370-0189.610 | hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0186.250-0195.570 | 65
P=0208 | X=0461.210-0477.850 | Y=0186.250-0195.570 | 780
P=0208 | X=0505.390-0522.030 | Y=0186.250-0195.570 | 510
P=0208 | X=0107.330-0330.240 | Y=0195.650-0206.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0208 | X=0107.330-0384.500 | Y=0213.190-0224.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0208 | X=0107.330-0409.030 | Y=0231.190-0242.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0208 | X=0107.330-0422.140 | Y=0242.710-0253.950 | đoạn từ Quốc lộ 1 đến Đường vào Trường THPT Nguyễn Công Trứ có
P=0208 | X=0107.330-0300.940 | Y=0254.230-0265.470 | hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0330.500 | Y=0271.750-0286.070 | 66 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0208 | X=0461.210-0477.850 | Y=0276.750-0286.070 | 660
P=0208 | X=0505.390-0522.030 | Y=0276.750-0286.070 | 440
P=0208 | X=0107.330-0413.750 | Y=0289.300-0300.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0208 | X=0107.330-0140.850 | Y=0300.820-0312.060 | ≤600m.
P=0208 | X=0107.330-0330.500 | Y=0318.340-0329.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0208 | X=0107.330-0409.020 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0208 | X=0107.330-0422.140 | Y=0347.860-0359.100 | đoạn từ Quốc lộ 1 đến Đường vào Trường THPT Nguyễn Công Trứ có
P=0208 | X=0107.330-0300.940 | Y=0359.380-0370.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0367.280-0376.600 | 67
P=0208 | X=0461.210-0477.850 | Y=0367.280-0376.600 | 520
P=0208 | X=0505.390-0522.030 | Y=0367.280-0376.600 | 350
P=0208 | X=0107.330-0384.780 | Y=0376.920-0388.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0208 | X=0107.330-0330.970 | Y=0394.200-0405.440 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0208 | X=0107.330-0426.940 | Y=0412.200-0423.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0208 | X=0107.330-0416.390 | Y=0423.720-0434.960 | Lê Ngô Cát đoạn từ Quốc lộ 1 đến Đường vào Trường THPT Nguyễn
P=0208 | X=0107.330-0359.780 | Y=0435.240-0446.480 | Công Trứ có hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0443.120-0452.440 | 68
P=0208 | X=0461.210-0477.850 | Y=0443.120-0452.440 | 780
P=0208 | X=0505.390-0522.030 | Y=0443.120-0452.440 | 510
P=0208 | X=0107.330-0330.240 | Y=0452.780-0464.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0208 | X=0107.330-0384.500 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0208 | X=0107.330-0426.940 | Y=0488.300-0499.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0208 | X=0107.330-0416.390 | Y=0499.820-0511.060 | Lê Ngô Cát đoạn từ Quốc lộ 1 đến Đường vào Trường THPT Nguyễn
P=0208 | X=0107.330-0359.780 | Y=0511.340-0522.580 | Công Trứ có hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0330.500 | Y=0528.860-0542.940 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0208 | X=0461.210-0477.850 | Y=0533.620-0542.940 | 660
P=0208 | X=0505.390-0522.030 | Y=0533.620-0542.940 | 440
P=0208 | X=0107.330-0413.750 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0208 | X=0107.330-0140.850 | Y=0557.930-0569.170 | ≤600m.
P=0208 | X=0107.330-0330.500 | Y=0575.450-0586.690 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0208 | X=0107.330-0426.940 | Y=0593.450-0604.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0208 | X=0107.330-0416.390 | Y=0604.970-0616.210 | Lê Ngô Cát đoạn từ Quốc lộ 1 đến Đường vào Trường THPT Nguyễn
P=0208 | X=0107.330-0359.780 | Y=0616.270-0627.510 | Công Trứ có hiện trạng là đường nhựa, bê tông xi măng:
P=0208 | X=0092.900-0104.020 | Y=0624.150-0633.470 | 70
P=0208 | X=0461.210-0477.850 | Y=0624.150-0633.470 | 520
P=0208 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 350
P=0208 | X=0107.330-0384.740 | Y=0633.790-0645.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0208 | X=0107.330-0333.620 | Y=0651.310-0662.550 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0208 | X=0203.830-0254.560 | Y=0669.310-0680.550 | Đường vào
P=0208 | X=0203.830-0266.650 | Y=0680.830-0692.070 | Trường THPT
P=0208 | X=0094.100-0192.470 | Y=0686.590-0697.830 | 7t Đường Lê Ngô Cát
P=0208 | X=0272.020-0422.050 | Y=0688.470-0697.790 | Hết Dòng nữ Trợ Thế Thánh Tâm
P=0208 | X=0453.050-0478.100 | Y=0688.470-0697.790 | 1.200
P=0208 | X=0505.390-0522.030 | Y=0688.470-0697.790 | 770
P=0208 | X=0203.830-0264.910 | Y=0694.230-0703.550 | Nguyễn Công
P=0208 | X=0203.830-0220.170 | Y=0705.780-0715.100 | Trứ
P=0209 | X=0107.330-0409.000 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0209 | X=0107.330-0421.360 | Y=0090.260-0101.500 | đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến hết Dòng nữ
P=0209 | X=0107.330-0407.070 | Y=0101.780-0113.020 | Trợ Thế Thánh Tâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0209 | X=0092.900-0104.020 | Y=0109.660-0118.980 | 72
P=0209 | X=0461.210-0477.850 | Y=0109.660-0118.980 | 780
P=0209 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 510
P=0209 | X=0107.330-0330.240 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0209 | X=0107.330-0384.500 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0209 | X=0107.330-0409.020 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0209 | X=0107.330-0423.050 | Y=0166.370-0177.610 | đoạn từ Đường vào Trường THPT Nguyễn Công Trứ Đến hết Dòng nữ
P=0209 | X=0107.330-0407.070 | Y=0177.650-0188.890 | Trợ Thế Thánh Tâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0209 | X=0092.900-0330.500 | Y=0195.170-0209.510 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0209 | X=0461.210-0477.850 | Y=0200.190-0209.510 | 660
P=0209 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 440
P=0209 | X=0107.330-0413.750 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0209 | X=0107.330-0140.850 | Y=0224.230-0235.470 | ≤600m.
P=0209 | X=0107.330-0330.520 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0209 | X=0107.330-0409.020 | Y=0259.750-0270.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0209 | X=0107.330-0423.050 | Y=0271.270-0282.510 | đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến Hết Dòng nữ
P=0209 | X=0107.330-0407.070 | Y=0282.820-0294.060 | Trợ Thế Thánh Tâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0209 | X=0092.900-0104.020 | Y=0290.700-0300.020 | 74
P=0209 | X=0461.210-0477.850 | Y=0290.700-0300.020 | 520
P=0209 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 350
P=0209 | X=0107.330-0384.760 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0209 | X=0107.330-0330.970 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0209 | X=0107.330-0426.940 | Y=0335.860-0347.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0209 | X=0107.330-0416.620 | Y=0347.380-0358.620 | Lê Ngô Cát đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến
P=0209 | X=0107.330-0426.460 | Y=0358.900-0370.140 | Hết Dòng nữ Trợ Thế Thánh Tâm có hiện trạng là đường nhựa, bê tông
P=0209 | X=0092.900-0145.160 | Y=0370.200-0381.880 | 75 xi măng:
P=0209 | X=0461.210-0477.850 | Y=0372.560-0381.880 | 780
P=0209 | X=0505.390-0522.030 | Y=0372.560-0381.880 | 510
P=0209 | X=0107.330-0330.240 | Y=0387.720-0398.960 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0209 | X=0107.330-0384.500 | Y=0405.240-0416.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0209 | X=0107.330-0426.940 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0209 | X=0107.330-0416.620 | Y=0434.760-0446.000 | Lê Ngô Cát đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến
P=0209 | X=0107.330-0426.450 | Y=0446.280-0457.520 | Hết Dòng nữ Trợ Thế Thánh Tâm có hiện trạng là đường nhựa, bê tông
P=0209 | X=0107.330-0145.160 | Y=0457.820-0469.060 | xi măng:
P=0209 | X=0092.900-0330.500 | Y=0474.580-0486.580 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0209 | X=0461.210-0477.850 | Y=0474.580-0483.900 | 660
P=0209 | X=0505.390-0522.030 | Y=0474.580-0483.900 | 440
P=0209 | X=0107.330-0413.750 | Y=0492.860-0504.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0209 | X=0107.330-0140.850 | Y=0504.380-0515.620 | ≤600m.
P=0209 | X=0107.330-0330.500 | Y=0521.900-0533.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0209 | X=0107.330-0426.940 | Y=0539.930-0551.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0209 | X=0107.330-0416.620 | Y=0551.450-0562.690 | Lê Ngô Cát đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến
P=0209 | X=0107.330-0424.770 | Y=0562.970-0574.210 | hết Dòng nữ Trợ Thế Thánh Tâm có hiện trạng là đường nhựa, bê tông
P=0209 | X=0092.900-0145.160 | Y=0574.250-0585.690 | 77 xi măng:
P=0209 | X=0461.210-0477.850 | Y=0576.370-0585.690 | 520
P=0209 | X=0505.390-0522.030 | Y=0576.370-0585.690 | 350
P=0209 | X=0107.330-0384.770 | Y=0591.770-0603.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0209 | X=0107.330-0333.620 | Y=0609.290-0620.530 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0209 | X=0203.830-0246.150 | Y=0629.190-0638.510 | Hết Dòng
P=0209 | X=0092.900-0192.450 | Y=0638.830-0650.070 | 78 Đường Lê Ngô Cát
P=0209 | X=0203.830-0377.180 | Y=0638.830-0650.070 | nữ Trợ Thế Đường Đông Hải - Lộ Đức
P=0209 | X=0453.050-0478.100 | Y=0640.710-0650.030 | 1.200
P=0209 | X=0505.390-0522.030 | Y=0640.710-0650.030 | 770
P=0209 | X=0203.830-0254.940 | Y=0652.230-0661.550 | Thánh Tâm
P=0209 | X=0107.330-0409.000 | Y=0668.350-0679.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0209 | X=0092.900-0413.260 | Y=0679.870-0691.110 | 79 đoạn từ Hết Dòng nữ Trợ Thế Thánh Tâm đến Đường Đông Hải - Lộ
P=0209 | X=0461.210-0477.850 | Y=0681.750-0691.070 | 780
P=0209 | X=0505.390-0522.030 | Y=0681.750-0691.070 | 510
P=0209 | X=0107.330-0336.010 | Y=0691.390-0702.630 | Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0210 | X=0107.330-0330.240 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0210 | X=0107.330-0384.500 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0210 | X=0107.330-0409.020 | Y=0114.290-0125.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0210 | X=0107.330-0413.260 | Y=0125.810-0137.050 | đoạn từ Hết Dòng nữ Trợ Thế Thánh Tâm đến Đường Đông Hải - Lộ
P=0210 | X=0107.330-0336.010 | Y=0137.330-0148.570 | Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0210 | X=0092.900-0330.500 | Y=0154.850-0168.930 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0210 | X=0461.210-0477.850 | Y=0159.610-0168.930 | 660
P=0210 | X=0505.390-0522.030 | Y=0159.610-0168.930 | 440
P=0210 | X=0107.330-0413.750 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0210 | X=0107.330-0140.850 | Y=0183.650-0194.890 | ≤600m.
P=0210 | X=0107.330-0330.500 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0210 | X=0107.330-0409.020 | Y=0219.190-0230.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0210 | X=0107.330-0413.260 | Y=0230.710-0241.950 | đoạn từ Hết Dòng nữ Trợ Thế Thánh Tâm đến Đường Đông Hải - Lộ
P=0210 | X=0107.330-0336.010 | Y=0242.230-0253.470 | Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0210 | X=0092.900-0104.020 | Y=0250.110-0259.430 | 81
P=0210 | X=0461.210-0477.850 | Y=0250.110-0259.430 | 520
P=0210 | X=0505.390-0522.030 | Y=0250.110-0259.430 | 350
P=0210 | X=0107.330-0384.760 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0210 | X=0107.330-0330.970 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0210 | X=0107.330-0426.940 | Y=0295.300-0306.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0210 | X=0107.330-0428.630 | Y=0306.820-0318.060 | Lê Ngô Cát đoạn từ Hết Dòng nữ Trợ Thế Thánh Tâm đến Đường Đông
P=0210 | X=0107.330-0373.720 | Y=0318.340-0329.580 | Hải - Lộ Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0210 | X=0092.900-0104.020 | Y=0326.220-0335.540 | 82
P=0210 | X=0461.210-0477.850 | Y=0326.220-0335.540 | 780
P=0210 | X=0505.390-0522.030 | Y=0326.220-0335.540 | 510
P=0210 | X=0107.330-0330.240 | Y=0335.860-0347.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0210 | X=0107.330-0384.500 | Y=0353.380-0364.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0210 | X=0107.330-0426.940 | Y=0371.400-0382.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0210 | X=0107.330-0428.630 | Y=0382.920-0394.160 | Lê Ngô Cát đoạn từ Hết Dòng nữ Trợ Thế Thánh Tâm đến Đường Đông
P=0210 | X=0107.330-0373.700 | Y=0394.200-0405.440 | Hải - Lộ Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0210 | X=0092.900-0330.500 | Y=0411.720-0426.040 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0210 | X=0461.210-0477.850 | Y=0416.720-0426.040 | 660
P=0210 | X=0505.390-0522.030 | Y=0416.720-0426.040 | 440
P=0210 | X=0107.330-0413.750 | Y=0429.240-0440.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
