TABLE=013 | AREA=Xã An Phước | SECTION=agricultural | SEGMENTS=1
P=0424 | X=0112.610-0173.730 | Y=0323.860-0335.100 | đến ≤1.000m.
P=0424 | X=0112.610-0335.780 | Y=0341.380-0352.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0424 | X=0112.610-0398.150 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0424 | X=0112.610-0381.160 | Y=0370.920-0382.160 | Hải đoạn từ Ngã ba Phước Nguyên đến Thửa đất số 173, tờ
P=0424 | X=0112.610-0377.570 | Y=0382.200-0393.440 | BĐĐC số 64 có hiện trạng là đường nhựa, bê tông xi măng:
P=0424 | X=0095.570-0106.690 | Y=0390.080-0399.400 | 32
P=0424 | X=0452.330-0468.970 | Y=0390.080-0399.400 | 250
P=0424 | X=0505.390-0522.030 | Y=0390.080-0399.400 | 250
P=0424 | X=0112.610-0398.420 | Y=0399.720-0410.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0424 | X=0112.610-0336.250 | Y=0417.240-0428.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0424 | X=0112.610-0397.870 | Y=0435.240-0446.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0424 | X=0112.610-0405.190 | Y=0446.760-0458.000 | Đường Nguyễn Hải đoạn từ Ngã ba Phước Nguyên đến Thửa đất
P=0424 | X=0112.610-0394.760 | Y=0458.300-0469.540 | số 173, tờ BĐĐC số 64 có hiện trạng là đường nhựa, bê tông xi
P=0424 | X=0095.570-0140.610 | Y=0469.820-0481.260 | 33 măng:
P=0424 | X=0452.330-0468.970 | Y=0471.940-0481.260 | 480
P=0424 | X=0505.390-0522.030 | Y=0471.940-0481.260 | 400
P=0424 | X=0112.610-0343.690 | Y=0487.340-0498.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0424 | X=0112.610-0389.800 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0424 | X=0112.610-0397.870 | Y=0522.860-0534.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0424 | X=0112.610-0405.190 | Y=0534.410-0545.650 | Đường Nguyễn Hải đoạn từ Ngã ba Phước Nguyên đến Thửa đất
P=0424 | X=0112.610-0394.760 | Y=0545.930-0557.170 | số 173, tờ BĐĐC số 64 có hiện trạng là đường nhựa, bê tông xi
P=0424 | X=0112.610-0140.610 | Y=0557.450-0568.690 | măng:
P=0424 | X=0095.570-0346.810 | Y=0573.970-0586.210 | 34 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0424 | X=0452.330-0468.970 | Y=0573.970-0583.290 | 370
P=0424 | X=0505.390-0522.030 | Y=0573.970-0583.290 | 330
P=0424 | X=0112.610-0399.500 | Y=0592.250-0603.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0424 | X=0112.610-0173.730 | Y=0603.770-0615.010 | đến ≤1.000m.
P=0424 | X=0112.610-0335.780 | Y=0621.310-0632.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0424 | X=0112.610-0397.870 | Y=0639.310-0650.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0424 | X=0112.610-0405.190 | Y=0650.830-0662.070 | Đường Nguyễn Hải đoạn từ Ngã ba Phước Nguyên đến Thửa đất
P=0424 | X=0095.570-0394.760 | Y=0662.350-0676.670 | 35 số 173, tờ BĐĐC số 64 có hiện trạng là đường nhựa, bê tông xi
P=0424 | X=0452.330-0468.970 | Y=0667.350-0676.670 | 250
P=0424 | X=0505.390-0522.030 | Y=0667.350-0676.670 | 250
P=0424 | X=0112.610-0140.610 | Y=0673.870-0685.110 | măng:
P=0424 | X=0112.610-0401.070 | Y=0691.390-0702.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0425 | X=0112.610-0336.250 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0425 | X=0217.030-0399.340 | Y=0096.740-0107.980 | Thửa đất số 173, tờ Hết ranh thửa đất số
P=0425 | X=0095.570-0199.350 | Y=0102.500-0113.740 | 36 Đường Nguyễn Hải
P=0425 | X=0452.330-0468.970 | Y=0104.380-0113.700 | 700
P=0425 | X=0505.390-0522.030 | Y=0104.380-0113.700 | 570
P=0425 | X=0217.030-0272.580 | Y=0108.260-0119.500 | BĐĐC số 64
P=0425 | X=0307.560-0397.660 | Y=0108.260-0119.500 | 350, tờ BĐĐC số 65
P=0425 | X=0112.610-0398.150 | Y=0126.290-0137.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0425 | X=0112.610-0398.380 | Y=0137.810-0149.050 | Hải đoạn từ Thửa đất số 173, tờ BĐĐC số 64 đến Hết ranh thửa
P=0425 | X=0112.610-0411.580 | Y=0149.330-0160.570 | đất số 350, tờ BĐĐC số 65 có hiện trạng là đường nhựa, bê tông xi
P=0425 | X=0095.570-0140.610 | Y=0160.850-0172.290 | 37 măng:
P=0425 | X=0452.330-0468.970 | Y=0162.970-0172.290 | 480
P=0425 | X=0505.390-0522.030 | Y=0162.970-0172.290 | 400
P=0425 | X=0112.610-0343.720 | Y=0178.370-0189.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0425 | X=0112.610-0389.800 | Y=0195.650-0206.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0425 | X=0112.610-0398.150 | Y=0213.670-0224.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0425 | X=0112.610-0398.380 | Y=0225.190-0236.430 | Hải đoạn từ Thửa đất số 173, tờ BĐĐC số 64 đến Hết ranh thửa
P=0425 | X=0112.610-0411.570 | Y=0236.710-0247.950 | đất số 350, tờ BĐĐC số 65 có hiện trạng là đường nhựa, bê tông xi
P=0425 | X=0112.610-0140.610 | Y=0248.230-0259.470 | măng:
P=0425 | X=0095.570-0346.820 | Y=0264.990-0276.990 | 38 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0425 | X=0452.330-0468.970 | Y=0264.990-0274.310 | 370
P=0425 | X=0505.390-0522.030 | Y=0264.990-0274.310 | 330
P=0425 | X=0112.610-0393.730 | Y=0283.300-0294.540 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông từ>500m
P=0425 | X=0112.610-0173.730 | Y=0294.820-0306.060 | đến ≤1.000m.
P=0425 | X=0112.610-0335.780 | Y=0312.340-0323.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0425 | X=0112.610-0398.150 | Y=0330.340-0341.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0425 | X=0112.610-0399.580 | Y=0341.860-0353.100 | Hải đoạn từ Thửa đất số 173, tờ BĐĐC số 64 đến Tiết ranh thửa
P=0425 | X=0112.610-0411.580 | Y=0353.380-0364.620 | đất số 350, tờ BĐĐC số 65 có hiện trạng là đường nhựa, bê tông xi
P=0425 | X=0095.570-0140.610 | Y=0364.900-0376.360 | 39 măng:
P=0425 | X=0452.330-0468.970 | Y=0367.040-0376.360 | 250
P=0425 | X=0505.390-0522.030 | Y=0367.040-0376.360 | 250
P=0425 | X=0112.610-0401.070 | Y=0382.200-0393.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0425 | X=0112.610-0336.250 | Y=0399.720-0410.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0425 | X=0112.610-0397.870 | Y=0417.720-0428.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0425 | X=0112.610-0405.340 | Y=0429.240-0440.480 | Đường Nguyễn Hải đoạn từ Thửa đất số 173, tờ BĐĐC số 64 đến
P=0425 | X=0112.610-0401.270 | Y=0440.760-0452.000 | Hết ranh thửa đất số 350, tờ BĐĐC số 65 có hiện trạng là đường
P=0425 | X=0095.570-0215.720 | Y=0452.300-0463.740 | 40 nhựa, bê tông xi măng:
P=0425 | X=0452.330-0468.970 | Y=0454.420-0463.740 | 480
P=0425 | X=0505.390-0522.030 | Y=0454.420-0463.740 | 400
P=0425 | X=0112.610-0343.720 | Y=0469.820-0481.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0425 | X=0112.610-0389.800 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0425 | X=0112.610-0397.870 | Y=0505.340-0516.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0425 | X=0112.610-0405.340 | Y=0516.860-0528.100 | Đường Nguyễn Hải đoạn từ Thửa đất số 173, tờ BĐĐC số 64 đến
P=0425 | X=0112.610-0401.270 | Y=0528.380-0539.620 | Hết ranh thửa đất số 350, tờ BĐĐC số 65 có hiện trạng là đường
P=0425 | X=0112.610-0215.720 | Y=0539.930-0551.170 | nhựa, bê tông xi măng:
P=0425 | X=0095.570-0344.160 | Y=0556.450-0568.690 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0425 | X=0452.330-0468.970 | Y=0556.450-0565.770 | 370
P=0425 | X=0505.390-0522.030 | Y=0556.450-0565.770 | 330
P=0425 | X=0112.610-0393.730 | Y=0574.970-0586.210 | - Có bề rộng từ≥3m đến <5m. cách đường giao thông từ>500m
P=0425 | X=0112.610-0173.730 | Y=0586.250-0597.490 | đến ≤1.000m.
P=0425 | X=0112.610-0335.780 | Y=0603.770-0615.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0425 | X=0112.610-0397.870 | Y=0621.790-0633.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0425 | X=0112.610-0405.340 | Y=0633.310-0644.550 | Đường Nguyễn Hải đoạn từ Thửa đất số 173, tờ BĐĐC số 64 đến
P=0425 | X=0112.610-0401.270 | Y=0644.830-0656.070 | Hết ranh thửa đất số 350, tờ BĐĐC số 65 có hiện trạng là đường
P=0425 | X=0095.570-0215.720 | Y=0656.350-0667.790 | 42 nhựa, bê tông xi măng:
P=0425 | X=0452.330-0468.970 | Y=0658.470-0667.790 | 250
P=0425 | X=0505.390-0522.030 | Y=0658.470-0667.790 | 250
P=0425 | X=0112.610-0395.550 | Y=0673.870-0685.110 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông >1.000m.
P=0425 | X=0112.610-0336.270 | Y=0691.390-0702.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0426 | X=0307.560-0396.040 | Y=0078.740-0089.980 | Thửa đất số 129, tờ
P=0426 | X=0217.030-0299.440 | Y=0086.380-0095.700 | Giáp ranh xã Long
P=0426 | X=0095.570-0201.250 | Y=0090.260-0101.500 | 43 Đường Chu Văn An
P=0426 | X=0307.560-0394.510 | Y=0090.260-0101.500 | BĐĐC số 67, xã An
P=0426 | X=0452.330-0468.970 | Y=0092.140-0101.460 | 670
P=0426 | X=0505.390-0522.030 | Y=0092.140-0101.460 | 530
P=0426 | X=0217.030-0245.440 | Y=0097.900-0107.220 | Thành
P=0426 | X=0307.560-0338.280 | Y=0101.780-0113.020 | Phước
P=0426 | X=0112.610-0402.680 | Y=0119.810-0131.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0426 | X=0112.610-0389.080 | Y=0131.330-0142.570 | An đoạn từ Giáp ranh xã Long Thành đến Thửa đất số 129, tờ
P=0426 | X=0112.610-0411.580 | Y=0142.850-0154.090 | BĐĐC số 67, xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0426 | X=0095.570-0140.610 | Y=0154.370-0165.810 | 44 măng:
P=0426 | X=0452.330-0468.970 | Y=0156.490-0165.810 | 450
P=0426 | X=0505.390-0522.030 | Y=0156.490-0165.810 | 380
P=0426 | X=0112.610-0341.050 | Y=0171.650-0182.890 | - Có bề rộng≥5m, cách đường giao thông ≤1.000m.
P=0426 | X=0112.610-0389.800 | Y=0189.170-0200.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0426 | X=0112.610-0402.680 | Y=0207.190-0218.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0426 | X=0112.610-0389.080 | Y=0218.710-0229.950 | An đoạn từ Giáp ranh xã Long Thành đến Thửa đất số 129, tờ
P=0426 | X=0112.610-0411.580 | Y=0230.230-0241.470 | BĐĐC số 67, xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0426 | X=0112.610-0140.610 | Y=0241.750-0252.990 | măng:
P=0426 | X=0095.570-0346.810 | Y=0258.510-0270.510 | 45 - Có bề rộng ≥5m, cách đường giao thông > 1,000m.
P=0426 | X=0452.330-0468.970 | Y=0258.510-0267.830 | 350
P=0426 | X=0508.270-0522.270 | Y=0258.510-0267.830 | 3I0
P=0426 | X=0112.610-0393.730 | Y=0276.790-0288.030 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông từ>500m
P=0426 | X=0112.610-0173.730 | Y=0288.340-0299.580 | đến ≤1.000m.
P=0426 | X=0112.610-0335.780 | Y=0305.860-0317.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0426 | X=0112.610-0402.680 | Y=0323.860-0335.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chu Văn
P=0426 | X=0112.610-0389.080 | Y=0335.380-0346.620 | An đoạn từ Giáp ranh xã Long Thành đến Thửa đất số 129, tờ
P=0426 | X=0112.610-0411.580 | Y=0346.900-0358.140 | BĐĐC số 67, xã An Phước có hiện trạng là đường nhựa, bê tông xi
P=0426 | X=0095.570-0140.610 | Y=0358.180-0369.860 | 46 măng:
P=0426 | X=0452.330-0468.970 | Y=0360.540-0369.860 | 230
P=0426 | X=0505.390-0522.030 | Y=0360.540-0369.860 | 230
P=0426 | X=0112.610-0395.550 | Y=0375.720-0386.960 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông >1.000m.
P=0426 | X=0112.610-0336.250 | Y=0393.240-0404.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0426 | X=0112.610-0397.870 | Y=0411.240-0422.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0426 | X=0112.610-0400.790 | Y=0422.760-0434.000 | Đường Chu Văn An đoạn từ Giáp ranh xã Long Thành đến Thửa
P=0426 | X=0112.610-0401.030 | Y=0434.280-0445.520 | đất số 129, tờ BĐĐC số 67, xã An Phước có hiện trạng là đường
P=0426 | X=0095.570-0215.720 | Y=0445.800-0457.240 | 47 nhựa, bê tông xi măng:
P=0426 | X=0452.330-0468.970 | Y=0447.920-0457.240 | 450
P=0426 | X=0505.390-0522.030 | Y=0447.920-0457.240 | 380
P=0426 | X=0112.610-0343.690 | Y=0463.340-0474.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0426 | X=0112.610-0386.930 | Y=0480.860-0492.100 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông ≤500m.
P=0426 | X=0112.610-0397.870 | Y=0498.860-0510.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0426 | X=0112.610-0400.790 | Y=0510.380-0521.620 | Đường Chu Văn An đoạn từ Giáp ranh xã Long Thành đến Thửa
P=0426 | X=0112.610-0401.020 | Y=0521.900-0533.140 | đất số 129, tờ BĐĐC số 67, xã An Phước có hiện trạng là đường
P=0426 | X=0112.610-0215.720 | Y=0533.450-0544.690 | nhựa, bê tông xi măng:
P=0426 | X=0095.570-0341.290 | Y=0549.970-0562.210 | 48 - Có bề rộng≥5m, cách đường giao thông >1.000m.
P=0426 | X=0452.330-0468.970 | Y=0549.970-0559.290 | 350
P=0426 | X=0505.390-0522.030 | Y=0549.970-0559.290 | 310
P=0426 | X=0112.610-0399.500 | Y=0568.250-0579.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0426 | X=0112.610-0173.730 | Y=0579.770-0591.010 | đến ≤1.000m.
P=0426 | X=0112.610-0336.250 | Y=0597.290-0608.530 | - Có bề rộng <3m, cách đường giao thông <200m.
P=0426 | X=0112.610-0397.870 | Y=0615.290-0626.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0426 | X=0112.610-0400.790 | Y=0626.830-0638.070 | Đường Chu Văn An đoạn từ Giáp ranh xã Long Thành đến Thửa
P=0426 | X=0112.610-0401.020 | Y=0638.350-0649.590 | đất số 129, tờ BĐĐC số 67, xã An Phước có hiện trạng là đường
P=0426 | X=0095.570-0215.720 | Y=0649.870-0661.310 | 49 nhựa, bê tông xi măng:
P=0426 | X=0452.330-0468.970 | Y=0651.990-0661.310 | 230
P=0426 | X=0505.390-0522.030 | Y=0651.990-0661.310 | 230
P=0426 | X=0112.610-0398.420 | Y=0667.390-0678.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0426 | X=0112.610-0336.250 | Y=0684.910-0696.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0426 | X=0216.310-0281.470 | Y=0702.930-0714.170 | Ngã ba đường
P=0426 | X=0095.570-0161.170 | Y=0704.820-0714.140 | 50 Quốc lộ 51
P=0426 | X=0307.560-0396.700 | Y=0704.820-0714.140 | Hết Trung tâm huấn
P=0426 | X=0452.330-0468.970 | Y=0704.820-0714.140 | 730
P=0426 | X=0505.390-0522.030 | Y=0704.820-0714.140 | 600
P=0427 | X=0216.310-0273.030 | Y=0072.740-0083.980 | Phùng Hưng
P=0427 | X=0307.560-0396.940 | Y=0074.620-0083.940 | luyện chó nghiệp vụ
P=0427 | X=0307.560-0368.870 | Y=0086.140-0095.460 | Quân Khuyển
P=0427 | X=0112.610-0402.700 | Y=0102.260-0113.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0427 | X=0112.610-0406.550 | Y=0113.780-0125.020 | từ Ngã ba đường Phùng Hưng đến Hết Trung tâm huấn luyện chó
P=0427 | X=0112.610-0399.070 | Y=0125.330-0136.570 | nghiệp vụ Quân Khuyển có hiện trạng là đường nhựa, bê tông xi
P=0427 | X=0095.570-0140.610 | Y=0136.850-0148.290 | 51 măng:
P=0427 | X=0452.330-0468.970 | Y=0138.970-0148.290 | 500
P=0427 | X=0505.390-0522.030 | Y=0138.970-0148.290 | 430
P=0427 | X=0112.610-0341.050 | Y=0154.370-0165.610 | - Có bề rộng≥5m, cách đường giao thông ≤1.000m.
P=0427 | X=0112.610-0389.800 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0427 | X=0112.610-0402.700 | Y=0189.650-0200.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0427 | X=0112.610-0405.830 | Y=0201.190-0212.430 | từ Ngã ba đường Phùng Hưng đến Hết Trung lâm huấn luyện chó
P=0427 | X=0112.610-0399.070 | Y=0212.710-0223.950 | nghiệp vụ Quân Khuyển có hiện trạng là đường nhựa, bê tông xi
P=0427 | X=0112.610-0140.610 | Y=0224.230-0235.470 | măng:
P=0427 | X=0095.570-0341.290 | Y=0240.990-0252.990 | 52 - Có bề rộng≥5m, cách đường giao thông >1.000m.
P=0427 | X=0452.330-0468.970 | Y=0240.990-0250.310 | 400
P=0427 | X=0505.390-0522.030 | Y=0240.990-0250.310 | 350
P=0427 | X=0112.610-0399.500 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0427 | X=0112.610-0173.730 | Y=0270.790-0282.030 | đến ≤1.000m.
P=0427 | X=0112.610-0335.780 | Y=0288.340-0299.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0427 | X=0112.610-0402.700 | Y=0306.340-0317.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0427 | X=0112.610-0406.550 | Y=0317.860-0329.100 | từ Ngã ba đường Phùng Hưng đến Hết Trung tâm huấn luyện chó
P=0427 | X=0112.610-0399.070 | Y=0329.380-0340.620 | nghiệp vụ Quân Khuyển có hiện trạng là đường nhựa, bê tông xi
P=0427 | X=0095.570-0140.610 | Y=0340.900-0352.340 | 53 măng:
P=0427 | X=0452.330-0468.970 | Y=0343.020-0352.340 | 270
P=0427 | X=0505.390-0522.030 | Y=0343.020-0352.340 | 270
P=0427 | X=0112.610-0401.070 | Y=0358.180-0369.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0427 | X=0112.610-0336.250 | Y=0375.720-0386.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0427 | X=0112.610-0397.870 | Y=0393.720-0404.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0427 | X=0112.610-0411.710 | Y=0405.240-0416.480 | Quốc lộ 51 đoạn từ Ngã ba đường Phùng Hưng đến Hết Trung tâm
P=0427 | X=0112.610-0394.540 | Y=0416.760-0428.000 | huấn luyện chó nghiệp vụ Quân Khuyển có hiện trạng là đường
P=0427 | X=0095.570-0215.720 | Y=0428.280-0439.720 | 54 nhựa, bê tông xi măng:
P=0427 | X=0452.330-0468.970 | Y=0430.400-0439.720 | 500
P=0427 | X=0505.390-0522.030 | Y=0430.400-0439.720 | 430
P=0427 | X=0112.610-0343.690 | Y=0445.800-0457.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0427 | X=0112.610-0389.800 | Y=0463.340-0474.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0427 | X=0112.610-0397.870 | Y=0481.340-0492.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0427 | X=0112.610-0411.710 | Y=0492.860-0504.100 | Quốc lộ 51 đoạn từ Ngã ba đường Phùng Hưng đến Hết Trung tâm
P=0427 | X=0112.610-0394.540 | Y=0504.380-0515.620 | huấn luyện chó nghiệp vụ Quân Khuyển có hiện trạng là đường
P=0427 | X=0112.610-0215.720 | Y=0515.900-0527.140 | nhựa, bê tông xi măng:
P=0427 | X=0095.570-0341.290 | Y=0532.420-0544.690 | 55 - Có bề rộng ≥5m, cách đường giao thông>1.000m.
P=0427 | X=0452.330-0468.970 | Y=0532.420-0541.740 | 400
P=0427 | X=0505.390-0522.030 | Y=0532.420-0541.740 | 350
P=0427 | X=0112.610-0399.500 | Y=0550.970-0562.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0427 | X=0112.610-0173.730 | Y=0562.250-0573.490 | đến ≤1.000m.
P=0427 | X=0112.610-0336.250 | Y=0579.770-0591.010 | - Có bề rộng <3m, cách đường giao thông <200m.
P=0427 | X=0112.610-0397.870 | Y=0597.770-0609.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0427 | X=0112.610-0411.710 | Y=0609.290-0620.530 | Quốc lộ 51 đoạn từ Ngã ba đường Phùng Hưng đến Hết Trung tâm
P=0427 | X=0112.610-0394.540 | Y=0620.830-0632.070 | huấn luyện chó nghiệp vụ Quân Khuyển có hiện trạng là đường
P=0427 | X=0095.570-0215.720 | Y=0632.350-0643.790 | 56 nhựa, bê tông xi măng:
P=0427 | X=0452.330-0468.970 | Y=0634.470-0643.790 | 270
P=0427 | X=0505.390-0522.030 | Y=0634.470-0643.790 | 270
P=0427 | X=0112.610-0401.070 | Y=0649.870-0661.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0427 | X=0112.610-0336.250 | Y=0667.390-0678.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0427 | X=0216.310-0305.480 | Y=0687.270-0696.590 | Hết Trung tâm huấn
P=0427 | X=0216.310-0340.510 | Y=0696.910-0708.150 | luyện chó nghiệp vụ Mũi tàu
P=0427 | X=0095.570-0161.170 | Y=0698.790-0708.110 | 57 Quốc lộ 51
P=0427 | X=0452.330-0468.970 | Y=0698.790-0708.110 | 730
P=0427 | X=0505.390-0522.030 | Y=0698.790-0708.110 | 600
P=0427 | X=0216.310-0277.630 | Y=0710.340-0719.660 | Quân Khuyển
P=0428 | X=0112.610-0402.700 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0428 | X=0112.610-0407.980 | Y=0090.260-0101.500 | từ Hết Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển đến Mũi
P=0428 | X=0112.610-0336.250 | Y=0101.780-0113.020 | tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.570-0106.690 | Y=0109.660-0118.980 | 58
P=0428 | X=0452.330-0468.970 | Y=0109.660-0118.980 | 500
P=0428 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 430
P=0428 | X=0112.610-0343.690 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0428 | X=0112.610-0386.930 | Y=0136.850-0148.090 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông ≤500m.
P=0428 | X=0112.610-0402.700 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0428 | X=0112.610-0407.980 | Y=0166.370-0177.610 | từ Hết Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển đến Mũi
P=0428 | X=0112.610-0336.250 | Y=0177.650-0188.890 | tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.570-0344.180 | Y=0195.170-0209.510 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0428 | X=0452.330-0468.970 | Y=0200.190-0209.510 | 400
P=0428 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 350
P=0428 | X=0112.610-0399.500 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0428 | X=0112.610-0173.730 | Y=0224.230-0235.470 | đến ≤1.000m.
P=0428 | X=0112.610-0335.780 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0428 | X=0112.610-0402.700 | Y=0259.750-0270.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0428 | X=0112.610-0407.980 | Y=0271.270-0282.510 | từ Hết Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển đến Mũi
P=0428 | X=0112.610-0336.250 | Y=0282.820-0294.060 | tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.570-0106.690 | Y=0290.700-0300.020 | 60
P=0428 | X=0452.330-0468.970 | Y=0290.700-0300.020 | 270
P=0428 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 270
P=0428 | X=0112.610-0398.420 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0428 | X=0112.610-0336.250 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0428 | X=0112.610-0397.870 | Y=0335.860-0347.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0428 | X=0112.610-0409.180 | Y=0347.380-0358.620 | Quốc lộ 51 đoạn từ Hết Trung tâm huấn luyện chó nghiệp vụ Quân
P=0428 | X=0112.610-0411.390 | Y=0358.900-0370.140 | Khuyển đến Mũi tàu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.570-0106.690 | Y=0366.780-0376.100 | 61
P=0428 | X=0452.330-0468.970 | Y=0366.780-0376.100 | 500
P=0428 | X=0505.390-0522.030 | Y=0366.780-0376.100 | 430
P=0428 | X=0112.610-0343.690 | Y=0376.200-0387.440 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0428 | X=0112.610-0386.930 | Y=0393.720-0404.960 | - Có bề rộng từ≥3m đến <5m, cách đường giao thông ≤500m.
