TABLE=045 | AREA=Xã La Ngà | SECTION=agricultural | SEGMENTS=1
P=1578 | X=0092.900-0104.020 | Y=0653.190-0662.510 | 32
P=1578 | X=0454.010-0465.130 | Y=0653.190-0662.510 | 90
P=1578 | X=0511.150-0522.270 | Y=0653.190-0662.510 | 55
P=1578 | X=0107.330-0393.140 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1578 | X=0107.330-0330.970 | Y=0680.350-0691.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1578 | X=0092.900-0392.590 | Y=0698.350-0709.590 | 33 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1578 | X=0448.250-0464.890 | Y=0700.230-0709.550 | 160
P=1578 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 150
P=1579 | X=0107.330-0394.490 | Y=0072.740-0083.980 | Quốc lộ 20 đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín Nghĩa
P=1579 | X=0107.330-0314.180 | Y=0084.260-0095.500 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1579 | X=0107.330-0338.410 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1579 | X=0107.330-0384.500 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1579 | X=0107.330-0392.590 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1579 | X=0107.330-0392.810 | Y=0148.850-0160.090 | Quốc lộ 20 đoạn từ Bến xe Phú Túc đến hết cây xăng Tín Nghĩa
P=1579 | X=0107.330-0314.180 | Y=0160.370-0171.610 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1579 | X=0092.900-0338.880 | Y=0177.650-0191.970 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1579 | X=0448.250-0464.890 | Y=0182.650-0191.970 | 130
P=1579 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 100
P=1579 | X=0107.330-0394.220 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1579 | X=0107.330-0168.450 | Y=0206.710-0217.950 | đến ≤1.000m.
P=1579 | X=0107.330-0330.500 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1579 | X=0107.330-0392.590 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1579 | X=0107.330-0394.490 | Y=0253.750-0264.990 | Quốc lộ 20 đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín Nghĩa
P=1579 | X=0107.330-0314.180 | Y=0265.270-0276.510 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1579 | X=0092.900-0104.020 | Y=0273.150-0282.470 | 35
P=1579 | X=0454.010-0465.130 | Y=0273.150-0282.470 | 90
P=1579 | X=0511.150-0522.270 | Y=0273.150-0282.470 | 55
P=1579 | X=0107.330-0393.120 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1579 | X=0107.330-0330.970 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1579 | X=0179.350-0237.990 | Y=0320.220-0329.540 | Hát cây xăng
P=1579 | X=0248.740-0391.630 | Y=0324.100-0335.340 | Hết trường tiểu học Lê Quý Đôn
P=1579 | X=0092.900-0155.890 | Y=0325.980-0335.300 | 36 Quốc lộ 20
P=1579 | X=0448.250-0464.890 | Y=0325.980-0335.300 | 270
P=1579 | X=0505.390-0522.030 | Y=0325.980-0335.300 | 230
P=1579 | X=0179.350-0223.570 | Y=0329.860-0341.100 | Tín Nghĩa
P=1579 | X=0107.330-0397.420 | Y=0347.860-0359.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1579 | X=0107.330-0403.390 | Y=0359.380-0370.620 | từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu học Lê Quý Đôn có
P=1579 | X=0107.330-0300.940 | Y=0370.920-0382.160 | hiện trạng là đường nhựa, bê tông xi măng:
P=1579 | X=0092.900-0104.020 | Y=0378.800-0388.120 | 37
P=1579 | X=0448.250-0464.890 | Y=0378.800-0388.120 | 160
P=1579 | X=0505.390-0522.030 | Y=0378.800-0388.120 | 150
P=1579 | X=0107.330-0338.410 | Y=0388.200-0399.440 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1579 | X=0107.330-0384.500 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1579 | X=0107.330-0397.420 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1579 | X=0107.330-0401.710 | Y=0435.240-0446.480 | từ Hết cây xăng Tín Nghĩa đến hết trường tiểu học Lê Quý Đôn có
P=1579 | X=0107.330-0300.980 | Y=0446.760-0458.000 | hiện trạng là đường nhựa, bê tông xi măng:
P=1579 | X=0092.900-0338.880 | Y=0464.300-0478.620 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1579 | X=0448.250-0464.890 | Y=0469.300-0478.620 | 130
P=1579 | X=0505.390-0522.030 | Y=0469.300-0478.620 | 100
P=1579 | X=0107.330-0394.220 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1579 | X=0107.330-0168.450 | Y=0493.340-0504.580 | đến ≤1.000m.
P=1579 | X=0107.330-0330.500 | Y=0510.860-0522.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1579 | X=0107.330-0397.420 | Y=0528.860-0540.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1579 | X=0107.330-0403.390 | Y=0540.410-0551.650 | từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu học Lê Quý Đôn có
P=1579 | X=0107.330-0300.940 | Y=0551.930-0563.170 | hiện trạng là đường nhựa, bê tông xi măng;
P=1579 | X=0092.900-0104.020 | Y=0559.810-0569.130 | 39
P=1579 | X=0454.010-0465.130 | Y=0559.810-0569.130 | 90
P=1579 | X=0511.150-0522.270 | Y=0559.810-0569.130 | 55
P=1579 | X=0107.330-0393.120 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1579 | X=0107.330-0330.970 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1579 | X=0107.330-0392.590 | Y=0604.970-0616.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1579 | X=0107.330-0391.180 | Y=0616.270-0627.510 | Quốc lộ 20 đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu
P=1579 | X=0107.330-0389.070 | Y=0627.790-0639.030 | học Lê Quý Đôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1579 | X=0092.900-0104.020 | Y=0635.670-0644.990 | 40
P=1579 | X=0448.250-0464.890 | Y=0635.670-0644.990 | 160
P=1579 | X=0505.390-0522.030 | Y=0635.670-0644.990 | 150
P=1579 | X=0107.330-0338.410 | Y=0645.310-0656.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1579 | X=0107.330-0384.500 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1579 | X=0107.330-0392.590 | Y=0680.830-0692.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1579 | X=0092.900-0391.180 | Y=0692.350-0703.590 | 41 Quốc lộ 20 đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu
P=1579 | X=0448.250-0464.890 | Y=0694.230-0703.550 | 130
P=1579 | X=0505.390-0522.030 | Y=0694.230-0703.550 | 100
P=1579 | X=0107.330-0389.070 | Y=0703.890-0715.130 | học Lê Quý Đôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1580 | X=0107.330-0338.880 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1580 | X=0107.330-0394.220 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1580 | X=0107.330-0168.450 | Y=0107.780-0119.020 | đến ≤1.000m.
P=1580 | X=0107.330-0330.500 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1580 | X=0107.330-0392.590 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1580 | X=0107.330-0391.180 | Y=0154.850-0166.090 | Quốc lộ 20 đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu
P=1580 | X=0107.330-0389.070 | Y=0166.370-0177.610 | học Lê Quý Đôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1580 | X=0092.900-0104.020 | Y=0174.250-0183.570 | 42
P=1580 | X=0454.010-0465.130 | Y=0174.250-0183.570 | 90
P=1580 | X=0511.150-0522.270 | Y=0174.250-0183.570 | 55
P=1580 | X=0107.330-0393.120 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1580 | X=0107.330-0330.970 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1580 | X=0107.330-0400.540 | Y=0219.190-0230.430 | Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu
P=1580 | X=0092.900-0104.020 | Y=0226.830-0236.150 | 43
P=1580 | X=0448.250-0464.890 | Y=0226.830-0236.150 | 270
P=1580 | X=0505.390-0522.030 | Y=0226.830-0236.150 | 230
P=1580 | X=0107.330-0325.060 | Y=0230.710-0241.950 | La Ngà trừ đoạn cách chợ La Ngà mỗi bên 200m
P=1580 | X=0107.330-0397.420 | Y=0248.710-0259.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1580 | X=0107.330-0400.060 | Y=0260.230-0271.470 | từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu La Ngà trừ đoạn
P=1580 | X=0107.330-0396.460 | Y=0271.750-0282.990 | cách chợ La Ngà mỗi bên 200m có hiện trạng là đường nhựa, bê
P=1580 | X=0092.900-0167.490 | Y=0283.300-0294.740 | 44 tông xi măng:
P=1580 | X=0448.250-0464.890 | Y=0285.420-0294.740 | 160
P=1580 | X=0505.390-0522.030 | Y=0285.420-0294.740 | 150
P=1580 | X=0107.330-0338.410 | Y=0300.820-0312.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1580 | X=0107.330-0384.500 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1580 | X=0107.330-0397.420 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1580 | X=0107.330-0400.060 | Y=0347.860-0359.100 | từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu La Ngà trừ đoạn
P=1580 | X=0107.330-0396.460 | Y=0359.380-0370.620 | cách chợ La Ngà mỗi bên 200m có hiện trạng là đường nhựa, bê
P=1580 | X=0107.330-0167.490 | Y=0370.920-0382.160 | tông xi măng:
P=1580 | X=0092.900-0338.880 | Y=0387.440-0399.440 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1580 | X=0448.250-0464.890 | Y=0387.440-0396.760 | 130
P=1580 | X=0505.390-0522.030 | Y=0387.440-0396.760 | 100
P=1580 | X=0107.330-0394.220 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1580 | X=0107.330-0168.450 | Y=0417.240-0428.480 | đến ≤1.000m.
P=1580 | X=0107.330-0330.500 | Y=0434.760-0446.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1580 | X=0107.330-0397.420 | Y=0452.780-0464.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1580 | X=0107.330-0400.060 | Y=0464.300-0475.540 | từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu La Ngà trừ đoạn
P=1580 | X=0107.330-0396.460 | Y=0475.820-0487.060 | cách chợ La Ngà mỗi bên 200m có hiện trạng là đường nhựa, bê
P=1580 | X=0092.900-0167.490 | Y=0487.340-0498.780 | 46 tông xi măng:
P=1580 | X=0454.010-0465.130 | Y=0489.460-0498.780 | 90
P=1580 | X=0511.150-0522.270 | Y=0489.460-0498.780 | 55
P=1580 | X=0107.330-0393.120 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1580 | X=0107.330-0330.970 | Y=0522.380-0533.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1580 | X=0107.330-0392.590 | Y=0540.410-0551.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1580 | X=0107.330-0400.540 | Y=0551.930-0563.170 | Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu
P=1580 | X=0107.330-0393.330 | Y=0563.450-0574.690 | La Ngà từ đoạn cách chợ La Ngà mỗi bên 200m có hiện trạng là
P=1580 | X=0092.900-0243.080 | Y=0574.970-0586.410 | 47 đường nhựa, bê tông xi măng:
P=1580 | X=0448.250-0464.890 | Y=0577.090-0586.410 | 160
P=1580 | X=0505.390-0522.030 | Y=0577.090-0586.410 | 150
P=1580 | X=0107.330-0338.410 | Y=0592.250-0603.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1580 | X=0107.330-0384.500 | Y=0609.770-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1580 | X=0107.330-0392.590 | Y=0627.790-0639.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1580 | X=0107.330-0400.540 | Y=0639.310-0650.550 | Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu
P=1580 | X=0107.330-0396.690 | Y=0650.830-0662.070 | La Ngà trừ đoạn cách chợ La Ngà mỗi bên 200m có hiện trạng là
P=1580 | X=0092.900-0243.080 | Y=0662.350-0673.790 | 48 đường nhựa, bê tông xi măng:
P=1580 | X=0448.250-0464.890 | Y=0664.470-0673.790 | 130
P=1580 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 100
P=1580 | X=0107.330-0338.880 | Y=0679.870-0691.110 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1580 | X=0107.330-0394.220 | Y=0697.390-0708.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1581 | X=0107.330-0168.450 | Y=0072.740-0083.980 | đến ≤1.000m.
P=1581 | X=0107.330-0330.500 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1581 | X=0107.330-0392.590 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1581 | X=0107.330-0400.540 | Y=0119.810-0131.050 | Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu
P=1581 | X=0107.330-0396.690 | Y=0131.330-0142.570 | La Ngà trừ đoạn cách chợ La Ngà mỗi bên 200m có hiện trạng là
P=1581 | X=0092.900-0243.080 | Y=0142.850-0154.290 | 49 đường nhựa, bê tông xi măng:
P=1581 | X=0454.010-0465.130 | Y=0144.970-0154.290 | 90
P=1581 | X=0511.150-0522.270 | Y=0144.970-0154.290 | 55
P=1581 | X=0107.330-0393.140 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1581 | X=0107.330-0330.970 | Y=0177.650-0188.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1581 | X=0248.740-0390.070 | Y=0195.650-0206.890 | Qua chợ La Ngà 200m (đến hết
P=1581 | X=0179.350-0236.820 | Y=0197.530-0206.850 | Cách chợ La
P=1581 | X=0092.900-0155.890 | Y=0203.310-0212.630 | 50 Quốc lộ 20
P=1581 | X=0448.250-0464.890 | Y=0203.310-0212.630 | 270
P=1581 | X=0505.390-0522.030 | Y=0203.310-0212.630 | 230
P=1581 | X=0248.740-0340.170 | Y=0207.190-0218.430 | bưu điện xã La Ngà)
P=1581 | X=0179.350-0225.440 | Y=0209.070-0218.390 | Ngà 200m
P=1581 | X=0107.330-0397.420 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1581 | X=0107.330-0394.750 | Y=0236.710-0247.950 | từ Cách chợ La Ngà 200m có hiện trạng là đường nhựa, bê tông
P=1581 | X=0107.330-0145.160 | Y=0248.230-0259.470 | xi măng:
P=1581 | X=0092.900-0104.020 | Y=0256.110-0265.430 | 51
P=1581 | X=0448.250-0464.890 | Y=0256.110-0265.430 | 160
P=1581 | X=0505.390-0522.030 | Y=0256.110-0265.430 | 150
P=1581 | X=0107.330-0338.410 | Y=0265.750-0276.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1581 | X=0107.330-0384.500 | Y=0283.300-0294.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1581 | X=0107.330-0397.420 | Y=0301.300-0312.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1581 | X=0107.330-0394.750 | Y=0312.820-0324.060 | từ Cách chợ La Ngà 200m có hiện trạng là đường nhựa, bê tông
P=1581 | X=0107.330-0145.160 | Y=0324.340-0335.580 | xi măng:
P=1581 | X=0092.900-0338.880 | Y=0341.860-0355.940 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1581 | X=0448.250-0464.890 | Y=0346.620-0355.940 | 130
P=1581 | X=0505.390-0522.030 | Y=0346.620-0355.940 | 100
P=1581 | X=0107.330-0394.220 | Y=0359.380-0370.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1581 | X=0107.330-0168.450 | Y=0370.920-0382.160 | đến ≤1.000m.
P=1581 | X=0107.330-0330.500 | Y=0388.200-0399.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1581 | X=0107.330-0397.420 | Y=0406.200-0417.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn
P=1581 | X=0107.330-0394.750 | Y=0417.720-0428.960 | từ Cách chợ La Ngà 200m có hiện trạng là đường nhựa, bê tông
P=1581 | X=0107.330-0145.160 | Y=0429.240-0440.480 | xi măng:
P=1581 | X=0092.900-0104.020 | Y=0437.120-0446.440 | 53
P=1581 | X=0454.010-0465.130 | Y=0437.120-0446.440 | 90
P=1581 | X=0511.150-0522.270 | Y=0437.120-0446.440 | 55
P=1581 | X=0107.330-0393.120 | Y=0446.760-0458.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1581 | X=0107.330-0330.970 | Y=0464.300-0475.540 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1581 | X=0107.330-0392.590 | Y=0482.300-0493.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1581 | X=0107.330-0373.150 | Y=0493.820-0505.060 | Quốc lộ 20 đoạn từ Cách chợ La Ngà 200m có hiện trạng là
P=1581 | X=0107.330-0243.080 | Y=0505.340-0516.580 | đường nhựa, bê tông xi măng:
P=1581 | X=0092.900-0104.020 | Y=0513.220-0522.540 | 54
P=1581 | X=0448.250-0464.890 | Y=0513.220-0522.540 | 160
P=1581 | X=0505.390-0522.030 | Y=0513.220-0522.540 | 150
P=1581 | X=0107.330-0338.410 | Y=0522.860-0534.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1581 | X=0107.330-0384.500 | Y=0540.410-0551.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1581 | X=0107.330-0392.590 | Y=0558.410-0569.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1581 | X=0107.330-0373.150 | Y=0569.930-0581.170 | Quốc lộ 20 đoạn từ Cách chợ La Ngà 200m có hiện trạng là
P=1581 | X=0107.330-0243.080 | Y=0581.450-0592.690 | đường nhựa, bê tông xi măng:
P=1581 | X=0092.900-0338.880 | Y=0598.970-0613.050 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1581 | X=0448.250-0464.890 | Y=0603.730-0613.050 | 130
P=1581 | X=0505.390-0522.030 | Y=0603.730-0613.050 | 100
P=1581 | X=0107.330-0394.220 | Y=0616.270-0627.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1581 | X=0107.330-0168.450 | Y=0627.790-0639.030 | đến ≤1.000m.
P=1581 | X=0107.330-0330.500 | Y=0645.310-0656.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1581 | X=0107.330-0392.590 | Y=0663.310-0674.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1581 | X=0107.330-0373.150 | Y=0674.830-0686.070 | Quốc lộ 20 đoạn từ Cách chợ La Ngà 200m có hiện trạng là
P=1581 | X=0092.900-0243.080 | Y=0685.590-0697.590 | 56 đường nhựa, bê tông xi măng:
P=1581 | X=0454.010-0465.130 | Y=0685.590-0694.910 | 90
P=1581 | X=0511.150-0522.270 | Y=0685.590-0694.910 | 55
P=1581 | X=0107.330-0393.180 | Y=0703.890-0715.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1582 | X=0107.330-0330.970 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1582 | X=0179.350-0380.140 | Y=0096.740-0107.980 | Quốc lộ 20 (cà Quốc lộ 20 (Đoạn qua trường
P=1582 | X=0092.900-0154.140 | Y=0102.500-0113.740 | 57 Đường 4A
P=1582 | X=0448.250-0464.890 | Y=0104.380-0113.700 | 230
P=1582 | X=0505.390-0522.030 | Y=0104.380-0113.700 | 200
P=1582 | X=0179.350-0333.910 | Y=0110.140-0119.460 | phê Thu Hà) mầm non Hoa Mai)
P=1582 | X=0248.740-0391.870 | Y=0126.290-0137.530 | Hết ranh trạm y tế xã Túc Trưng
P=1582 | X=0092.900-0154.140 | Y=0132.050-0143.290 | 58 Đường 4A
P=1582 | X=0179.350-0227.910 | Y=0133.930-0143.250 | Quốc lộ 20
P=1582 | X=0448.250-0464.890 | Y=0133.930-0143.250 | 230
P=1582 | X=0505.390-0522.030 | Y=0133.930-0143.250 | 200
P=1582 | X=0248.740-0266.020 | Y=0137.810-0149.050 | (cũ)
P=1582 | X=0107.330-0384.190 | Y=0155.810-0167.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 4A có
P=1582 | X=0107.330-0300.940 | Y=0167.330-0178.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=1582 | X=0092.900-0104.020 | Y=0180.970-0190.290 | 59
P=1582 | X=0448.250-0464.890 | Y=0180.970-0190.290 | 140
P=1582 | X=0505.390-0522.030 | Y=0180.970-0190.290 | 110
P=1582 | X=0107.330-0338.410 | Y=0184.850-0196.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1582 | X=0107.330-0384.500 | Y=0202.390-0213.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1582 | X=0107.330-0384.190 | Y=0220.390-0231.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 4A có
P=1582 | X=0107.330-0300.940 | Y=0231.670-0242.910 | hiện trạng là đường nhựa, bê tông xi măng:
P=1582 | X=0107.330-0338.880 | Y=0249.190-0260.430 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1582 | X=0092.900-0104.020 | Y=0259.950-0269.270 | 60
P=1582 | X=0448.250-0464.890 | Y=0259.950-0269.270 | 110
P=1582 | X=0511.150-0522.270 | Y=0259.950-0269.270 | 70
P=1582 | X=0107.330-0394.220 | Y=0266.710-0277.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1582 | X=0107.330-0168.450 | Y=0278.230-0289.470 | đến ≤1.000m.
P=1582 | X=0107.330-0330.500 | Y=0295.780-0307.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1582 | X=0107.330-0384.190 | Y=0313.780-0325.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 4A có
P=1582 | X=0107.330-0300.940 | Y=0325.300-0336.540 | hiện trạng là đường nhựa, bê tông xi măng:
P=1582 | X=0092.900-0104.020 | Y=0338.940-0348.260 | 61
P=1582 | X=0454.010-0465.130 | Y=0338.940-0348.260 | 70
P=1582 | X=0511.150-0522.270 | Y=0338.940-0348.260 | 40
P=1582 | X=0107.330-0393.120 | Y=0342.820-0354.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1582 | X=0107.330-0330.970 | Y=0360.340-0371.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1582 | X=0107.330-0392.590 | Y=0378.360-0389.600 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1582 | X=0107.330-0363.370 | Y=0389.880-0401.120 | Đường 4A có hiện trạng là đường nhựa, bê tông xi măng:
P=1582 | X=0092.900-0104.020 | Y=0403.520-0412.840 | 62
P=1582 | X=0448.250-0464.890 | Y=0403.520-0412.840 | 140
P=1582 | X=0505.390-0522.030 | Y=0403.520-0412.840 | 110
P=1582 | X=0107.330-0338.410 | Y=0407.400-0418.640 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1582 | X=0107.330-0384.500 | Y=0424.920-0436.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1582 | X=0107.330-0392.590 | Y=0442.920-0454.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1582 | X=0107.330-0363.370 | Y=0454.220-0465.460 | Đường 4A có hiện trạng là đường nhựa, bê tông xi măng:
P=1582 | X=0107.330-0338.880 | Y=0471.740-0482.980 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1582 | X=0092.900-0104.020 | Y=0482.500-0491.820 | 63
P=1582 | X=0448.250-0464.890 | Y=0482.500-0491.820 | 110
P=1582 | X=0511.150-0522.270 | Y=0482.500-0491.820 | 70
P=1582 | X=0107.330-0394.220 | Y=0489.260-0500.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1582 | X=0107.330-0168.450 | Y=0500.780-0512.020 | đến ≤1.000m.
P=1582 | X=0107.330-0330.500 | Y=0518.300-0529.540 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1582 | X=0107.330-0392.620 | Y=0536.330-0547.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1582 | X=0107.330-0363.370 | Y=0547.850-0559.090 | Đường 4A có hiện trạng là đường nhựa, bê tông xi măng:
P=1582 | X=0092.900-0104.020 | Y=0561.490-0570.810 | 64
P=1582 | X=0454.010-0465.130 | Y=0561.490-0570.810 | 70
P=1582 | X=0511.150-0522.270 | Y=0561.490-0570.810 | 40
P=1582 | X=0107.330-0393.120 | Y=0565.370-0576.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1582 | X=0107.330-0330.970 | Y=0582.890-0594.130 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1582 | X=0179.350-0227.910 | Y=0602.770-0612.090 | Quốc lộ 20
P=1582 | X=0092.900-0154.140 | Y=0612.410-0623.650 | 65 Đường 2A
P=1582 | X=0179.350-0347.650 | Y=0612.410-0623.650 | (cây xăng Tín Đấu nối với đường 4A
P=1582 | X=0448.250-0464.890 | Y=0614.290-0623.610 | 230
P=1582 | X=0505.390-0522.030 | Y=0614.290-0623.610 | 200
