TABLE=005 | AREA=Phường Trảng Dài | SECTION=agricultural | SEGMENTS=1
P=0172 | X=0445.610-0462.250 | Y=0212.190-0221.510 | 660
P=0172 | X=0505.390-0522.030 | Y=0212.190-0221.510 | 440
P=0172 | X=0115.490-0421.910 | Y=0224.710-0235.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0172 | X=0115.490-0149.010 | Y=0236.230-0247.470 | ≤600m.
P=0172 | X=0115.490-0338.660 | Y=0253.750-0264.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0172 | X=0115.490-0408.870 | Y=0271.750-0282.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768B
P=0172 | X=0115.490-0406.300 | Y=0283.300-0294.540 | đoạn từ Đường Thân Nhân Trung đến Đường Hoàng Văn Bổn có
P=0172 | X=0115.490-0309.100 | Y=0294.820-0306.060 | hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0097.010-0108.130 | Y=0302.700-0312.020 | 67
P=0172 | X=0445.610-0462.250 | Y=0302.700-0312.020 | 520
P=0172 | X=0505.390-0522.030 | Y=0302.700-0312.020 | 350
P=0172 | X=0115.490-0392.920 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0172 | X=0115.490-0339.130 | Y=0329.860-0341.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0172 | X=0115.490-0400.750 | Y=0347.860-0359.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0172 | X=0115.490-0399.110 | Y=0359.380-0370.620 | Đường tỉnh 768B đoạn từ Đường Thân Nhân Trung đến Đường
P=0172 | X=0115.490-0395.790 | Y=0370.920-0382.160 | Hoàng Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0097.010-0108.130 | Y=0378.800-0388.120 | 68
P=0172 | X=0445.610-0462.250 | Y=0378.800-0388.120 | 780
P=0172 | X=0505.390-0522.030 | Y=0378.800-0388.120 | 510
P=0172 | X=0115.490-0338.400 | Y=0388.200-0399.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0172 | X=0115.490-0392.680 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0172 | X=0115.490-0400.750 | Y=0423.720-0434.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0172 | X=0115.490-0399.110 | Y=0435.240-0446.480 | Đường tỉnh 768B đoạn từ Đường Thân Nhân Trung đến Đường
P=0172 | X=0115.490-0395.790 | Y=0446.760-0458.000 | Hoàng Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0097.010-0338.660 | Y=0464.300-0478.620 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0172 | X=0445.610-0462.250 | Y=0469.300-0478.620 | 660
P=0172 | X=0505.390-0522.030 | Y=0469.300-0478.620 | 440
P=0172 | X=0115.490-0421.910 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0172 | X=0115.490-0149.010 | Y=0493.340-0504.580 | ≤600m.
P=0172 | X=0115.490-0338.660 | Y=0510.860-0522.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0172 | X=0115.490-0400.750 | Y=0528.860-0540.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0172 | X=0115.490-0399.110 | Y=0540.410-0551.650 | Đường tỉnh 768B đoạn từ Đường Thân Nhân Trung đến Đường
P=0172 | X=0115.490-0395.790 | Y=0551.930-0563.170 | Hoàng Văn Bổn có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0097.010-0108.140 | Y=0559.810-0569.130 | 70
P=0172 | X=0445.610-0462.250 | Y=0559.810-0569.130 | 520
P=0172 | X=0505.390-0522.030 | Y=0559.810-0569.130 | 350
P=0172 | X=0115.490-0392.920 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0172 | X=0115.490-0341.800 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0172 | X=0115.490-0164.280 | Y=0604.970-0616.210 | Đường Bùi
P=0172 | X=0306.840-0420.460 | Y=0604.970-0616.210 | Ngã ba cây xăng khu phố
P=0172 | X=0179.590-0261.780 | Y=0610.490-0621.730 | Đường Đồng Khởi
P=0172 | X=0097.010-0108.130 | Y=0612.370-0621.690 | 71
P=0172 | X=0437.450-0462.500 | Y=0612.370-0621.690 | 1.200
P=0172 | X=0505.390-0522.030 | Y=0612.370-0621.690 | 770
P=0172 | X=0115.490-0171.250 | Y=0616.270-0627.510 | Trọng Nghĩa
P=0172 | X=0306.840-0403.660 | Y=0616.270-0627.510 | 3 - phường Trảng Dài
P=0172 | X=0115.490-0410.150 | Y=0634.270-0645.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Trọng
P=0172 | X=0115.490-0414.620 | Y=0645.790-0657.030 | Nghĩa đoạn từ Đường Đồng Khởi đến Ngã ba cây xăng khu phố 3 -
P=0172 | X=0115.490-0407.310 | Y=0657.310-0668.550 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0172 | X=0097.010-0108.130 | Y=0665.190-0674.510 | 72
P=0172 | X=0445.610-0462.250 | Y=0665.190-0674.510 | 780
P=0172 | X=0505.390-0522.030 | Y=0665.190-0674.510 | 510
P=0172 | X=0115.490-0338.400 | Y=0674.830-0686.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0172 | X=0115.490-0392.680 | Y=0692.350-0703.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0173 | X=0115.490-0410.150 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Trọng
P=0173 | X=0115.490-0414.620 | Y=0090.260-0101.500 | Nghĩa đoạn từ Đường Đồng Khởi đến Ngã ba cây xăng khu phố 3 -
P=0173 | X=0115.490-0407.310 | Y=0101.780-0113.020 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0097.010-0338.660 | Y=0119.330-0133.410 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0173 | X=0445.610-0462.250 | Y=0124.090-0133.410 | 660
P=0173 | X=0505.390-0522.030 | Y=0124.090-0133.410 | 440
P=0173 | X=0115.490-0421.910 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0173 | X=0115.490-0149.010 | Y=0148.370-0159.610 | ≤600m.
P=0173 | X=0115.490-0341.530 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông ≤ 200m.
P=0173 | X=0115.490-0410.150 | Y=0183.650-0194.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Trọng
P=0173 | X=0115.490-0416.300 | Y=0195.170-0206.410 | Nghĩa đoạn từ Đường Đồng Khởi đến Ngã ba cây xăng Khu phố 3 -
P=0173 | X=0115.490-0407.340 | Y=0206.710-0217.950 | phường Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0097.010-0108.130 | Y=0214.590-0223.910 | 74
P=0173 | X=0445.610-0462.250 | Y=0214.590-0223.910 | 520
P=0173 | X=0505.390-0522.030 | Y=0214.590-0223.910 | 350
P=0173 | X=0115.490-0392.920 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0173 | X=0115.490-0339.130 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0173 | X=0115.490-0400.750 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0173 | X=0115.490-0417.740 | Y=0271.270-0282.510 | Đường Bùi Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã ba cây
P=0173 | X=0115.490-0423.580 | Y=0282.820-0294.060 | xăng Khu phố 3 - phường Trảng Dài có hiện trạng là đường nhựa, bê
P=0173 | X=0097.010-0175.650 | Y=0294.340-0305.780 | 75 tông xi măng:
P=0173 | X=0445.610-0462.250 | Y=0296.460-0305.780 | 780
P=0173 | X=0505.390-0522.030 | Y=0296.460-0305.780 | 510
P=0173 | X=0115.490-0338.400 | Y=0311.860-0323.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0173 | X=0115.490-0392.680 | Y=0329.380-0340.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0173 | X=0115.490-0400.750 | Y=0347.380-0358.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0173 | X=0115.490-0417.730 | Y=0358.900-0370.140 | Đường Bùi Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã ba cây
P=0173 | X=0115.490-0421.900 | Y=0370.200-0381.440 | xăng khu phố 3 - phường Trảng Dài có hiện trạng là đường nhựa, bê
P=0173 | X=0115.490-0175.650 | Y=0381.720-0392.960 | tông xi măng:
P=0173 | X=0097.010-0338.660 | Y=0398.480-0410.480 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0173 | X=0445.610-0462.250 | Y=0398.480-0407.800 | 660
P=0173 | X=0505.390-0522.030 | Y=0398.480-0407.800 | 440
P=0173 | X=0115.490-0421.910 | Y=0416.760-0428.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0173 | X=0115.490-0149.010 | Y=0428.280-0439.520 | ≤600m.
P=0173 | X=0115.490-0338.660 | Y=0445.800-0457.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0173 | X=0115.490-0400.750 | Y=0463.820-0475.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0173 | X=0115.490-0417.730 | Y=0475.340-0486.580 | Đường Bùi Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã ba cây
P=0173 | X=0115.490-0421.900 | Y=0486.860-0498.100 | xăng khu phố 3 - phường Trảng Dài có hiện trạng là đường nhựa, bê
P=0173 | X=0097.010-0175.650 | Y=0498.380-0509.820 | 77 tông xi măng:
P=0173 | X=0445.610-0462.250 | Y=0500.500-0509.820 | 520
P=0173 | X=0505.390-0522.030 | Y=0500.500-0509.820 | 350
P=0173 | X=0115.490-0392.920 | Y=0515.900-0527.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0173 | X=0115.490-0341.780 | Y=0533.450-0544.690 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0173 | X=0115.490-0164.280 | Y=0551.450-0562.690 | Đường Bùi
P=0173 | X=0179.590-0412.550 | Y=0557.210-0568.450 | Ngã ba cây xăng Khu phố 3 Đường Nguyễn Khuyến
P=0173 | X=0097.010-0108.130 | Y=0559.090-0568.410 | 78
P=0173 | X=0437.450-0462.490 | Y=0559.090-0568.410 | 1.200
P=0173 | X=0505.390-0522.030 | Y=0559.090-0568.410 | 770
P=0173 | X=0115.490-0171.250 | Y=0562.970-0574.210 | Trọng Nghĩa
P=0173 | X=0115.490-0410.150 | Y=0580.970-0592.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Trọng
P=0173 | X=0115.490-0395.030 | Y=0592.250-0603.490 | Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến Đường Nguyễn
P=0173 | X=0115.490-0359.060 | Y=0603.770-0615.010 | Khuyến có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0097.010-0108.130 | Y=0611.650-0620.970 | 79
P=0173 | X=0445.610-0462.250 | Y=0611.650-0620.970 | 780
P=0173 | X=0505.390-0522.030 | Y=0611.650-0620.970 | 510
P=0173 | X=0115.490-0338.400 | Y=0621.310-0632.550 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0173 | X=0115.490-0392.680 | Y=0638.830-0650.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0173 | X=0115.490-0410.150 | Y=0656.830-0668.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Trọng
P=0173 | X=0115.490-0395.030 | Y=0668.350-0679.590 | Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến Đường Nguyễn
P=0173 | X=0097.010-0359.060 | Y=0679.110-0691.110 | 80 Khuyến có hiện trạng là đường nhựa, bê tông xi măng:
P=0173 | X=0445.610-0462.250 | Y=0679.110-0688.430 | 660
P=0173 | X=0505.390-0522.030 | Y=0679.110-0688.430 | 440
P=0173 | X=0115.490-0338.660 | Y=0697.390-0708.630 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0174 | X=0115.490-0421.910 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0174 | X=0115.490-0149.010 | Y=0090.260-0101.500 | ≤600m.
P=0174 | X=0115.490-0338.660 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0174 | X=0115.490-0410.150 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Trọng
P=0174 | X=0115.490-0395.030 | Y=0137.330-0148.570 | Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến Đường Nguyễn
P=0174 | X=0115.490-0359.080 | Y=0148.850-0160.090 | Khuyến có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0097.010-0108.130 | Y=0156.730-0166.050 | 81
P=0174 | X=0445.610-0462.250 | Y=0156.730-0166.050 | 520
P=0174 | X=0505.390-0522.030 | Y=0156.730-0166.050 | 350
P=0174 | X=0115.490-0392.920 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0174 | X=0115.490-0339.130 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0174 | X=0115.490-0400.750 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0174 | X=0115.490-0403.910 | Y=0213.190-0224.430 | Đường Bùi Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến
P=0174 | X=0115.490-0400.270 | Y=0224.710-0235.950 | Đường Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi
P=0174 | X=0097.010-0143.490 | Y=0236.230-0247.670 | 82 măng:
P=0174 | X=0445.610-0462.250 | Y=0238.350-0247.670 | 780
P=0174 | X=0505.390-0522.030 | Y=0238.350-0247.670 | 510
P=0174 | X=0115.490-0338.400 | Y=0253.750-0264.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0174 | X=0115.490-0392.680 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0174 | X=0115.490-0400.750 | Y=0289.300-0300.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0174 | X=0115.490-0403.910 | Y=0300.820-0312.060 | Đường Bùi Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến
P=0174 | X=0115.490-0400.270 | Y=0312.340-0323.580 | Đường Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi
P=0174 | X=0115.490-0143.490 | Y=0323.860-0335.100 | măng:
P=0174 | X=0097.010-0338.660 | Y=0340.380-0352.620 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0174 | X=0445.610-0462.250 | Y=0340.380-0349.700 | 660
P=0174 | X=0505.390-0522.030 | Y=0340.380-0349.700 | 440
P=0174 | X=0115.490-0421.910 | Y=0358.900-0370.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0174 | X=0115.490-0149.010 | Y=0370.200-0381.440 | ≤600m.
P=0174 | X=0115.490-0341.530 | Y=0387.720-0398.960 | - Có bề rộng <3m, cách đường giao thông ≤ 200m.
P=0174 | X=0115.490-0400.750 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0174 | X=0115.490-0403.910 | Y=0417.240-0428.480 | Đường Bùi Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến
P=0174 | X=0115.490-0400.270 | Y=0428.760-0440.000 | Đường Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi
P=0174 | X=0097.010-0143.490 | Y=0440.280-0451.720 | 84 măng:
P=0174 | X=0445.610-0462.250 | Y=0442.400-0451.720 | 520
P=0174 | X=0505.390-0522.030 | Y=0442.400-0451.720 | 350
P=0174 | X=0115.490-0392.920 | Y=0457.820-0469.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0174 | X=0115.490-0341.780 | Y=0475.340-0486.580 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0174 | X=0115.490-0170.790 | Y=0493.340-0504.580 | Đường Trần
P=0174 | X=0315.240-0423.280 | Y=0493.340-0504.580 | Đường D2 - Khu dân cư
P=0174 | X=0182.710-0290.100 | Y=0499.100-0510.340 | Đường Bùi Trọng Nghĩa
P=0174 | X=0097.010-0108.130 | Y=0500.980-0510.300 | 85
P=0174 | X=0437.450-0462.500 | Y=0500.980-0510.300 | 1.200
P=0174 | X=0505.390-0522.030 | Y=0500.980-0510.300 | 770
P=0174 | X=0115.490-0148.210 | Y=0504.860-0516.100 | Văn Xã
P=0174 | X=0315.240-0359.940 | Y=0506.740-0516.060 | Phú Gia 2
P=0174 | X=0115.490-0422.860 | Y=0522.860-0534.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn Xã
P=0174 | X=0115.490-0410.830 | Y=0534.410-0545.650 | đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2 - Khu dân cư Phú
P=0174 | X=0115.490-0348.970 | Y=0545.930-0557.170 | Gia 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0097.010-0108.130 | Y=0553.810-0563.130 | 86
P=0174 | X=0445.610-0462.250 | Y=0553.810-0563.130 | 780
P=0174 | X=0505.390-0522.030 | Y=0553.810-0563.130 | 510
P=0174 | X=0115.490-0338.400 | Y=0563.450-0574.690 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0174 | X=0115.490-0392.680 | Y=0580.970-0592.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0174 | X=0115.490-0422.860 | Y=0598.970-0610.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn Xã
P=0174 | X=0115.490-0410.830 | Y=0610.250-0621.490 | đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2 - Khu dân cư Phú
P=0174 | X=0115.490-0348.970 | Y=0621.790-0633.030 | Gia 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=0174 | X=0097.010-0338.660 | Y=0639.310-0653.630 | 87 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0174 | X=0445.610-0462.250 | Y=0644.310-0653.630 | 660
P=0174 | X=0505.390-0522.030 | Y=0644.310-0653.630 | 440
P=0174 | X=0115.490-0421.910 | Y=0656.830-0668.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0174 | X=0115.490-0149.010 | Y=0668.350-0679.590 | ≤600m.
P=0174 | X=0115.490-0338.660 | Y=0685.870-0697.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0174 | X=0097.010-0422.860 | Y=0703.890-0715.130 | 88 Các tuyến đường giao thúng đấu nối trực tiếp ra Đường Trần Văn Xã
P=0174 | X=0445.610-0462.250 | Y=0705.780-0715.100 | 520
P=0174 | X=0505.390-0522.030 | Y=0705.780-0715.100 | 350
P=0175 | X=0115.490-0410.830 | Y=0072.740-0083.980 | đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2 - Khu dân cư Phú
P=0175 | X=0115.490-0348.970 | Y=0084.260-0095.500 | Gia 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=0175 | X=0115.490-0392.920 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0175 | X=0115.490-0339.130 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0175 | X=0115.490-0400.750 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0175 | X=0115.490-0422.860 | Y=0148.850-0160.090 | Đường Trần Văn Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2
P=0175 | X=0115.490-0399.790 | Y=0160.370-0171.610 | - Khu dân cư Phú Gia 2 có hiện trạng là đường nhựa, bê tông xi
P=0175 | X=0097.010-0143.490 | Y=0171.650-0183.330 | 89 măng:
P=0175 | X=0445.610-0462.250 | Y=0174.010-0183.330 | 780
P=0175 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 510
P=0175 | X=0115.490-0338.400 | Y=0189.170-0200.410 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0175 | X=0115.490-0392.680 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0175 | X=0115.490-0400.750 | Y=0224.710-0235.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0175 | X=0115.490-0422.860 | Y=0236.230-0247.470 | Đường Trấn Văn Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2
P=0175 | X=0115.490-0399.790 | Y=0247.750-0258.990 | - Khu dân cư Phú Gia 2 có hiện trạng là đường nhựa, bê tông xi
P=0175 | X=0115.490-0143.490 | Y=0259.270-0270.510 | măng:
P=0175 | X=0097.010-0338.660 | Y=0275.790-0288.030 | 90 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0175 | X=0445.610-0462.250 | Y=0275.790-0285.110 | 660
P=0175 | X=0505.390-0522.030 | Y=0275.790-0285.110 | 440
P=0175 | X=0115.490-0421.910 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0175 | X=0115.490-0149.010 | Y=0305.860-0317.100 | ≤600m.
P=0175 | X=0115.490-0338.660 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0175 | X=0115.490-0400.750 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0175 | X=0115.490-0422.860 | Y=0352.900-0364.140 | Đường Trần Văn Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2
P=0175 | X=0115.490-0399.790 | Y=0364.180-0375.420 | - Khu dân cư Phú Gia 2 có hiện trạng là đường nhựa, bê tông xi
P=0175 | X=0097.010-0143.490 | Y=0375.720-0387.160 | 91 măng:
P=0175 | X=0445.610-0462.250 | Y=0377.840-0387.160 | 520
P=0175 | X=0505.390-0522.030 | Y=0377.840-0387.160 | 350
P=0175 | X=0115.490-0392.920 | Y=0393.240-0404.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0175 | X=0115.490-0341.780 | Y=0410.760-0422.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0175 | X=0115.490-0163.350 | Y=0428.760-0440.000 | Đường nối
P=0175 | X=0115.490-0176.790 | Y=0440.280-0451.520 | tiếp từ đường
P=0175 | X=0115.490-0171.730 | Y=0451.820-0463.060 | Trần Văn Xã
P=0175 | X=0322.680-0423.100 | Y=0453.700-0463.020 | Bên trái: hết ranh thửa
P=0175 | X=0115.490-0152.770 | Y=0463.340-0474.580 | qua Văn
P=0175 | X=0322.680-0415.660 | Y=0463.340-0474.580 | đất số 241, tờ BĐĐC
P=0175 | X=0182.710-0321.800 | Y=0469.100-0480.340 | Đường Trần Văn Xã (từ đường
P=0175 | X=0115.490-0165.030 | Y=0476.740-0486.060 | phòng KP4
P=0175 | X=0322.680-0410.700 | Y=0476.740-0486.060 | số 42; bên phải: hết
P=0175 | X=0182.710-0307.890 | Y=0480.620-0491.860 | Bùi Trọng Nghĩa đến đường
P=0175 | X=0097.010-0108.130 | Y=0482.500-0491.820 | 92
P=0175 | X=0437.450-0462.500 | Y=0482.500-0491.820 | 1.200
P=0175 | X=0505.390-0522.030 | Y=0482.500-0491.820 | 770
P=0175 | X=0115.490-0180.150 | Y=0486.380-0497.620 | phường Trảng
P=0175 | X=0322.680-0418.390 | Y=0486.380-0497.620 | ranh thửa đất số 262,
P=0175 | X=0182.710-0306.760 | Y=0492.140-0503.380 | D2 - Khu dân cư Phú Gia 2)
P=0175 | X=0115.490-0150.130 | Y=0497.900-0509.140 | Dài đến
P=0175 | X=0322.680-0393.190 | Y=0497.900-0509.140 | tờ BĐĐC số 42,
P=0175 | X=0115.490-0145.570 | Y=0509.420-0520.660 | đường
P=0175 | X=0322.680-0404.860 | Y=0509.420-0520.660 | phường Trảng Dài
P=0175 | X=0115.490-0172.200 | Y=0522.820-0532.140 | Nguyễn Thái
P=0175 | X=0115.490-0133.250 | Y=0534.100-0543.420 | Học
P=0175 | X=0115.490-0411.280 | Y=0550.250-0561.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối tiếp từ
P=0175 | X=0115.490-0401.260 | Y=0561.770-0573.010 | đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài đến
P=0175 | X=0115.490-0421.650 | Y=0573.290-0584.530 | đường Nguyễn Thái Học đoạn từ Đường Trần Văn Xã (từ đường Bùi
P=0175 | X=0115.490-0409.720 | Y=0584.810-0596.050 | Trọng Nghĩa đến đường D2 - Khu dân cư Phú Gia 2) đến Bên trái:
P=0175 | X=0115.490-0412.550 | Y=0596.330-0607.570 | Hết ranh, thửa đất số 241, tờ BĐĐC số 42; bên phải: hết ranh thửa
P=0175 | X=0097.010-0108.130 | Y=0604.210-0613.530 | 93
P=0175 | X=0445.610-0462.250 | Y=0604.210-0613.530 | 780
P=0175 | X=0505.390-0522.030 | Y=0604.210-0613.530 | 510
P=0175 | X=0115.490-0391.890 | Y=0607.850-0619.090 | đất số 262, tờ BĐĐC số 42 phường Trảng Dài có hiện trạng là
P=0175 | X=0115.490-0251.260 | Y=0619.390-0630.630 | đường nhựa, bê tông xi măng:
P=0175 | X=0115.490-0338.400 | Y=0636.910-0648.150 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0175 | X=0115.490-0392.680 | Y=0654.430-0665.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0175 | X=0115.490-0411.280 | Y=0672.430-0683.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối tiếp từ
P=0175 | X=0115.490-0401.260 | Y=0683.950-0695.190 | đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài đến
P=0175 | X=0097.010-0108.130 | Y=0691.590-0700.910 | 94
P=0175 | X=0445.610-0462.250 | Y=0691.590-0700.910 | 660
P=0175 | X=0505.390-0522.030 | Y=0691.590-0700.910 | 440
P=0175 | X=0115.490-0407.500 | Y=0695.470-0706.710 | đường Nguyễn Thái Học đoạn từ Đường Trần, Văn Xã (từ đường
P=0175 | X=0115.490-0407.500 | Y=0706.770-0718.010 | Bùi Trọng Nghĩa đến đường D2 - Khu dân cư Phú Gia 2) đến Bên
P=0176 | X=0115.490-0405.820 | Y=0072.740-0083.980 | trái: Hết ranh thửa đất số 241, tờ BĐĐC số 42; bên phải: hết ranh
P=0176 | X=0115.490-0415.180 | Y=0084.260-0095.500 | thửa đất số 262, tờ BĐĐC số 42 phường Trảng Dài có hiện trạng là
P=0176 | X=0115.490-0251.260 | Y=0095.780-0107.020 | đường nhựa, bê tông xi măng:
P=0176 | X=0115.490-0338.660 | Y=0113.300-0124.540 | - Có bề rộng ≥5m, cách đường giao thông >600m.
