TABLE=015 | AREA=Xã Phước Thái | SECTION=agricultural | SEGMENTS=1
P=0453 | X=0096.530-0212.120 | Y=0562.970-0574.410 | 5 nhựa, bê tông xi măng:
P=0453 | X=0449.450-0466.090 | Y=0565.090-0574.410 | 500
P=0453 | X=0505.390-0522.030 | Y=0565.090-0574.410 | 450
P=0453 | X=0109.010-0340.090 | Y=0580.250-0591.490 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0453 | X=0109.010-0386.200 | Y=0597.770-0609.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0453 | X=0109.010-0394.270 | Y=0615.770-0627.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0453 | X=0109.010-0390.220 | Y=0627.310-0638.550 | Đường Lê Hồng Phong đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0453 | X=0109.010-0399.100 | Y=0638.830-0650.070 | Đường D15 khu dân cư HUD Nhơn Trạch có hiện trạng là đường
P=0453 | X=0109.010-0212.120 | Y=0650.350-0661.590 | nhựa, bê tông xi măng:
P=0453 | X=0096.530-0102.130 | Y=0658.230-0667.550 | 6
P=0453 | X=0449.450-0466.090 | Y=0658.230-0667.550 | 370
P=0453 | X=0505.390-0522.030 | Y=0658.230-0667.550 | 330
P=0453 | X=0109.010-0340.600 | Y=0667.870-0679.110 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0453 | X=0109.010-0395.900 | Y=0685.390-0696.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0453 | X=0109.010-0170.130 | Y=0696.910-0708.150 | đến ≤1.000m.
P=0454 | X=0109.010-0332.180 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0454 | X=0109.010-0394.270 | Y=0096.740-0107.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0454 | X=0109.010-0390.220 | Y=0108.260-0119.500 | Đường Lê Hồng Phong đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0454 | X=0109.010-0399.100 | Y=0119.810-0131.050 | Đường D15 khu dân cư HUD Nhơn Trạch có hiện trạng là đường
P=0454 | X=0096.530-0212.120 | Y=0131.330-0142.770 | 7 nhựa, bê tông xi măng:
P=0454 | X=0449.450-0466.090 | Y=0133.450-0142.770 | 250
P=0454 | X=0505.390-0522.030 | Y=0133.450-0142.770 | 220
P=0454 | X=0109.010-0394.820 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0454 | X=0109.010-0332.650 | Y=0166.370-0177.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0454 | X=0109.010-0189.510 | Y=0184.370-0195.610 | Đường Nguyễn Ái
P=0454 | X=0212.470-0303.810 | Y=0184.370-0195.610 | Đường Nguyễn Hữu
P=0454 | X=0312.840-0406.290 | Y=0190.130-0201.370 | Đường Trần Văn Trà
P=0454 | X=0096.530-0102.130 | Y=0192.010-0201.330 | 8
P=0454 | X=0449.450-0466.090 | Y=0192.010-0201.330 | 730
P=0454 | X=0505.390-0522.030 | Y=0192.010-0201.330 | 670
P=0454 | X=0109.010-0133.010 | Y=0197.530-0206.850 | Quốc
P=0454 | X=0212.470-0236.340 | Y=0197.530-0206.850 | Cảnh
P=0454 | X=0109.010-0406.300 | Y=0213.670-0224.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0454 | X=0109.010-0406.520 | Y=0225.190-0236.430 | Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Trà
P=0454 | X=0109.010-0315.870 | Y=0236.710-0247.950 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0454 | X=0096.530-0102.130 | Y=0244.590-0253.910 | 9
P=0454 | X=0449.450-0466.090 | Y=0244.590-0253.910 | 500
P=0454 | X=0505.390-0522.030 | Y=0244.590-0253.910 | 450
P=0454 | X=0109.010-0340.090 | Y=0254.230-0265.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0454 | X=0109.010-0386.220 | Y=0271.750-0282.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0454 | X=0109.010-0406.300 | Y=0289.780-0301.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0454 | X=0109.010-0406.520 | Y=0301.300-0312.540 | Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Trà
P=0454 | X=0109.010-0315.870 | Y=0312.820-0324.060 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0454 | X=0093.620-0340.560 | Y=0330.340-0344.420 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0454 | X=0449.450-0466.090 | Y=0335.100-0344.420 | 370
P=0454 | X=0505.390-0522.030 | Y=0335.100-0344.420 | 330
P=0454 | X=0109.010-0395.900 | Y=0347.860-0359.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0454 | X=0109.010-0170.130 | Y=0359.380-0370.620 | đến ≤1.000m.
P=0454 | X=0109.010-0332.180 | Y=0376.920-0388.160 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0454 | X=0109.010-0406.300 | Y=0394.920-0406.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0454 | X=0109.010-0406.520 | Y=0406.200-0417.440 | Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Trà
P=0454 | X=0109.010-0315.860 | Y=0417.720-0428.960 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0454 | X=0093.620-0104.740 | Y=0425.600-0434.920 | 11
P=0454 | X=0449.450-0466.090 | Y=0425.600-0434.920 | 250
P=0454 | X=0505.390-0522.030 | Y=0425.600-0434.920 | 220
P=0454 | X=0109.010-0394.820 | Y=0435.240-0446.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0454 | X=0109.010-0332.650 | Y=0452.780-0464.020 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0454 | X=0109.010-0394.270 | Y=0470.780-0482.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0454 | X=0109.010-0393.580 | Y=0482.300-0493.540 | Đường Nguyễn Ái Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0454 | X=0109.010-0412.120 | Y=0493.820-0505.060 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0454 | X=0093.620-0104.740 | Y=0501.700-0511.020 | 12
P=0454 | X=0449.450-0466.090 | Y=0501.700-0511.020 | 500
P=0454 | X=0505.390-0522.030 | Y=0501.700-0511.020 | 450
P=0454 | X=0109.010-0340.090 | Y=0511.340-0522.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0454 | X=0109.010-0386.220 | Y=0528.860-0540.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0454 | X=0109.010-0394.270 | Y=0546.890-0558.130 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0454 | X=0109.010-0393.580 | Y=0558.410-0569.650 | Đường Nguyễn Ái Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0454 | X=0109.010-0412.110 | Y=0569.930-0581.170 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0454 | X=0093.620-0340.560 | Y=0587.450-0601.530 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0454 | X=0449.450-0466.090 | Y=0592.210-0601.530 | 370
P=0454 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 330
P=0454 | X=0109.010-0395.900 | Y=0604.970-0616.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0454 | X=0109.010-0170.130 | Y=0616.270-0627.510 | đến ≤1.000m.
P=0454 | X=0109.010-0332.180 | Y=0633.790-0645.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0454 | X=0109.010-0394.270 | Y=0651.790-0663.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0454 | X=0109.010-0393.580 | Y=0663.310-0674.550 | Đường Nguyễn Ái Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0454 | X=0093.620-0412.110 | Y=0674.070-0686.070 | 14 Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0454 | X=0449.450-0466.090 | Y=0674.070-0683.390 | 250
P=0454 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 220
P=0454 | X=0109.010-0394.820 | Y=0692.350-0703.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0455 | X=0109.010-0332.650 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0455 | X=0109.010-0189.510 | Y=0096.740-0107.980 | Đường Quách Thị
P=0455 | X=0211.750-0293.700 | Y=0102.500-0113.740 | Đường Lý Thái Tổ
P=0455 | X=0312.840-0406.290 | Y=0102.500-0113.740 | Đường Trần Văn Trà
P=0455 | X=0093.620-0104.740 | Y=0104.380-0113.700 | 15
P=0455 | X=0449.450-0466.090 | Y=0104.380-0113.700 | 730
P=0455 | X=0505.390-0522.030 | Y=0104.380-0113.700 | 670
P=0455 | X=0109.010-0135.250 | Y=0110.140-0119.460 | Trang
P=0455 | X=0109.010-0406.300 | Y=0126.290-0137.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quách Thị
P=0455 | X=0109.010-0407.750 | Y=0137.810-0149.050 | Trang đoạn từ Đường Lý Thái Tổ đến Đường Trần Văn Trà có hiện
P=0455 | X=0109.010-0280.790 | Y=0149.330-0160.570 | trạng là đường nhựa, bê tông xi măng:
P=0455 | X=0093.620-0104.740 | Y=0157.210-0166.530 | 16
P=0455 | X=0449.450-0466.090 | Y=0157.210-0166.530 | 500
P=0455 | X=0505.390-0522.030 | Y=0157.210-0166.530 | 450
P=0455 | X=0109.010-0340.090 | Y=0166.850-0178.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0455 | X=0109.010-0386.200 | Y=0184.370-0195.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0455 | X=0109.010-0406.300 | Y=0202.390-0213.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quách Thị
P=0455 | X=0109.010-0407.750 | Y=0213.670-0224.910 | Trang đoạn từ Đường Lý Thái Tổ đến Đường Trần Văn Trà có hiện
P=0455 | X=0109.010-0280.790 | Y=0225.190-0236.430 | trạng là đường nhựa, bê tông xi măng:
P=0455 | X=0093.620-0340.560 | Y=0242.710-0257.030 | 17 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0455 | X=0449.450-0466.090 | Y=0247.710-0257.030 | 370
P=0455 | X=0505.390-0522.030 | Y=0247.710-0257.030 | 330
P=0455 | X=0109.010-0395.900 | Y=0260.230-0271.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0455 | X=0109.010-0170.130 | Y=0271.750-0282.990 | đến ≤1.000m.
P=0455 | X=0109.010-0332.180 | Y=0289.300-0300.540 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0455 | X=0109.010-0406.300 | Y=0307.300-0318.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quách Thị
P=0455 | X=0109.010-0407.750 | Y=0318.820-0330.060 | Trang đoạn từ Đường Lý Thái Tổ đến Đường Trần Văn Trà có hiện
P=0455 | X=0109.010-0280.790 | Y=0330.340-0341.580 | trạng là đường nhựa, bê tông xi măng:
P=0455 | X=0093.620-0104.740 | Y=0338.220-0347.540 | 18
P=0455 | X=0449.450-0466.090 | Y=0338.220-0347.540 | 250
P=0455 | X=0505.390-0522.030 | Y=0338.220-0347.540 | 220
P=0455 | X=0109.010-0394.820 | Y=0347.860-0359.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0455 | X=0109.010-0332.680 | Y=0365.400-0376.640 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0455 | X=0109.010-0394.270 | Y=0383.400-0394.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0455 | X=0109.010-0394.310 | Y=0394.920-0406.160 | Đường Quách Thị Trang đoạn từ Đường Lý Thái Tổ đến Đường
P=0455 | X=0109.010-0377.790 | Y=0406.200-0417.440 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0455 | X=0093.620-0104.740 | Y=0414.080-0423.400 | 19
P=0455 | X=0449.450-0466.090 | Y=0414.080-0423.400 | 500
P=0455 | X=0505.390-0522.030 | Y=0414.080-0423.400 | 450
P=0455 | X=0109.010-0340.090 | Y=0423.720-0434.960 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0455 | X=0109.010-0386.200 | Y=0441.240-0452.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0455 | X=0109.010-0394.270 | Y=0459.260-0470.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0455 | X=0109.010-0394.310 | Y=0470.780-0482.020 | Đường Quách Thị Trang đoạn từ Đường Lý Thái Tổ đến Đường
P=0455 | X=0109.010-0377.790 | Y=0482.300-0493.540 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0455 | X=0093.620-0340.560 | Y=0499.820-0514.140 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0455 | X=0449.450-0466.090 | Y=0504.820-0514.140 | 370
P=0455 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 330
P=0455 | X=0109.010-0395.900 | Y=0517.340-0528.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0455 | X=0109.010-0170.130 | Y=0528.860-0540.100 | đến ≤1.000m.
P=0455 | X=0109.010-0332.180 | Y=0546.410-0557.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0455 | X=0109.010-0394.270 | Y=0564.410-0575.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0455 | X=0109.010-0394.310 | Y=0575.930-0587.170 | Đường Quách Thị Trang đoạn từ Đường Lý Thái Tổ đến Đường
P=0455 | X=0109.010-0377.790 | Y=0587.450-0598.690 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0455 | X=0093.620-0104.740 | Y=0595.330-0604.650 | 21
P=0455 | X=0449.450-0466.090 | Y=0595.330-0604.650 | 250
P=0455 | X=0505.390-0522.030 | Y=0595.330-0604.650 | 220
P=0455 | X=0109.010-0394.820 | Y=0604.970-0616.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0455 | X=0109.010-0332.650 | Y=0622.270-0633.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0455 | X=0109.010-0300.690 | Y=0640.270-0651.510 | Đường ấp 3- Khu Bàu Trạm xăng dầu Bảo
P=0455 | X=0312.840-0395.250 | Y=0646.030-0657.270 | Đường Vành đai 3
P=0455 | X=0093.620-0104.740 | Y=0647.910-0657.230 | 22
P=0455 | X=0449.450-0466.090 | Y=0647.910-0657.230 | 600
P=0455 | X=0505.390-0522.030 | Y=0647.910-0657.230 | 530
P=0455 | X=0109.010-0235.840 | Y=0651.790-0663.030 | Sen xã Phú Thạnh cũ Uyên
P=0455 | X=0109.010-0403.660 | Y=0669.790-0681.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3- Khu
P=0455 | X=0093.620-0399.340 | Y=0681.310-0692.550 | 23 Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu Bảo Uyên đến
P=0455 | X=0449.450-0466.090 | Y=0683.190-0692.510 | 400
P=0455 | X=0505.390-0522.030 | Y=0683.190-0692.510 | 360
P=0455 | X=0109.010-0400.830 | Y=0692.830-0704.070 | Đường Vành đai 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0456 | X=0109.010-0340.100 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0456 | X=0109.010-0386.200 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0456 | X=0109.010-0403.660 | Y=0114.290-0125.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3- Khu
P=0456 | X=0109.010-0399.340 | Y=0125.810-0137.050 | Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu Bảo Uyên đến
P=0456 | X=0109.010-0400.840 | Y=0137.330-0148.570 | Đường Vành đai 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0456 | X=0093.620-0340.560 | Y=0154.850-0168.930 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0456 | X=0449.450-0466.090 | Y=0159.610-0168.930 | 290
P=0456 | X=0505.390-0522.030 | Y=0159.610-0168.930 | 250
P=0456 | X=0109.010-0395.900 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0456 | X=0109.010-0170.160 | Y=0183.650-0194.890 | đến ≤1.000m.
P=0456 | X=0109.010-0332.180 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0456 | X=0109.010-0403.660 | Y=0219.190-0230.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3- Khu
P=0456 | X=0109.010-0399.340 | Y=0230.710-0241.950 | Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu Bảo Uyên đến
P=0456 | X=0109.010-0400.830 | Y=0242.230-0253.470 | Đường Vành đai 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0456 | X=0093.620-0104.740 | Y=0250.110-0259.430 | 25
P=0456 | X=0449.450-0466.090 | Y=0250.110-0259.430 | 180
P=0456 | X=0505.390-0522.030 | Y=0250.110-0259.430 | 180
P=0456 | X=0109.010-0394.820 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0456 | X=0109.010-0332.650 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0456 | X=0109.010-0394.270 | Y=0295.300-0306.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0456 | X=0109.010-0413.740 | Y=0306.820-0318.060 | Đường ấp 3- Khu Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu
P=0456 | X=0109.010-0404.140 | Y=0318.340-0329.580 | Bảo Uyên đến Đường Vành đai 3 có hiện trạng là đường nhựa, bê
P=0456 | X=0093.620-0169.170 | Y=0329.860-0341.300 | 26 tông xi măng:
P=0456 | X=0449.450-0466.090 | Y=0331.980-0341.300 | 400
P=0456 | X=0505.390-0522.030 | Y=0331.980-0341.300 | 360
P=0456 | X=0109.010-0340.090 | Y=0347.380-0358.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0456 | X=0109.010-0386.200 | Y=0364.900-0376.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0456 | X=0109.010-0394.270 | Y=0382.920-0394.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0456 | X=0109.010-0413.740 | Y=0394.200-0405.440 | Đường ấp 3- Khu Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu
P=0456 | X=0109.010-0404.140 | Y=0405.720-0416.960 | Bảo Uyên đến Đường Vành đai 3 có hiện trạng là đường nhựa, bê
P=0456 | X=0109.010-0169.170 | Y=0417.240-0428.480 | tông xi măng:
P=0456 | X=0093.620-0340.560 | Y=0434.000-0446.000 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0456 | X=0449.450-0466.090 | Y=0434.000-0443.320 | 290
P=0456 | X=0505.390-0522.030 | Y=0434.000-0443.320 | 250
P=0456 | X=0109.010-0395.900 | Y=0452.300-0463.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0456 | X=0109.010-0170.160 | Y=0463.820-0475.060 | đến ≤1.000m.
P=0456 | X=0109.010-0332.180 | Y=0481.340-0492.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0456 | X=0109.010-0394.270 | Y=0499.340-0510.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0456 | X=0109.010-0413.740 | Y=0510.860-0522.100 | Đường ấp 3- Khu Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu
P=0456 | X=0109.010-0404.140 | Y=0522.380-0533.620 | Bảo Uyên đến Đường Vành đai 3 có hiện trạng là đường nhựa, bê
P=0456 | X=0093.620-0169.170 | Y=0533.930-0545.370 | 28 tông xi măng:
P=0456 | X=0449.450-0466.090 | Y=0536.050-0545.370 | 180
P=0456 | X=0505.390-0522.030 | Y=0536.050-0545.370 | 180
P=0456 | X=0109.010-0394.820 | Y=0551.450-0562.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0456 | X=0109.010-0332.650 | Y=0568.970-0580.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0456 | X=0212.470-0294.880 | Y=0588.850-0598.170 | Giáp ranh xã Long
P=0456 | X=0093.620-0190.950 | Y=0592.490-0603.730 | 29 Đường Lý Thái Tổ
P=0456 | X=0312.840-0392.380 | Y=0592.490-0603.730 | Cầu Phước Thiền
P=0456 | X=0449.450-0466.090 | Y=0594.370-0603.690 | 800
P=0456 | X=0505.390-0522.030 | Y=0594.370-0603.690 | 710
P=0456 | X=0212.470-0240.880 | Y=0600.130-0609.450 | Thành
P=0456 | X=0109.010-0407.500 | Y=0616.270-0627.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0456 | X=0109.010-0394.540 | Y=0627.790-0639.030 | đoạn từ Giáp ranh xã Long Thành đến cầu Phước Thiền có hiện
P=0456 | X=0109.010-0280.800 | Y=0639.310-0650.550 | trạng là đường nhựa, bê tông xi măng:
P=0456 | X=0093.620-0104.740 | Y=0647.190-0656.510 | 30
P=0456 | X=0449.450-0466.090 | Y=0647.190-0656.510 | 510
P=0456 | X=0505.390-0522.030 | Y=0647.190-0656.510 | 470
P=0456 | X=0109.010-0331.950 | Y=0656.830-0668.070 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0456 | X=0109.010-0386.220 | Y=0674.350-0685.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0456 | X=0109.010-0407.500 | Y=0692.350-0703.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0456 | X=0093.620-0104.740 | Y=0699.990-0709.310 | 31
P=0456 | X=0449.450-0466.090 | Y=0699.990-0709.310 | 420
P=0456 | X=0505.390-0522.030 | Y=0699.990-0709.310 | 380
P=0456 | X=0109.010-0394.540 | Y=0703.890-0715.130 | đoạn từ Giáp ranh xã Long Thành đến cầu Phước Thiền có hiện
P=0457 | X=0109.010-0280.790 | Y=0072.740-0083.980 | trạng là đường nhựa, bê tông xi măng:
P=0457 | X=0109.010-0332.180 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0457 | X=0109.010-0395.900 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0457 | X=0109.010-0161.970 | Y=0119.330-0130.570 | đến ≤600m.
P=0457 | X=0109.010-0332.180 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0457 | X=0109.010-0407.500 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lý Thái Tổ
P=0457 | X=0109.010-0394.540 | Y=0166.370-0177.610 | đoạn từ Giáp ranh xã Long Thành đến cầu Phước Thiền có hiện
P=0457 | X=0109.010-0280.790 | Y=0177.650-0188.890 | trạng là đường nhựa, bê tông xi măng:
P=0457 | X=0093.620-0104.740 | Y=0185.530-0194.850 | 32
P=0457 | X=0449.450-0466.090 | Y=0185.530-0194.850 | 310
P=0457 | X=0505.390-0522.030 | Y=0185.530-0194.850 | 260
P=0457 | X=0109.010-0386.440 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0457 | X=0109.010-0332.650 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0457 | X=0109.010-0394.270 | Y=0230.710-0241.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0457 | X=0109.010-0382.550 | Y=0242.230-0253.470 | Đường Lý Thái Tổ đoạn từ Giáp ranh xã Long Thành đến cầu
P=0457 | X=0109.010-0377.070 | Y=0253.750-0264.990 | Phước Thiền có hiện trạng là đường nhựa, bê tông xi măng:
P=0457 | X=0093.620-0104.740 | Y=0261.630-0270.950 | 33
P=0457 | X=0449.450-0466.090 | Y=0261.630-0270.950 | 510
P=0457 | X=0505.390-0522.030 | Y=0261.630-0270.950 | 470
P=0457 | X=0109.010-0331.920 | Y=0271.270-0282.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0457 | X=0109.010-0386.200 | Y=0288.820-0300.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0457 | X=0109.010-0394.270 | Y=0306.820-0318.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0457 | X=0109.010-0384.710 | Y=0318.340-0329.580 | Đường Lý Thái Tổ đoạn từ Giáp ranh xã Long Thành đến Cầu
P=0457 | X=0109.010-0377.070 | Y=0329.860-0341.100 | Phước Thiền có hiện trạng là đường nhựa, bê tông xi măng:
P=0457 | X=0093.620-0332.180 | Y=0347.380-0361.460 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0457 | X=0449.450-0466.090 | Y=0352.140-0361.460 | 420
P=0457 | X=0505.390-0522.030 | Y=0352.140-0361.460 | 380
P=0457 | X=0109.010-0395.900 | Y=0364.900-0376.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0457 | X=0109.010-0161.970 | Y=0376.200-0387.440 | đến ≤600m.
P=0457 | X=0109.010-0332.180 | Y=0393.720-0404.960 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0457 | X=0109.010-0394.270 | Y=0411.720-0422.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0457 | X=0109.010-0384.710 | Y=0423.240-0434.480 | Đường Lý Thái Tổ đoạn từ Giáp ranh xã Long Thành đến Cầu
P=0457 | X=0109.010-0377.070 | Y=0434.760-0446.000 | Phước Thiền có hiện trạng là đường nhựa, bê tông xi măng:
P=0457 | X=0093.620-0104.740 | Y=0442.640-0451.960 | 35
P=0457 | X=0449.450-0466.090 | Y=0442.640-0451.960 | 310
P=0457 | X=0505.390-0522.030 | Y=0442.640-0451.960 | 260
P=0457 | X=0109.010-0386.440 | Y=0452.300-0463.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0457 | X=0109.010-0332.680 | Y=0469.820-0481.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0457 | X=0312.840-0395.720 | Y=0487.820-0499.060 | Đường vào khu tái
P=0457 | X=0093.620-0190.950 | Y=0493.580-0504.820 | 36 Đường Lý Thái Tổ
P=0457 | X=0213.670-0293.220 | Y=0493.580-0504.820 | Cầu Phước Thiền
P=0457 | X=0449.450-0466.090 | Y=0495.460-0504.780 | 800
P=0457 | X=0505.390-0522.030 | Y=0495.460-0504.780 | 710
P=0457 | X=0312.840-0407.500 | Y=0499.340-0510.580 | định cư Phước Thiền
