TABLE=025 | AREA=Xã Xuân Hòa | SECTION=agricultural | SEGMENTS=1
P=0896 | X=0110.930-0407.930 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0896 | X=0110.930-0409.750 | Y=0107.780-0119.020 | Cầu Trắng đến Đường Tà Lú + 800m có hiện trạng là đường nhựa,
P=0896 | X=0110.930-0185.010 | Y=0119.330-0130.570 | bê tông xi măng:
P=0896 | X=0094.820-0342.480 | Y=0136.850-0150.930 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0896 | X=0454.730-0471.370 | Y=0141.610-0150.930 | 310
P=0896 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 200
P=0896 | X=0110.930-0417.350 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0896 | X=0110.930-0152.610 | Y=0165.650-0176.890 | ≤1.000m.
P=0896 | X=0110.930-0334.100 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0896 | X=0110.930-0407.930 | Y=0200.950-0212.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0896 | X=0110.930-0409.750 | Y=0212.470-0223.710 | Cầu Trắng đến Đường Tà Lú + 800m có hiện trạng là đường nhựa,
P=0896 | X=0110.930-0185.010 | Y=0223.990-0235.230 | bê tông xi măng:
P=0896 | X=0094.820-0105.940 | Y=0231.870-0241.190 | 32
P=0896 | X=0454.730-0471.370 | Y=0231.870-0241.190 | 220
P=0896 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 140
P=0896 | X=0110.930-0396.740 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0896 | X=0110.930-0334.570 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0896 | X=0110.930-0396.190 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0896 | X=0110.930-0394.790 | Y=0288.340-0299.580 | Quốc lộ 1 đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có hiện
P=0896 | X=0110.930-0282.710 | Y=0299.860-0311.100 | trạng là đường nhựa, bê tông xi măng:
P=0896 | X=0094.820-0105.940 | Y=0307.740-0317.060 | 33
P=0896 | X=0454.730-0471.370 | Y=0307.740-0317.060 | 380
P=0896 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 250
P=0896 | X=0110.930-0342.010 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0896 | X=0110.930-0388.140 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0896 | X=0110.930-0396.190 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0896 | X=0110.930-0394.790 | Y=0363.940-0375.180 | Quốc lộ 1 đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có hiện
P=0896 | X=0110.930-0282.710 | Y=0375.480-0386.720 | trạng là đường nhựa, bê tông xi măng:
P=0896 | X=0094.820-0342.480 | Y=0393.000-0407.320 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0896 | X=0454.730-0471.370 | Y=0398.000-0407.320 | 310
P=0896 | X=0505.390-0522.030 | Y=0398.000-0407.320 | 200
P=0896 | X=0110.930-0417.350 | Y=0410.520-0421.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0896 | X=0110.930-0152.610 | Y=0422.040-0433.280 | ≤1.000m.
P=0896 | X=0110.930-0334.100 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0896 | X=0110.930-0396.190 | Y=0457.340-0468.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0896 | X=0110.930-0394.790 | Y=0468.860-0480.100 | Quốc lộ 1 đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có hiện
P=0896 | X=0110.930-0282.750 | Y=0480.380-0491.620 | trạng là đường nhựa, bê tông xi măng:
P=0896 | X=0094.820-0105.940 | Y=0488.260-0497.580 | 35
P=0896 | X=0454.730-0471.370 | Y=0488.260-0497.580 | 220
P=0896 | X=0505.390-0522.030 | Y=0488.260-0497.580 | 140
P=0896 | X=0110.930-0396.740 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0896 | X=0110.930-0334.570 | Y=0515.420-0526.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0896 | X=0237.220-0305.980 | Y=0533.210-0544.450 | Đường Tà Lú +
P=0896 | X=0327.240-0404.140 | Y=0535.090-0544.410 | Hết giáo xứ Long
P=0896 | X=0094.820-0153.970 | Y=0540.850-0550.170 | 36 Quốc lộ 1
P=0896 | X=0454.730-0471.370 | Y=0540.850-0550.170 | 530
P=0896 | X=0505.390-0522.030 | Y=0540.850-0550.170 | 400
P=0896 | X=0237.220-0262.180 | Y=0546.370-0555.690 | 800m
P=0896 | X=0327.240-0355.640 | Y=0546.370-0555.690 | Thuận
P=0896 | X=0110.930-0407.930 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0896 | X=0110.930-0408.940 | Y=0573.770-0585.010 | Đường Tà Lú + 800m đến Hết giáo xứ Long Thuận có hiện trạng là
P=0896 | X=0110.930-0246.700 | Y=0585.290-0596.530 | đường nhựa, bê tông xi măng:
P=0896 | X=0094.820-0105.940 | Y=0593.170-0602.490 | 37
P=0896 | X=0454.730-0471.370 | Y=0593.170-0602.490 | 380
P=0896 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 250
P=0896 | X=0110.930-0342.010 | Y=0602.810-0614.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0896 | X=0110.930-0388.120 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0896 | X=0110.930-0407.930 | Y=0638.110-0649.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0896 | X=0110.930-0408.940 | Y=0649.630-0660.870 | Đường Tà Lú + 800m đến Hết giáo xứ Long Thuận có hiện trạng là
P=0896 | X=0110.930-0246.700 | Y=0661.150-0672.390 | đường nhựa, bê tông xi măng:
P=0896 | X=0094.820-0105.940 | Y=0674.790-0684.110 | 38
P=0896 | X=0454.730-0471.370 | Y=0674.790-0684.110 | 310
P=0896 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 200
P=0896 | X=0110.930-0342.480 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0896 | X=0110.930-0417.350 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0896 | X=0110.930-0152.610 | Y=0707.730-0718.970 | ≤1.000m.
P=0897 | X=0110.930-0334.100 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0897 | X=0110.930-0407.930 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0897 | X=0110.930-0408.940 | Y=0107.780-0119.020 | Đường Tà Lú + 800m đến Hết giáo xứ Long Thuận có hiện trạng là
P=0897 | X=0110.930-0246.700 | Y=0119.330-0130.570 | đường nhựa, bê tông xi măng:
P=0897 | X=0094.820-0105.940 | Y=0127.210-0136.530 | 39
P=0897 | X=0454.730-0471.370 | Y=0127.210-0136.530 | 220
P=0897 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 140
P=0897 | X=0110.930-0396.740 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0897 | X=0110.930-0334.570 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0897 | X=0110.930-0396.190 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0897 | X=0110.930-0389.260 | Y=0183.410-0194.650 | Quốc lộ 1 đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ Long
P=0897 | X=0110.930-0348.970 | Y=0194.930-0206.170 | Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0897 | X=0094.820-0105.940 | Y=0202.830-0212.150 | 40
P=0897 | X=0454.730-0471.370 | Y=0202.830-0212.150 | 380
P=0897 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 250
P=0897 | X=0110.930-0342.010 | Y=0212.470-0223.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0897 | X=0110.930-0388.120 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0897 | X=0110.930-0396.190 | Y=0247.750-0258.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0897 | X=0110.930-0389.260 | Y=0259.270-0270.510 | Quốc lộ 1 đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ Long
P=0897 | X=0110.930-0349.000 | Y=0270.790-0282.030 | Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0897 | X=0094.820-0342.480 | Y=0288.340-0302.420 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0897 | X=0454.730-0471.370 | Y=0293.100-0302.420 | 310
P=0897 | X=0505.390-0522.030 | Y=0293.100-0302.420 | 200
P=0897 | X=0110.930-0417.350 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0897 | X=0110.930-0152.610 | Y=0317.380-0328.620 | ≤1.000m.
P=0897 | X=0110.930-0334.100 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0897 | X=0110.930-0396.190 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0897 | X=0110.930-0389.260 | Y=0363.940-0375.180 | Quốc lộ 1 đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ Long
P=0897 | X=0110.930-0348.970 | Y=0375.480-0386.720 | Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0897 | X=0094.820-0105.940 | Y=0383.360-0392.680 | 42
P=0897 | X=0454.730-0471.370 | Y=0383.360-0392.680 | 220
P=0897 | X=0505.390-0522.030 | Y=0383.360-0392.680 | 140
P=0897 | X=0110.930-0396.740 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0897 | X=0110.930-0334.570 | Y=0410.520-0421.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0897 | X=0327.240-0410.390 | Y=0428.280-0439.520 | Đường vào tịnh xá
P=0897 | X=0237.220-0314.120 | Y=0430.160-0439.480 | Hết giáo xứ Long
P=0897 | X=0094.820-0153.970 | Y=0435.920-0445.240 | 43 Quốc lộ 1
P=0897 | X=0454.730-0471.370 | Y=0435.920-0445.240 | 530
P=0897 | X=0505.390-0522.030 | Y=0435.920-0445.240 | 400
P=0897 | X=0327.240-0378.430 | Y=0439.800-0451.040 | Ngọc Hưng
P=0897 | X=0237.220-0265.620 | Y=0441.680-0451.000 | Thuận
P=0897 | X=0110.930-0407.930 | Y=0457.580-0468.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0897 | X=0110.930-0413.030 | Y=0469.100-0480.340 | Hết giáo xứ Long Thuận đến Đường vào tịnh xá Ngọc Hưng có hiện
P=0897 | X=0110.930-0282.710 | Y=0480.620-0491.860 | trạng là đường nhựa, bê tông xi măng:
P=0897 | X=0094.820-0105.940 | Y=0488.500-0497.820 | 44
P=0897 | X=0454.730-0471.370 | Y=0488.500-0497.820 | 380
P=0897 | X=0505.390-0522.030 | Y=0488.500-0497.820 | 250
P=0897 | X=0110.930-0342.050 | Y=0498.140-0509.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0897 | X=0110.930-0388.120 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0897 | X=0110.930-0407.930 | Y=0533.450-0544.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0897 | X=0110.930-0413.030 | Y=0544.970-0556.210 | Hết giáo xứ Long Thuận đến Đường vào tịnh xá Ngọc Hưng có hiện
P=0897 | X=0110.930-0282.710 | Y=0556.250-0567.490 | trạng là đường nhựa, bê tông xi măng:
P=0897 | X=0094.820-0342.480 | Y=0573.770-0588.090 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0897 | X=0454.730-0471.370 | Y=0578.770-0588.090 | 310
P=0897 | X=0505.390-0522.030 | Y=0578.770-0588.090 | 200
P=0897 | X=0110.930-0417.350 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0897 | X=0110.930-0152.610 | Y=0602.810-0614.050 | ≤1.000m.
P=0897 | X=0110.930-0334.100 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0897 | X=0110.930-0407.930 | Y=0638.110-0649.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0897 | X=0110.930-0413.030 | Y=0649.630-0660.870 | Hết giáo xứ Long Thuận đến Đường vào tịnh xá Ngọc Hưng có hiện
P=0897 | X=0110.930-0282.710 | Y=0661.150-0672.390 | trạng là đường nhựa, bê tông xi măng:
P=0897 | X=0094.820-0105.940 | Y=0669.030-0678.350 | 46
P=0897 | X=0454.730-0471.370 | Y=0669.030-0678.350 | 220
P=0897 | X=0505.390-0522.030 | Y=0669.030-0678.350 | 140
P=0897 | X=0110.930-0396.740 | Y=0678.670-0689.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0897 | X=0110.930-0334.570 | Y=0696.190-0707.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0898 | X=0110.930-0396.220 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0898 | X=0110.930-0407.030 | Y=0090.020-0101.260 | Quốc lộ 1 đoạn từ Hết giáo xứ Long Thuận đến Đường vào tịnh xá
P=0898 | X=0110.930-0371.540 | Y=0101.540-0112.780 | Ngọc Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0898 | X=0094.820-0105.940 | Y=0109.420-0118.740 | 47
P=0898 | X=0454.730-0471.370 | Y=0109.420-0118.740 | 380
P=0898 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 250
P=0898 | X=0110.930-0342.010 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0898 | X=0110.930-0388.120 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0898 | X=0110.930-0396.190 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0898 | X=0110.930-0407.030 | Y=0165.650-0176.890 | Quốc lộ 1 đoạn từ Hết giáo xứ Long Thuận đến Đường vào tịnh xá
P=0898 | X=0110.930-0371.540 | Y=0177.170-0188.410 | Ngọc Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0898 | X=0094.820-0342.480 | Y=0194.690-0209.030 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0898 | X=0454.730-0471.370 | Y=0199.710-0209.030 | 310
P=0898 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 200
P=0898 | X=0110.930-0417.350 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0898 | X=0110.930-0152.610 | Y=0223.750-0234.990 | ≤1.000m.
P=0898 | X=0110.930-0334.100 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0898 | X=0110.930-0396.190 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0898 | X=0110.930-0407.030 | Y=0270.550-0281.790 | Quốc lộ 1 đoạn từ Hết giáo xứ Long Thuận đến Đường vào tịnh xá
P=0898 | X=0110.930-0371.540 | Y=0282.100-0293.340 | Ngọc Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0898 | X=0094.820-0105.940 | Y=0289.980-0299.300 | 49
P=0898 | X=0454.730-0471.370 | Y=0289.980-0299.300 | 220
P=0898 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 140
P=0898 | X=0110.930-0396.740 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0898 | X=0110.930-0334.570 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0898 | X=0237.220-0411.740 | Y=0334.900-0346.140 | Đường vào tịnh xá Ranh giới tỉnh Lâm
P=0898 | X=0094.820-0153.970 | Y=0342.540-0351.860 | 50 Quốc lộ 1
P=0898 | X=0454.730-0471.370 | Y=0342.540-0351.860 | 530
P=0898 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 400
P=0898 | X=0237.220-0288.410 | Y=0346.420-0357.660 | Ngọc Hưng
P=0898 | X=0327.240-0351.080 | Y=0346.420-0357.660 | Đồng
P=0898 | X=0110.930-0407.930 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0898 | X=0110.930-0416.390 | Y=0375.480-0386.720 | Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh Lâm Đồng có hiện
P=0898 | X=0110.930-0282.710 | Y=0387.000-0398.240 | trạng là đường nhựa, bê tông xi măng:
P=0898 | X=0094.820-0105.940 | Y=0394.880-0404.200 | 51
P=0898 | X=0454.730-0471.370 | Y=0394.880-0404.200 | 380
P=0898 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 250
P=0898 | X=0110.930-0342.010 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0898 | X=0110.930-0388.120 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0898 | X=0110.930-0407.930 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0898 | X=0110.930-0416.390 | Y=0451.340-0462.580 | Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh Lâm Đồng có hiện
P=0898 | X=0110.930-0282.710 | Y=0462.860-0474.100 | trạng là đường nhựa, bê tông xi măng:
P=0898 | X=0094.820-0342.480 | Y=0480.380-0494.460 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0898 | X=0454.730-0471.370 | Y=0485.140-0494.460 | 310
P=0898 | X=0505.390-0522.030 | Y=0485.140-0494.460 | 200
P=0898 | X=0110.930-0417.350 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0898 | X=0110.930-0152.610 | Y=0509.420-0520.660 | ≤1.000m.
P=0898 | X=0110.930-0334.100 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0898 | X=0110.930-0407.930 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn từ
P=0898 | X=0110.930-0416.390 | Y=0556.010-0567.250 | Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh Lâm Đồng có hiện
P=0898 | X=0110.930-0282.710 | Y=0567.530-0578.770 | trạng là đường nhựa, bê tông xi măng:
P=0898 | X=0094.820-0105.940 | Y=0575.410-0584.730 | 53
P=0898 | X=0454.730-0471.370 | Y=0575.410-0584.730 | 220
P=0898 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 140
P=0898 | X=0110.930-0396.740 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0898 | X=0110.930-0334.570 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0898 | X=0110.930-0396.190 | Y=0620.350-0631.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0898 | X=0110.930-0415.190 | Y=0631.870-0643.110 | Quốc lộ 1 đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh
P=0898 | X=0110.930-0366.490 | Y=0643.390-0654.630 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0898 | X=0094.820-0105.940 | Y=0651.270-0660.590 | 54
P=0898 | X=0454.730-0471.370 | Y=0651.270-0660.590 | 380
P=0898 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 250
P=0898 | X=0110.930-0342.010 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0898 | X=0110.930-0388.120 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0898 | X=0110.930-0396.190 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0898 | X=0094.820-0105.940 | Y=0703.860-0713.180 | 55
P=0898 | X=0454.730-0471.370 | Y=0703.860-0713.180 | 310
P=0898 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 200
P=0898 | X=0110.930-0415.190 | Y=0707.730-0718.970 | Quốc lộ 1 đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh
P=0899 | X=0110.930-0366.490 | Y=0072.500-0083.740 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0899 | X=0110.930-0342.480 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0899 | X=0110.930-0417.350 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0899 | X=0110.930-0152.610 | Y=0119.090-0130.330 | ≤1.000m.
P=0899 | X=0110.930-0334.100 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0899 | X=0110.930-0396.190 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0899 | X=0110.930-0415.190 | Y=0165.650-0176.890 | Quốc lộ 1 đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh
P=0899 | X=0110.930-0366.490 | Y=0177.170-0188.410 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0899 | X=0094.820-0105.940 | Y=0185.050-0194.370 | 56
P=0899 | X=0454.730-0471.370 | Y=0185.050-0194.370 | 220
P=0899 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 140
P=0899 | X=0110.930-0396.740 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0899 | X=0110.930-0334.570 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0899 | X=0110.930-0231.030 | Y=0229.990-0241.230 | Đường Xuân Tâm đi Trảng
P=0899 | X=0094.820-0105.940 | Y=0237.630-0246.950 | 57
P=0899 | X=0237.220-0280.260 | Y=0237.630-0246.950 | Quốc lộ 1
P=0899 | X=0327.240-0406.460 | Y=0237.630-0246.950 | Quốc lộ 1 + 100m
P=0899 | X=0454.730-0471.370 | Y=0237.630-0246.950 | 500
P=0899 | X=0505.390-0522.030 | Y=0237.630-0246.950 | 370
P=0899 | X=0110.930-0128.290 | Y=0243.390-0252.710 | Táo
P=0899 | X=0110.930-0408.110 | Y=0259.270-0270.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0899 | X=0110.930-0412.780 | Y=0270.790-0282.030 | đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 + 100m có hiện trạng
P=0899 | X=0110.930-0257.260 | Y=0282.340-0293.580 | là đường nhựa, bê tông xi măng:
P=0899 | X=0094.820-0105.940 | Y=0290.220-0299.540 | 58
P=0899 | X=0454.730-0471.370 | Y=0290.220-0299.540 | 350
P=0899 | X=0505.390-0522.030 | Y=0290.220-0299.540 | 230
P=0899 | X=0110.930-0342.010 | Y=0299.860-0311.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0899 | X=0110.930-0388.120 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0899 | X=0110.930-0408.110 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0899 | X=0110.930-0412.780 | Y=0346.660-0357.900 | đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 + 100m có hiện trạng
P=0899 | X=0110.930-0257.260 | Y=0357.940-0369.180 | là đường nhựa, bê tông xi măng:
P=0899 | X=0094.820-0342.480 | Y=0375.480-0389.800 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0899 | X=0454.730-0471.370 | Y=0380.480-0389.800 | 290
P=0899 | X=0505.390-0522.030 | Y=0380.480-0389.800 | 180
P=0899 | X=0110.930-0417.350 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0899 | X=0110.930-0152.610 | Y=0404.520-0415.760 | ≤1.000m.
P=0899 | X=0110.930-0334.100 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0899 | X=0110.930-0408.110 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tâm
P=0899 | X=0110.930-0412.780 | Y=0451.340-0462.580 | đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 + 100m có hiện trạng
P=0899 | X=0110.930-0257.260 | Y=0462.860-0474.100 | là đường nhựa, bê tông xi măng:
P=0899 | X=0094.820-0105.940 | Y=0470.740-0480.060 | 60
P=0899 | X=0454.730-0471.370 | Y=0470.740-0480.060 | 200
P=0899 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 130
P=0899 | X=0110.930-0396.740 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0899 | X=0110.930-0334.570 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0899 | X=0110.930-0396.190 | Y=0515.660-0526.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0899 | X=0110.930-0407.550 | Y=0527.180-0538.420 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 +
P=0899 | X=0110.930-0345.610 | Y=0538.490-0549.730 | 100m có hiện trạng là đường nhựa, bê tông xi măng:
P=0899 | X=0094.820-0105.940 | Y=0546.370-0555.690 | 61
P=0899 | X=0454.730-0471.370 | Y=0546.370-0555.690 | 350
P=0899 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 230
P=0899 | X=0110.930-0342.010 | Y=0556.010-0567.250 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0899 | X=0110.930-0388.120 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0899 | X=0110.930-0396.190 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0899 | X=0110.930-0407.550 | Y=0602.810-0614.050 | Đường Xuân Tâm đi Trảng Táo đoạn từ Quốc lộ 1 đến Quốc lộ 1 +
P=0899 | X=0110.930-0345.610 | Y=0614.330-0625.570 | 100m có hiện trạng là đường nhựa, bê tông xi măng:
