TABLE=021 | AREA=Phường Xuân Lập | SECTION=agricultural | SEGMENTS=1
P=0690 | X=0107.090-0329.800 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0690 | X=0107.090-0421.670 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Sen đoạn
P=0690 | X=0107.090-0415.180 | Y=0393.240-0404.480 | từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi Xuân Lập có hiện
P=0690 | X=0107.090-0278.870 | Y=0404.760-0416.000 | trạng là đường nhựa, bê tông xi măng:
P=0690 | X=0092.900-0104.020 | Y=0412.640-0421.960 | 32
P=0690 | X=0457.850-0474.490 | Y=0412.640-0421.960 | 240
P=0690 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 210
P=0690 | X=0107.090-0384.270 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0690 | X=0107.090-0330.280 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0690 | X=0107.090-0426.700 | Y=0457.580-0468.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0690 | X=0107.090-0426.440 | Y=0469.100-0480.340 | Bàu Sen đoạn từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi Xuân
P=0690 | X=0107.090-0333.380 | Y=0480.620-0491.860 | Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0690 | X=0092.900-0104.020 | Y=0488.500-0497.820 | 33
P=0690 | X=0457.850-0474.490 | Y=0488.500-0497.820 | 400
P=0690 | X=0505.390-0522.030 | Y=0488.500-0497.820 | 320
P=0690 | X=0107.090-0329.560 | Y=0498.140-0509.380 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0690 | X=0107.090-0384.040 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0690 | X=0107.090-0426.700 | Y=0533.450-0544.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0690 | X=0107.090-0426.440 | Y=0544.970-0556.210 | Bàu Sen đoạn từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi Xuân
P=0690 | X=0107.090-0333.380 | Y=0556.250-0567.490 | Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0690 | X=0092.900-0329.790 | Y=0573.770-0588.090 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0690 | X=0457.850-0474.490 | Y=0578.770-0588.090 | 320
P=0690 | X=0505.390-0522.030 | Y=0578.770-0588.090 | 260
P=0690 | X=0107.090-0414.220 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0690 | X=0107.090-0140.130 | Y=0602.810-0614.050 | ≤600m.
P=0690 | X=0107.090-0329.800 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0690 | X=0107.090-0426.700 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0690 | X=0107.090-0426.440 | Y=0649.630-0660.870 | Bàu Sen đoạn từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi Xuân
P=0690 | X=0107.090-0333.380 | Y=0661.150-0672.390 | Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0690 | X=0092.900-0104.050 | Y=0669.030-0678.350 | 35
P=0690 | X=0457.850-0474.490 | Y=0669.030-0678.350 | 240
P=0690 | X=0505.390-0522.030 | Y=0669.030-0678.350 | 210
P=0690 | X=0107.090-0384.270 | Y=0678.670-0689.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0690 | X=0107.090-0332.690 | Y=0696.190-0707.430 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0691 | X=0107.090-0220.240 | Y=0078.500-0089.740 | Đường Xuân Bình - Xuân
P=0691 | X=0234.340-0322.040 | Y=0078.500-0089.740 | Đường Lương Định
P=0691 | X=0327.480-0414.940 | Y=0084.260-0095.500 | Đường Võ Văn Tần
P=0691 | X=0092.900-0104.020 | Y=0086.140-0095.460 | 36
P=0691 | X=0457.850-0474.490 | Y=0086.140-0095.460 | 600
P=0691 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 490
P=0691 | X=0107.090-0123.730 | Y=0091.900-0101.220 | Lập
P=0691 | X=0234.340-0252.660 | Y=0091.900-0101.220 | Của
P=0691 | X=0107.090-0411.020 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0691 | X=0107.090-0421.900 | Y=0119.330-0130.570 | Xuân Lập đoạn từ Đường Lương Định Của đến Đường Võ Văn Tần có
P=0691 | X=0107.090-0300.700 | Y=0130.850-0142.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=0691 | X=0092.900-0104.020 | Y=0138.730-0148.050 | 37
P=0691 | X=0457.850-0474.490 | Y=0138.730-0148.050 | 400
P=0691 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 320
P=0691 | X=0107.090-0329.560 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0691 | X=0107.090-0384.040 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0691 | X=0107.090-0411.020 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0691 | X=0107.090-0421.900 | Y=0194.930-0206.170 | Xuân Lập đoạn từ Đường Lương Định Của đến Đường Võ Văn Tần có
P=0691 | X=0107.090-0300.700 | Y=0206.470-0217.710 | hiện trạng là đường nhựa, bê tông xi măng:
P=0691 | X=0092.900-0329.790 | Y=0223.990-0238.310 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0691 | X=0457.850-0474.490 | Y=0228.990-0238.310 | 320
P=0691 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 260
P=0691 | X=0107.090-0414.220 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0691 | X=0107.090-0140.130 | Y=0253.030-0264.270 | ≤600m.
P=0691 | X=0107.090-0329.800 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0691 | X=0107.090-0411.020 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0691 | X=0107.090-0421.900 | Y=0299.860-0311.100 | Xuân Lập đoạn từ Đường Lương Định Của đến Đường Võ Văn Tần có
P=0691 | X=0107.090-0300.700 | Y=0311.380-0322.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0691 | X=0092.900-0104.020 | Y=0319.260-0328.580 | 39
P=0691 | X=0457.850-0474.490 | Y=0319.260-0328.580 | 240
P=0691 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 210
P=0691 | X=0107.090-0384.270 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0691 | X=0107.090-0330.280 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0691 | X=0107.090-0426.700 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0691 | X=0107.090-0423.590 | Y=0375.480-0386.720 | Xuân Bình - Xuân Lập đoạn từ Đường Lương Định Của đến Đường Võ
P=0691 | X=0107.090-0354.500 | Y=0387.000-0398.240 | Văn Tần có hiện trạng là đường nhựa, bê tông xi măng:
P=0691 | X=0092.900-0104.020 | Y=0394.880-0404.200 | 40
P=0691 | X=0457.850-0474.490 | Y=0394.880-0404.200 | 400
P=0691 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 320
P=0691 | X=0107.090-0329.560 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0691 | X=0107.090-0384.040 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0691 | X=0107.090-0426.700 | Y=0439.800-0451.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0691 | X=0107.090-0423.590 | Y=0451.340-0462.580 | Xuân Bình - Xuân Lập đoạn từ Đường Lương Định Của đến Đường Võ
P=0691 | X=0107.090-0354.500 | Y=0462.860-0474.100 | Văn Tần có hiện trạng là đường nhựa, bê tông xi măng:
P=0691 | X=0092.900-0329.790 | Y=0480.380-0494.460 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0691 | X=0457.850-0474.490 | Y=0485.140-0494.460 | 320
P=0691 | X=0505.390-0522.030 | Y=0485.140-0494.460 | 260
P=0691 | X=0107.090-0414.220 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0691 | X=0107.090-0140.130 | Y=0509.420-0520.660 | ≤600m.
P=0691 | X=0107.090-0329.800 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0691 | X=0107.090-0426.700 | Y=0544.490-0555.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0691 | X=0107.090-0423.590 | Y=0556.010-0567.250 | Xuân Bình - Xuân Lập đoạn từ Đường Lương Định Của đến Đường Võ
P=0691 | X=0107.090-0354.500 | Y=0567.530-0578.770 | Văn Tần có hiện trạng là đường nhựa, bê tông xi măng:
P=0691 | X=0092.900-0104.020 | Y=0575.410-0584.730 | 42
P=0691 | X=0457.850-0474.490 | Y=0575.410-0584.730 | 240
P=0691 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 210
P=0691 | X=0107.090-0384.270 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0691 | X=0107.090-0332.690 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0691 | X=0107.090-0220.240 | Y=0620.350-0631.590 | Đường Xuân Bình - Xuân
P=0691 | X=0234.340-0381.100 | Y=0626.110-0637.350 | Đường Võ Văn Tần Đường số 1
P=0691 | X=0092.900-0104.020 | Y=0627.990-0637.310 | 43
P=0691 | X=0457.850-0474.490 | Y=0627.990-0637.310 | 600
P=0691 | X=0505.390-0522.030 | Y=0627.990-0637.310 | 490
P=0691 | X=0107.090-0123.730 | Y=0633.750-0643.070 | Lập
P=0691 | X=0107.090-0411.020 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0691 | X=0107.090-0424.060 | Y=0661.150-0672.390 | Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1 có hiện trạng là
P=0691 | X=0107.090-0242.840 | Y=0672.670-0683.910 | đường nhựa, bê tông xi măng:
P=0691 | X=0092.900-0104.020 | Y=0680.550-0689.870 | 44
P=0691 | X=0457.850-0474.490 | Y=0680.550-0689.870 | 400
P=0691 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 320
P=0691 | X=0107.090-0329.560 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0691 | X=0107.090-0384.040 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0692 | X=0107.090-0411.020 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0692 | X=0107.090-0424.060 | Y=0090.020-0101.260 | Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1 có hiện trạng là
P=0692 | X=0107.090-0242.840 | Y=0101.540-0112.780 | đường nhựa, bê tông xi măng:
P=0692 | X=0092.900-0329.790 | Y=0119.090-0133.170 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0692 | X=0457.850-0474.490 | Y=0123.850-0133.170 | 320
P=0692 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 260
P=0692 | X=0107.090-0414.220 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0692 | X=0107.090-0140.130 | Y=0148.130-0159.370 | ≤600m.
P=0692 | X=0107.090-0329.800 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0692 | X=0107.090-0411.020 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bình -
P=0692 | X=0107.090-0424.060 | Y=0194.690-0205.930 | Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1 có hiện trạng là
P=0692 | X=0107.090-0242.840 | Y=0206.230-0217.470 | đường nhựa, bê tông xi măng:
P=0692 | X=0092.900-0104.020 | Y=0214.110-0223.430 | 46
P=0692 | X=0457.850-0474.490 | Y=0214.110-0223.430 | 240
P=0692 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 210
P=0692 | X=0107.090-0384.270 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0692 | X=0107.090-0330.280 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0692 | X=0107.090-0426.700 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0692 | X=0107.090-0421.900 | Y=0270.550-0281.790 | Xuân Bình - Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1 có
P=0692 | X=0107.090-0300.700 | Y=0282.100-0293.340 | hiện trạng là đường nhựa, bê tông xi măng:
P=0692 | X=0092.900-0104.020 | Y=0289.980-0299.300 | 47
P=0692 | X=0457.850-0474.490 | Y=0289.980-0299.300 | 400
P=0692 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 320
P=0692 | X=0107.090-0329.560 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0692 | X=0107.090-0384.040 | Y=0317.140-0328.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0692 | X=0107.090-0426.710 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0692 | X=0107.090-0421.900 | Y=0346.420-0357.660 | Xuân Bình - Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1 có
P=0692 | X=0107.090-0300.700 | Y=0357.700-0368.940 | hiện trạng là đường nhựa, bê tông xi măng:
P=0692 | X=0092.900-0329.790 | Y=0375.240-0389.560 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0692 | X=0457.850-0474.490 | Y=0380.240-0389.560 | 320
P=0692 | X=0505.390-0522.030 | Y=0380.240-0389.560 | 260
P=0692 | X=0107.090-0414.220 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0692 | X=0107.090-0140.130 | Y=0404.280-0415.520 | ≤600m.
P=0692 | X=0107.090-0329.800 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0692 | X=0107.090-0426.220 | Y=0439.560-0450.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0692 | X=0107.090-0421.420 | Y=0451.100-0462.340 | Xuân Bình - Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1 có
P=0692 | X=0107.090-0300.270 | Y=0462.620-0473.860 | hiện trạng là đường nhựa, bê tông xi măng:
P=0692 | X=0092.900-0104.020 | Y=0470.500-0479.820 | 49
P=0692 | X=0457.850-0474.490 | Y=0470.500-0479.820 | 240
P=0692 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 210
P=0692 | X=0107.090-0384.270 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0692 | X=0107.090-0332.690 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0692 | X=0327.480-0410.540 | Y=0515.420-0526.660 | Đường Xuân Lập -
P=0692 | X=0092.900-0160.690 | Y=0521.180-0532.420 | 50 Đường số 1
P=0692 | X=0234.340-0277.620 | Y=0523.060-0532.380 | Quốc lộ 1
P=0692 | X=0457.850-0474.490 | Y=0523.060-0532.380 | 600
P=0692 | X=0505.390-0522.030 | Y=0523.060-0532.380 | 490
P=0692 | X=0327.480-0365.960 | Y=0528.820-0538.140 | Bàu Sao
P=0692 | X=0107.090-0414.410 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 1 đoạn từ
P=0692 | X=0107.090-0400.790 | Y=0556.010-0567.250 | Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện trạng là đường
P=0692 | X=0107.090-0210.200 | Y=0567.530-0578.770 | nhựa, bê tông xi măng:
P=0692 | X=0092.900-0104.020 | Y=0575.410-0584.730 | 51
P=0692 | X=0457.850-0474.490 | Y=0575.410-0584.730 | 400
P=0692 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 320
P=0692 | X=0107.090-0329.560 | Y=0585.050-0596.290 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0692 | X=0107.090-0384.040 | Y=0602.570-0613.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0692 | X=0107.090-0414.410 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 1 đoạn từ
P=0692 | X=0107.090-0400.790 | Y=0631.870-0643.110 | Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện trạng là đường
P=0692 | X=0107.090-0210.200 | Y=0643.390-0654.630 | nhựa, bê tông xi măng:
P=0692 | X=0092.900-0329.790 | Y=0660.910-0674.990 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0692 | X=0457.850-0474.490 | Y=0665.670-0674.990 | 320
P=0692 | X=0505.390-0522.030 | Y=0665.670-0674.990 | 260
P=0692 | X=0107.090-0414.220 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0692 | X=0107.090-0140.130 | Y=0689.950-0701.190 | ≤600m.
P=0692 | X=0107.090-0329.800 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0693 | X=0107.090-0414.410 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 1 đoạn từ
P=0693 | X=0107.090-0400.790 | Y=0090.020-0101.260 | Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện trạng là đường
P=0693 | X=0107.090-0210.200 | Y=0101.540-0112.780 | nhựa, bê tông xi măng:
P=0693 | X=0092.900-0104.020 | Y=0109.420-0118.740 | 53
P=0693 | X=0457.850-0474.490 | Y=0109.420-0118.740 | 240
P=0693 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 210
P=0693 | X=0107.090-0384.270 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0693 | X=0107.090-0330.280 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0693 | X=0107.090-0426.700 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0693 | X=0107.090-0426.940 | Y=0165.650-0176.890 | số 1 đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện trạng là
P=0693 | X=0107.090-0242.840 | Y=0177.170-0188.410 | đường nhựa, bê tông xi măng:
P=0693 | X=0092.900-0104.020 | Y=0185.050-0194.370 | 54
P=0693 | X=0457.850-0474.490 | Y=0185.050-0194.370 | 400
P=0693 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 320
P=0693 | X=0107.090-0329.560 | Y=0194.690-0205.930 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0693 | X=0107.090-0384.040 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0693 | X=0107.090-0426.700 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0693 | X=0107.090-0426.940 | Y=0241.510-0252.750 | số 1 đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện trạng là
P=0693 | X=0107.090-0242.840 | Y=0253.030-0264.270 | đường nhựa, bê tông xi măng:
P=0693 | X=0092.900-0329.790 | Y=0270.550-0284.630 | 55 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0693 | X=0457.850-0474.490 | Y=0275.310-0284.630 | 320
P=0693 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 260
P=0693 | X=0107.090-0414.220 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0693 | X=0107.090-0140.130 | Y=0299.620-0310.860 | ≤600m.
P=0693 | X=0107.090-0329.800 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0693 | X=0107.090-0426.700 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0693 | X=0107.090-0426.940 | Y=0346.420-0357.660 | số 1 đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện trạng là
P=0693 | X=0107.090-0242.870 | Y=0357.700-0368.940 | đường nhựa, bê tông xi măng:
P=0693 | X=0092.900-0104.020 | Y=0365.580-0374.900 | 56
P=0693 | X=0457.850-0474.490 | Y=0365.580-0374.900 | 240
P=0693 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 210
P=0693 | X=0107.090-0384.270 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0693 | X=0107.090-0332.690 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0693 | X=0092.900-0289.620 | Y=0410.520-0421.760 | 57 Đường Xuân Lập - Bàu Sao Đường Số 1
P=0693 | X=0327.480-0427.350 | Y=0410.520-0421.760 | Đường số 1 vào 500m
P=0693 | X=0457.850-0474.490 | Y=0412.400-0421.720 | 600
P=0693 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 490
P=0693 | X=0107.090-0427.660 | Y=0428.280-0439.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0693 | X=0107.090-0413.500 | Y=0439.800-0451.040 | Sao đoạn từ Đường Số 1 đến Đường số 1 vào 500m có hiện trạng là
P=0693 | X=0107.090-0242.840 | Y=0451.340-0462.580 | đường nhựa, bê tông xi măng:
P=0693 | X=0092.900-0104.020 | Y=0459.220-0468.540 | 58
P=0693 | X=0457.850-0474.490 | Y=0459.220-0468.540 | 400
P=0693 | X=0505.390-0522.030 | Y=0459.220-0468.540 | 320
P=0693 | X=0107.090-0329.560 | Y=0468.860-0480.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0693 | X=0107.090-0384.040 | Y=0486.380-0497.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0693 | X=0107.090-0427.660 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0693 | X=0107.090-0413.500 | Y=0515.660-0526.900 | Sao đoạn từ Đường Số 1 đến Đường số 1 vào 500m có hiện trạng là
P=0693 | X=0107.090-0242.840 | Y=0527.180-0538.420 | đường nhựa, bê tông xi măng:
P=0693 | X=0092.900-0329.790 | Y=0544.490-0558.810 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0693 | X=0457.850-0474.490 | Y=0549.490-0558.810 | 320
P=0693 | X=0505.390-0522.030 | Y=0549.490-0558.810 | 260
P=0693 | X=0107.090-0414.220 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0693 | X=0107.090-0140.130 | Y=0573.530-0584.770 | ≤600m.
P=0693 | X=0107.090-0329.800 | Y=0591.050-0602.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0693 | X=0107.090-0427.660 | Y=0608.810-0620.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Lập - Bàu
P=0693 | X=0107.090-0413.500 | Y=0620.350-0631.590 | Sao đoạn từ Đường Số 1 đến Đường số 1 vào 500m có hiện trạng là
P=0693 | X=0107.090-0242.840 | Y=0631.870-0643.110 | đường nhựa, bê tông xi măng:
P=0693 | X=0092.900-0104.020 | Y=0639.750-0649.070 | 60
P=0693 | X=0457.850-0474.490 | Y=0639.750-0649.070 | 240
P=0693 | X=0505.390-0522.030 | Y=0639.750-0649.070 | 210
P=0693 | X=0107.090-0384.270 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0693 | X=0107.090-0330.280 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0693 | X=0107.090-0426.700 | Y=0684.670-0695.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0693 | X=0092.900-0428.130 | Y=0696.190-0707.430 | 61 Xuân Lập - Bàu Sao đoạn từ Đường Số 1 đến Đường số 1 vào 500m có
P=0693 | X=0457.850-0474.490 | Y=0698.070-0707.390 | 400
P=0693 | X=0505.390-0522.030 | Y=0698.070-0707.390 | 320
P=0693 | X=0107.090-0300.700 | Y=0707.730-0718.970 | hiện trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0107.090-0329.560 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0694 | X=0107.090-0384.040 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0694 | X=0107.090-0426.700 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0694 | X=0107.090-0428.130 | Y=0125.330-0136.570 | Xuân Lập - Bàu Sao đoạn từ Đường Số 1 đến Đường số 1 vào 500m có
P=0694 | X=0107.090-0300.700 | Y=0136.850-0148.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0092.900-0329.790 | Y=0154.370-0168.450 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0694 | X=0457.850-0474.490 | Y=0159.130-0168.450 | 320
P=0694 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 260
P=0694 | X=0107.090-0414.220 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0694 | X=0107.090-0140.130 | Y=0183.170-0194.410 | ≤600m.
P=0694 | X=0107.090-0329.800 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0694 | X=0107.090-0426.700 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0694 | X=0107.090-0428.130 | Y=0229.990-0241.230 | Xuân Lập - Bàu Sao đoạn từ Đường Số 1 đến Đường số 1 vào 500m có
P=0694 | X=0107.090-0300.700 | Y=0241.510-0252.750 | hiện trạng là đường nhựa, bê tông xi măng:
P=0694 | X=0092.900-0104.020 | Y=0249.390-0258.710 | 63
P=0694 | X=0457.850-0474.490 | Y=0249.390-0258.710 | 240
P=0694 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 210
P=0694 | X=0107.090-0384.270 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0694 | X=0107.090-0332.690 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0694 | X=0234.340-0306.660 | Y=0294.340-0305.580 | Đường số 1 vào
P=0694 | X=0092.900-0231.510 | Y=0300.100-0311.340 | 64 Đường Xuân Lập - Bàu Sao
