TABLE=055 | AREA=Xã Phú Lý | SECTION=agricultural | SEGMENTS=1
P=1835 | X=0120.050-0306.940 | Y=0427.800-0439.040 | đầu tư mặt đường nhựa, bê tông xi măng:
P=1835 | X=0099.410-0351.600 | Y=0445.320-0459.400 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1835 | X=0450.890-0467.530 | Y=0450.080-0459.400 | 120
P=1835 | X=0505.390-0522.030 | Y=0450.080-0459.400 | 100
P=1835 | X=0120.050-0406.940 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1835 | X=0120.050-0181.170 | Y=0474.380-0485.620 | đến ≤1.000m.
P=1835 | X=0120.050-0343.220 | Y=0491.900-0503.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1835 | X=0120.050-0406.790 | Y=0509.660-0520.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1835 | X=0120.050-0400.940 | Y=0521.180-0532.420 | đoạn từ Ngã tư đường 322A đến Ngã ba đường 322B đã được
P=1835 | X=0120.050-0306.940 | Y=0532.490-0543.730 | đầu tư mặt đường nhựa, bê tông xi măng:
P=1835 | X=0099.410-0110.530 | Y=0540.370-0549.690 | 32
P=1835 | X=0456.650-0467.770 | Y=0540.370-0549.690 | 80
P=1835 | X=0511.150-0522.270 | Y=0540.370-0549.690 | 60
P=1835 | X=0120.050-0405.860 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1835 | X=0120.050-0343.690 | Y=0567.530-0578.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1835 | X=0120.050-0405.310 | Y=0585.290-0596.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1835 | X=0120.050-0407.020 | Y=0596.810-0608.050 | Đường tỉnh 761 đoạn từ Ngã tư đường 322A đến Ngã ba đường
P=1835 | X=0120.050-0373.440 | Y=0608.330-0619.570 | 322B đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1835 | X=0099.410-0110.530 | Y=0616.210-0625.530 | 33
P=1835 | X=0450.890-0467.530 | Y=0616.210-0625.530 | 150
P=1835 | X=0505.390-0522.030 | Y=0616.210-0625.530 | 130
P=1835 | X=0120.050-0351.130 | Y=0625.870-0637.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1835 | X=0120.050-0397.250 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1835 | X=0120.050-0405.310 | Y=0661.150-0672.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1835 | X=0120.050-0407.020 | Y=0672.670-0683.910 | Đường tỉnh 761 đoạn từ Ngã tư đường 322A đến Ngã ba đường
P=1835 | X=0099.410-0373.440 | Y=0683.190-0695.430 | 34 322B đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1835 | X=0450.890-0467.530 | Y=0683.190-0692.510 | 120
P=1835 | X=0505.390-0522.030 | Y=0683.190-0692.510 | 100
P=1835 | X=0120.050-0351.600 | Y=0701.730-0712.970 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1836 | X=0120.050-0406.940 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1836 | X=0120.050-0181.170 | Y=0090.020-0101.260 | đến ≤1.000m.
P=1836 | X=0120.050-0343.220 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1836 | X=0120.050-0405.310 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1836 | X=0120.050-0407.020 | Y=0136.850-0148.090 | Đường tỉnh 761 đoạn từ Ngã tư đường 322A đến Ngã ba đường
P=1836 | X=0120.050-0373.440 | Y=0148.370-0159.610 | 322B đã được đầu tư mặt đường nhựa, bê tông xi măng:
P=1836 | X=0099.410-0110.530 | Y=0156.250-0165.570 | 35
P=1836 | X=0456.650-0467.770 | Y=0156.250-0165.570 | 80
P=1836 | X=0511.150-0522.270 | Y=0156.250-0165.570 | 60
P=1836 | X=0120.050-0405.860 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1836 | X=0120.050-0343.690 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1836 | X=0324.360-0402.940 | Y=0202.830-0212.150 | Hết ranh Khu bảo
P=1836 | X=0099.410-0190.220 | Y=0212.470-0223.710 | 36 Đường tỉnh 761
P=1836 | X=0223.750-0396.380 | Y=0212.470-0223.710 | Ngã ba đường 322B tồn thiên nhiên -
P=1836 | X=0450.890-0467.530 | Y=0214.350-0223.670 | 230
P=1836 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 200
P=1836 | X=0324.360-0404.620 | Y=0223.990-0235.230 | văn hóa Đồng Nai
P=1836 | X=0120.050-0406.790 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1836 | X=0120.050-0390.450 | Y=0253.270-0264.510 | đoạn từ Ngã ba đường 322B đến Hết ranh Khu bảo tồn thiên
P=1836 | X=0120.050-0400.780 | Y=0264.790-0276.030 | nhiên - văn hóa Đồng Nai đã được đầu tư mặt đường nhựa, bê
P=1836 | X=0099.410-0180.210 | Y=0276.310-0287.750 | 37 tông xi măng:
P=1836 | X=0450.890-0467.530 | Y=0278.430-0287.750 | 150
P=1836 | X=0505.390-0522.030 | Y=0278.430-0287.750 | 130
P=1836 | X=0120.050-0351.130 | Y=0293.860-0305.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1836 | X=0120.050-0397.240 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1836 | X=0120.050-0406.790 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1836 | X=0120.050-0390.450 | Y=0340.660-0351.900 | đoạn từ Ngã ba đường 322B đến Hết ranh Khu bảo tồn thiên
P=1836 | X=0120.050-0400.780 | Y=0351.940-0363.180 | nhiên - văn hóa Đồng Nai đã được đầu tư mặt đường nhựa, bê
P=1836 | X=0120.050-0180.210 | Y=0363.460-0374.700 | tông xi măng:
P=1836 | X=0099.410-0351.600 | Y=0380.240-0392.240 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1836 | X=0450.890-0467.530 | Y=0380.240-0389.560 | 120
P=1836 | X=0505.390-0522.030 | Y=0380.240-0389.560 | 100
P=1836 | X=0120.050-0406.940 | Y=0398.520-0409.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1836 | X=0120.050-0181.170 | Y=0410.040-0421.280 | đến ≤1.000m.
P=1836 | X=0120.050-0343.220 | Y=0427.560-0438.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1836 | X=0120.050-0406.790 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 761
P=1836 | X=0120.050-0390.450 | Y=0456.860-0468.100 | đoạn từ Ngã ba đường 322B đến Hết ranh Khu bảo tồn thiên
P=1836 | X=0120.050-0400.780 | Y=0468.380-0479.620 | nhiên - văn hóa Đồng Nai đã được đầu tư mặt đường nhựa, bê
P=1836 | X=0099.410-0180.210 | Y=0479.900-0491.340 | 39 tông xi măng:
P=1836 | X=0456.650-0467.770 | Y=0482.020-0491.340 | 80
P=1836 | X=0511.150-0522.270 | Y=0482.020-0491.340 | 60
P=1836 | X=0120.050-0405.860 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1836 | X=0120.050-0343.690 | Y=0514.940-0526.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1836 | X=0120.050-0405.310 | Y=0532.490-0543.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1836 | X=0120.050-0402.450 | Y=0544.010-0555.250 | Đường tỉnh 761 đoạn từ Ngã ba đường 322B đến Hết ranh Khu
P=1836 | X=0120.050-0385.980 | Y=0555.530-0566.770 | bảo tồn thiên nhiên - văn hóa Đồng Nai đã được đầu tư mặt
P=1836 | X=0099.410-0255.820 | Y=0567.050-0578.490 | 40 đường nhựa, bê tông xi măng:
P=1836 | X=0450.890-0467.530 | Y=0569.170-0578.490 | 150
P=1836 | X=0505.390-0522.030 | Y=0569.170-0578.490 | 130
P=1836 | X=0120.050-0351.130 | Y=0584.570-0595.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1836 | X=0120.050-0397.240 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1836 | X=0120.050-0405.310 | Y=0619.870-0631.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1836 | X=0120.050-0402.450 | Y=0631.390-0642.630 | Đường tỉnh 761 đoạn từ Ngã ba đường 322B đến Hết ranh Khu
P=1836 | X=0120.050-0385.980 | Y=0642.910-0654.150 | bảo tồn thiên nhiên - văn hóa Đồng Nai đã được đầu tư mặt
P=1836 | X=0120.050-0255.820 | Y=0654.430-0665.670 | đường nhựa, bê tông xi măng:
P=1836 | X=0099.410-0110.530 | Y=0662.310-0671.630 | 41
P=1836 | X=0450.890-0467.530 | Y=0662.310-0671.630 | 120
P=1836 | X=0505.390-0522.030 | Y=0662.310-0671.630 | 100
P=1836 | X=0120.050-0351.600 | Y=0671.950-0683.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1836 | X=0120.050-0406.940 | Y=0689.470-0700.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1836 | X=0120.050-0181.170 | Y=0700.770-0712.010 | đến ≤1.000m.
P=1837 | X=0120.050-0343.220 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1837 | X=0120.050-0405.310 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1837 | X=0120.050-0402.450 | Y=0107.780-0119.020 | Đường tỉnh 761 đoạn từ Ngã ba đường 322B đến Hết ranh Khu
P=1837 | X=0120.050-0385.980 | Y=0119.330-0130.570 | bảo tồn thiên nhiên - văn hóa Đồng Nai đã được đầu tư mặt
P=1837 | X=0099.410-0255.820 | Y=0130.850-0142.290 | 42 đường nhựa, bê tông xi măng:
P=1837 | X=0456.650-0467.770 | Y=0132.970-0142.290 | 80
P=1837 | X=0511.150-0522.270 | Y=0132.970-0142.290 | 60
P=1837 | X=0120.050-0405.860 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1837 | X=0120.050-0343.690 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1837 | X=0324.360-0403.030 | Y=0183.410-0194.650 | Hết ranh thửa đất
P=1837 | X=0324.360-0400.540 | Y=0194.930-0206.170 | số 209, tờ BĐĐC
P=1837 | X=0324.360-0403.410 | Y=0208.350-0217.670 | số 37 về bên phải
P=1837 | X=0099.410-0195.750 | Y=0217.990-0229.230 | 43 Đường Bàu Điền
P=1837 | X=0223.750-0293.950 | Y=0217.990-0229.230 | Đường tỉnh 761
P=1837 | X=0324.360-0398.150 | Y=0219.870-0229.190 | và hết ranh thửa
P=1837 | X=0450.890-0467.530 | Y=0219.870-0229.190 | 200
P=1837 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 170
P=1837 | X=0324.360-0386.200 | Y=0229.510-0240.750 | đất số 210, tờ
P=1837 | X=0324.360-0393.590 | Y=0241.030-0252.270 | BĐĐC số 37 về
P=1837 | X=0324.360-0407.860 | Y=0254.430-0263.750 | bên trái, xã Phú Lý
P=1837 | X=0120.050-0389.020 | Y=0270.310-0281.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1837 | X=0120.050-0399.160 | Y=0281.860-0293.100 | Điền đoạn từ Đường tỉnh 761 đến Hết ranh thửa đất số 209, tờ
P=1837 | X=0120.050-0402.220 | Y=0293.380-0304.620 | BĐĐC số 37 về bên phải và hết ranh thửa đất số 210, tờ BĐĐC
P=1837 | X=0120.050-0411.340 | Y=0304.900-0316.140 | số 37 về bên trái, xã Phú Lý đã được đầu tư mặt đường nhựa, bê
P=1837 | X=0099.410-0110.530 | Y=0312.780-0322.100 | 44
P=1837 | X=0450.890-0467.530 | Y=0312.780-0322.100 | 130
P=1837 | X=0505.390-0522.030 | Y=0312.780-0322.100 | 100
P=1837 | X=0120.050-0180.210 | Y=0316.420-0327.660 | tông xi măng:
P=1837 | X=0120.050-0351.130 | Y=0333.700-0344.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1837 | X=0120.050-0397.240 | Y=0351.220-0362.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1837 | X=0120.050-0389.020 | Y=0369.000-0380.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1837 | X=0120.050-0399.160 | Y=0380.520-0391.760 | Điền đoạn từ Đường tỉnh 761 đến Hết ranh thửa đất số 209, tờ
P=1837 | X=0120.050-0402.220 | Y=0392.040-0403.280 | BĐĐC số 37 về bên phải và hết ranh thửa đất số 210, tờ BĐĐC
P=1837 | X=0120.050-0411.340 | Y=0403.560-0414.800 | số 37 về bên trái, xã Phú Lý đã được đầu tư mặt đường nhựa, bê
P=1837 | X=0120.050-0180.210 | Y=0415.080-0426.320 | tông xi măng:
P=1837 | X=0099.410-0110.530 | Y=0425.840-0435.160 | 45
P=1837 | X=0450.890-0467.530 | Y=0425.840-0435.160 | 100
P=1837 | X=0511.150-0522.270 | Y=0425.840-0435.160 | 80
P=1837 | X=0120.050-0351.600 | Y=0432.600-0443.840 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1837 | X=0120.050-0406.940 | Y=0450.140-0461.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1837 | X=0120.050-0181.170 | Y=0461.660-0472.900 | đến ≤1.000m.
P=1837 | X=0120.050-0343.220 | Y=0479.180-0490.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1837 | X=0120.050-0389.020 | Y=0496.940-0508.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=1837 | X=0120.050-0399.160 | Y=0508.220-0519.460 | Điền đoạn từ Đường tỉnh 761 đến Hết ranh thửa đất số 209, tờ
P=1837 | X=0120.050-0402.220 | Y=0519.740-0530.980 | BĐĐC số 37 về bên phải và hết ranh thửa đất số 210, tờ BĐĐC
P=1837 | X=0120.050-0411.340 | Y=0531.260-0542.500 | số 37 về bên trái, xã Phú Lý đã được đầu tư mặt đường nhựa, bê
P=1837 | X=0099.410-0110.530 | Y=0539.170-0548.490 | 46
P=1837 | X=0456.650-0467.770 | Y=0539.170-0548.490 | 60
P=1837 | X=0511.150-0522.270 | Y=0539.170-0548.490 | 50
P=1837 | X=0120.050-0180.210 | Y=0542.810-0554.050 | tông xi măng:
P=1837 | X=0120.050-0405.860 | Y=0560.330-0571.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1837 | X=0120.050-0343.690 | Y=0577.850-0589.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1837 | X=0120.050-0405.310 | Y=0595.610-0606.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1837 | X=0120.050-0406.390 | Y=0607.130-0618.370 | Đường Bàu Điền đoạn từ Đường tỉnh 761 đến Hết ranh thửa đất
P=1837 | X=0120.050-0406.150 | Y=0618.670-0629.910 | số 209, tờ BĐĐC số 37 về bên phải và hết ranh thửa đất số 210,
P=1837 | X=0120.050-0379.020 | Y=0630.190-0641.430 | tờ BĐĐC số 37 về bên trái, xã Phú Lý đã được đầu tư mặt
P=1837 | X=0099.410-0110.530 | Y=0638.070-0647.390 | 47
P=1837 | X=0450.890-0467.530 | Y=0638.070-0647.390 | 130
P=1837 | X=0505.390-0522.030 | Y=0638.070-0647.390 | 100
P=1837 | X=0120.050-0255.820 | Y=0641.710-0652.950 | đường nhựa, bê tông xi măng:
P=1837 | X=0120.050-0351.130 | Y=0659.230-0670.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1837 | X=0120.050-0397.240 | Y=0676.510-0687.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1837 | X=0120.050-0405.310 | Y=0694.270-0705.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1837 | X=0099.410-0110.530 | Y=0701.940-0711.260 | 48
P=1837 | X=0450.890-0467.530 | Y=0701.940-0711.260 | 100
P=1837 | X=0511.150-0522.270 | Y=0701.940-0711.260 | 80
P=1837 | X=0120.050-0406.390 | Y=0705.810-0717.050 | Đường Bàu Điền đoạn từ Đường tỉnh 761 đến Hết ranh thửa đất
P=1838 | X=0120.050-0406.150 | Y=0072.500-0083.740 | số 209, tờ BĐĐC số 37 về bên phải và hết ranh thửa đất số 210,
P=1838 | X=0120.050-0379.020 | Y=0084.020-0095.260 | tờ BĐĐC số 37 về bên trái, xã Phú Lý đã được đầu tư mặt
P=1838 | X=0120.050-0255.820 | Y=0095.540-0106.780 | đường nhựa, bê tông xi măng:
P=1838 | X=0120.050-0351.600 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1838 | X=0120.050-0406.940 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1838 | X=0120.050-0181.170 | Y=0142.130-0153.370 | đến ≤1.000m.
P=1838 | X=0120.050-0343.220 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1838 | X=0120.050-0405.310 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1838 | X=0120.050-0406.390 | Y=0188.690-0199.930 | Đường Bàu Điền đoạn từ Đường tỉnh 761 đến Hết ranh thửa đất
P=1838 | X=0120.050-0406.150 | Y=0200.230-0211.470 | số 209, tờ BĐĐC số 37 về bên phải và hết ranh thửa đất số 210,
P=1838 | X=0120.050-0379.020 | Y=0211.750-0222.990 | tờ BĐĐC số 37 về bên trái, xã Phú Lý đã được đầu tư mặt
P=1838 | X=0099.410-0110.530 | Y=0219.630-0228.950 | 49
P=1838 | X=0456.650-0467.770 | Y=0219.630-0228.950 | 60
P=1838 | X=0511.150-0522.270 | Y=0219.630-0228.950 | 50
P=1838 | X=0120.050-0255.820 | Y=0223.270-0234.510 | đường nhựa, bê tông xi măng:
P=1838 | X=0120.050-0405.860 | Y=0240.790-0252.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1838 | X=0120.050-0343.690 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1838 | X=0324.360-0406.300 | Y=0277.950-0287.270 | Bên phải: hết ranh
P=1838 | X=0324.360-0409.480 | Y=0287.620-0298.860 | thửa đất số 194, tờ
P=1838 | X=0324.360-0401.730 | Y=0299.140-0310.380 | bản đồ số 37, BĐ
P=1838 | X=0120.050-0189.740 | Y=0304.900-0316.140 | Đường vào khu
P=1838 | X=0324.360-0409.600 | Y=0310.660-0321.900 | ĐC xã Phú Lý. Bên
P=1838 | X=0223.750-0293.950 | Y=0316.420-0327.660 | Đường tỉnh 761
P=1838 | X=0099.410-0201.330 | Y=0318.300-0327.620 | 50 khuyến khích phát
P=1838 | X=0450.890-0467.530 | Y=0318.300-0327.620 | 200
P=1838 | X=0505.390-0522.030 | Y=0318.300-0327.620 | 170
P=1838 | X=0324.360-0404.140 | Y=0323.820-0333.140 | trái: hết ranh thửa
P=1838 | X=0120.050-0185.670 | Y=0327.700-0338.940 | triển chăn nuôi
P=1838 | X=0324.360-0405.580 | Y=0333.460-0344.700 | đất số 234, tờ bản
P=1838 | X=0324.360-0399.540 | Y=0344.980-0356.220 | đồ số 37, BĐ ĐC
P=1838 | X=0324.360-0368.990 | Y=0358.380-0367.700 | xã Phú Lý
P=1838 | X=0120.050-0406.310 | Y=0374.280-0385.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào khu
P=1838 | X=0120.050-0399.100 | Y=0385.800-0397.040 | khuyến khích phát triển chăn nuôi đoạn từ Đường tỉnh 761 đến
P=1838 | X=0120.050-0397.630 | Y=0397.320-0408.560 | Bên phải: hết ranh thửa đất số 194, tờ bản đồ số 37, BĐĐC xã
P=1838 | X=0120.050-0384.550 | Y=0408.840-0420.080 | Phú Lý. Bên trái: hết ranh thửa đất số 234, tờ bản đồ số 37,
P=1838 | X=0099.410-0395.260 | Y=0420.360-0431.800 | 51 BĐĐC xã Phú Lý đã được đầu tư mặt đường nhựa, bê tông xi
P=1838 | X=0450.890-0467.530 | Y=0422.480-0431.800 | 130
P=1838 | X=0505.390-0522.030 | Y=0422.480-0431.800 | 100
P=1838 | X=0120.050-0148.050 | Y=0431.880-0443.120 | măng:
P=1838 | X=0120.050-0351.130 | Y=0449.420-0460.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1838 | X=0120.050-0397.240 | Y=0466.940-0478.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1838 | X=0120.050-0406.310 | Y=0484.460-0495.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào khu
P=1838 | X=0120.050-0399.100 | Y=0495.980-0507.220 | khuyến khích phát triển chăn nuôi đoạn từ Đường tỉnh 761 đến
P=1838 | X=0120.050-0397.630 | Y=0507.500-0518.740 | Bên phải: hết ranh thửa đất số 194, tờ bản đồ số 37, BĐĐC xã
P=1838 | X=0120.050-0384.550 | Y=0519.020-0530.260 | Phú Lý. Bên trái: hết ranh thửa đất số 234, tờ bản đồ số 37,
P=1838 | X=0120.050-0395.240 | Y=0530.540-0541.780 | BĐĐC xã Phú Lý đã được đầu tư mặt đường nhựa, bê tông xi
P=1838 | X=0099.410-0148.050 | Y=0542.090-0556.650 | 52 măng:
P=1838 | X=0450.890-0467.530 | Y=0547.330-0556.650 | 100
P=1838 | X=0511.150-0522.270 | Y=0547.330-0556.650 | 80
P=1838 | X=0120.050-0351.600 | Y=0559.610-0570.850 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1838 | X=0120.050-0406.940 | Y=0577.130-0588.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1838 | X=0120.050-0181.170 | Y=0588.650-0599.890 | đến ≤1.000m.
P=1838 | X=0120.050-0343.220 | Y=0606.170-0617.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1838 | X=0120.050-0406.310 | Y=0623.950-0635.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào khu
P=1838 | X=0120.050-0399.100 | Y=0635.470-0646.710 | khuyến khích phát triển chăn nuôi đoạn từ Đường tỉnh 761 đến
P=1838 | X=0120.050-0397.630 | Y=0646.750-0657.990 | Bên phải: hết ranh thửa đất số 194, tờ bản đồ số 37, BĐĐC xã
P=1838 | X=0099.410-0384.550 | Y=0658.270-0672.590 | 53 Phú Lý. Bên trái: hết ranh thửa đất số 234, tờ bản đồ số 37,
P=1838 | X=0456.650-0467.770 | Y=0663.270-0672.590 | 60
P=1838 | X=0511.150-0522.270 | Y=0663.270-0672.590 | 50
P=1838 | X=0120.050-0395.240 | Y=0669.790-0681.030 | BĐĐC xã Phú Lý đã được đầu tư mặt đường nhựa, bê tông xi
P=1838 | X=0120.050-0148.050 | Y=0681.310-0692.550 | măng:
P=1838 | X=0120.050-0405.860 | Y=0698.830-0710.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1839 | X=0120.050-0343.710 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1839 | X=0120.050-0405.310 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1839 | X=0120.050-0379.370 | Y=0107.780-0119.020 | Đường vào khu khuyến khích phát triển chăn nuôi đoạn từ
P=1839 | X=0120.050-0401.500 | Y=0119.330-0130.570 | Đường tỉnh 761 đến Bên phải: hết ranh thửa đất số 194, tờ bản
P=1839 | X=0120.050-0409.720 | Y=0130.850-0142.090 | đồ số 37, BĐĐC xã Phú Lý. Bên trái: hết ranh thửa đất số 234, tờ
P=1839 | X=0099.410-0383.500 | Y=0142.370-0153.810 | 54 bản đồ số 37, BĐĐC xã Phú Lý đã được đầu tư mặt đường
P=1839 | X=0450.890-0467.530 | Y=0144.490-0153.810 | 130
P=1839 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 100
P=1839 | X=0120.050-0223.160 | Y=0153.650-0164.890 | nhựa, bê tông xi măng:
P=1839 | X=0120.050-0351.130 | Y=0171.170-0182.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1839 | X=0120.050-0397.240 | Y=0188.690-0199.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1839 | X=0120.050-0405.310 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1839 | X=0120.050-0379.370 | Y=0217.990-0229.230 | Đường vào khu khuyến khích phát triển chăn nuôi đoạn từ
P=1839 | X=0120.050-0401.500 | Y=0229.510-0240.750 | Đường tỉnh 761 đến Bên phải: hết ranh thửa đất số 194, tờ bản
P=1839 | X=0120.050-0409.720 | Y=0241.030-0252.270 | đồ số 37, BĐĐC xã Phú Lý. Bên trái: hết ranh thửa đất số 234, tờ
P=1839 | X=0120.050-0383.500 | Y=0252.550-0263.790 | bản đồ số 37, BĐĐC xã Phú Lý đã được đầu tư mặt đường
P=1839 | X=0099.410-0223.170 | Y=0264.070-0278.390 | 55 nhựa, bê tông xi măng:
P=1839 | X=0450.890-0467.530 | Y=0269.070-0278.390 | 100
P=1839 | X=0511.150-0522.270 | Y=0269.070-0278.390 | 80
P=1839 | X=0120.050-0351.600 | Y=0281.620-0292.860 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1839 | X=0120.050-0406.940 | Y=0299.140-0310.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1839 | X=0120.050-0181.170 | Y=0310.660-0321.900 | đến ≤1.000m.
P=1839 | X=0120.050-0343.220 | Y=0327.940-0339.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1839 | X=0120.050-0405.340 | Y=0345.700-0356.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1839 | X=0120.050-0379.370 | Y=0357.220-0368.460 | Đường vào khu khuyến khích phát triển chăn nuôi đoạn từ
P=1839 | X=0120.050-0401.500 | Y=0368.760-0380.000 | Đường tỉnh 761 đến Bên phải: hết ranh thửa đất số 194, tờ bản
P=1839 | X=0120.050-0409.720 | Y=0380.280-0391.520 | đồ số 37, BĐĐC xã Phú Lý. Bên trái: hết ranh thửa đất số 234, tờ
P=1839 | X=0099.410-0383.500 | Y=0391.800-0403.240 | 56 bản đồ số 37, BĐĐC xã Phú Lý đã được đầu tư mặt đường
P=1839 | X=0456.650-0467.770 | Y=0393.920-0403.240 | 60
P=1839 | X=0511.150-0522.270 | Y=0393.920-0403.240 | 50
P=1839 | X=0120.050-0223.180 | Y=0403.320-0414.560 | nhựa, bê tông xi măng:
P=1839 | X=0120.050-0405.860 | Y=0420.840-0432.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1839 | X=0120.050-0343.690 | Y=0438.360-0449.600 | - Có bề rộng <3m, cách đường giao thông >200m.
