TABLE=043 | AREA=Xã Định Quán | SECTION=agricultural | SEGMENTS=1
P=1508 | X=0112.370-0390.700 | Y=0487.340-0498.580 | từ Cổng số 1 đến Hết ranh thửa đất số 12, tờ BĐĐC số 228 về
P=1508 | X=0112.370-0407.240 | Y=0498.860-0510.100 | bên trái và hết ranh thửa đất số 7, tờ BĐĐC số 227 về bên phải có
P=1508 | X=0092.420-0305.980 | Y=0510.380-0521.820 | 107 hiện trạng là đường nhựa, bê tông xi măng:
P=1508 | X=0452.090-0468.730 | Y=0512.500-0521.820 | 140
P=1508 | X=0505.390-0522.030 | Y=0512.500-0521.820 | 110
P=1508 | X=0112.370-0343.450 | Y=0527.900-0539.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1508 | X=0112.370-0389.560 | Y=0545.450-0556.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1508 | X=0112.370-0405.100 | Y=0563.450-0574.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 105 đoạn
P=1508 | X=0112.370-0390.700 | Y=0574.970-0586.210 | từ Cổng số 1 đến Hết ranh thửa đất số 12, tờ BĐĐC số 228 về
P=1508 | X=0112.370-0406.520 | Y=0586.250-0597.490 | bên trái và hết ranh thửa đất số 7, tờ BDBC số 227 về bên phải có
P=1508 | X=0112.370-0305.980 | Y=0597.770-0609.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=1508 | X=0092.420-0343.920 | Y=0614.530-0626.530 | 108 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1508 | X=0452.090-0468.730 | Y=0614.530-0623.850 | 110
P=1508 | X=0511.150-0522.270 | Y=0614.530-0623.850 | 70
P=1508 | X=0112.370-0399.260 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1508 | X=0112.370-0173.490 | Y=0644.350-0655.590 | đến ≤1.000m.
P=1508 | X=0112.370-0335.540 | Y=0661.870-0673.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1508 | X=0112.370-0405.100 | Y=0679.870-0691.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 105 đoạn
P=1508 | X=0092.420-0390.700 | Y=0691.390-0702.630 | 109 từ Cổng số 1 đến Hết ranh thửa đất số 12, tờ BĐĐC số 228 về
P=1508 | X=0457.850-0468.970 | Y=0693.270-0702.590 | 70
P=1508 | X=0511.150-0522.270 | Y=0693.270-0702.590 | 40
P=1508 | X=0112.370-0407.240 | Y=0702.930-0714.170 | bên trái và hết ranh thửa đất số 7, tờ BĐĐC số 227 về bên phải có
P=1509 | X=0112.370-0305.980 | Y=0072.740-0083.980 | hiện trạng là đường nhựa, bê tông xi măng:
P=1509 | X=0112.370-0398.180 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1509 | X=0112.370-0336.010 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1509 | X=0112.370-0397.630 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1509 | X=0112.370-0391.950 | Y=0137.330-0148.570 | Đường 105 đoạn từ Cổng số 1 đến Hết ranh thửa đất số 12, tờ
P=1509 | X=0112.370-0396.950 | Y=0148.850-0160.090 | BĐĐC số 228 về bên trái và hết ranh thửa đất số 7, tờ BĐĐC số
P=1509 | X=0092.420-0393.150 | Y=0160.370-0171.810 | 110 227 về bên phải có hiện trạng là đường nhựa, bê tông xi măng:
P=1509 | X=0452.090-0468.730 | Y=0162.490-0171.810 | 140
P=1509 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 110
P=1509 | X=0112.370-0343.450 | Y=0177.650-0188.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1509 | X=0112.370-0389.560 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1509 | X=0112.370-0397.630 | Y=0213.190-0224.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1509 | X=0112.370-0391.950 | Y=0224.710-0235.950 | Đường 105 đoạn từ Cổng số 1 đến Hết ranh thửa đất số 12, tờ
P=1509 | X=0112.370-0396.950 | Y=0236.230-0247.470 | BĐĐC số 228 về bên trái và hết ranh thửa đất số 7, tờ BĐĐC số
P=1509 | X=0112.370-0393.150 | Y=0247.750-0258.990 | 227 về bên phải có hiện trạng là đường nhựa, bê tông xi măng:
P=1509 | X=0092.420-0343.920 | Y=0264.510-0276.510 | 111 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1509 | X=0452.090-0468.730 | Y=0264.510-0273.830 | 110
P=1509 | X=0511.150-0522.270 | Y=0264.510-0273.830 | 70
P=1509 | X=0112.370-0399.260 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1509 | X=0112.370-0173.490 | Y=0294.340-0305.580 | đến ≤1.000m.
P=1509 | X=0112.370-0335.570 | Y=0311.860-0323.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1509 | X=0112.370-0397.630 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1509 | X=0112.370-0391.950 | Y=0341.380-0352.620 | Đường 105 đoạn từ Cổng số 1 đến Hết ranh thửa đất số 12, tờ
P=1509 | X=0112.370-0396.950 | Y=0352.900-0364.140 | BĐĐC số 228 về bên trái và hết ranh thửa đất số 7, tờ BĐĐC số
P=1509 | X=0092.420-0393.170 | Y=0364.180-0375.860 | 112 227 về bên phải có hiện trạng là đường nhựa, bê tông xi măng:
P=1509 | X=0457.850-0468.970 | Y=0366.540-0375.860 | 70
P=1509 | X=0511.150-0522.270 | Y=0366.540-0375.860 | 40
P=1509 | X=0112.370-0398.180 | Y=0381.720-0392.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1509 | X=0112.370-0336.010 | Y=0399.240-0410.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1509 | X=0292.200-0400.150 | Y=0417.240-0428.480 | Hết dốc Lê Thê (đến hết
P=1509 | X=0292.200-0389.070 | Y=0428.760-0440.000 | ranh thửa đất số 1, tờ
P=1509 | X=0292.200-0402.940 | Y=0440.280-0451.520 | BĐĐC số 115 về bên trái
P=1509 | X=0092.420-0163.580 | Y=0446.040-0457.280 | 113 Đường 104
P=1509 | X=0198.070-0246.660 | Y=0447.920-0457.240 | Quốc lộ 20
P=1509 | X=0452.090-0468.730 | Y=0447.920-0457.240 | 250
P=1509 | X=0505.390-0522.030 | Y=0447.920-0457.240 | 220
P=1509 | X=0292.200-0406.870 | Y=0451.820-0463.060 | và hết ranh thửa đất số 2,
P=1509 | X=0292.200-0398.380 | Y=0463.340-0474.580 | tờ BĐĐC số 115 về bên
P=1509 | X=0292.200-0314.520 | Y=0476.740-0486.060 | phải)
P=1509 | X=0112.370-0405.100 | Y=0492.860-0504.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1509 | X=0112.370-0401.250 | Y=0504.380-0515.620 | từ Quốc lộ 20 đến Hết dốc Lê Thê (đến hết ranh thửa đất số 1, là
P=1509 | X=0112.370-0396.950 | Y=0515.900-0527.140 | BĐĐC số 115 về bên trái và hết ranh thửa đất số 2, tờ BĐĐC số
P=1509 | X=0092.420-0396.510 | Y=0527.420-0538.860 | 114 115 về bên phải) có hiện trạng là đường nhựa, bê tông xi măng:
P=1509 | X=0452.090-0468.730 | Y=0529.540-0538.860 | 150
P=1509 | X=0505.390-0522.030 | Y=0529.540-0538.860 | 130
P=1509 | X=0112.370-0343.450 | Y=0544.970-0556.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1509 | X=0112.370-0389.560 | Y=0562.250-0573.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1509 | X=0112.370-0405.100 | Y=0580.250-0591.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1509 | X=0112.370-0402.750 | Y=0591.770-0603.010 | từ Quốc lộ 20 đến Hết dốc Lê Thê (đến hết ranh thửa đất số 1, tờ
P=1509 | X=0112.370-0396.460 | Y=0603.290-0614.530 | BĐĐC số 115 về bên trái và hết ranh thửa đất số 2, tờ BĐBC số
P=1509 | X=0112.370-0396.510 | Y=0614.810-0626.050 | 115 về bên phải) có hiện trạng là đường nhựa, bê tông xi măng:
P=1509 | X=0092.420-0343.920 | Y=0631.590-0643.590 | 115 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1509 | X=0452.090-0468.730 | Y=0631.590-0640.910 | 120
P=1509 | X=0511.150-0522.270 | Y=0631.590-0640.910 | 90
P=1509 | X=0112.370-0396.370 | Y=0649.870-0661.110 | -Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1509 | X=0112.370-0173.490 | Y=0661.390-0672.630 | đến ≤1.000m.
P=1509 | X=0112.370-0335.540 | Y=0678.910-0690.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1509 | X=0112.370-0405.100 | Y=0696.910-0708.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1509 | X=0092.420-0109.060 | Y=0704.580-0713.900 | 116
P=1509 | X=0457.850-0468.970 | Y=0704.580-0713.900 | 80
P=1509 | X=0511.150-0522.270 | Y=0704.580-0713.900 | 50
P=1509 | X=0112.370-0402.750 | Y=0708.450-0719.690 | từ Quốc lộ 20 đến Hết dốc Lê Thê (đến hết ranh thửa đất số 1, tờ
P=1510 | X=0112.370-0396.940 | Y=0072.740-0083.980 | BĐĐC số 115 về bên trái và hết ranh thửa đất số 2, tờ BĐĐC số
P=1510 | X=0112.370-0396.510 | Y=0084.260-0095.500 | 115 về bên phải) có hiện trạng là đường nhựa, bê tông xi măng:
P=1510 | X=0112.370-0398.180 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1510 | X=0112.370-0336.010 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1510 | X=0112.370-0397.630 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1510 | X=0112.370-0404.860 | Y=0148.850-0160.090 | Đường 104 đoạn từ Quốc lộ 20 đến Hết dốc Lê Thê (đến hết ranh
P=1510 | X=0112.370-0405.820 | Y=0160.370-0171.610 | thửa đất số 1, tờ BĐĐC số 115 về bên trái và hết ranh thửa đất số
P=1510 | X=0112.370-0401.500 | Y=0171.650-0182.890 | 2, tờ BĐĐC số 115 về bên phải) có hiện trạng là đường nhựa, bê
P=1510 | X=0092.420-0109.060 | Y=0179.530-0188.850 | 117
P=1510 | X=0452.090-0468.730 | Y=0179.530-0188.850 | 150
P=1510 | X=0505.390-0522.030 | Y=0179.530-0188.850 | 130
P=1510 | X=0112.370-0172.530 | Y=0183.170-0194.410 | tông xi măng:
P=1510 | X=0112.370-0343.450 | Y=0200.710-0211.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1510 | X=0112.370-0389.560 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1510 | X=0112.370-0397.630 | Y=0236.230-0247.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1510 | X=0112.370-0404.860 | Y=0247.750-0258.990 | Đường 104 đoạn từ Quốc lộ 20 đến Hết dốc Lê Thê (đến hết ranh
P=1510 | X=0112.370-0405.820 | Y=0259.270-0270.510 | thửa đất số 1, tờ BĐĐC số 115 về bên trái và hết ranh thửa đất số
P=1510 | X=0112.370-0401.500 | Y=0270.790-0282.030 | 2, tờ BĐĐC số 115 về bên phải) có hiện trạng là đường nhựa, bê
P=1510 | X=0112.370-0172.530 | Y=0282.340-0293.580 | tông xi măng:
P=1510 | X=0092.420-0109.060 | Y=0293.100-0302.420 | 118
P=1510 | X=0452.090-0468.730 | Y=0293.100-0302.420 | 120
P=1510 | X=0511.150-0522.270 | Y=0293.100-0302.420 | 90
P=1510 | X=0112.370-0343.920 | Y=0299.860-0311.100 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1510 | X=0112.370-0399.260 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1510 | X=0112.370-0173.490 | Y=0328.900-0340.140 | đến ≤1.000m.
P=1510 | X=0112.370-0335.540 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1510 | X=0112.370-0397.630 | Y=0364.180-0375.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1510 | X=0112.370-0404.860 | Y=0375.720-0386.960 | Đường 104 đoạn từ Quốc lộ 20 đến Hết dốc Lê Thê (đến hết ranh
P=1510 | X=0112.370-0405.820 | Y=0387.240-0398.480 | thửa đất số 1, tờ BĐĐC số 115 về bên trái và hết ranh thửa đất số
P=1510 | X=0112.370-0401.500 | Y=0398.760-0410.000 | 2, tờ BĐĐC số 115 về bên phải) có hiện trạng là đường nhựa, bê
P=1510 | X=0092.420-0109.060 | Y=0406.640-0415.960 | 119
P=1510 | X=0457.850-0468.970 | Y=0406.640-0415.960 | 80
P=1510 | X=0511.150-0522.270 | Y=0406.640-0415.960 | 50
P=1510 | X=0112.370-0172.520 | Y=0410.280-0421.520 | tông xi măng:
P=1510 | X=0112.370-0398.180 | Y=0427.800-0439.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1510 | X=0112.370-0336.010 | Y=0445.320-0456.560 | - Có bề rộng <3m. cách đường giao thông >200m.
P=1510 | X=0292.200-0388.530 | Y=0463.340-0474.580 | Ao cá Huyện ủy (phía
P=1510 | X=0092.420-0163.580 | Y=0469.100-0480.340 | 120 Đường 104
P=1510 | X=0198.070-0246.660 | Y=0470.980-0480.300 | Quốc lộ 20
P=1510 | X=0452.090-0468.730 | Y=0470.980-0480.300 | 250
P=1510 | X=0505.390-0522.030 | Y=0470.980-0480.300 | 220
P=1510 | X=0292.200-0368.040 | Y=0476.740-0486.060 | Nam Quốc lộ 20)
P=1510 | X=0112.370-0405.100 | Y=0492.860-0504.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1510 | X=0112.370-0405.100 | Y=0504.380-0515.620 | từ Quốc lộ 20 đến Ao cá Huyện ủy (phía Nam Quốc lộ 20) có hiện
P=1510 | X=0112.370-0284.150 | Y=0515.900-0527.140 | trạng là đường nhựa, bê tông xi măng:
P=1510 | X=0092.420-0109.060 | Y=0523.780-0533.100 | 121
P=1510 | X=0452.090-0468.730 | Y=0523.780-0533.100 | 150
P=1510 | X=0505.390-0522.030 | Y=0523.780-0533.100 | 130
P=1510 | X=0112.370-0343.450 | Y=0533.450-0544.690 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1510 | X=0112.370-0389.560 | Y=0550.970-0562.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1510 | X=0112.370-0405.100 | Y=0568.970-0580.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1510 | X=0112.370-0405.100 | Y=0580.250-0591.490 | từ Quốc lộ 20 đến Ao cá Huyện ủy (phía Nam Quốc lộ 20) có hiện
P=1510 | X=0112.370-0284.150 | Y=0591.770-0603.010 | trạng là đường nhựa, bê tông xi măng:
P=1510 | X=0092.420-0343.920 | Y=0609.290-0623.610 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1510 | X=0452.090-0468.730 | Y=0614.290-0623.610 | 120
P=1510 | X=0511.150-0522.270 | Y=0614.290-0623.610 | 90
P=1510 | X=0112.370-0399.260 | Y=0626.830-0638.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1510 | X=0112.370-0173.490 | Y=0638.350-0649.590 | đến ≤1.000m.
P=1510 | X=0112.370-0335.540 | Y=0655.870-0667.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1510 | X=0112.370-0405.100 | Y=0673.870-0685.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1510 | X=0092.420-0405.100 | Y=0685.390-0696.630 | 123 từ Quốc lộ 20 đến Ao cá Huyện ủy (phía Nam Quốc lộ 20) có hiện
P=1510 | X=0457.850-0468.970 | Y=0687.270-0696.590 | 80
P=1510 | X=0511.150-0522.270 | Y=0687.270-0696.590 | 50
P=1510 | X=0112.370-0284.150 | Y=0696.910-0708.150 | trạng là đường nhựa, bê tông xi măng:
P=1511 | X=0112.370-0398.180 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1511 | X=0112.370-0336.010 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1511 | X=0112.370-0397.630 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1511 | X=0112.370-0393.940 | Y=0125.810-0137.050 | Đường 104 đoạn từ Quốc lộ 20 đến Ao cá Huyện ủy (phía Nam
P=1511 | X=0112.370-0373.490 | Y=0137.330-0148.570 | Quốc lộ 20) có hiện trạng là đường nhựa, bê tông xi măng:
P=1511 | X=0092.420-0109.060 | Y=0145.210-0154.530 | 124
P=1511 | X=0452.090-0468.730 | Y=0145.210-0154.530 | 150
P=1511 | X=0505.390-0522.030 | Y=0145.210-0154.530 | 130
P=1511 | X=0112.370-0343.450 | Y=0154.850-0166.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1511 | X=0112.370-0389.560 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1511 | X=0112.370-0397.630 | Y=0190.370-0201.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1511 | X=0112.370-0393.940 | Y=0201.670-0212.910 | Đường 104 đoạn từ Quốc lộ 20 đến Ao cá Huyện ủy (phía Nam
P=1511 | X=0112.370-0373.470 | Y=0213.190-0224.430 | Quốc lộ 20) có hiện trạng là đường nhựa, bê tông xi măng:
P=1511 | X=0092.420-0343.920 | Y=0230.710-0245.030 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1511 | X=0452.090-0468.730 | Y=0235.710-0245.030 | 120
P=1511 | X=0511.150-0522.270 | Y=0235.710-0245.030 | 90
P=1511 | X=0112.370-0399.260 | Y=0248.230-0259.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1511 | X=0112.370-0173.490 | Y=0259.750-0270.990 | đến ≤1.000m.
P=1511 | X=0112.370-0335.540 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1511 | X=0112.370-0397.630 | Y=0295.300-0306.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1511 | X=0112.370-0393.940 | Y=0306.820-0318.060 | Đường 104 đoạn từ Quốc lộ 20 đến Ao cá Huyện ủy (phía Nam
P=1511 | X=0112.370-0373.470 | Y=0318.340-0329.580 | Quốc lộ 20) có hiện trạng là đường nhựa, bê tông xi măng:
P=1511 | X=0092.420-0109.060 | Y=0326.220-0335.540 | 126
P=1511 | X=0457.850-0468.970 | Y=0326.220-0335.540 | 80
P=1511 | X=0511.150-0522.270 | Y=0326.220-0335.540 | 50
P=1511 | X=0112.370-0398.180 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1511 | X=0112.370-0336.040 | Y=0353.380-0364.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1511 | X=0198.070-0268.900 | Y=0371.400-0382.640 | Ao cá Huyện ủy
P=1511 | X=0092.420-0163.580 | Y=0382.920-0394.160 | 127 Đường 104
P=1511 | X=0198.070-0333.960 | Y=0384.800-0394.120 | (phía Nam Quốc lộ Cầu RAP
P=1511 | X=0452.090-0468.730 | Y=0384.800-0394.120 | 250
P=1511 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 220
P=1511 | X=0198.070-0212.470 | Y=0396.080-0405.400 | 20)
P=1511 | X=0112.370-0405.100 | Y=0412.200-0423.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1511 | X=0112.370-0395.990 | Y=0423.720-0434.960 | từ Ao cá Huyện ủy (phía Nam Quốc lộ 20) đến cầu RAP có hiện
P=1511 | X=0112.370-0284.150 | Y=0435.240-0446.480 | trạng là đường nhựa, bê tông xi măng:
P=1511 | X=0092.420-0109.060 | Y=0443.120-0452.440 | 128
P=1511 | X=0452.090-0468.730 | Y=0443.120-0452.440 | 150
P=1511 | X=0505.390-0522.030 | Y=0443.120-0452.440 | 130
P=1511 | X=0112.370-0343.450 | Y=0452.780-0464.020 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1511 | X=0112.370-0389.560 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1511 | X=0112.370-0405.100 | Y=0488.300-0499.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1511 | X=0112.370-0395.990 | Y=0499.820-0511.060 | từ Ao cá Huyện ủy (phía Nam Quốc lộ 20) đến cầu RAP có hiện
P=1511 | X=0112.370-0284.160 | Y=0511.340-0522.580 | trạng là đường nhựa, bê tông xi măng:
P=1511 | X=0092.420-0343.920 | Y=0528.860-0542.940 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1511 | X=0452.090-0468.730 | Y=0533.620-0542.940 | 120
P=1511 | X=0511.150-0522.270 | Y=0533.620-0542.940 | 90
P=1511 | X=0112.370-0399.260 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1511 | X=0112.370-0173.490 | Y=0557.930-0569.170 | đến ≤1.000m.
P=1511 | X=0112.370-0335.540 | Y=0575.450-0586.690 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1511 | X=0112.370-0405.100 | Y=0593.450-0604.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1511 | X=0112.370-0395.990 | Y=0604.970-0616.210 | từ Ao cá Huyện ủy (phía Nam Quốc lộ 20) đến cầu RAP có hiện
P=1511 | X=0112.370-0284.150 | Y=0616.270-0627.510 | trạng là đường nhựa, bê tông xi măng:
P=1511 | X=0092.420-0109.060 | Y=0624.150-0633.470 | 130
P=1511 | X=0457.850-0468.970 | Y=0624.150-0633.470 | 80
P=1511 | X=0511.150-0522.270 | Y=0624.150-0633.470 | 50
P=1511 | X=0112.370-0398.180 | Y=0633.790-0645.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1511 | X=0112.370-0335.540 | Y=0651.310-0662.550 | - Có bề rộng ≤3m, cách đường giao thông >200m.
P=1511 | X=0112.370-0397.630 | Y=0669.310-0680.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1511 | X=0092.420-0397.670 | Y=0680.830-0692.070 | 131 Đường 104 đoạn từ Ao cá Huyện ủy (phía Nam Quốc lộ 20) đến
P=1511 | X=0452.090-0468.730 | Y=0682.710-0692.030 | 150
P=1511 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 130
P=1511 | X=0112.370-0361.460 | Y=0692.350-0703.590 | cầu RAP có hiện trạng là đường nhựa, bê tông xi măng:
P=1512 | X=0112.370-0343.450 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1512 | X=0112.370-0389.560 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1512 | X=0112.370-0397.630 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1512 | X=0112.370-0397.670 | Y=0125.810-0137.050 | Đường 104 đoạn từ Ao cá Huyện ủy (phía Nam Quốc lộ 20) đến
P=1512 | X=0112.370-0361.460 | Y=0137.330-0148.570 | cầu RAP có hiện trạng là đường nhựa, bê tông xi măng:
P=1512 | X=0092.420-0343.920 | Y=0154.850-0168.930 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1512 | X=0452.090-0468.730 | Y=0159.610-0168.930 | 120
P=1512 | X=0511.150-0522.270 | Y=0159.610-0168.930 | 90
P=1512 | X=0112.370-0399.260 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1512 | X=0112.370-0173.490 | Y=0183.650-0194.890 | đến ≤1.000m.
P=1512 | X=0112.370-0335.540 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1512 | X=0112.370-0397.630 | Y=0219.190-0230.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1512 | X=0112.370-0397.670 | Y=0230.710-0241.950 | Đường 104 đoạn từ Ao cá Huyện ủy (phía Nam Quốc lộ 20) đến
P=1512 | X=0112.370-0361.460 | Y=0242.230-0253.470 | cầu RAP có hiện trạng là đường nhựa, bê tông xi măng:
P=1512 | X=0092.420-0109.060 | Y=0250.110-0259.430 | 133
P=1512 | X=0457.850-0468.970 | Y=0250.110-0259.430 | 80
P=1512 | X=0511.150-0522.270 | Y=0250.110-0259.430 | 50
P=1512 | X=0112.370-0398.180 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1512 | X=0112.370-0336.010 | Y=0277.270-0288.510 | - Có bề rộng <3m. cách đường giao thông >200m.
P=1512 | X=0292.200-0393.580 | Y=0295.300-0306.540 | Bên phải, đến hết ranh
P=1512 | X=0292.200-0397.420 | Y=0306.820-0318.060 | thửa đất số 1, tờ BĐĐC
P=1512 | X=0292.200-0391.740 | Y=0318.340-0329.580 | số 237, xã Định Quán,
P=1512 | X=0092.420-0163.580 | Y=0324.100-0335.340 | 134 Đường 104
P=1512 | X=0198.070-0239.830 | Y=0325.980-0335.300 | Cầu RAP
P=1512 | X=0452.090-0468.730 | Y=0325.980-0335.300 | 250
P=1512 | X=0505.390-0522.030 | Y=0325.980-0335.300 | 220
P=1512 | X=0292.200-0388.540 | Y=0329.860-0341.100 | Bên trái, đến hết ranh
P=1512 | X=0292.200-0397.420 | Y=0341.380-0352.620 | thửa đất số 6, tờ BĐĐC
P=1512 | X=0292.200-0389.010 | Y=0352.900-0364.140 | số 237, xã Định Quán
P=1512 | X=0112.370-0405.100 | Y=0370.920-0382.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 104 đoạn
P=1512 | X=0112.370-0395.740 | Y=0382.200-0393.440 | từ cầu RAP đến Bên phải, đến hết ranh thửa đất số 1, tờ BĐĐC
P=1512 | X=0112.370-0387.630 | Y=0393.720-0404.960 | số 237, xã Định Quán, Bên trái, đến hết ranh thửa đất số 6, tờ
P=1512 | X=0112.370-0387.100 | Y=0405.240-0416.480 | BĐĐC số 237, xã Định Quán có hiện trạng là đường nhựa, bê
P=1512 | X=0092.420-0109.060 | Y=0413.120-0422.440 | 135
P=1512 | X=0452.090-0468.730 | Y=0413.120-0422.440 | 150
P=1512 | X=0505.390-0522.030 | Y=0413.120-0422.440 | 130
P=1512 | X=0112.370-0172.530 | Y=0416.760-0428.000 | tông xi măng:
P=1512 | X=0112.370-0343.450 | Y=0434.280-0445.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m,
P=1512 | X=0112.370-0389.560 | Y=0451.820-0463.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
