TABLE=049 | AREA=Xã Tà Lài | SECTION=agricultural | SEGMENTS=1
P=1691 | X=0114.530-0418.540 | Y=0657.790-0669.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1691 | X=0114.530-0413.250 | Y=0669.310-0680.550 | từ Ngã ba chùa Bửu Tân đến Đường Km12 (cổng văn hóa ấp 2) có
P=1691 | X=0096.530-0308.140 | Y=0680.070-0692.070 | 31 hiện trạng là đường nhựa, bê tông xi măng:
P=1691 | X=0464.090-0475.210 | Y=0680.070-0689.390 | 90
P=1691 | X=0511.150-0522.270 | Y=0680.070-0689.390 | 70
P=1691 | X=0114.530-0346.080 | Y=0698.350-0709.590 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1692 | X=0114.530-0401.420 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1692 | X=0114.530-0175.650 | Y=0090.260-0101.500 | đến ≤1.000m.
P=1692 | X=0114.530-0337.700 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1692 | X=0114.530-0418.540 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1692 | X=0114.530-0413.250 | Y=0137.330-0148.570 | từ Ngã ba chùa Bửu Tân đến Đường Km12 (cổng văn hóa ấp 2) có
P=1692 | X=0114.530-0308.140 | Y=0148.850-0160.090 | hiện trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0096.530-0107.650 | Y=0156.730-0166.050 | 32
P=1692 | X=0464.090-0475.210 | Y=0156.730-0166.050 | 55
P=1692 | X=0511.150-0522.270 | Y=0156.730-0166.050 | 50
P=1692 | X=0114.530-0400.340 | Y=0166.370-0177.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1692 | X=0114.530-0338.170 | Y=0183.650-0194.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1692 | X=0114.530-0399.790 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1692 | X=0114.530-0398.140 | Y=0213.190-0224.430 | Đường Tà Lài đoạn từ Ngã ba chùa Bửu Tân đến Đường Km12
P=1692 | X=0114.530-0413.330 | Y=0224.710-0235.950 | (cổng văn hóa ấp 2) có hiện trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0096.530-0107.650 | Y=0232.590-0241.910 | 33
P=1692 | X=0458.330-0474.970 | Y=0232.590-0241.910 | 130
P=1692 | X=0505.390-0522.030 | Y=0232.590-0241.910 | 100
P=1692 | X=0114.530-0345.610 | Y=0242.230-0253.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1692 | X=0114.530-0391.720 | Y=0259.750-0270.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1692 | X=0114.530-0399.790 | Y=0277.750-0288.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1692 | X=0114.530-0417.580 | Y=0289.300-0300.540 | Đường Tà Lài đoạn từ Ngã ba chùa Bửu Tân đến Đường K12 (cổng
P=1692 | X=0114.530-0385.470 | Y=0300.820-0312.060 | văn hóa ấp 2) có hiện trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0096.530-0346.080 | Y=0318.340-0332.420 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1692 | X=0464.090-0475.210 | Y=0323.100-0332.420 | 90
P=1692 | X=0511.150-0522.270 | Y=0323.100-0332.420 | 70
P=1692 | X=0114.530-0401.420 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1692 | X=0114.530-0175.650 | Y=0347.380-0358.620 | đến ≤1.000m.
P=1692 | X=0114.530-0337.700 | Y=0364.900-0376.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1692 | X=0114.530-0399.790 | Y=0382.920-0394.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1692 | X=0114.530-0398.140 | Y=0394.200-0405.440 | Đường Tà Lài đoạn từ Ngã ba chùa Bửu Tân đến Đường Km12
P=1692 | X=0114.530-0413.310 | Y=0405.720-0416.960 | (cổng văn hóa ấp 2) có hiện trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0096.530-0107.650 | Y=0413.600-0422.920 | 35
P=1692 | X=0464.090-0475.210 | Y=0413.600-0422.920 | 55
P=1692 | X=0511.150-0522.270 | Y=0413.600-0422.920 | 50
P=1692 | X=0114.530-0400.340 | Y=0423.240-0434.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1692 | X=0114.530-0338.170 | Y=0440.760-0452.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1692 | X=0216.550-0305.010 | Y=0458.780-0470.020 | Đường Km12 (cổng
P=1692 | X=0096.530-0176.760 | Y=0464.540-0475.780 | 36 Đường Tà Lài
P=1692 | X=0318.600-0381.590 | Y=0464.540-0475.780 | Đường ấp 2-4
P=1692 | X=0458.330-0474.970 | Y=0466.420-0475.740 | 200
P=1692 | X=0505.390-0522.030 | Y=0466.420-0475.740 | 170
P=1692 | X=0216.550-0278.020 | Y=0470.300-0481.540 | văn hóa ấp 2)
P=1692 | X=0114.530-0418.540 | Y=0488.300-0499.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1692 | X=0114.530-0399.340 | Y=0499.820-0511.060 | từ Đường Km12 (cổng văn hóa ấp 2) đến Đường ấp 2-4 có hiện
P=1692 | X=0114.530-0286.310 | Y=0511.340-0522.580 | trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0096.530-0107.650 | Y=0519.220-0528.540 | 37
P=1692 | X=0458.330-0474.970 | Y=0519.220-0528.540 | 130
P=1692 | X=0505.390-0522.030 | Y=0519.220-0528.540 | 100
P=1692 | X=0114.530-0345.610 | Y=0528.860-0540.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1692 | X=0114.530-0391.720 | Y=0546.410-0557.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1692 | X=0114.530-0418.540 | Y=0564.410-0575.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1692 | X=0114.530-0399.340 | Y=0575.930-0587.170 | từ Đường Km12 (cổng văn hóa ấp 2) đến Đường ấp 2-4 có hiện
P=1692 | X=0114.530-0286.310 | Y=0587.450-0598.690 | trạng là đường nhựa, bê tông xi măng:
P=1692 | X=0096.530-0346.080 | Y=0604.970-0619.050 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1692 | X=0464.090-0475.210 | Y=0609.730-0619.050 | 90
P=1692 | X=0511.150-0522.270 | Y=0609.730-0619.050 | 70
P=1692 | X=0114.530-0401.420 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1692 | X=0114.530-0175.650 | Y=0633.790-0645.030 | đến ≤1.000m.
P=1692 | X=0114.530-0337.700 | Y=0651.310-0662.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1692 | X=0114.530-0418.540 | Y=0669.310-0680.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1692 | X=0096.530-0399.340 | Y=0680.830-0692.070 | 39 từ Đường Km12 (cổng văn hóa ấp 2) đến Đường ấp 2-4 có hiện
P=1692 | X=0464.090-0475.210 | Y=0682.710-0692.030 | 55
P=1692 | X=0511.150-0522.270 | Y=0682.710-0692.030 | 50
P=1692 | X=0114.530-0289.180 | Y=0692.350-0703.590 | trạng là đường nhựa, bê tông, xi măng:
P=1693 | X=0114.530-0400.340 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1693 | X=0114.530-0338.170 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1693 | X=0114.530-0399.790 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1693 | X=0114.530-0388.550 | Y=0125.810-0137.050 | Đường Tà Lài đoạn từ Đường Km12 (cổng văn hóa ấp 2) đến
P=1693 | X=0114.530-0386.920 | Y=0137.330-0148.570 | Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1693 | X=0096.530-0107.650 | Y=0145.210-0154.530 | 40
P=1693 | X=0458.330-0474.970 | Y=0145.210-0154.530 | 130
P=1693 | X=0505.390-0522.030 | Y=0145.210-0154.530 | 100
P=1693 | X=0114.530-0345.610 | Y=0154.850-0166.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1693 | X=0114.530-0391.740 | Y=0172.370-0183.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1693 | X=0114.530-0399.790 | Y=0190.370-0201.610 | Các tuyến đường giao thông không đầu nối trực tiếp và thông ra
P=1693 | X=0114.530-0388.550 | Y=0201.670-0212.910 | Đường Tà Lài đoạn từ Đường Km12 (cổng văn hóa ấp 2) đến
P=1693 | X=0114.530-0386.920 | Y=0213.190-0224.430 | Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1693 | X=0096.530-0346.080 | Y=0230.710-0245.030 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1693 | X=0464.090-0475.210 | Y=0235.710-0245.030 | 90
P=1693 | X=0511.150-0522.270 | Y=0235.710-0245.030 | 70
P=1693 | X=0114.530-0401.420 | Y=0248.230-0259.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1693 | X=0114.530-0175.650 | Y=0259.750-0270.990 | đến ≤1.000m.
P=1693 | X=0114.530-0337.700 | Y=0277.270-0288.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1693 | X=0114.530-0399.790 | Y=0295.300-0306.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1693 | X=0114.530-0388.550 | Y=0306.820-0318.060 | Đường Tà Lài đoạn từ Đường Km12 (cổng văn hóa ấp 2) đến
P=1693 | X=0114.530-0386.920 | Y=0318.340-0329.580 | Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1693 | X=0096.530-0107.650 | Y=0326.220-0335.540 | 42
P=1693 | X=0464.090-0475.210 | Y=0326.220-0335.540 | 55
P=1693 | X=0511.150-0522.270 | Y=0326.220-0335.540 | 50
P=1693 | X=0114.530-0400.340 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1693 | X=0114.530-0338.170 | Y=0353.380-0364.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1693 | X=0096.530-0176.760 | Y=0371.400-0382.640 | 43 Đường Tà Lài
P=1693 | X=0216.550-0279.550 | Y=0371.400-0382.640 | Đường ấp 2-4
P=1693 | X=0318.600-0381.590 | Y=0371.400-0382.640 | Đường ấp 3-4
P=1693 | X=0458.330-0474.970 | Y=0373.280-0382.600 | 200
P=1693 | X=0505.390-0522.030 | Y=0373.280-0382.600 | 170
P=1693 | X=0114.530-0418.540 | Y=0389.400-0400.640 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1693 | X=0114.530-0407.590 | Y=0400.920-0412.160 | từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện trạng là đường nhựa,
P=1693 | X=0114.530-0188.610 | Y=0412.200-0423.440 | bê tông xi măng:
P=1693 | X=0096.530-0107.650 | Y=0420.080-0429.400 | 44
P=1693 | X=0458.330-0474.970 | Y=0420.080-0429.400 | 130
P=1693 | X=0505.390-0522.030 | Y=0420.080-0429.400 | 100
P=1693 | X=0114.530-0345.610 | Y=0429.720-0440.960 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1693 | X=0114.530-0391.720 | Y=0447.240-0458.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1693 | X=0114.530-0418.540 | Y=0465.260-0476.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1693 | X=0114.530-0407.590 | Y=0476.780-0488.020 | từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện trạng là đường nhựa,
P=1693 | X=0114.530-0188.610 | Y=0488.300-0499.540 | bê tông xi măng:
P=1693 | X=0096.530-0346.080 | Y=0505.820-0520.140 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1693 | X=0464.090-0475.210 | Y=0510.820-0520.140 | 90
P=1693 | X=0511.150-0522.270 | Y=0510.820-0520.140 | 70
P=1693 | X=0114.530-0401.420 | Y=0523.340-0534.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1693 | X=0114.530-0175.650 | Y=0534.890-0546.130 | đến ≤1.000m.
P=1693 | X=0114.530-0337.710 | Y=0552.410-0563.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1693 | X=0114.530-0418.540 | Y=0570.410-0581.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1693 | X=0114.530-0407.590 | Y=0581.930-0593.170 | từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện trạng là đường nhựa,
P=1693 | X=0114.530-0188.610 | Y=0593.450-0604.690 | bê tông xi măng:
P=1693 | X=0096.530-0107.650 | Y=0601.330-0610.650 | 46
P=1693 | X=0464.090-0475.210 | Y=0601.330-0610.650 | 55
P=1693 | X=0511.150-0522.270 | Y=0601.330-0610.650 | 50
P=1693 | X=0114.530-0400.340 | Y=0610.970-0622.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1693 | X=0114.530-0338.170 | Y=0628.270-0639.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1693 | X=0114.530-0399.790 | Y=0646.270-0657.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1693 | X=0114.530-0399.820 | Y=0657.790-0669.030 | Đường Tà Lài đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện
P=1693 | X=0114.530-0286.310 | Y=0669.310-0680.550 | trạng là đường nhựa, bê tông xi măng:
P=1693 | X=0096.530-0107.650 | Y=0677.190-0686.510 | 47
P=1693 | X=0458.330-0474.970 | Y=0677.190-0686.510 | 130
P=1693 | X=0505.390-0522.030 | Y=0677.190-0686.510 | 100
P=1693 | X=0114.530-0345.610 | Y=0686.830-0698.070 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1693 | X=0114.530-0391.720 | Y=0704.370-0715.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1694 | X=0114.530-0399.790 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1694 | X=0114.530-0399.820 | Y=0090.260-0101.500 | Đường Tà Lài đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện
P=1694 | X=0114.530-0286.310 | Y=0101.780-0113.020 | trạng là đường nhựa, bê tông xi măng:
P=1694 | X=0096.530-0346.120 | Y=0119.330-0133.410 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1694 | X=0464.090-0475.210 | Y=0124.090-0133.410 | 90
P=1694 | X=0511.150-0522.270 | Y=0124.090-0133.410 | 70
P=1694 | X=0114.530-0401.420 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1694 | X=0114.530-0175.650 | Y=0148.370-0159.610 | đến ≤1.000m.
P=1694 | X=0114.530-0337.700 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1694 | X=0114.530-0399.790 | Y=0183.650-0194.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1694 | X=0114.530-0399.820 | Y=0195.170-0206.410 | Đường Tà Lài đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện
P=1694 | X=0114.530-0286.310 | Y=0206.710-0217.950 | trạng là đường nhựa, bê tông xi măng:
P=1694 | X=0096.530-0107.650 | Y=0214.590-0223.910 | 49
P=1694 | X=0464.090-0475.210 | Y=0214.590-0223.910 | 55
P=1694 | X=0511.150-0522.270 | Y=0214.590-0223.910 | 50
P=1694 | X=0114.530-0400.340 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1694 | X=0114.530-0338.170 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1694 | X=0096.530-0176.760 | Y=0259.750-0270.990 | 50 Đường Tà Lài
P=1694 | X=0216.550-0279.550 | Y=0259.750-0270.990 | Đường ấp 3-4
P=1694 | X=0318.600-0386.380 | Y=0259.750-0270.990 | Sông Đồng Nai
P=1694 | X=0458.330-0474.970 | Y=0261.630-0270.950 | 200
P=1694 | X=0505.390-0522.030 | Y=0261.630-0270.950 | 170
P=1694 | X=0114.530-0418.540 | Y=0277.750-0288.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1694 | X=0114.530-0412.630 | Y=0289.300-0300.540 | từ Đường ấp 3-4 đến Sông Đồng Nai có hiện trạng là đường nhựa,
P=1694 | X=0114.530-0188.610 | Y=0300.820-0312.060 | bê tông xi măng:
P=1694 | X=0096.530-0107.650 | Y=0308.700-0318.020 | 51
P=1694 | X=0458.330-0474.970 | Y=0308.700-0318.020 | 130
P=1694 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 100
P=1694 | X=0114.530-0345.610 | Y=0318.340-0329.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1694 | X=0114.530-0391.720 | Y=0335.860-0347.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1694 | X=0114.530-0418.540 | Y=0353.860-0365.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1694 | X=0114.530-0412.630 | Y=0365.400-0376.640 | từ Đường ấp 3-4 đến Sông Đồng Nai có hiện trạng là đường nhựa,
P=1694 | X=0114.530-0188.610 | Y=0376.920-0388.160 | bê tông xi măng:
P=1694 | X=0096.530-0346.080 | Y=0394.200-0408.520 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1694 | X=0464.090-0475.210 | Y=0399.200-0408.520 | 90
P=1694 | X=0511.150-0522.270 | Y=0399.200-0408.520 | 70
P=1694 | X=0114.530-0401.420 | Y=0411.720-0422.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1694 | X=0114.530-0175.650 | Y=0423.240-0434.480 | đến ≤1.000m.
P=1694 | X=0114.530-0337.700 | Y=0440.760-0452.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1694 | X=0114.530-0418.540 | Y=0458.780-0470.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài đoạn
P=1694 | X=0114.530-0412.630 | Y=0470.300-0481.540 | từ Đường ấp 3-4 đến Sông Đồng Nai có hiện trạng là đường nhựa,
P=1694 | X=0114.530-0188.610 | Y=0481.820-0493.060 | bê tông xi măng:
P=1694 | X=0096.530-0107.650 | Y=0489.700-0499.020 | 53
P=1694 | X=0464.090-0475.210 | Y=0489.700-0499.020 | 55
P=1694 | X=0511.150-0522.270 | Y=0489.700-0499.020 | 50
P=1694 | X=0114.530-0400.380 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1694 | X=0114.530-0338.170 | Y=0516.860-0528.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1694 | X=0114.530-0399.790 | Y=0534.890-0546.130 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1694 | X=0114.530-0404.870 | Y=0546.410-0557.650 | Đường Tà Lài đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có hiện
P=1694 | X=0114.530-0286.310 | Y=0557.930-0569.170 | trạng là đường nhựa, bê tông xi măng:
P=1694 | X=0096.530-0107.650 | Y=0565.810-0575.130 | 54
P=1694 | X=0458.330-0474.970 | Y=0565.810-0575.130 | 130
P=1694 | X=0505.390-0522.030 | Y=0565.810-0575.130 | 100
P=1694 | X=0114.530-0345.610 | Y=0575.450-0586.690 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1694 | X=0114.530-0391.720 | Y=0592.970-0604.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1694 | X=0114.530-0399.790 | Y=0610.970-0622.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1694 | X=0114.530-0404.870 | Y=0622.270-0633.510 | Đường Tà Lài đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có hiện
P=1694 | X=0114.530-0286.310 | Y=0633.790-0645.030 | trạng là đường nhựa, bê tông xi măng:
P=1694 | X=0096.530-0346.090 | Y=0651.310-0665.630 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1694 | X=0464.090-0475.210 | Y=0656.310-0665.630 | 90
P=1694 | X=0511.150-0522.270 | Y=0656.310-0665.630 | 70
P=1694 | X=0114.530-0401.420 | Y=0668.830-0680.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1694 | X=0114.530-0175.650 | Y=0680.350-0691.590 | đến ≤1.000m.
P=1694 | X=0114.530-0337.700 | Y=0697.870-0709.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1695 | X=0114.530-0399.790 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1695 | X=0114.530-0404.870 | Y=0090.260-0101.500 | Đường Tà Lài đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có hiện
P=1695 | X=0114.530-0286.310 | Y=0101.780-0113.020 | trạng là đường nhựa, bê tông xi măng:
P=1695 | X=0096.530-0107.650 | Y=0109.660-0118.980 | 56
P=1695 | X=0464.090-0475.210 | Y=0109.660-0118.980 | 55
P=1695 | X=0511.150-0522.270 | Y=0109.660-0118.980 | 50
P=1695 | X=0114.530-0400.340 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1695 | X=0114.530-0338.170 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1695 | X=0114.530-0199.030 | Y=0154.850-0166.090 | Đường Phú Xuân -
P=1695 | X=0216.550-0403.820 | Y=0154.850-0166.090 | Ngã ba trường Trung Ngã ba xã Phú Lộc
P=1695 | X=0096.530-0107.650 | Y=0162.490-0171.810 | 57
P=1695 | X=0458.330-0474.970 | Y=0162.490-0171.810 | 180
P=1695 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 150
P=1695 | X=0114.530-0163.090 | Y=0166.370-0177.610 | Núi Tượng
P=1695 | X=0216.550-0396.620 | Y=0166.370-0177.610 | học cơ sở Núi Tượng (xã Tân Phú mới)
P=1695 | X=0114.530-0415.580 | Y=0184.370-0195.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Xuân -
P=1695 | X=0114.530-0415.660 | Y=0195.650-0206.890 | Núi Tượng đoạn từ Ngã ba trường Trung học cơ sở Núi Tượng đến
P=1695 | X=0114.530-0413.110 | Y=0207.190-0218.430 | Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện trạng là đường nhựa,
P=1695 | X=0096.530-0188.610 | Y=0218.710-0230.150 | 58 bê tông xi măng:
P=1695 | X=0458.330-0474.970 | Y=0220.830-0230.150 | 110
P=1695 | X=0511.150-0522.270 | Y=0220.830-0230.150 | 90
P=1695 | X=0114.530-0345.610 | Y=0236.230-0247.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1695 | X=0114.530-0391.720 | Y=0253.750-0264.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1695 | X=0114.530-0415.580 | Y=0271.750-0282.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Xuân -
P=1695 | X=0114.530-0415.660 | Y=0283.300-0294.540 | Núi Tượng đoạn từ Ngã ba trường Trung học cơ sở Núi Tượng đến
P=1695 | X=0114.530-0413.110 | Y=0294.820-0306.060 | Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện trạng là đường nhựa,
P=1695 | X=0114.530-0188.610 | Y=0306.340-0317.580 | bê tông xi măng:
P=1695 | X=0096.530-0346.080 | Y=0322.860-0335.100 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1695 | X=0464.090-0475.210 | Y=0322.860-0332.180 | 80
P=1695 | X=0511.150-0522.270 | Y=0322.860-0332.180 | 65
P=1695 | X=0114.530-0401.420 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1695 | X=0114.530-0175.650 | Y=0352.900-0364.140 | đến ≤1.000m.
P=1695 | X=0114.530-0337.700 | Y=0370.200-0381.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1695 | X=0114.530-0415.580 | Y=0388.200-0399.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Xuân -
P=1695 | X=0114.530-0415.660 | Y=0399.720-0410.960 | Núi Tượng đoạn từ Ngã ba trường Trung học cơ sở Núi Tượng đến
P=1695 | X=0114.530-0413.110 | Y=0411.240-0422.480 | Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện trạng là đường nhựa,
P=1695 | X=0096.530-0188.610 | Y=0422.760-0434.200 | 60 bê tông xi măng:
P=1695 | X=0464.090-0475.210 | Y=0424.880-0434.200 | 50
P=1695 | X=0511.150-0522.270 | Y=0424.880-0434.200 | 40
P=1695 | X=0114.530-0400.340 | Y=0440.280-0451.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1695 | X=0114.530-0338.170 | Y=0457.820-0469.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1695 | X=0114.530-0399.790 | Y=0475.820-0487.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1695 | X=0114.530-0417.860 | Y=0487.340-0498.580 | Đường Phú Xuân - Núi Tượng đoạn từ Ngã ba trường Trung học cơ
P=1695 | X=0114.530-0400.300 | Y=0498.860-0510.100 | sở Núi Tượng đến Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện
P=1695 | X=0096.530-0286.340 | Y=0510.380-0521.820 | 61 trạng là đường nhựa, bê tông xi măng:
P=1695 | X=0458.330-0474.970 | Y=0512.500-0521.820 | 110
P=1695 | X=0511.150-0522.270 | Y=0512.500-0521.820 | 90
P=1695 | X=0114.530-0345.610 | Y=0527.900-0539.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1695 | X=0114.530-0391.720 | Y=0545.450-0556.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1695 | X=0114.530-0399.790 | Y=0563.450-0574.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1695 | X=0114.530-0417.860 | Y=0574.970-0586.210 | Đường Phú Xuân - Núi Tượng đoạn từ Ngã ba trường Trung học cơ
P=1695 | X=0114.530-0400.300 | Y=0586.250-0597.490 | sở Núi Tượng đến Ngã ba xã Phú Lộc (xã Tân Phú mới) có hiện
P=1695 | X=0114.530-0286.310 | Y=0597.770-0609.010 | trạng là đường nhựa, bê tông xi măng:
P=1695 | X=0096.530-0346.080 | Y=0614.530-0626.530 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1695 | X=0464.090-0475.210 | Y=0614.530-0623.850 | 80
P=1695 | X=0511.150-0522.270 | Y=0614.530-0623.850 | 65
