TABLE=046 | AREA=Xã Phú Hòa | SECTION=agricultural | SEGMENTS=1
P=1595 | X=0107.090-0278.870 | Y=0638.350-0649.590 | trạng là đường nhựa, bê tông xi măng:
P=1595 | X=0092.660-0103.780 | Y=0646.230-0655.550 | 30
P=1595 | X=0441.050-0457.690 | Y=0646.230-0655.550 | 160
P=1595 | X=0505.150-0521.790 | Y=0646.230-0655.550 | 150
P=1595 | X=0107.090-0338.170 | Y=0655.870-0667.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1595 | X=0107.090-0384.260 | Y=0673.390-0684.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1595 | X=0107.090-0372.220 | Y=0691.390-0702.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1595 | X=0092.660-0103.780 | Y=0699.030-0708.350 | 31
P=1595 | X=0441.050-0457.690 | Y=0699.030-0708.350 | 130
P=1595 | X=0505.150-0521.790 | Y=0699.030-0708.350 | 100
P=1595 | X=0107.090-0366.470 | Y=0702.930-0714.170 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1596 | X=0107.090-0278.870 | Y=0072.740-0083.980 | trạng là đường nhựa, bê tông xi măng:
P=1596 | X=0107.090-0338.640 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1596 | X=0107.090-0360.380 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1596 | X=0107.090-0202.070 | Y=0119.330-0130.570 | >500m đến ≤1.000m.
P=1596 | X=0107.090-0330.260 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1596 | X=0107.090-0372.220 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1596 | X=0107.090-0366.470 | Y=0166.370-0177.610 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1596 | X=0107.090-0278.870 | Y=0177.650-0188.890 | trạng là đường nhựa, bê tông xi măng:
P=1596 | X=0092.660-0103.780 | Y=0191.290-0200.610 | 32
P=1596 | X=0446.810-0457.930 | Y=0191.290-0200.610 | 90
P=1596 | X=0510.910-0522.030 | Y=0191.290-0200.610 | 55
P=1596 | X=0107.090-0348.200 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1596 | X=0107.090-0149.230 | Y=0208.590-0217.910 | >1.000m.
P=1596 | X=0107.090-0330.730 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1596 | X=0107.090-0380.600 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1596 | X=0107.090-0373.610 | Y=0253.750-0264.990 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1596 | X=0107.090-0334.570 | Y=0265.270-0276.510 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1596 | X=0092.660-0103.780 | Y=0273.150-0282.470 | 33
P=1596 | X=0441.050-0457.690 | Y=0273.150-0282.470 | 160
P=1596 | X=0505.150-0521.790 | Y=0273.150-0282.470 | 150
P=1596 | X=0107.090-0338.170 | Y=0282.820-0294.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1596 | X=0107.090-0384.260 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1596 | X=0107.090-0380.600 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1596 | X=0107.090-0373.610 | Y=0329.860-0341.100 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1596 | X=0107.090-0334.580 | Y=0341.380-0352.620 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1596 | X=0092.660-0338.640 | Y=0358.900-0372.980 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1596 | X=0441.050-0457.690 | Y=0363.660-0372.980 | 130
P=1596 | X=0505.150-0521.790 | Y=0363.660-0372.980 | 100
P=1596 | X=0107.090-0360.380 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1596 | X=0107.090-0202.040 | Y=0387.720-0398.960 | >500m đến ≤1.000m.
P=1596 | X=0107.090-0330.260 | Y=0405.240-0416.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1596 | X=0107.090-0380.630 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1596 | X=0107.090-0373.610 | Y=0434.760-0446.000 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1596 | X=0107.090-0334.570 | Y=0446.280-0457.520 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1596 | X=0092.660-0103.780 | Y=0459.940-0469.260 | 35
P=1596 | X=0446.810-0457.930 | Y=0459.940-0469.260 | 90
P=1596 | X=0510.910-0522.030 | Y=0459.940-0469.260 | 55
P=1596 | X=0107.090-0348.180 | Y=0463.820-0475.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1596 | X=0107.090-0149.230 | Y=0477.220-0486.540 | >1.000m.
P=1596 | X=0107.090-0330.730 | Y=0492.860-0504.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1596 | X=0107.090-0172.390 | Y=0510.860-0522.100 | Đường Ngã tư
P=1596 | X=0092.660-0103.780 | Y=0518.500-0527.820 | 36
P=1596 | X=0185.830-0234.390 | Y=0518.500-0527.820 | Quốc lộ 20
P=1596 | X=0287.860-0383.970 | Y=0518.500-0527.820 | Hết ranh chợ Phú Lợi
P=1596 | X=0441.050-0457.690 | Y=0518.500-0527.820 | 250
P=1596 | X=0505.150-0521.790 | Y=0518.500-0527.820 | 220
P=1596 | X=0107.090-0143.180 | Y=0524.260-0533.580 | km+115
P=1596 | X=0107.090-0388.940 | Y=0540.410-0551.650 | Các tuyến đường giao thông đầu nối trực tiếp ra Đường Ngã tư
P=1596 | X=0107.090-0384.950 | Y=0551.930-0563.170 | km+115 đoạn từ Quốc lộ 20 đến Hết ranh chợ Phú Lợi có hiện
P=1596 | X=0107.090-0278.870 | Y=0563.450-0574.690 | trạng là đường nhựa, bê tông xi măng:
P=1596 | X=0092.660-0103.780 | Y=0571.330-0580.650 | 37
P=1596 | X=0441.050-0457.690 | Y=0571.330-0580.650 | 150
P=1596 | X=0505.150-0521.790 | Y=0571.330-0580.650 | 130
P=1596 | X=0107.090-0338.170 | Y=0580.970-0592.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1596 | X=0107.090-0384.260 | Y=0598.250-0609.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1596 | X=0107.090-0388.940 | Y=0616.270-0627.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã tư
P=1596 | X=0107.090-0384.950 | Y=0627.790-0639.030 | km+115 đoạn từ Quốc lộ 20 đến Hết ranh chợ Phú Lợi có hiện
P=1596 | X=0107.090-0278.870 | Y=0639.310-0650.550 | trạng là đường nhựa, bê tông xi măng:
P=1596 | X=0092.660-0338.680 | Y=0656.830-0671.150 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1596 | X=0441.050-0457.690 | Y=0661.830-0671.150 | 120
P=1596 | X=0510.910-0522.030 | Y=0661.830-0671.150 | 90
P=1596 | X=0107.090-0360.380 | Y=0674.350-0685.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1596 | X=0107.090-0202.040 | Y=0685.870-0697.110 | >500m đến ≤1.000m.
P=1596 | X=0107.090-0330.260 | Y=0703.410-0714.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1597 | X=0107.090-0388.940 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã tư
P=1597 | X=0107.090-0383.270 | Y=0090.260-0101.500 | km+115 đoạn từ Quốc lộ 20 đến hết ranh chợ Phú Lợi có hiện
P=1597 | X=0107.090-0278.870 | Y=0101.780-0113.020 | trạng là đường nhựa, bê tông xi măng:
P=1597 | X=0092.660-0103.780 | Y=0115.420-0124.740 | 39
P=1597 | X=0446.810-0457.930 | Y=0115.420-0124.740 | 80
P=1597 | X=0510.910-0522.030 | Y=0115.420-0124.740 | 50
P=1597 | X=0107.090-0348.180 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1597 | X=0107.090-0149.230 | Y=0132.730-0142.050 | >1.000m.
P=1597 | X=0107.090-0330.730 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1597 | X=0107.090-0380.600 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1597 | X=0107.090-0371.480 | Y=0177.650-0188.890 | ra Đường Ngã tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh
P=1597 | X=0107.090-0371.310 | Y=0189.170-0200.410 | chợ Phú Lợi có hiện trạng là đường nhựa, bê tông xi măng:
P=1597 | X=0092.660-0103.780 | Y=0197.050-0206.370 | 40
P=1597 | X=0441.050-0457.690 | Y=0197.050-0206.370 | 150
P=1597 | X=0505.150-0521.790 | Y=0197.050-0206.370 | 130
P=1597 | X=0107.090-0338.170 | Y=0206.710-0217.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1597 | X=0107.090-0384.260 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1597 | X=0107.090-0380.600 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1597 | X=0107.090-0369.800 | Y=0253.750-0264.990 | ra Đường Ngã tư km+115 đoạn từ Quốc lộ 20 đến hết ranh
P=1597 | X=0107.090-0371.310 | Y=0265.270-0276.510 | chợ Phú Lợi có hiện trạng là đường nhựa, bê tông xi măng:
P=1597 | X=0092.660-0338.640 | Y=0282.820-0296.900 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1597 | X=0441.050-0457.690 | Y=0287.580-0296.900 | 120
P=1597 | X=0510.910-0522.030 | Y=0287.580-0296.900 | 90
P=1597 | X=0107.090-0360.380 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1597 | X=0107.090-0202.040 | Y=0311.860-0323.100 | >500m đến ≤1.000m.
P=1597 | X=0107.090-0330.260 | Y=0329.380-0340.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1597 | X=0107.090-0380.600 | Y=0347.380-0358.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1597 | X=0107.090-0371.480 | Y=0358.900-0370.140 | ra Đường Ngã tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh
P=1597 | X=0107.090-0371.310 | Y=0370.200-0381.440 | chợ Phú Lợi có hiện trạng là đường nhựa, bê tông xi măng:
P=1597 | X=0092.660-0103.780 | Y=0383.840-0393.160 | 42
P=1597 | X=0446.810-0457.930 | Y=0383.840-0393.160 | 80
P=1597 | X=0510.910-0522.030 | Y=0383.840-0393.160 | 50
P=1597 | X=0107.090-0348.180 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1597 | X=0107.090-0149.230 | Y=0401.120-0410.440 | >1.000m.
P=1597 | X=0107.090-0330.730 | Y=0416.760-0428.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1597 | X=0287.860-0383.240 | Y=0434.760-0446.000 | Ngã tư đường liên xã
P=1597 | X=0107.090-0172.390 | Y=0440.520-0451.760 | Đường Ngã tư
P=1597 | X=0185.830-0385.910 | Y=0446.280-0457.520 | Hết ranh chợ Phú Lợi Phú Lợi - thị trấn Định
P=1597 | X=0092.660-0103.780 | Y=0448.160-0457.480 | 43
P=1597 | X=0441.050-0457.690 | Y=0448.160-0457.480 | 250
P=1597 | X=0505.150-0521.790 | Y=0448.160-0457.480 | 220
P=1597 | X=0107.090-0143.180 | Y=0453.940-0463.260 | km+115
P=1597 | X=0287.860-0332.500 | Y=0457.820-0469.060 | Quán (cũ)
P=1597 | X=0107.090-0388.940 | Y=0475.820-0487.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã tư
P=1597 | X=0107.090-0383.240 | Y=0487.340-0498.580 | km+115 đoạn từ Hết ranh chợ Phú Lợi đến Ngã tư đường liên
P=1597 | X=0107.090-0369.580 | Y=0498.860-0510.100 | xã Phú Lợi - thị trấn Định Quán (cũ) có hiện trạng là đường
P=1597 | X=0092.660-0210.200 | Y=0510.380-0521.820 | 44 nhựa, bê tông xi măng:
P=1597 | X=0441.050-0457.690 | Y=0512.500-0521.820 | 150
P=1597 | X=0505.150-0521.790 | Y=0512.500-0521.820 | 130
P=1597 | X=0107.090-0338.170 | Y=0527.900-0539.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1597 | X=0107.090-0384.260 | Y=0545.450-0556.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1597 | X=0107.090-0388.940 | Y=0563.450-0574.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã tư
P=1597 | X=0107.090-0383.240 | Y=0574.970-0586.210 | km+115 đoạn từ Hết ranh chợ Phú Lợi đến Ngã tư đường liên
P=1597 | X=0107.090-0369.580 | Y=0586.250-0597.490 | xã Phú Lợi - thị trấn Định Quán (cũ) có hiện trạng là đường
P=1597 | X=0107.090-0210.200 | Y=0597.770-0609.010 | nhựa, bê tông xi măng:
P=1597 | X=0092.660-0338.640 | Y=0614.530-0626.530 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1597 | X=0441.050-0457.690 | Y=0614.530-0623.850 | 120
P=1597 | X=0510.910-0522.030 | Y=0614.530-0623.850 | 90
P=1597 | X=0107.090-0360.380 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1597 | X=0107.090-0202.040 | Y=0644.350-0655.590 | >500m đến ≤1.000m.
P=1597 | X=0107.090-0330.260 | Y=0661.870-0673.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1597 | X=0107.090-0388.940 | Y=0679.870-0691.110 | Các tuyến đường giao thông dầu nồi trực tiếp ra Đường Ngã tư
P=1597 | X=0092.660-0383.240 | Y=0691.390-0702.630 | 46 km+115 đoạn từ Hết ranh chợ Phú Lợi đến Ngã tư đường liên
P=1597 | X=0446.810-0457.930 | Y=0693.270-0702.590 | 80
P=1597 | X=0510.910-0522.030 | Y=0693.270-0702.590 | 50
P=1597 | X=0107.090-0368.380 | Y=0702.930-0714.170 | xã Phú Lại - thị trấn Định Quán (cũ) có hiện trạng là đường
P=1598 | X=0107.090-0210.200 | Y=0072.740-0083.980 | nhựa, bê tông xi măng:
P=1598 | X=0107.090-0348.180 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1598 | X=0107.090-0149.230 | Y=0103.660-0112.980 | >1.000m.
P=1598 | X=0107.090-0330.730 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1598 | X=0107.090-0380.600 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1598 | X=0107.090-0377.980 | Y=0148.850-0160.090 | ra Đường Ngã tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến
P=1598 | X=0107.090-0385.180 | Y=0160.370-0171.610 | Ngã tư đường liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện
P=1598 | X=0092.660-0278.870 | Y=0171.650-0183.330 | 47 trạng là đường nhựa, bê tông xi măng:
P=1598 | X=0441.050-0457.690 | Y=0174.010-0183.330 | 150
P=1598 | X=0505.150-0521.790 | Y=0174.010-0183.330 | 130
P=1598 | X=0107.090-0338.170 | Y=0189.170-0200.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1598 | X=0107.090-0384.260 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1598 | X=0107.090-0380.600 | Y=0224.710-0235.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1598 | X=0107.090-0377.980 | Y=0236.230-0247.470 | ra Đường Ngã tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến
P=1598 | X=0107.090-0385.180 | Y=0247.750-0258.990 | Ngã tư đường liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện
P=1598 | X=0107.090-0278.870 | Y=0259.270-0270.510 | trạng là đường nhựa, bê tông xi măng;
P=1598 | X=0092.660-0338.680 | Y=0275.790-0288.030 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1598 | X=0441.050-0457.690 | Y=0275.790-0285.110 | 120
P=1598 | X=0510.910-0522.030 | Y=0275.790-0285.110 | 90
P=1598 | X=0107.090-0360.380 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1598 | X=0107.090-0202.040 | Y=0305.860-0317.100 | >500m đến ≤1.000m.
P=1598 | X=0107.090-0330.260 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1598 | X=0107.090-0380.600 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1598 | X=0107.090-0377.980 | Y=0352.900-0364.140 | ra Đường Ngã tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến
P=1598 | X=0107.090-0385.180 | Y=0364.180-0375.420 | Ngã tư đường liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện
P=1598 | X=0107.090-0278.870 | Y=0375.720-0386.960 | trạng là đường nhựa, bê tông xi măng:
P=1598 | X=0092.660-0103.780 | Y=0383.600-0392.920 | 49
P=1598 | X=0446.810-0457.930 | Y=0383.600-0392.920 | 80
P=1598 | X=0510.910-0522.030 | Y=0383.600-0392.920 | 50
P=1598 | X=0107.090-0348.180 | Y=0393.240-0404.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1598 | X=0107.090-0149.230 | Y=0406.640-0415.960 | >1.000m.
P=1598 | X=0107.090-0330.730 | Y=0422.280-0433.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1598 | X=0185.830-0281.220 | Y=0440.280-0451.520 | Ngã tư đường liên xã
P=1598 | X=0107.090-0172.390 | Y=0446.040-0457.280 | Đường Ngã tư
P=1598 | X=0287.860-0368.630 | Y=0446.040-0457.280 | Giáp ranh xã Định
P=1598 | X=0185.830-0283.870 | Y=0451.820-0463.060 | Phú Lợi - thị trấn Định
P=1598 | X=0092.660-0103.780 | Y=0453.700-0463.020 | 50
P=1598 | X=0441.050-0457.690 | Y=0453.700-0463.020 | 250
P=1598 | X=0505.150-0521.790 | Y=0453.700-0463.020 | 220
P=1598 | X=0107.090-0143.180 | Y=0459.460-0468.780 | km+115
P=1598 | X=0287.860-0312.420 | Y=0459.460-0468.780 | Quán
P=1598 | X=0185.830-0230.470 | Y=0463.340-0474.580 | Quán (cũ)
P=1598 | X=0107.090-0388.940 | Y=0481.340-0492.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã tư
P=1598 | X=0107.090-0378.710 | Y=0492.860-0504.100 | km+115 đoạn từ Ngã tư đường liên xã Phú Lợi - thị trấn Định
P=1598 | X=0107.090-0385.660 | Y=0504.380-0515.620 | Quán (cũ) đến Giáp ranh xã Định Quán cá hiện trạng là đường
P=1598 | X=0092.660-0210.210 | Y=0515.900-0527.340 | 51 nhựa, bê tông xi măng:
P=1598 | X=0441.050-0457.690 | Y=0518.020-0527.340 | 150
P=1598 | X=0505.150-0521.790 | Y=0518.020-0527.340 | 130
P=1598 | X=0107.090-0338.170 | Y=0533.450-0544.690 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1598 | X=0107.090-0384.260 | Y=0550.970-0562.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1598 | X=0107.090-0388.940 | Y=0568.970-0580.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã tư
P=1598 | X=0107.090-0378.710 | Y=0580.250-0591.490 | km+115 đoạn từ Ngã tư đường liên xã Phú Lợi - thị trấn Định
P=1598 | X=0107.090-0385.660 | Y=0591.770-0603.010 | Quán (cũ) đến Giáp ranh xã Định Quán có hiện trạng là đường
P=1598 | X=0107.090-0210.200 | Y=0603.290-0614.530 | nhựa, bê tông xi măng:
P=1598 | X=0092.660-0338.640 | Y=0620.070-0632.070 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1598 | X=0441.050-0457.690 | Y=0620.070-0629.390 | 120
P=1598 | X=0510.910-0522.030 | Y=0620.070-0629.390 | 90
P=1598 | X=0107.090-0360.380 | Y=0638.350-0649.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1598 | X=0107.090-0202.040 | Y=0649.870-0661.110 | >500m đến ≤1.000m.
P=1598 | X=0107.090-0330.260 | Y=0667.390-0678.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1598 | X=0107.090-0388.940 | Y=0685.390-0696.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã tư
P=1598 | X=0092.660-0378.710 | Y=0696.910-0708.150 | 53 km+115 đoạn từ Ngã tư đường liên xã Phú Lợi - thị trấn Định
P=1598 | X=0446.810-0457.930 | Y=0698.790-0708.110 | 80
P=1598 | X=0510.910-0522.030 | Y=0698.790-0708.110 | 50
P=1598 | X=0107.090-0385.660 | Y=0708.450-0719.690 | Quán (cũ) đến Giáp ranh xã Định Quán có hiện trạng là đường
P=1599 | X=0107.090-0210.200 | Y=0072.740-0083.980 | nhựa, bê tông xi măng:
P=1599 | X=0107.090-0348.210 | Y=0090.260-0101.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1599 | X=0107.090-0149.230 | Y=0103.660-0112.980 | >1.000m.
P=1599 | X=0107.090-0330.730 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1599 | X=0107.090-0380.600 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1599 | X=0107.090-0378.190 | Y=0148.850-0160.090 | ra Đường Ngã tư km+115 đoạn từ Ngã tư đường liên xã Phú
P=1599 | X=0107.090-0375.080 | Y=0160.370-0171.610 | Lợi - thị trấn Định Quán (cũ) đến Giáp ranh xã Định Quán có
P=1599 | X=0092.660-0300.700 | Y=0171.650-0183.330 | 54 hiện trạng là đường nhựa, bê tông xi măng:
P=1599 | X=0441.050-0457.690 | Y=0174.010-0183.330 | 150
P=1599 | X=0505.150-0521.790 | Y=0174.010-0183.330 | 130
P=1599 | X=0107.090-0338.170 | Y=0189.170-0200.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1599 | X=0107.090-0384.260 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1599 | X=0107.090-0380.600 | Y=0224.710-0235.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1599 | X=0107.090-0378.190 | Y=0236.230-0247.470 | ra Đường Ngã tư km+115 đoạn từ Ngã tư đường liên xã Phú
P=1599 | X=0107.090-0375.080 | Y=0247.750-0258.990 | Lợi - thị trấn Định Quán (cũ) đến Giáp ranh xã Định Quán có
P=1599 | X=0107.090-0300.700 | Y=0259.270-0270.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=1599 | X=0092.660-0338.640 | Y=0275.790-0288.030 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1599 | X=0441.050-0457.690 | Y=0275.790-0285.110 | 120
P=1599 | X=0510.910-0522.030 | Y=0275.790-0285.110 | 90
P=1599 | X=0107.090-0360.380 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1599 | X=0107.090-0202.040 | Y=0305.860-0317.100 | >500m đến ≤1.000m.
P=1599 | X=0107.090-0330.260 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1599 | X=0107.090-0380.600 | Y=0341.380-0352.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1599 | X=0107.090-0378.190 | Y=0352.900-0364.140 | ra Đường Ngã tư km+115 đoạn từ Ngã tư đường liên xã Phú
P=1599 | X=0107.090-0375.080 | Y=0364.180-0375.420 | Lợi - thị trấn Định Quán (cũ) đến Giáp ranh xã Định Quán có
P=1599 | X=0107.090-0300.740 | Y=0375.720-0386.960 | hiện trạng là đường nhựa, bê tông xi măng:
P=1599 | X=0092.660-0103.780 | Y=0383.600-0392.920 | 56
P=1599 | X=0446.810-0457.930 | Y=0383.600-0392.920 | 80
P=1599 | X=0510.910-0522.030 | Y=0383.600-0392.920 | 50
P=1599 | X=0107.090-0348.180 | Y=0393.240-0404.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1599 | X=0107.090-0149.230 | Y=0406.640-0415.960 | >1.000m.
P=1599 | X=0107.090-0330.730 | Y=0422.280-0433.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1599 | X=0107.090-0170.770 | Y=0440.280-0451.520 | Đường liên xã
P=1599 | X=0185.830-0266.590 | Y=0446.040-0457.280 | Giáp ranh xã Định
P=1599 | X=0287.860-0373.650 | Y=0446.040-0457.280 | Đường ngã ba Phú
P=1599 | X=0092.660-0184.960 | Y=0451.820-0463.060 | 57 Phú Lợi - xã Định
P=1599 | X=0441.050-0457.690 | Y=0453.700-0463.020 | 230
P=1599 | X=0505.150-0521.790 | Y=0453.700-0463.020 | 200
P=1599 | X=0185.830-0210.390 | Y=0459.460-0468.780 | Quán
P=1599 | X=0287.860-0350.120 | Y=0459.460-0468.780 | Lợi - Phú Hòa
P=1599 | X=0107.090-0131.650 | Y=0465.220-0474.540 | Quán
P=1599 | X=0107.090-0387.310 | Y=0481.340-0492.580 | Các tuyến đường giao thông đầu nối trực tiếp ra Đường liên xã
P=1599 | X=0107.090-0379.420 | Y=0492.860-0504.100 | Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã Định Quán đến
P=1599 | X=0107.090-0361.400 | Y=0504.380-0515.620 | Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
P=1599 | X=0092.660-0210.200 | Y=0515.900-0527.340 | 58 nhựa, bê tông xi măng:
P=1599 | X=0441.050-0457.690 | Y=0518.020-0527.340 | 140
P=1599 | X=0505.150-0521.790 | Y=0518.020-0527.340 | 110
P=1599 | X=0107.090-0338.170 | Y=0533.450-0544.690 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1599 | X=0107.090-0384.280 | Y=0550.970-0562.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1599 | X=0107.090-0387.310 | Y=0568.970-0580.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=1599 | X=0107.090-0379.420 | Y=0580.250-0591.490 | Phú Lợi - xã Định Quán đoạn từ Giáp ranh xã Định Quán đến
P=1599 | X=0107.090-0361.400 | Y=0591.770-0603.010 | Đường ngã ba Phú Lợi - Phú Hòa có hiện trạng là đường
P=1599 | X=0107.090-0210.200 | Y=0603.290-0614.530 | nhựa, bê tông xi măng:
P=1599 | X=0092.660-0338.640 | Y=0620.070-0632.070 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1599 | X=0441.050-0457.690 | Y=0620.070-0629.390 | 110
