TABLE=038 | AREA=Xã Bình Minh | SECTION=agricultural | SEGMENTS=2
P=1276 | X=0095.060-0111.700 | Y=0138.730-0148.050 | 107
P=1276 | X=0453.050-0469.690 | Y=0138.730-0148.050 | 500
P=1276 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 450
P=1276 | X=0117.170-0348.280 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1276 | X=0117.170-0382.080 | Y=0165.650-0176.890 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1276 | X=0117.170-0403.910 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 767
P=1276 | X=0117.170-0413.510 | Y=0194.930-0206.170 | đoạn từ Ngã ba Hươu Nai đến Trường Tiểu học Sông Mây có hiện
P=1276 | X=0117.170-0288.950 | Y=0206.470-0217.710 | trạng là đường nhựa, bê tông xi măng:
P=1276 | X=0095.060-0348.720 | Y=0223.990-0238.310 | 108 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1276 | X=0453.050-0469.690 | Y=0228.990-0238.310 | 400
P=1276 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 350
P=1276 | X=0117.170-0404.060 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1276 | X=0117.170-0178.290 | Y=0253.030-0264.270 | đến ≤1.000m.
P=1276 | X=0117.170-0340.340 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1276 | X=0117.170-0403.910 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 767
P=1276 | X=0117.170-0413.510 | Y=0299.860-0311.100 | đoạn từ Ngã ba Hươu Nai đến Trường Tiểu học Sông Mây có hiện
P=1276 | X=0117.170-0288.950 | Y=0311.380-0322.620 | trạng là đường nhựa, bê tông xi măng:
P=1276 | X=0095.060-0111.700 | Y=0319.260-0328.580 | 109
P=1276 | X=0453.050-0469.690 | Y=0319.260-0328.580 | 290
P=1276 | X=0505.390-0522.030 | Y=0319.260-0328.580 | 260
P=1276 | X=0117.170-0402.980 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1276 | X=0117.170-0340.810 | Y=0346.420-0357.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1276 | X=0117.170-0402.430 | Y=0363.940-0375.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1276 | X=0117.170-0403.340 | Y=0375.480-0386.720 | Đường tỉnh 767 đoạn từ Ngã ba Hươu Nai đến Trường Tiểu học
P=1276 | X=0117.170-0371.770 | Y=0387.000-0398.240 | Sông Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1276 | X=0095.060-0111.700 | Y=0394.880-0404.200 | 110
P=1276 | X=0453.050-0469.690 | Y=0394.880-0404.200 | 500
P=1276 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 450
P=1276 | X=0117.170-0348.250 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1276 | X=0117.170-0394.360 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1276 | X=0117.170-0402.430 | Y=0439.800-0451.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1276 | X=0117.170-0403.340 | Y=0451.340-0462.580 | Đường tỉnh 767 đoạn từ Ngã ba Hươu Nai đến Trường Tiểu học
P=1276 | X=0117.170-0371.770 | Y=0462.860-0474.100 | Sông Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1276 | X=0095.060-0348.720 | Y=0480.380-0494.460 | 111 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1276 | X=0453.050-0469.690 | Y=0485.140-0494.460 | 400
P=1276 | X=0505.390-0522.030 | Y=0485.140-0494.460 | 350
P=1276 | X=0117.170-0404.060 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1276 | X=0117.170-0178.290 | Y=0509.420-0520.660 | đến ≤1.000m.
P=1276 | X=0117.170-0340.340 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1276 | X=0117.170-0402.430 | Y=0544.490-0555.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1276 | X=0117.170-0403.340 | Y=0556.010-0567.250 | Đường tỉnh 767 đoạn từ Ngã ba Hươu Nai đến Trường Tiểu học
P=1276 | X=0117.170-0371.800 | Y=0567.530-0578.770 | Sông Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1276 | X=0095.060-0111.700 | Y=0575.410-0584.730 | 112
P=1276 | X=0453.050-0469.690 | Y=0575.410-0584.730 | 290
P=1276 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 260
P=1276 | X=0117.170-0402.980 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1276 | X=0117.170-0340.810 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1276 | X=0223.030-0298.200 | Y=0620.350-0631.590 | Trường Tiểu học
P=1276 | X=0095.060-0187.340 | Y=0626.110-0637.350 | 113 Đường tỉnh 767
P=1276 | X=0315.240-0385.390 | Y=0627.990-0637.310 | Cầu Sông Thao
P=1276 | X=0453.050-0469.690 | Y=0627.990-0637.310 | 730
P=1276 | X=0505.390-0522.030 | Y=0627.990-0637.310 | 650
P=1276 | X=0223.030-0268.150 | Y=0633.750-0643.070 | Sông Mây
P=1276 | X=0117.170-0403.910 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 767
P=1276 | X=0117.170-0404.860 | Y=0661.150-0672.390 | đoạn từ Trường Tiểu học Sông Mây đến Cầu Sông Thao có hiện
P=1276 | X=0117.170-0288.950 | Y=0672.670-0683.910 | trạng là đường nhựa, bê tông xi măng:
P=1276 | X=0095.060-0111.700 | Y=0680.550-0689.870 | 114
P=1276 | X=0453.050-0469.690 | Y=0680.550-0689.870 | 500
P=1276 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 450
P=1276 | X=0117.170-0348.250 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1276 | X=0117.170-0382.080 | Y=0707.730-0718.970 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1277 | X=0117.170-0403.910 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 767
P=1277 | X=0117.170-0404.860 | Y=0090.020-0101.260 | đoạn từ Trường Tiểu học Sông Mây đến Cầu Sông Thao có hiện
P=1277 | X=0117.170-0288.950 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=1277 | X=0095.060-0348.720 | Y=0119.090-0133.170 | 115 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1277 | X=0453.050-0469.690 | Y=0123.850-0133.170 | 400
P=1277 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 350
P=1277 | X=0117.170-0404.060 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1277 | X=0117.170-0178.290 | Y=0148.130-0159.370 | đến ≤1.000m.
P=1277 | X=0117.170-0340.340 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1277 | X=0117.170-0403.910 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 767
P=1277 | X=0117.170-0404.860 | Y=0194.690-0205.930 | đoạn từ Trường Tiểu học Sông Mây đến Cầu Sông Thao có hiện
P=1277 | X=0117.170-0288.950 | Y=0206.230-0217.470 | trạng là đường nhựa, bê tông xi măng:
P=1277 | X=0095.060-0111.700 | Y=0214.110-0223.430 | 116
P=1277 | X=0453.050-0469.690 | Y=0214.110-0223.430 | 290
P=1277 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 260
P=1277 | X=0117.170-0402.990 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1277 | X=0117.170-0340.810 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1277 | X=0117.170-0402.430 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1277 | X=0117.170-0390.470 | Y=0270.550-0281.790 | Đường tỉnh 767 đoạn từ Trường Tiểu học Sông Mây đến Cầu
P=1277 | X=0117.170-0375.630 | Y=0282.100-0293.340 | Sông Thao có hiện trạng là đường nhựa, bê tông xi măng:
P=1277 | X=0095.060-0111.700 | Y=0289.980-0299.300 | 117
P=1277 | X=0453.050-0469.690 | Y=0289.980-0299.300 | 500
P=1277 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 450
P=1277 | X=0117.170-0348.250 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1277 | X=0117.170-0394.360 | Y=0317.140-0328.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1277 | X=0117.170-0402.430 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1277 | X=0117.170-0390.470 | Y=0346.420-0357.660 | Đường tỉnh 767 đoạn từ Trường Tiểu học Sông Mây đến Cầu
P=1277 | X=0117.170-0375.630 | Y=0357.700-0368.940 | Sông Thao có hiện trạng là đường nhựa, bê tông xi măng:
P=1277 | X=0095.060-0348.720 | Y=0375.240-0389.560 | 118 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1277 | X=0453.050-0469.690 | Y=0380.240-0389.560 | 400
P=1277 | X=0505.390-0522.030 | Y=0380.240-0389.560 | 350
P=1277 | X=0117.170-0404.060 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1277 | X=0117.170-0178.290 | Y=0404.280-0415.520 | đến ≤1.000m.
P=1277 | X=0117.170-0340.340 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1277 | X=0117.170-0402.430 | Y=0439.560-0450.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1277 | X=0117.170-0390.470 | Y=0451.100-0462.340 | Đường tỉnh 767 đoạn từ Trường Tiểu học Sông Mây đến Cầu
P=1277 | X=0117.170-0375.630 | Y=0462.620-0473.860 | Sông Thao có hiện trạng là đường nhựa, bê tông xi măng:
P=1277 | X=0095.060-0111.700 | Y=0470.500-0479.820 | 119
P=1277 | X=0453.050-0469.690 | Y=0470.500-0479.820 | 290
P=1277 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 260
P=1277 | X=0117.170-0402.980 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1277 | X=0117.170-0340.810 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1277 | X=0315.240-0399.350 | Y=0515.420-0526.660 | Ngã ba đường vào
P=1277 | X=0095.060-0205.080 | Y=0521.180-0532.420 | 120 Đường Sông Mây 8
P=1277 | X=0223.030-0293.230 | Y=0521.180-0532.420 | Đường tỉnh 767
P=1277 | X=0453.050-0469.690 | Y=0523.060-0532.380 | 670
P=1277 | X=0505.390-0522.030 | Y=0523.060-0532.380 | 600
P=1277 | X=0315.240-0407.660 | Y=0526.940-0538.180 | Nghĩa Địa Sông Mây
P=1277 | X=0117.170-0413.420 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1277 | X=0117.170-0412.550 | Y=0556.010-0567.250 | 8 đoạn từ Đường tỉnh 767 đến Ngã ba đường vào Nghĩa Địa Sông
P=1277 | X=0117.170-0345.880 | Y=0567.530-0578.770 | Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1277 | X=0095.060-0111.700 | Y=0575.410-0584.730 | 121
P=1277 | X=0453.050-0469.690 | Y=0575.410-0584.730 | 450
P=1277 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 400
P=1277 | X=0117.170-0348.250 | Y=0585.050-0596.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1277 | X=0117.170-0382.080 | Y=0602.570-0613.810 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1277 | X=0117.170-0413.420 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1277 | X=0117.170-0412.550 | Y=0631.870-0643.110 | 8 đoạn từ Đường tỉnh 767 đến Ngã ba đường vào Nghĩa Địa Sông
P=1277 | X=0117.170-0345.840 | Y=0643.390-0654.630 | Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1277 | X=0095.060-0348.720 | Y=0660.910-0674.990 | 122 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1277 | X=0453.050-0469.690 | Y=0665.670-0674.990 | 350
P=1277 | X=0505.390-0522.030 | Y=0665.670-0674.990 | 320
P=1277 | X=0117.170-0404.060 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1277 | X=0117.170-0178.290 | Y=0689.950-0701.190 | đến ≤1.000m.
P=1277 | X=0117.170-0340.340 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1278 | X=0117.170-0413.420 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1278 | X=0117.170-0412.550 | Y=0090.020-0101.260 | 8 đoạn từ Đường tỉnh 767 đến Ngã ba đường vào Nghĩa Địa Sông
P=1278 | X=0117.170-0345.840 | Y=0101.540-0112.780 | Mây có hiện trạng là đường nhựa, bê tông xi măng:
P=1278 | X=0095.060-0111.700 | Y=0109.420-0118.740 | 123
P=1278 | X=0453.050-0469.690 | Y=0109.420-0118.740 | 230
P=1278 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 210
P=1278 | X=0117.170-0402.980 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1278 | X=0117.170-0340.810 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1278 | X=0117.170-0402.430 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1278 | X=0117.170-0402.460 | Y=0165.650-0176.890 | Đường Sông Mây 8 đoạn từ Đường tỉnh 767 đến Ngã ba đường
P=1278 | X=0117.170-0407.240 | Y=0177.170-0188.410 | vào Nghĩa Địa Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1278 | X=0095.060-0145.170 | Y=0188.690-0200.130 | 124 măng:
P=1278 | X=0453.050-0469.690 | Y=0190.810-0200.130 | 450
P=1278 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 400
P=1278 | X=0117.170-0348.250 | Y=0206.230-0217.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1278 | X=0117.170-0394.360 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1278 | X=0117.170-0402.430 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1278 | X=0117.170-0402.460 | Y=0253.030-0264.270 | Đường Sông Mây 8 đoạn từ Đường tỉnh 767 đến Ngã ba đường
P=1278 | X=0117.170-0407.240 | Y=0264.550-0275.790 | vào Nghĩa Địa Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1278 | X=0117.170-0145.170 | Y=0276.070-0287.310 | măng:
P=1278 | X=0095.060-0348.720 | Y=0292.620-0304.860 | 125 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1278 | X=0453.050-0469.690 | Y=0292.620-0301.940 | 350
P=1278 | X=0505.390-0522.030 | Y=0292.620-0301.940 | 320
P=1278 | X=0117.170-0404.060 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1278 | X=0117.170-0178.290 | Y=0322.660-0333.900 | đến ≤1.000m.
P=1278 | X=0117.170-0340.340 | Y=0339.940-0351.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1278 | X=0117.170-0402.430 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1278 | X=0117.170-0402.460 | Y=0369.240-0380.480 | Đường Sông Mây 8 đoạn từ Đường tỉnh 767 đến Ngã ba đường
P=1278 | X=0117.170-0407.240 | Y=0380.760-0392.000 | vào Nghĩa Địa Sông Mây có hiện trạng là đường nhựa, bê tông xi
P=1278 | X=0095.060-0145.170 | Y=0392.280-0403.720 | 126 măng:
P=1278 | X=0453.050-0469.690 | Y=0394.400-0403.720 | 230
P=1278 | X=0505.390-0522.030 | Y=0394.400-0403.720 | 210
P=1278 | X=0117.170-0402.980 | Y=0409.800-0421.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1278 | X=0117.170-0340.810 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1278 | X=0223.030-0406.070 | Y=0445.080-0456.320 | Ngã ba đường vào Đường đối diện Nhà
P=1278 | X=0095.060-0205.080 | Y=0456.620-0467.860 | 127 Đường Sông Mây 8
P=1278 | X=0223.030-0293.950 | Y=0456.620-0467.860 | Nghĩa Địa Sông
P=1278 | X=0315.240-0394.310 | Y=0456.620-0467.860 | Văn Hóa ấp Sông
P=1278 | X=0453.050-0469.690 | Y=0458.500-0467.820 | 670
P=1278 | X=0505.390-0522.030 | Y=0458.500-0467.820 | 600
P=1278 | X=0223.030-0241.990 | Y=0470.020-0479.340 | Mây
P=1278 | X=0315.240-0334.200 | Y=0470.020-0479.340 | Mây
P=1278 | X=0117.170-0413.420 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1278 | X=0117.170-0411.580 | Y=0497.420-0508.660 | 8 đoạn từ Ngã ba đường vào Nghĩa Địa Sông Mây đến Đường đối
P=1278 | X=0117.170-0407.500 | Y=0508.940-0520.180 | diện Nhà Văn Hóa ấp Sông Mây có hiện trạng là đường nhựa, bê
P=1278 | X=0095.060-0177.330 | Y=0520.220-0531.660 | 128 tông xi măng:
P=1278 | X=0453.050-0469.690 | Y=0522.340-0531.660 | 450
P=1278 | X=0505.390-0522.030 | Y=0522.340-0531.660 | 400
P=1278 | X=0117.170-0348.250 | Y=0537.770-0549.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1278 | X=0117.170-0382.080 | Y=0555.290-0566.530 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1278 | X=0117.170-0413.420 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1278 | X=0117.170-0411.580 | Y=0584.570-0595.810 | 8 đoạn từ Ngã ba đường vào Nghĩa Địa Sông Mây đến Đường đối
P=1278 | X=0117.170-0407.500 | Y=0596.090-0607.330 | diện Nhà Văn Hóa ấp Sông Mây có hiện trạng là đường nhựa, bê
P=1278 | X=0117.170-0177.330 | Y=0607.610-0618.850 | tông xi măng:
P=1278 | X=0095.060-0348.720 | Y=0624.150-0636.390 | 129 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1278 | X=0453.050-0469.690 | Y=0624.150-0633.470 | 350
P=1278 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 320
P=1278 | X=0117.170-0404.060 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1278 | X=0117.170-0178.290 | Y=0654.190-0665.430 | đến ≤1.000m.
P=1278 | X=0117.170-0340.340 | Y=0671.710-0682.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1278 | X=0117.170-0413.420 | Y=0689.470-0700.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1278 | X=0095.060-0111.700 | Y=0697.110-0706.430 | 130
P=1278 | X=0453.050-0469.690 | Y=0697.110-0706.430 | 230
P=1278 | X=0505.390-0522.030 | Y=0697.110-0706.430 | 210
P=1278 | X=0117.170-0411.580 | Y=0700.770-0712.010 | 8 đoạn từ Ngã ba đường vào Nghĩa Địa Sông Mây đến Đường đối
P=1279 | X=0117.170-0407.500 | Y=0072.500-0083.740 | diện Nhà Văn Hóa ấp Sông Mây có hiện trạng là đường nhựa, bê
P=1279 | X=0117.170-0177.330 | Y=0084.020-0095.260 | tông xi măng:
P=1279 | X=0117.170-0402.990 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1279 | X=0117.170-0340.810 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1279 | X=0117.170-0402.430 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1279 | X=0117.170-0402.470 | Y=0148.370-0159.610 | Đường Sông Mây 8 đoạn từ Ngã ba đường vào Nghĩa Địa Sông
P=1279 | X=0117.170-0413.270 | Y=0159.650-0170.890 | Mây đến Đường đối diện Nhà Văn Hóa ấp Sông Mây có hiện trạng
P=1279 | X=0095.060-0263.500 | Y=0171.170-0182.610 | 131 là đường nhựa, bê tông xi măng:
P=1279 | X=0453.050-0469.690 | Y=0173.290-0182.610 | 450
P=1279 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 400
P=1279 | X=0117.170-0348.250 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1279 | X=0117.170-0394.360 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1279 | X=0117.170-0402.430 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1279 | X=0117.170-0402.470 | Y=0235.510-0246.750 | Đường Sông Mây 8 đoạn từ Ngã ba đường vào Nghĩa Địa Sông
P=1279 | X=0117.170-0413.270 | Y=0247.030-0258.270 | Mây đến Đường đối diện Nhà Văn Hóa ấp Sông Mây có hiện trạng
P=1279 | X=0117.170-0263.500 | Y=0258.550-0269.790 | là đường nhựa, bê tông xi măng:
P=1279 | X=0095.060-0348.720 | Y=0275.070-0287.310 | 132 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1279 | X=0453.050-0469.690 | Y=0275.070-0284.390 | 350
P=1279 | X=0505.390-0522.030 | Y=0275.070-0284.390 | 320
P=1279 | X=0117.170-0404.060 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1279 | X=0117.170-0178.290 | Y=0305.140-0316.380 | đến ≤1.000m.
P=1279 | X=0117.170-0340.340 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1279 | X=0117.170-0402.430 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1279 | X=0117.170-0402.470 | Y=0351.700-0362.940 | Đường Sông Mây 8 đoạn từ Ngã ba đường vào Nghĩa Địa Sông
P=1279 | X=0117.170-0413.270 | Y=0363.220-0374.460 | Mây đến Đường đối diện Nhà Văn Hóa ấp Sông Mây có hiện trạng
P=1279 | X=0095.060-0263.500 | Y=0374.760-0386.200 | 133 là đường nhựa, bê tông xi măng:
P=1279 | X=0453.050-0469.690 | Y=0376.880-0386.200 | 230
P=1279 | X=0505.390-0522.030 | Y=0376.880-0386.200 | 210
P=1279 | X=0117.170-0402.980 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1279 | X=0117.170-0340.810 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1279 | X=0223.030-0313.870 | Y=0427.560-0438.800 | Đường đối diện Nhà
P=1279 | X=0315.240-0403.180 | Y=0433.320-0444.560 | Ngã ba Trường tiểu
P=1279 | X=0095.060-0205.080 | Y=0439.080-0450.320 | 134 Đường Sông Mây 8
P=1279 | X=0223.030-0302.110 | Y=0439.080-0450.320 | Văn Hóa ấp Sông
P=1279 | X=0453.050-0469.690 | Y=0440.960-0450.280 | 670
P=1279 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 600
P=1279 | X=0315.240-0379.310 | Y=0446.720-0456.040 | học Sông Mây
P=1279 | X=0223.030-0241.990 | Y=0452.500-0461.820 | Mây
P=1279 | X=0117.170-0413.420 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1279 | X=0117.170-0411.340 | Y=0479.900-0491.140 | 8 đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông Mây đến Ngã ba
P=1279 | X=0117.170-0405.810 | Y=0491.420-0502.660 | Trường tiểu học Sông Mây có hiện trạng là đường nhựa, bê tông
P=1279 | X=0095.060-0155.000 | Y=0502.940-0514.380 | 135 xi măng:
P=1279 | X=0453.050-0469.690 | Y=0505.060-0514.380 | 450
P=1279 | X=0505.390-0522.030 | Y=0505.060-0514.380 | 400
P=1279 | X=0117.170-0348.250 | Y=0520.220-0531.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1279 | X=0117.170-0382.110 | Y=0537.770-0549.010 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1279 | X=0117.170-0413.420 | Y=0555.530-0566.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông Mây
P=1279 | X=0117.170-0411.340 | Y=0567.050-0578.290 | 8 đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông Mây đến Ngã ba
P=1279 | X=0117.170-0405.810 | Y=0578.570-0589.810 | Trường tiểu học Sông Mây có hiện trạng là đường nhựa, bê tông
P=1279 | X=0117.170-0155.000 | Y=0590.090-0601.330 | xi măng:
P=1279 | X=0095.060-0348.740 | Y=0606.850-0618.850 | 136 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1279 | X=0453.050-0469.690 | Y=0606.850-0616.170 | 350
P=1279 | X=0505.390-0522.030 | Y=0606.850-0616.170 | 320
P=1279 | X=0117.170-0404.060 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1279 | X=0117.170-0178.290 | Y=0636.670-0647.910 | đến ≤1.000m.
P=1279 | X=0117.170-0340.340 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1279 | X=0117.170-0395.750 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp ra Đường
P=1279 | X=0117.170-0404.780 | Y=0683.470-0694.710 | Sông Mây 8 đoạn từ Đường đối diện Nhà Văn Hóa ấp Sông Mây
P=1279 | X=0095.060-0111.700 | Y=0691.110-0700.430 | 137
P=1279 | X=0453.050-0469.690 | Y=0691.110-0700.430 | 230
P=1279 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 210
P=1279 | X=0117.170-0395.260 | Y=0694.750-0705.990 | đến Ngã ba Trường tiểu học Sông Mây có hiện trạng là đường
P=1279 | X=0117.170-0220.280 | Y=0706.290-0717.530 | nhựa, bê tông xi măng:
P=1280 | X=0117.170-0402.980 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1280 | X=0117.170-0340.810 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1280 | X=0117.170-0402.430 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
