TABLE=017 | AREA=Xã Đại Phước | SECTION=agricultural | SEGMENTS=1
P=0524 | X=0126.050-0411.860 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0524 | X=0126.050-0349.690 | Y=0551.450-0562.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0524 | X=0126.050-0411.310 | Y=0569.450-0580.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0524 | X=0126.050-0410.130 | Y=0580.970-0592.210 | Đường Võ Thị Sáu đoạn từ Đường Hùng Vương đến Giáp sông
P=0524 | X=0126.050-0414.210 | Y=0592.250-0603.490 | (giáp khu dân cư Sen Việt) có hiện trạng là đường nhựa, bê tông
P=0524 | X=0126.050-0163.880 | Y=0603.770-0615.010 | xi măng:
P=0524 | X=0102.290-0113.410 | Y=0605.890-0615.210 | 54
P=0524 | X=0453.530-0470.170 | Y=0605.890-0615.210 | 450
P=0524 | X=0505.390-0522.030 | Y=0605.890-0615.210 | 400
P=0524 | X=0126.050-0357.130 | Y=0621.310-0632.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0524 | X=0126.050-0403.240 | Y=0638.830-0650.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0524 | X=0126.050-0411.310 | Y=0656.830-0668.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0524 | X=0126.050-0410.130 | Y=0668.350-0679.590 | Đường Võ Thị Sáu đoạn từ Đường Hùng Vương đến Giáp sông
P=0524 | X=0102.290-0113.410 | Y=0675.990-0685.310 | 55
P=0524 | X=0453.530-0470.170 | Y=0675.990-0685.310 | 350
P=0524 | X=0505.390-0522.030 | Y=0675.990-0685.310 | 320
P=0524 | X=0126.050-0414.210 | Y=0679.870-0691.110 | (giáp khu dân cư Sen Việt) có hiện trạng là đường nhựa, bê tông
P=0524 | X=0126.050-0163.880 | Y=0691.390-0702.630 | xi măng:
P=0525 | X=0126.050-0357.600 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0525 | X=0126.050-0412.940 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0525 | X=0126.050-0187.170 | Y=0107.780-0119.020 | đến ≤1.000m.
P=0525 | X=0126.050-0349.220 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0525 | X=0126.050-0411.310 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0525 | X=0126.050-0410.130 | Y=0154.850-0166.090 | Đường Võ Thị Sáu đoạn từ Đường Hùng Vương đến Giáp sông
P=0525 | X=0126.050-0414.210 | Y=0166.370-0177.610 | (giáp khu dân cư Sen Việt) có hiện trạng là đường nhựa, bê tông
P=0525 | X=0126.050-0163.880 | Y=0177.650-0188.890 | xi măng:
P=0525 | X=0102.290-0113.410 | Y=0180.010-0189.330 | 56
P=0525 | X=0453.530-0470.170 | Y=0180.010-0189.330 | 220
P=0525 | X=0505.390-0522.030 | Y=0180.010-0189.330 | 200
P=0525 | X=0126.050-0411.900 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0525 | X=0126.050-0349.690 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0525 | X=0126.050-0204.780 | Y=0230.710-0241.950 | Đường Trần Nam
P=0525 | X=0126.050-0411.570 | Y=0242.230-0253.470 | Trung (đường dốc 30 Đường Hùng Vương Đường Trần Văn Trà
P=0525 | X=0102.290-0113.410 | Y=0244.110-0253.430 | 57
P=0525 | X=0453.530-0470.170 | Y=0244.110-0253.430 | 670
P=0525 | X=0505.390-0522.030 | Y=0244.110-0253.430 | 600
P=0525 | X=0126.050-0139.970 | Y=0253.750-0264.990 | cũ)
P=0525 | X=0126.050-0397.910 | Y=0271.750-0282.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0525 | X=0126.050-0413.500 | Y=0283.300-0294.540 | Nam Trung (đường dốc 30 cũ) đoạn từ Đường Hùng Vương đến
P=0525 | X=0126.050-0398.360 | Y=0294.820-0306.060 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0525 | X=0126.050-0154.050 | Y=0306.340-0317.580 | măng:
P=0525 | X=0102.290-0113.410 | Y=0308.460-0317.780 | 58
P=0525 | X=0453.530-0470.170 | Y=0308.460-0317.780 | 450
P=0525 | X=0505.390-0522.030 | Y=0308.460-0317.780 | 400
P=0525 | X=0126.050-0357.130 | Y=0323.860-0335.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0525 | X=0126.050-0403.240 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0525 | X=0126.050-0397.910 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0525 | X=0126.050-0413.500 | Y=0370.920-0382.160 | Nam Trung (đường dốc 30 cũ) đoạn từ Đường Hùng Vương đến
P=0525 | X=0126.050-0398.360 | Y=0382.200-0393.440 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0525 | X=0126.050-0154.050 | Y=0393.720-0404.960 | măng:
P=0525 | X=0102.290-0113.410 | Y=0410.480-0419.800 | 59
P=0525 | X=0453.530-0470.170 | Y=0410.480-0419.800 | 350
P=0525 | X=0505.390-0522.030 | Y=0410.480-0419.800 | 320
P=0525 | X=0128.930-0354.230 | Y=0411.240-0422.480 | Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0525 | X=0126.050-0412.940 | Y=0428.760-0440.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0525 | X=0126.050-0187.170 | Y=0440.280-0451.520 | đến ≤1.000m.
P=0525 | X=0126.050-0349.220 | Y=0457.820-0469.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0525 | X=0126.050-0397.910 | Y=0475.820-0487.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0525 | X=0126.050-0413.500 | Y=0487.340-0498.580 | Nam Trung (đường dốc 30 cũ) đoạn từ Đường Hùng Vương đến
P=0525 | X=0126.050-0398.360 | Y=0498.860-0510.100 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0525 | X=0126.050-0154.050 | Y=0510.380-0521.620 | măng:
P=0525 | X=0102.290-0113.410 | Y=0512.500-0521.820 | 60
P=0525 | X=0453.530-0470.170 | Y=0512.500-0521.820 | 220
P=0525 | X=0505.390-0522.030 | Y=0512.500-0521.820 | 200
P=0525 | X=0126.050-0411.860 | Y=0527.900-0539.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0525 | X=0126.050-0349.690 | Y=0545.450-0556.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0525 | X=0126.050-0411.310 | Y=0563.450-0574.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0525 | X=0126.050-0391.180 | Y=0574.970-0586.210 | Đường Trần Nam Trung (đường dốc 30 cũ) đoạn từ Đường
P=0525 | X=0126.050-0403.420 | Y=0586.250-0597.490 | Hùng Vương đến Đường Trần Văn Trà có hiện trạng là đường
P=0525 | X=0126.050-0229.160 | Y=0597.770-0609.010 | nhựa, bê tông xi măng:
P=0525 | X=0102.290-0113.410 | Y=0599.890-0609.210 | 61
P=0525 | X=0453.530-0470.170 | Y=0599.890-0609.210 | 450
P=0525 | X=0505.390-0522.030 | Y=0599.890-0609.210 | 400
P=0525 | X=0126.050-0357.130 | Y=0615.290-0626.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0525 | X=0126.050-0403.240 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0525 | X=0126.050-0411.310 | Y=0650.830-0662.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0525 | X=0126.050-0391.180 | Y=0662.350-0673.590 | Đường Trần Nam Trung (đường dốc 30 cũ) đoạn từ Đường
P=0525 | X=0126.050-0403.420 | Y=0673.870-0685.110 | Hùng Vương đến Đường Trần Văn Trà có hiện trạng là đường
P=0525 | X=0102.290-0113.410 | Y=0678.630-0687.950 | 62
P=0525 | X=0453.530-0470.170 | Y=0678.630-0687.950 | 350
P=0525 | X=0505.390-0522.030 | Y=0678.630-0687.950 | 320
P=0525 | X=0126.050-0229.160 | Y=0685.390-0696.630 | nhựa, bê tông xi măng:
P=0525 | X=0126.050-0357.600 | Y=0702.930-0714.170 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0526 | X=0126.050-0412.940 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0526 | X=0126.050-0187.170 | Y=0090.260-0101.500 | đến ≤1.000m.
P=0526 | X=0126.050-0349.240 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0526 | X=0126.050-0411.310 | Y=0125.810-0137.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0526 | X=0126.050-0391.180 | Y=0137.330-0148.570 | Đường Trần Nam Trung (đường dốc 30 cũ) đoạn từ Đường
P=0526 | X=0126.050-0403.420 | Y=0148.850-0160.090 | Hùng Vương đến Đường Trần Văn Trà có hiện trạng là đường
P=0526 | X=0126.050-0229.160 | Y=0160.370-0171.610 | nhựa, bê tông xi măng:
P=0526 | X=0102.290-0113.410 | Y=0162.490-0171.810 | 63
P=0526 | X=0453.530-0470.170 | Y=0162.490-0171.810 | 220
P=0526 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 200
P=0526 | X=0126.050-0411.870 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0526 | X=0126.050-0349.690 | Y=0195.170-0206.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0526 | X=0126.050-0210.150 | Y=0213.190-0224.430 | Đường Huỳnh Văn
P=0526 | X=0223.750-0410.370 | Y=0218.950-0230.190 | Đường Trần Văn Trà Đường Hùng Vương
P=0526 | X=0102.290-0113.410 | Y=0220.830-0230.150 | 64
P=0526 | X=0453.530-0470.170 | Y=0220.830-0230.150 | 670
P=0526 | X=0505.390-0522.030 | Y=0220.830-0230.150 | 600
P=0526 | X=0126.050-0142.130 | Y=0224.710-0235.950 | Lũy
P=0526 | X=0126.050-0406.070 | Y=0242.710-0253.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0526 | X=0126.050-0410.860 | Y=0254.230-0265.470 | Văn Lũy đoạn từ Đường Trần Văn Trà đến Đường Hùng Vương
P=0526 | X=0126.050-0332.410 | Y=0265.750-0276.990 | có hiện hạng là đường nhựa, bê tông xi măng:
P=0526 | X=0102.290-0113.410 | Y=0273.630-0282.950 | 65
P=0526 | X=0453.530-0470.170 | Y=0273.630-0282.950 | 450
P=0526 | X=0505.390-0522.030 | Y=0273.630-0282.950 | 400
P=0526 | X=0126.050-0357.130 | Y=0283.300-0294.540 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0526 | X=0126.050-0403.240 | Y=0300.820-0312.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0526 | X=0126.050-0406.070 | Y=0318.820-0330.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0526 | X=0126.050-0410.840 | Y=0330.340-0341.580 | Văn Lũy đoạn từ Đường Trần Văn Trà đến Đường Hùng Vương
P=0526 | X=0126.050-0332.900 | Y=0341.860-0353.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0526 | X=0126.050-0357.600 | Y=0359.380-0370.620 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0526 | X=0102.290-0113.410 | Y=0364.140-0373.460 | 66
P=0526 | X=0453.530-0470.170 | Y=0364.140-0373.460 | 350
P=0526 | X=0505.390-0522.030 | Y=0364.140-0373.460 | 320
P=0526 | X=0126.050-0412.940 | Y=0376.920-0388.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0526 | X=0126.050-0187.170 | Y=0388.200-0399.440 | đến ≤1.000m.
P=0526 | X=0126.050-0349.220 | Y=0405.720-0416.960 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0526 | X=0126.050-0406.070 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0526 | X=0126.050-0410.840 | Y=0435.240-0446.480 | Văn Luy đoạn từ Đường Trần Văn Trà đến Đường Hùng Vương
P=0526 | X=0126.050-0332.900 | Y=0446.760-0458.000 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0526 | X=0102.290-0113.410 | Y=0454.660-0463.980 | 67
P=0526 | X=0453.530-0470.170 | Y=0454.660-0463.980 | 220
P=0526 | X=0505.390-0522.030 | Y=0454.660-0463.980 | 200
P=0526 | X=0126.050-0411.860 | Y=0464.300-0475.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0526 | X=0126.050-0349.710 | Y=0481.820-0493.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0526 | X=0126.050-0411.310 | Y=0499.820-0511.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0526 | X=0126.050-0381.580 | Y=0511.340-0522.580 | Đường Huỳnh Văn Lũy đoạn từ Đường Trần Văn Trà đến
P=0526 | X=0126.050-0397.150 | Y=0522.860-0534.100 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0526 | X=0126.050-0154.050 | Y=0534.410-0545.650 | măng:
P=0526 | X=0102.290-0113.410 | Y=0536.530-0545.850 | 68
P=0526 | X=0453.530-0470.170 | Y=0536.530-0545.850 | 450
P=0526 | X=0505.390-0522.030 | Y=0536.530-0545.850 | 400
P=0526 | X=0126.050-0357.160 | Y=0551.930-0563.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0526 | X=0126.050-0403.240 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0526 | X=0126.050-0411.310 | Y=0587.450-0598.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0526 | X=0126.050-0381.590 | Y=0598.970-0610.210 | Đường Huỳnh Văn Lũy đoạn từ Đường Trần Văn Trà đến
P=0526 | X=0126.050-0397.150 | Y=0610.250-0621.490 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0526 | X=0126.050-0154.050 | Y=0621.790-0633.030 | măng:
P=0526 | X=0102.290-0113.410 | Y=0638.550-0647.870 | 69
P=0526 | X=0453.530-0470.170 | Y=0638.550-0647.870 | 350
P=0526 | X=0505.390-0522.030 | Y=0638.550-0647.870 | 320
P=0526 | X=0126.050-0357.600 | Y=0639.310-0650.550 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0526 | X=0126.050-0412.940 | Y=0656.830-0668.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0526 | X=0126.050-0187.170 | Y=0668.350-0679.590 | đến ≤1.000m.
P=0526 | X=0126.050-0349.220 | Y=0685.870-0697.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0526 | X=0126.050-0411.310 | Y=0703.890-0715.130 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0526 | X=0102.290-0113.410 | Y=0705.780-0715.100 | 70
P=0526 | X=0453.530-0470.170 | Y=0705.780-0715.100 | 220
P=0526 | X=0505.390-0522.030 | Y=0705.780-0715.100 | 200
P=0527 | X=0126.050-0381.580 | Y=0072.740-0083.980 | Đường Huỳnh Văn Lũy đoạn từ Đường Trần Văn Trà đến
P=0527 | X=0126.050-0397.150 | Y=0084.260-0095.500 | Đường Hùng Vương có hiện trạng là đường nhựa, bê tông xi
P=0527 | X=0126.050-0154.050 | Y=0095.780-0107.020 | măng:
P=0527 | X=0126.050-0411.860 | Y=0113.300-0124.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0527 | X=0126.050-0349.690 | Y=0130.850-0142.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0527 | X=0126.050-0215.660 | Y=0148.850-0160.090 | Đường giáp ranh xã
P=0527 | X=0126.050-0194.540 | Y=0160.370-0171.610 | Phú Đông-Vĩnh
P=0527 | X=0318.120-0398.620 | Y=0160.370-0171.610 | Đường Quách Thị
P=0527 | X=0223.750-0316.030 | Y=0166.130-0177.370 | Đường Hùng Vương
P=0527 | X=0102.290-0113.410 | Y=0168.010-0177.330 | 71
P=0527 | X=0453.530-0470.170 | Y=0168.010-0177.330 | 600
P=0527 | X=0505.390-0522.030 | Y=0168.010-0177.330 | 530
P=0527 | X=0126.050-0222.880 | Y=0171.650-0182.890 | Thanh cũ (đường con
P=0527 | X=0318.120-0344.360 | Y=0173.530-0182.850 | Trang
P=0527 | X=0126.050-0169.000 | Y=0185.050-0194.370 | Gà Vàng)
P=0527 | X=0126.050-0396.220 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp
P=0527 | X=0126.050-0412.970 | Y=0212.710-0223.950 | ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng) đoạn từ
P=0527 | X=0126.050-0410.630 | Y=0224.230-0235.470 | Đường Hùng Vương đến Đường Quách Thị Trang có hiện trạng
P=0527 | X=0126.050-0272.390 | Y=0235.750-0246.990 | là đường nhựa, bê tông xi măng:
P=0527 | X=0102.290-0113.410 | Y=0237.870-0247.190 | 72
P=0527 | X=0453.530-0470.170 | Y=0237.870-0247.190 | 400
P=0527 | X=0505.390-0522.030 | Y=0237.870-0247.190 | 360
P=0527 | X=0126.050-0357.130 | Y=0253.270-0264.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0527 | X=0126.050-0403.240 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0527 | X=0126.050-0396.220 | Y=0288.820-0300.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp
P=0527 | X=0126.050-0412.970 | Y=0300.340-0311.580 | ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng) đoạn từ
P=0527 | X=0126.050-0410.630 | Y=0311.860-0323.100 | Đường Hùng Vương đến Đường Quách Thị Trang có hiện trạng
P=0527 | X=0126.050-0272.380 | Y=0323.380-0334.620 | là đường nhựa, bê tông xi măng:
P=0527 | X=0102.290-0113.410 | Y=0339.900-0349.220 | 73
P=0527 | X=0453.530-0470.170 | Y=0339.900-0349.220 | 290
P=0527 | X=0505.390-0522.030 | Y=0339.900-0349.220 | 250
P=0527 | X=0126.050-0357.600 | Y=0340.900-0352.140 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0527 | X=0126.050-0412.940 | Y=0358.180-0369.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0527 | X=0126.050-0187.170 | Y=0369.720-0380.960 | đến ≤1.000m.
P=0527 | X=0126.050-0349.220 | Y=0387.240-0398.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0527 | X=0126.050-0396.220 | Y=0405.240-0416.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp
P=0527 | X=0126.050-0412.970 | Y=0416.760-0428.000 | ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng) đoạn từ
P=0527 | X=0126.050-0410.630 | Y=0428.280-0439.520 | Đường Hùng Vương đến Đường Quách Thị Trang có hiện trạng
P=0527 | X=0126.050-0272.380 | Y=0439.800-0451.040 | là đường nhựa, bê tông xi măng:
P=0527 | X=0102.290-0113.410 | Y=0441.920-0451.240 | 74
P=0527 | X=0453.530-0470.170 | Y=0441.920-0451.240 | 180
P=0527 | X=0505.390-0522.030 | Y=0441.920-0451.240 | 180
P=0527 | X=0126.050-0411.870 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0527 | X=0126.050-0349.690 | Y=0474.860-0486.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0527 | X=0126.050-0411.310 | Y=0492.860-0504.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0527 | X=0126.050-0402.470 | Y=0504.380-0515.620 | Đường giáp ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà
P=0527 | X=0126.050-0387.570 | Y=0515.900-0527.140 | Vàng) đoạn từ Đường Hùng Vương đến Đường Quách Thị
P=0527 | X=0126.050-0361.930 | Y=0527.420-0538.660 | Trang có hiện trạng là đường nhựa, bê tông xi măng:
P=0527 | X=0102.290-0113.410 | Y=0529.540-0538.860 | 75
P=0527 | X=0453.530-0470.170 | Y=0529.540-0538.860 | 400
P=0527 | X=0505.390-0522.030 | Y=0529.540-0538.860 | 360
P=0527 | X=0126.050-0357.130 | Y=0544.970-0556.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0527 | X=0126.050-0403.240 | Y=0562.250-0573.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0527 | X=0126.050-0411.310 | Y=0580.250-0591.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0527 | X=0126.050-0402.470 | Y=0591.770-0603.010 | Đường giáp ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà
P=0527 | X=0126.050-0387.570 | Y=0603.290-0614.530 | Vàng) đoạn từ Đường Hùng Vương đến Đường Quách Thị
P=0527 | X=0126.050-0361.930 | Y=0614.810-0626.050 | Trang có hiện trạng là đường nhựa, bê tông xi măng:
P=0527 | X=0102.290-0113.410 | Y=0631.590-0640.910 | 76
P=0527 | X=0453.530-0470.170 | Y=0631.590-0640.910 | 290
P=0527 | X=0505.390-0522.030 | Y=0631.590-0640.910 | 250
P=0527 | X=0126.050-0357.600 | Y=0632.350-0643.590 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0527 | X=0126.050-0412.940 | Y=0649.870-0661.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0527 | X=0126.050-0187.170 | Y=0661.390-0672.630 | đến ≤1.000m.
P=0527 | X=0126.050-0349.220 | Y=0678.910-0690.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0527 | X=0126.050-0411.310 | Y=0696.910-0708.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0527 | X=0102.290-0113.410 | Y=0704.580-0713.900 | 77
P=0527 | X=0453.530-0470.170 | Y=0704.580-0713.900 | 180
P=0527 | X=0505.390-0522.030 | Y=0704.580-0713.900 | 180
P=0527 | X=0126.050-0402.950 | Y=0708.450-0719.690 | Đường giáp ranh xã Phú Đông-Vĩnh Phanh cũ (đường con Gà
P=0528 | X=0126.050-0387.570 | Y=0072.740-0083.980 | Vàng) đoạn từ Đường Hùng Vương đến Đường Quách Thị
P=0528 | X=0126.050-0361.930 | Y=0084.260-0095.500 | Trang có hiện trạng là đường nhựa, bê tông xi măng:
P=0528 | X=0126.050-0411.860 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0528 | X=0126.050-0349.690 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0528 | X=0126.050-0222.380 | Y=0137.330-0148.570 | Đường vào công viên
P=0528 | X=0126.050-0207.280 | Y=0148.850-0160.090 | tưởng niệm Giồng
P=0528 | X=0223.750-0383.950 | Y=0148.850-0160.090 | Đường Hùng Vương Sông Ông Kèo
P=0528 | X=0102.290-0113.410 | Y=0150.730-0160.050 | 78
P=0528 | X=0453.530-0470.170 | Y=0150.730-0160.050 | 670
P=0528 | X=0505.390-0522.030 | Y=0150.730-0160.050 | 600
P=0528 | X=0126.050-0143.890 | Y=0162.250-0171.570 | Sắn
P=0528 | X=0126.050-0393.590 | Y=0178.370-0189.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0528 | X=0126.050-0405.800 | Y=0189.650-0200.890 | công viên tưởng niệm Giồng Sắn đoạn từ Đường Hùng Vương
P=0528 | X=0126.050-0390.190 | Y=0201.190-0212.430 | đến Sông Ông Kèo có hiện trạng là đường nhựa, bê tông xi
P=0528 | X=0126.050-0154.050 | Y=0212.710-0223.950 | măng:
P=0528 | X=0102.290-0113.410 | Y=0214.830-0224.150 | 79
P=0528 | X=0453.530-0470.170 | Y=0214.830-0224.150 | 450
P=0528 | X=0505.390-0522.030 | Y=0214.830-0224.150 | 400
P=0528 | X=0126.050-0357.130 | Y=0230.230-0241.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0528 | X=0126.050-0403.240 | Y=0247.750-0258.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0528 | X=0126.050-0393.590 | Y=0265.750-0276.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0528 | X=0126.050-0405.800 | Y=0277.270-0288.510 | công viên tưởng niệm Giồng Sắn đoạn từ Đường Hùng Vương
P=0528 | X=0126.050-0390.190 | Y=0288.820-0300.060 | đến Sông Ông Kèo có hiện trạng là đường nhựa, bê tông xi
P=0528 | X=0126.050-0154.050 | Y=0300.340-0311.580 | măng:
P=0528 | X=0102.290-0113.410 | Y=0316.860-0326.180 | 80
P=0528 | X=0453.530-0470.170 | Y=0316.860-0326.180 | 350
P=0528 | X=0505.390-0522.030 | Y=0316.860-0326.180 | 320
P=0528 | X=0126.050-0357.630 | Y=0317.860-0329.100 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0528 | X=0126.050-0412.940 | Y=0335.380-0346.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0528 | X=0126.050-0187.170 | Y=0346.900-0358.140 | đến ≤1.000m.
P=0528 | X=0126.050-0349.220 | Y=0364.180-0375.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0528 | X=0126.050-0393.590 | Y=0382.200-0393.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=0528 | X=0126.050-0405.800 | Y=0393.720-0404.960 | công viên tưởng niệm Giồng Sắn đoạn từ Đường Hùng Vương
P=0528 | X=0126.050-0390.190 | Y=0405.240-0416.480 | đến Sông Ông Kèo có hiện trạng là đường nhựa, bê tông xi
P=0528 | X=0126.050-0154.050 | Y=0416.760-0428.000 | măng:
P=0528 | X=0102.290-0113.410 | Y=0418.880-0428.200 | 81
P=0528 | X=0453.530-0470.170 | Y=0418.880-0428.200 | 220
P=0528 | X=0505.390-0522.030 | Y=0418.880-0428.200 | 200
P=0528 | X=0126.050-0411.860 | Y=0434.280-0445.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0528 | X=0126.050-0349.690 | Y=0451.820-0463.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0528 | X=0126.050-0411.310 | Y=0469.820-0481.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0528 | X=0126.050-0398.380 | Y=0481.340-0492.580 | Đường vào công viên tưởng niệm Giồng Sắn đoạn từ Đường
P=0528 | X=0126.050-0404.470 | Y=0492.860-0504.100 | Hùng Vương đến Sông Ông Kèo có hiện trạng là đường nhựa,
P=0528 | X=0126.050-0200.130 | Y=0504.380-0515.620 | bê tông xi măng:
P=0528 | X=0102.290-0113.410 | Y=0506.500-0515.820 | 82
P=0528 | X=0453.530-0470.170 | Y=0506.500-0515.820 | 450
