TABLE=023 | AREA=Phường Bình Lộc | SECTION=agricultural | SEGMENTS=1
P=0722 | X=0106.610-0406.020 | Y=0346.420-0357.660 | Đường Lê A đoạn từ KCN Bình Lộc đến Giáp cầu Bình Lộc có hiện
P=0722 | X=0106.610-0278.420 | Y=0357.700-0368.940 | trạng là đường nhựa, bê tông xi măng:
P=0722 | X=0092.900-0103.780 | Y=0365.580-0374.900 | 63
P=0722 | X=0457.850-0474.020 | Y=0365.580-0374.900 | 240
P=0722 | X=0506.350-0522.520 | Y=0365.580-0374.900 | 210
P=0722 | X=0106.610-0385.950 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0722 | X=0106.610-0334.370 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0722 | X=0338.520-0419.260 | Y=0410.520-0421.760 | Ngã ba Đài tưởng
P=0722 | X=0092.900-0161.810 | Y=0416.280-0427.520 | 64 Đường Lê A
P=0722 | X=0244.900-0327.700 | Y=0416.280-0427.520 | Giáp cầu Bình Lộc
P=0722 | X=0457.850-0474.020 | Y=0418.160-0427.480 | 530
P=0722 | X=0506.350-0522.520 | Y=0418.160-0427.480 | 430
P=0722 | X=0338.520-0359.640 | Y=0422.040-0433.280 | niệm
P=0722 | X=0106.610-0415.700 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A đoạn từ
P=0722 | X=0106.610-0419.460 | Y=0451.340-0462.580 | Giáp cầu Bình Lộc đến Ngã ba Đài tưởng niệm có hiện trạng là đường
P=0722 | X=0106.610-0209.720 | Y=0462.860-0474.100 | nhựa, bê tông xi măng:
P=0722 | X=0092.900-0103.780 | Y=0470.740-0480.060 | 65
P=0722 | X=0457.850-0474.020 | Y=0470.740-0480.060 | 340
P=0722 | X=0506.350-0522.520 | Y=0470.740-0480.060 | 270
P=0722 | X=0106.610-0338.680 | Y=0480.380-0491.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0722 | X=0106.610-0385.720 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0722 | X=0106.610-0415.700 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A đoạn từ
P=0722 | X=0106.610-0419.370 | Y=0527.180-0538.420 | Giáp cầu Bình Lộc đến Ngã ba Đài tưởng niệm có hiện trạng là đường
P=0722 | X=0106.610-0209.720 | Y=0538.490-0549.730 | nhựa, bê tông xi măng:
P=0722 | X=0092.900-0339.170 | Y=0556.010-0570.330 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0722 | X=0457.850-0474.020 | Y=0561.010-0570.330 | 270
P=0722 | X=0506.350-0522.520 | Y=0561.010-0570.330 | 210
P=0722 | X=0106.610-0416.140 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0722 | X=0106.610-0147.810 | Y=0585.050-0596.290 | ≤1.000m.
P=0722 | X=0106.610-0331.010 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0722 | X=0106.610-0415.710 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A đoạn từ
P=0722 | X=0106.610-0419.340 | Y=0631.870-0643.110 | Giáp cầu Bình Lộc đến Ngã ba Đài tưởng niệm có hiện trạng là đường
P=0722 | X=0106.610-0209.720 | Y=0643.390-0654.630 | nhựa, bê tông xi măng:
P=0722 | X=0092.900-0103.780 | Y=0651.270-0660.590 | 67
P=0722 | X=0457.850-0474.010 | Y=0651.270-0660.590 | 200
P=0722 | X=0506.350-0522.520 | Y=0651.270-0660.590 | 150
P=0722 | X=0106.610-0394.110 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0722 | X=0106.610-0331.230 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0722 | X=0106.610-0394.300 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0722 | X=0092.900-0103.780 | Y=0703.860-0713.180 | 68
P=0722 | X=0457.850-0474.020 | Y=0703.860-0713.180 | 340
P=0722 | X=0506.350-0522.520 | Y=0703.860-0713.180 | 270
P=0722 | X=0106.610-0413.160 | Y=0707.730-0718.970 | Đường Lê A đoạn từ Giáp cầu Bình Lộc đến Ngã ba Đài tưởng niệm
P=0723 | X=0106.610-0313.380 | Y=0072.500-0083.740 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0106.610-0338.680 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0723 | X=0106.610-0385.720 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0723 | X=0106.610-0394.300 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0723 | X=0106.610-0413.160 | Y=0136.850-0148.090 | Đường Lê A đoạn từ Giáp cầu Bình Lộc đến Ngã ba Đài tưởng niệm
P=0723 | X=0106.610-0313.380 | Y=0148.370-0159.610 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0092.900-0339.170 | Y=0165.650-0179.970 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0723 | X=0457.850-0474.020 | Y=0170.650-0179.970 | 270
P=0723 | X=0506.350-0522.520 | Y=0170.650-0179.970 | 210
P=0723 | X=0106.610-0416.140 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0723 | X=0106.610-0147.810 | Y=0194.690-0205.930 | ≤1.000m.
P=0723 | X=0106.610-0331.010 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0723 | X=0106.610-0394.300 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0723 | X=0106.610-0413.160 | Y=0241.510-0252.750 | Đường Lê A đoạn từ Giáp cầu Bình Lộc đến Ngã ba Đài tưởng niệm
P=0723 | X=0106.610-0313.380 | Y=0253.030-0264.270 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0092.900-0103.780 | Y=0260.910-0270.230 | 70
P=0723 | X=0457.850-0474.020 | Y=0260.910-0270.230 | 200
P=0723 | X=0506.350-0522.520 | Y=0260.910-0270.230 | 150
P=0723 | X=0106.610-0394.110 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0723 | X=0106.610-0334.120 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0723 | X=0244.900-0325.640 | Y=0305.860-0317.100 | Ngã ba Đài tưởng
P=0723 | X=0338.520-0420.460 | Y=0305.860-0317.100 | Giáp trụ sở UBND
P=0723 | X=0092.900-0161.810 | Y=0311.620-0322.860 | 71 Đường Lê A
P=0723 | X=0457.850-0474.020 | Y=0313.500-0322.820 | 530
P=0723 | X=0506.350-0522.520 | Y=0313.500-0322.820 | 430
P=0723 | X=0244.900-0266.020 | Y=0317.380-0328.620 | niệm
P=0723 | X=0338.520-0416.540 | Y=0317.380-0328.620 | phường Bình Lộc
P=0723 | X=0106.610-0418.720 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A đoạn từ
P=0723 | X=0106.610-0410.800 | Y=0346.660-0357.900 | Ngã ba Đài tưởng niệm đến Giáp trụ sở UBND phường Bình Lộc có
P=0723 | X=0106.610-0300.180 | Y=0357.940-0369.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0092.900-0103.780 | Y=0365.820-0375.140 | 72
P=0723 | X=0457.850-0474.020 | Y=0365.820-0375.140 | 340
P=0723 | X=0506.350-0522.520 | Y=0365.820-0375.140 | 270
P=0723 | X=0106.610-0338.680 | Y=0375.480-0386.720 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0723 | X=0106.610-0385.720 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0723 | X=0106.610-0418.720 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A đoạn từ
P=0723 | X=0106.610-0410.800 | Y=0422.280-0433.520 | Ngã ba Đài tưởng niệm đến Giáp trụ sở UBND phường Bình Lộc có
P=0723 | X=0106.610-0300.180 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0092.900-0339.170 | Y=0451.340-0465.420 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0723 | X=0457.850-0474.020 | Y=0456.100-0465.420 | 270
P=0723 | X=0506.350-0522.520 | Y=0456.100-0465.420 | 210
P=0723 | X=0106.610-0416.140 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0723 | X=0106.610-0147.810 | Y=0480.380-0491.620 | ≤1.000m.
P=0723 | X=0106.610-0331.010 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0723 | X=0106.610-0418.720 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê A đoạn từ
P=0723 | X=0106.610-0410.860 | Y=0527.180-0538.420 | Ngã ba Đài tưởng niệm đến Giáp trụ sở UBND phường Bình Lộc có
P=0723 | X=0106.610-0300.180 | Y=0538.490-0549.730 | hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0092.900-0103.780 | Y=0546.370-0555.690 | 74
P=0723 | X=0457.850-0474.020 | Y=0546.370-0555.690 | 200
P=0723 | X=0506.350-0522.520 | Y=0546.370-0555.690 | 150
P=0723 | X=0106.610-0394.110 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0723 | X=0106.610-0331.230 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0723 | X=0106.610-0426.090 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0723 | X=0106.610-0413.360 | Y=0602.810-0614.050 | Lê A đoạn từ Ngã ba Đài tưởng niệm đến Giáp trụ sở UBND phường
P=0723 | X=0106.610-0355.610 | Y=0614.330-0625.570 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0092.900-0103.780 | Y=0622.230-0631.550 | 75
P=0723 | X=0457.850-0474.020 | Y=0622.230-0631.550 | 340
P=0723 | X=0506.350-0522.520 | Y=0622.230-0631.550 | 270
P=0723 | X=0106.610-0338.680 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0723 | X=0106.610-0385.720 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0723 | X=0106.610-0426.160 | Y=0667.150-0678.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0723 | X=0106.610-0413.310 | Y=0678.670-0689.910 | Lê A đoạn từ Ngã ba Đài tưởng niệm đến Giáp trụ sở UBND phường
P=0723 | X=0092.900-0355.610 | Y=0689.190-0701.430 | 76 Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0723 | X=0457.850-0474.020 | Y=0689.190-0698.510 | 270
P=0723 | X=0506.350-0522.520 | Y=0689.190-0698.510 | 210
P=0723 | X=0106.610-0339.170 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0724 | X=0106.610-0416.140 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0724 | X=0106.610-0147.810 | Y=0090.020-0101.260 | ≤1.000m.
P=0724 | X=0106.610-0331.010 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0724 | X=0106.610-0426.090 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0724 | X=0106.610-0413.310 | Y=0136.850-0148.090 | Lê A đoạn từ Ngã ba Đài tưởng niệm đến Giáp trụ sở UBND phường
P=0724 | X=0106.610-0355.730 | Y=0148.370-0159.610 | Bình Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0724 | X=0092.900-0103.780 | Y=0156.250-0165.570 | 77
P=0724 | X=0457.850-0474.020 | Y=0156.250-0165.570 | 200
P=0724 | X=0506.350-0522.520 | Y=0156.250-0165.570 | 150
P=0724 | X=0106.610-0394.110 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0724 | X=0106.610-0331.230 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0724 | X=0106.610-0325.320 | Y=0200.950-0212.190 | Đường Bình Lộc đi ấp Bàu Cối Đường Bình Lộc -
P=0724 | X=0338.520-0422.290 | Y=0206.710-0217.950 | Ranh xã Xuân Bắc
P=0724 | X=0092.900-0103.780 | Y=0208.590-0217.910 | 78
P=0724 | X=0457.850-0474.020 | Y=0208.590-0217.910 | 500
P=0724 | X=0506.350-0522.520 | Y=0208.590-0217.910 | 400
P=0724 | X=0106.610-0163.480 | Y=0212.470-0223.710 | xã Xuân Bắc
P=0724 | X=0244.900-0278.330 | Y=0214.350-0223.670 | Cây Da
P=0724 | X=0106.610-0421.820 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Lộc đi ấp
P=0724 | X=0106.610-0417.550 | Y=0241.750-0252.990 | Bàu Cối xã Xuân Bắc đoạn từ Đường Bình Lộc - Cây Da đến Ranh xã
P=0724 | X=0106.610-0359.450 | Y=0253.270-0264.510 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0724 | X=0092.900-0103.780 | Y=0261.150-0270.470 | 79
P=0724 | X=0457.850-0474.020 | Y=0261.150-0270.470 | 320
P=0724 | X=0506.350-0522.520 | Y=0261.150-0270.470 | 250
P=0724 | X=0106.610-0338.680 | Y=0270.790-0282.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0724 | X=0106.610-0385.720 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0724 | X=0106.610-0421.740 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Lộc đi ấp
P=0724 | X=0106.610-0417.550 | Y=0317.620-0328.860 | Bàu Cối xã Xuân Bắc đoạn từ Đường Bình Lộc - Cây Da đến Ranh xã
P=0724 | X=0106.610-0359.450 | Y=0329.140-0340.380 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0724 | X=0092.900-0339.170 | Y=0346.660-0360.740 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0724 | X=0457.850-0474.020 | Y=0351.420-0360.740 | 260
P=0724 | X=0506.350-0522.520 | Y=0351.420-0360.740 | 190
P=0724 | X=0106.610-0416.140 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0724 | X=0106.610-0147.810 | Y=0375.480-0386.720 | ≤1.000m.
P=0724 | X=0106.610-0331.010 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0724 | X=0106.610-0421.740 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Lộc đi ấp
P=0724 | X=0106.610-0417.580 | Y=0422.280-0433.520 | Bàu Cối xã Xuân Bắc đoạn từ Đường Bình Lộc - Cây Da đến Ranh xã
P=0724 | X=0106.610-0359.450 | Y=0433.800-0445.040 | Xuân Bắc có hiện trạng là đường nhựa, bê tông xi măng:
P=0724 | X=0092.900-0103.780 | Y=0441.680-0451.000 | 81
P=0724 | X=0457.850-0474.020 | Y=0441.680-0451.000 | 170
P=0724 | X=0506.350-0522.520 | Y=0441.680-0451.000 | 140
P=0724 | X=0106.610-0394.110 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0724 | X=0106.610-0331.230 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0724 | X=0106.610-0394.060 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0724 | X=0106.610-0418.670 | Y=0498.140-0509.380 | Đường Bình Lộc đi ấp Bàu Cối xã Xuân Bắc đoạn từ Đường Bình Lộc
P=0724 | X=0106.610-0425.740 | Y=0509.660-0520.900 | Cây Da đến Ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0724 | X=0092.900-0133.650 | Y=0521.180-0532.620 | 82 măng:
P=0724 | X=0457.850-0474.020 | Y=0523.300-0532.620 | 320
P=0724 | X=0506.350-0522.520 | Y=0523.300-0532.620 | 250
P=0724 | X=0106.610-0338.680 | Y=0538.490-0549.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0724 | X=0106.610-0385.720 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0724 | X=0106.610-0394.060 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0724 | X=0106.610-0418.670 | Y=0585.290-0596.530 | Đường Bình Lộc đi ấp Bàu Cối xã Xuân Bắc đoạn từ Đường Bình Lộc
P=0724 | X=0106.610-0425.740 | Y=0596.810-0608.050 | Cây Da đến Ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0724 | X=0106.610-0133.650 | Y=0608.330-0619.570 | măng:
P=0724 | X=0092.900-0339.170 | Y=0625.110-0637.110 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0724 | X=0457.850-0474.020 | Y=0625.110-0634.430 | 260
P=0724 | X=0506.350-0522.520 | Y=0625.110-0634.430 | 190
P=0724 | X=0106.610-0416.140 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0724 | X=0106.610-0147.810 | Y=0654.910-0666.150 | ≤1.000m.
P=0724 | X=0106.610-0331.010 | Y=0672.430-0683.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0724 | X=0106.610-0394.060 | Y=0690.190-0701.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0724 | X=0092.900-0103.780 | Y=0697.830-0707.150 | 84
P=0724 | X=0457.850-0474.020 | Y=0697.830-0707.150 | 170
P=0724 | X=0506.350-0522.520 | Y=0697.830-0707.150 | 140
P=0724 | X=0106.610-0418.670 | Y=0701.730-0712.970 | Đường Bình Lộc đi ấp Bàu Cối xã Xuân Bắc đoạn từ Đường Bình Lộc
P=0725 | X=0106.610-0425.740 | Y=0072.500-0083.740 | Cây Da đến Ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê tông xi
P=0725 | X=0106.610-0133.650 | Y=0084.020-0095.260 | măng:
P=0725 | X=0106.610-0394.110 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0725 | X=0106.610-0331.230 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0725 | X=0106.610-0225.750 | Y=0136.850-0148.090 | Đường Khu phố 3 phường
P=0725 | X=0244.900-0300.120 | Y=0142.610-0153.850 | Đường Lê A
P=0725 | X=0338.520-0412.340 | Y=0142.610-0153.850 | Hết đường nhựa
P=0725 | X=0092.900-0103.780 | Y=0144.490-0153.810 | 85
P=0725 | X=0457.850-0474.020 | Y=0144.490-0153.810 | 500
P=0725 | X=0506.350-0522.520 | Y=0144.490-0153.810 | 400
P=0725 | X=0106.610-0146.210 | Y=0148.370-0159.610 | Bình Lộc
P=0725 | X=0106.610-0406.060 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu phố 3
P=0725 | X=0106.610-0412.290 | Y=0177.410-0188.650 | phường Bình Lộc đoạn từ Đường Lê A đến Hết đường nhựa có hiện
P=0725 | X=0106.610-0278.350 | Y=0188.930-0200.170 | trạng là đường nhựa, bê tông xi măng:
P=0725 | X=0092.900-0103.780 | Y=0196.810-0206.130 | 86
P=0725 | X=0457.850-0474.020 | Y=0196.810-0206.130 | 320
P=0725 | X=0506.350-0522.520 | Y=0196.810-0206.130 | 250
P=0725 | X=0106.610-0338.680 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0725 | X=0106.610-0385.740 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0725 | X=0106.610-0406.060 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu phố 3
P=0725 | X=0106.610-0412.290 | Y=0253.270-0264.510 | phường Bình Lộc đoạn từ Đường Lê A đến Hết đường nhựa có hiện
P=0725 | X=0106.610-0278.350 | Y=0264.790-0276.030 | trạng là đường nhựa, bê tông xi măng:
P=0725 | X=0092.900-0339.170 | Y=0282.340-0296.420 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0725 | X=0457.850-0474.020 | Y=0287.100-0296.420 | 260
P=0725 | X=0506.350-0522.520 | Y=0287.100-0296.420 | 190
P=0725 | X=0106.610-0416.140 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0725 | X=0106.610-0147.810 | Y=0311.380-0322.620 | ≤1.000m.
P=0725 | X=0106.610-0331.010 | Y=0328.900-0340.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0725 | X=0106.610-0406.060 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Khu phố 3
P=0725 | X=0106.610-0412.290 | Y=0357.940-0369.180 | phường Bình Lộc đoạn từ Đường Lê A đến Hết đường nhựa có hiện
P=0725 | X=0106.610-0278.400 | Y=0369.480-0380.720 | trạng là đường nhựa, bê tông xi măng:
P=0725 | X=0092.900-0103.780 | Y=0377.360-0386.680 | 88
P=0725 | X=0457.850-0474.020 | Y=0377.360-0386.680 | 170
P=0725 | X=0506.350-0522.520 | Y=0377.360-0386.680 | 140
P=0725 | X=0106.610-0394.110 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0725 | X=0106.610-0331.230 | Y=0404.520-0415.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0725 | X=0106.610-0426.090 | Y=0422.280-0433.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0725 | X=0106.610-0424.310 | Y=0433.800-0445.040 | Khu phố 3 phường Bình Lộc đoạn từ Đường Lê A đến Hết đường nhựa
P=0725 | X=0106.610-0313.380 | Y=0445.320-0456.560 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0725 | X=0092.900-0103.780 | Y=0453.220-0462.540 | 89
P=0725 | X=0457.850-0474.020 | Y=0453.220-0462.540 | 320
P=0725 | X=0506.350-0522.520 | Y=0453.220-0462.540 | 250
P=0725 | X=0106.610-0338.680 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0725 | X=0106.610-0385.720 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0725 | X=0106.610-0426.090 | Y=0498.140-0509.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0725 | X=0106.610-0424.310 | Y=0509.660-0520.900 | Khu phố 3 phường Bình Lộc đoạn từ Đường Lê A đến Hết đường nhựa
P=0725 | X=0106.610-0313.380 | Y=0521.180-0532.420 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0725 | X=0092.900-0339.170 | Y=0538.490-0552.810 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0725 | X=0457.850-0474.020 | Y=0543.490-0552.810 | 260
P=0725 | X=0506.350-0522.520 | Y=0543.490-0552.810 | 190
P=0725 | X=0106.610-0416.140 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0725 | X=0106.610-0147.810 | Y=0567.530-0578.770 | ≤1.000m.
P=0725 | X=0106.610-0331.010 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0725 | X=0106.610-0426.090 | Y=0602.810-0614.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0725 | X=0106.610-0424.310 | Y=0614.330-0625.570 | Khu phố 3 phường Bình Lộc đoạn từ Đường Lê A đến Hết đường nhựa
P=0725 | X=0106.610-0313.380 | Y=0625.870-0637.110 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0725 | X=0092.900-0103.780 | Y=0633.750-0643.070 | 91
P=0725 | X=0457.850-0474.020 | Y=0633.750-0643.070 | 170
P=0725 | X=0506.350-0522.520 | Y=0633.750-0643.070 | 140
P=0725 | X=0106.610-0394.140 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0725 | X=0106.610-0331.230 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0725 | X=0244.900-0325.640 | Y=0678.670-0689.910 | Ngã ba Đài tưởng
P=0725 | X=0338.520-0411.830 | Y=0678.670-0689.910 | Giáp đường khu
P=0725 | X=0092.900-0232.950 | Y=0684.430-0695.670 | 92 Đường Bình Lộc - Tín Nghĩa
P=0725 | X=0457.850-0474.020 | Y=0686.310-0695.630 | 530
P=0725 | X=0506.350-0522.520 | Y=0686.310-0695.630 | 430
P=0725 | X=0244.900-0266.020 | Y=0690.190-0701.430 | niệm
P=0725 | X=0338.520-0421.900 | Y=0690.190-0701.430 | phố 2 đi khu phố 3
P=0725 | X=0092.900-0420.690 | Y=0707.970-0719.210 | 93 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Lộc - Tín
P=0725 | X=0457.850-0474.020 | Y=0709.860-0719.180 | 340
P=0725 | X=0506.350-0522.520 | Y=0709.860-0719.180 | 270
P=0726 | X=0106.610-0411.270 | Y=0072.500-0083.740 | Nghĩa đoạn từ Ngã ba Đài tưởng niệm đến Giáp đường khu phố 2 đi
P=0726 | X=0106.610-0359.940 | Y=0084.020-0095.260 | khu phố 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0726 | X=0106.610-0338.680 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0726 | X=0106.610-0385.720 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0726 | X=0106.610-0420.690 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Lộc - Tín
P=0726 | X=0106.610-0411.170 | Y=0148.370-0159.610 | Nghĩa đoạn từ Ngã ba Đài tưởng niệm đến Giáp đường khu phố 2 đi
P=0726 | X=0106.610-0359.940 | Y=0159.650-0170.890 | khu phố 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0726 | X=0092.900-0339.170 | Y=0177.170-0191.490 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0726 | X=0457.850-0474.020 | Y=0182.170-0191.490 | 270
P=0726 | X=0506.350-0522.520 | Y=0182.170-0191.490 | 210
P=0726 | X=0106.610-0416.140 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
