TABLE=019 | AREA=Phường Long Khánh | SECTION=agricultural | SEGMENTS=1
P=0582 | X=0116.210-0339.850 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0582 | X=0116.210-0401.470 | Y=0172.850-0184.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0582 | X=0116.210-0390.700 | Y=0184.370-0195.610 | Đường Chu Văn An đoạn từ Đường Hùng Vương đến Đường
P=0582 | X=0116.210-0409.230 | Y=0195.650-0206.890 | Nguyễn Hữu Cảnh có hiện trạng là đường nhựa, bê tông xi măng:
P=0582 | X=0097.250-0108.370 | Y=0203.550-0212.870 | 75
P=0582 | X=0459.290-0475.930 | Y=0203.550-0212.870 | 510
P=0582 | X=0505.390-0522.030 | Y=0203.550-0212.870 | 360
P=0582 | X=0116.210-0341.780 | Y=0213.190-0224.430 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0582 | X=0116.210-0393.400 | Y=0230.710-0241.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0582 | X=0116.210-0401.500 | Y=0248.710-0259.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0582 | X=0116.210-0390.700 | Y=0260.230-0271.470 | Đường Chu Văn An đoạn từ Đường Hùng Vương đến Đường
P=0582 | X=0116.210-0409.230 | Y=0271.750-0282.990 | Nguyễn Hữu Cảnh có hiện trạng là đường nhựa, bê tông xi măng:
P=0582 | X=0097.250-0342.250 | Y=0289.300-0303.620 | 76 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0582 | X=0459.290-0475.930 | Y=0294.300-0303.620 | 420
P=0582 | X=0505.390-0522.030 | Y=0294.300-0303.620 | 310
P=0582 | X=0116.210-0403.100 | Y=0306.820-0318.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0582 | X=0116.210-0169.170 | Y=0318.340-0329.580 | đến ≤600m.
P=0582 | X=0116.210-0339.380 | Y=0335.860-0347.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0582 | X=0116.210-0401.470 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp vá thông ra
P=0582 | X=0116.210-0390.700 | Y=0365.400-0376.640 | Đường Chu Văn An đoạn từ Đường Hùng Vương đến Đường
P=0582 | X=0116.210-0409.230 | Y=0376.920-0388.160 | Nguyễn Hữu Cảnh có hiện trạng là đường nhựa, bê tông xi măng:
P=0582 | X=0097.250-0108.370 | Y=0384.800-0394.120 | 77
P=0582 | X=0459.290-0475.930 | Y=0384.800-0394.120 | 340
P=0582 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 250
P=0582 | X=0116.210-0393.640 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0582 | X=0116.210-0342.500 | Y=0411.720-0422.960 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0582 | X=0116.210-0200.310 | Y=0429.720-0440.960 | Đường Huỳnh Văn
P=0582 | X=0316.680-0385.660 | Y=0429.720-0440.960 | Đường Nguyễn
P=0582 | X=0211.510-0303.790 | Y=0435.480-0446.720 | Đường Hùng Vương
P=0582 | X=0097.250-0108.370 | Y=0437.360-0446.680 | 78
P=0582 | X=0459.290-0475.930 | Y=0437.360-0446.680 | 800
P=0582 | X=0505.390-0522.030 | Y=0437.360-0446.680 | 540
P=0582 | X=0116.210-0140.050 | Y=0443.120-0452.440 | Nghệ
P=0582 | X=0316.680-0366.860 | Y=0443.120-0452.440 | Trung Trực
P=0582 | X=0116.210-0396.230 | Y=0459.260-0470.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0582 | X=0116.210-0383.980 | Y=0470.780-0482.020 | Văn Nghệ đoạn từ Đường Hùng Vương đến Đường Nguyễn
P=0582 | X=0116.210-0375.640 | Y=0482.300-0493.540 | Trung Trực có hiện trạng là đường nhựa, bê tông xi măng:
P=0582 | X=0097.250-0108.370 | Y=0490.180-0499.500 | 79
P=0582 | X=0459.290-0475.930 | Y=0490.180-0499.500 | 510
P=0582 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 360
P=0582 | X=0116.210-0341.780 | Y=0499.820-0511.060 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0582 | X=0116.210-0393.400 | Y=0517.340-0528.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0582 | X=0116.210-0396.230 | Y=0535.370-0546.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0582 | X=0116.210-0383.980 | Y=0546.890-0558.130 | Văn Nghệ đoạn từ Đường Hùng Vương đến Đường Nguyễn
P=0582 | X=0116.210-0375.640 | Y=0558.410-0569.650 | Trung Trực có hiện trạng là đường nhựa, bê tông xi măng:
P=0582 | X=0097.250-0342.250 | Y=0575.930-0590.010 | 80 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0582 | X=0459.290-0475.930 | Y=0580.690-0590.010 | 420
P=0582 | X=0505.390-0522.030 | Y=0580.690-0590.010 | 310
P=0582 | X=0116.210-0403.100 | Y=0593.450-0604.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0582 | X=0116.210-0169.170 | Y=0604.970-0616.210 | đến ≤600m.
P=0582 | X=0116.210-0339.400 | Y=0622.270-0633.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0582 | X=0116.210-0396.230 | Y=0640.270-0651.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0582 | X=0116.210-0383.980 | Y=0651.790-0663.030 | Văn Nghệ đoạn từ Đường Hùng Vương đến Đường Nguyễn
P=0582 | X=0116.210-0375.640 | Y=0663.310-0674.550 | Trung Trực có hiện trạng là đường nhựa, bê tông xi măng:
P=0582 | X=0097.250-0108.370 | Y=0671.190-0680.510 | 81
P=0582 | X=0459.290-0475.930 | Y=0671.190-0680.510 | 340
P=0582 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 250
P=0582 | X=0116.210-0393.640 | Y=0680.830-0692.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0582 | X=0116.210-0339.850 | Y=0698.350-0709.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0583 | X=0116.210-0401.470 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0583 | X=0116.210-0378.470 | Y=0090.260-0101.500 | Đường Huỳnh Văn Nghệ đoạn từ Đường Hùng Vương đến
P=0583 | X=0116.210-0407.010 | Y=0101.780-0113.020 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông
P=0583 | X=0097.250-0154.040 | Y=0113.300-0124.740 | 82 xi măng:
P=0583 | X=0459.290-0475.930 | Y=0115.420-0124.740 | 510
P=0583 | X=0505.390-0522.030 | Y=0115.420-0124.740 | 360
P=0583 | X=0116.210-0341.780 | Y=0130.850-0142.090 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0583 | X=0116.210-0393.400 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0583 | X=0116.210-0401.470 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0583 | X=0116.210-0378.470 | Y=0177.650-0188.890 | Đường Huỳnh Văn Nghệ đoạn từ Đường Hùng Vương đến
P=0583 | X=0116.210-0407.020 | Y=0189.170-0200.410 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông
P=0583 | X=0116.210-0154.040 | Y=0200.710-0211.950 | xi măng:
P=0583 | X=0097.250-0339.380 | Y=0217.470-0229.470 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0583 | X=0459.290-0475.930 | Y=0217.470-0226.790 | 420
P=0583 | X=0505.390-0522.030 | Y=0217.470-0226.790 | 310
P=0583 | X=0116.210-0403.100 | Y=0235.750-0246.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0583 | X=0116.210-0169.170 | Y=0247.270-0258.510 | đến ≤600m.
P=0583 | X=0116.210-0339.380 | Y=0264.790-0276.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0583 | X=0116.210-0401.500 | Y=0282.820-0294.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0583 | X=0116.210-0378.470 | Y=0294.340-0305.580 | Đường Huỳnh Văn Nghệ đoạn từ Đường Hùng Vương đến
P=0583 | X=0116.210-0407.010 | Y=0305.860-0317.100 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông
P=0583 | X=0097.250-0154.040 | Y=0317.380-0328.820 | 84 xi măng:
P=0583 | X=0459.290-0475.930 | Y=0319.500-0328.820 | 340
P=0583 | X=0505.390-0522.030 | Y=0319.500-0328.820 | 250
P=0583 | X=0116.210-0393.640 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0583 | X=0116.210-0342.500 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0583 | X=0116.210-0200.310 | Y=0370.200-0381.440 | Đường Huỳnh Văn
P=0583 | X=0211.510-0309.540 | Y=0370.200-0381.440 | Đường Nguyễn Trung
P=0583 | X=0316.680-0408.460 | Y=0375.960-0387.200 | Đường Trương Định
P=0583 | X=0097.250-0108.370 | Y=0377.840-0387.160 | 85
P=0583 | X=0459.290-0475.930 | Y=0377.840-0387.160 | 930
P=0583 | X=0505.390-0522.030 | Y=0377.840-0387.160 | 630
P=0583 | X=0116.210-0140.050 | Y=0383.600-0392.920 | Nghệ
P=0583 | X=0211.510-0232.900 | Y=0383.600-0392.920 | Trực
P=0583 | X=0116.210-0396.230 | Y=0399.720-0410.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0583 | X=0116.210-0376.550 | Y=0411.240-0422.480 | Văn Nghệ đoạn từ Đường Nguyễn Trung Trực đến Đường
P=0583 | X=0116.210-0383.070 | Y=0422.760-0434.000 | Trương Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0583 | X=0097.250-0108.370 | Y=0430.640-0439.960 | 86
P=0583 | X=0459.290-0475.930 | Y=0430.640-0439.960 | 590
P=0583 | X=0505.390-0522.030 | Y=0430.640-0439.960 | 420
P=0583 | X=0116.210-0339.120 | Y=0440.280-0451.520 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0583 | X=0116.210-0393.400 | Y=0457.820-0469.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0583 | X=0116.210-0396.230 | Y=0475.820-0487.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0583 | X=0116.210-0376.550 | Y=0487.340-0498.580 | Văn Nghệ đoạn từ Đường Nguyễn Trung Trực đến Đường
P=0583 | X=0116.210-0383.100 | Y=0498.860-0510.100 | Trương Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0583 | X=0097.250-0342.250 | Y=0516.380-0530.460 | 87 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0583 | X=0459.290-0475.930 | Y=0521.140-0530.460 | 460
P=0583 | X=0505.390-0522.030 | Y=0521.140-0530.460 | 340
P=0583 | X=0116.210-0403.100 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0583 | X=0116.210-0169.170 | Y=0545.450-0556.690 | đến ≤600m.
P=0583 | X=0116.210-0339.380 | Y=0562.970-0574.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0583 | X=0116.210-0396.230 | Y=0580.970-0592.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh
P=0583 | X=0116.210-0376.550 | Y=0592.250-0603.490 | Vãn Nghệ đoạn từ Đường Nguyễn Trung Trực đến Đường
P=0583 | X=0116.210-0383.070 | Y=0603.770-0615.010 | Trương Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0583 | X=0097.250-0108.370 | Y=0611.650-0620.970 | 88
P=0583 | X=0459.290-0475.930 | Y=0611.650-0620.970 | 360
P=0583 | X=0505.390-0522.030 | Y=0611.650-0620.970 | 270
P=0583 | X=0116.210-0393.640 | Y=0621.310-0632.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0583 | X=0116.210-0339.850 | Y=0638.830-0650.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0583 | X=0116.210-0401.470 | Y=0656.830-0668.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0583 | X=0116.210-0407.980 | Y=0668.350-0679.590 | Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Trung Trực đến
P=0583 | X=0097.250-0108.370 | Y=0675.990-0685.310 | 89
P=0583 | X=0459.290-0475.930 | Y=0675.990-0685.310 | 590
P=0583 | X=0505.390-0522.030 | Y=0675.990-0685.310 | 420
P=0583 | X=0116.210-0386.840 | Y=0679.870-0691.110 | Đường Trương Định có hiện trạng là đường nhựa, bê tông xi
P=0583 | X=0116.210-0144.210 | Y=0691.390-0702.630 | măng:
P=0584 | X=0116.210-0341.780 | Y=0078.740-0089.980 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0584 | X=0116.210-0393.400 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0584 | X=0116.210-0401.470 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0584 | X=0116.210-0407.980 | Y=0125.810-0137.050 | Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Trung Trực đến
P=0584 | X=0116.210-0386.840 | Y=0137.330-0148.570 | Đường Trương Định có hiện trạng là đường nhựa, bê tông xi
P=0584 | X=0116.210-0144.210 | Y=0148.850-0160.090 | măng:
P=0584 | X=0097.250-0342.250 | Y=0165.370-0177.610 | 90 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0584 | X=0459.290-0475.930 | Y=0165.370-0174.690 | 460
P=0584 | X=0505.390-0522.030 | Y=0165.370-0174.690 | 340
P=0584 | X=0116.210-0403.100 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0584 | X=0116.210-0169.170 | Y=0195.170-0206.410 | đến ≤600m.
P=0584 | X=0116.210-0339.380 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0584 | X=0116.210-0401.470 | Y=0230.710-0241.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0584 | X=0116.210-0407.980 | Y=0242.230-0253.470 | Đường Huỳnh Văn Nghệ đoạn từ Đường Nguyễn Trung Trực đến
P=0584 | X=0116.210-0386.840 | Y=0253.750-0264.990 | Đường Trương Định có hiện trạng là đường nhựa, bê tông xi
P=0584 | X=0097.250-0144.210 | Y=0265.270-0276.710 | 91 măng:
P=0584 | X=0459.290-0475.930 | Y=0267.390-0276.710 | 360
P=0584 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 270
P=0584 | X=0116.210-0393.640 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0584 | X=0116.210-0339.850 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông> 200m.
P=0584 | X=0116.210-0196.710 | Y=0318.340-0329.580 | Đường Trịnh Hoài
P=0584 | X=0211.510-0410.620 | Y=0318.340-0329.580 | Đường Nguyễn Trung Đường Trần Thượng
P=0584 | X=0097.250-0108.370 | Y=0325.980-0335.300 | 92
P=0584 | X=0459.290-0475.930 | Y=0325.980-0335.300 | 800
P=0584 | X=0505.390-0522.030 | Y=0325.980-0335.300 | 540
P=0584 | X=0116.210-0135.170 | Y=0329.860-0341.100 | Đức
P=0584 | X=0211.510-0232.900 | Y=0331.740-0341.060 | Trực
P=0584 | X=0316.680-0344.850 | Y=0331.740-0341.060 | Xuyên
P=0584 | X=0116.210-0390.230 | Y=0347.860-0359.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trịnh
P=0584 | X=0116.210-0397.660 | Y=0359.380-0370.620 | Hoài Đức đoạn từ Đường Nguyễn Trung Trực đến Đường Trần
P=0584 | X=0116.210-0393.150 | Y=0370.920-0382.160 | Thượng Xuyên có hiện trạng là đường nhựa, bê tông xi măng:
P=0584 | X=0097.250-0108.370 | Y=0378.800-0388.120 | 93
P=0584 | X=0459.290-0475.930 | Y=0378.800-0388.120 | 510
P=0584 | X=0505.390-0522.030 | Y=0378.800-0388.120 | 360
P=0584 | X=0116.210-0341.780 | Y=0388.200-0399.440 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0584 | X=0116.210-0393.400 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0584 | X=0116.210-0390.230 | Y=0423.720-0434.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trịnh
P=0584 | X=0116.210-0397.660 | Y=0435.240-0446.480 | Hoài Đức đoạn từ Đường Nguyễn Trung Trực đến Đường Trần
P=0584 | X=0116.210-0393.150 | Y=0446.760-0458.000 | Thượng Xuyên có hiện trạng là đường nhựa, bê tông xi măng:
P=0584 | X=0097.250-0342.250 | Y=0464.300-0478.620 | 94 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0584 | X=0459.290-0475.930 | Y=0469.300-0478.620 | 420
P=0584 | X=0505.390-0522.030 | Y=0469.300-0478.620 | 310
P=0584 | X=0116.210-0403.100 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0584 | X=0116.210-0169.170 | Y=0493.340-0504.580 | đến ≤600m.
P=0584 | X=0116.210-0339.380 | Y=0510.860-0522.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0584 | X=0116.210-0390.230 | Y=0528.860-0540.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trịnh
P=0584 | X=0116.210-0397.660 | Y=0540.410-0551.650 | Hoài Đức đoạn từ Đường Nguyễn Trung Trực đến Đường Trần
P=0584 | X=0116.210-0393.150 | Y=0551.930-0563.170 | Thượng Xuyên có hiện trạng là đường nhựa, bê tông xi măng:
P=0584 | X=0097.250-0108.370 | Y=0559.810-0569.130 | 95
P=0584 | X=0459.290-0475.930 | Y=0559.810-0569.130 | 340
P=0584 | X=0505.390-0522.030 | Y=0559.810-0569.130 | 250
P=0584 | X=0116.210-0393.640 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0584 | X=0116.210-0339.850 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0584 | X=0116.210-0401.470 | Y=0604.970-0616.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0584 | X=0116.210-0399.820 | Y=0616.270-0627.510 | Đường Trịnh Hoài Đức đoạn từ Đường Nguyễn Trung Trực đến
P=0584 | X=0116.210-0410.370 | Y=0627.790-0639.030 | Đường Trần Thượng Xuyên có hiện trạng là đường nhựa, bê tông
P=0584 | X=0097.250-0154.040 | Y=0639.310-0650.750 | 96 xi măng:
P=0584 | X=0459.290-0475.930 | Y=0641.430-0650.750 | 510
P=0584 | X=0505.390-0522.030 | Y=0641.430-0650.750 | 360
P=0584 | X=0116.210-0341.780 | Y=0656.830-0668.070 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0584 | X=0116.210-0393.400 | Y=0674.350-0685.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0584 | X=0116.210-0401.500 | Y=0692.350-0703.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0584 | X=0097.250-0108.370 | Y=0699.990-0709.310 | 97
P=0584 | X=0459.290-0475.930 | Y=0699.990-0709.310 | 420
P=0584 | X=0505.390-0522.030 | Y=0699.990-0709.310 | 310
P=0584 | X=0116.210-0399.820 | Y=0703.890-0715.130 | Đường Trịnh Hoài Đức đoạn từ Đường Nguyễn Trung Trực đến
P=0585 | X=0116.210-0410.370 | Y=0072.740-0083.980 | Đường Trần Thượng Xuyên có hiện trạng là đường nhựa, bê tông
P=0585 | X=0116.210-0154.040 | Y=0084.260-0095.500 | xi măng:
P=0585 | X=0116.210-0342.250 | Y=0101.780-0113.020 | - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0585 | X=0116.210-0403.100 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0585 | X=0116.210-0169.170 | Y=0130.850-0142.090 | đến ≤600m.
P=0585 | X=0116.210-0339.380 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0585 | X=0116.210-0401.470 | Y=0166.370-0177.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0585 | X=0116.210-0399.820 | Y=0177.650-0188.890 | Đường Trịnh Hoài Đức đoạn từ Đường Nguyễn Trung Trực đến
P=0585 | X=0116.210-0410.370 | Y=0189.170-0200.410 | Đường Trần Thượng Xuyên có hiện trạng là đường nhựa, bê tông
P=0585 | X=0097.250-0154.040 | Y=0200.710-0212.150 | 98 xi măng:
P=0585 | X=0459.290-0475.930 | Y=0202.830-0212.150 | 340
P=0585 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 250
P=0585 | X=0116.210-0393.640 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0585 | X=0116.210-0342.500 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0585 | X=0116.210-0194.780 | Y=0253.750-0264.990 | Đường Lê Quang
P=0585 | X=0316.680-0380.620 | Y=0253.750-0264.990 | Đường Hồ Thị
P=0585 | X=0211.510-0303.790 | Y=0259.510-0270.750 | Đường Hùng Vương
P=0585 | X=0097.250-0108.370 | Y=0261.390-0270.710 | 99
P=0585 | X=0459.290-0475.930 | Y=0261.390-0270.710 | 800
P=0585 | X=0505.390-0522.030 | Y=0261.390-0270.710 | 540
P=0585 | X=0116.210-0136.930 | Y=0265.270-0276.510 | Định
P=0585 | X=0316.680-0348.430 | Y=0265.270-0276.510 | Hương
P=0585 | X=0116.210-0378.450 | Y=0283.300-0294.540 | Các tuyến đường giao thông đầu nối trực tiếp ra Đường Lê
P=0585 | X=0116.210-0388.060 | Y=0294.820-0306.060 | Quang Định đoạn từ Đường Hùng Vương đến Đường Hồ Thị
P=0585 | X=0116.210-0357.610 | Y=0306.340-0317.580 | Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0094.340-0110.980 | Y=0314.220-0323.540 | 100
P=0585 | X=0459.290-0475.930 | Y=0314.220-0323.540 | 510
P=0585 | X=0505.390-0522.030 | Y=0314.220-0323.540 | 360
P=0585 | X=0116.210-0341.780 | Y=0323.860-0335.100 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0585 | X=0116.210-0393.400 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0585 | X=0116.210-0378.450 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=0585 | X=0116.210-0388.060 | Y=0370.920-0382.160 | Quang Định đoạn từ Đường Hùng Vương đến Đường Hồ Thị
P=0585 | X=0116.210-0357.610 | Y=0382.200-0393.440 | Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0094.340-0342.250 | Y=0399.720-0414.040 | 101 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0585 | X=0459.290-0475.930 | Y=0404.720-0414.040 | 420
P=0585 | X=0505.390-0522.030 | Y=0404.720-0414.040 | 310
P=0585 | X=0116.210-0403.100 | Y=0417.240-0428.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0585 | X=0116.210-0169.170 | Y=0428.760-0440.000 | đến ≤600m.
P=0585 | X=0116.210-0339.390 | Y=0446.280-0457.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0585 | X=0116.210-0378.450 | Y=0464.300-0475.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê
P=0585 | X=0116.210-0388.060 | Y=0475.820-0487.060 | Quang Định đoạn từ Đường Hùng Vương đến Đường Hồ Thị
P=0585 | X=0116.210-0357.610 | Y=0487.340-0498.580 | Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0094.340-0110.980 | Y=0495.220-0504.540 | 102
P=0585 | X=0459.290-0475.930 | Y=0495.220-0504.540 | 340
P=0585 | X=0505.390-0522.030 | Y=0495.220-0504.540 | 250
P=0585 | X=0116.210-0393.640 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0585 | X=0116.210-0339.850 | Y=0522.380-0533.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0585 | X=0116.210-0401.470 | Y=0540.410-0551.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0585 | X=0116.210-0404.150 | Y=0551.930-0563.170 | Đường Lê Quang Định đoạn từ Đường Hùng Vương đến Đường
P=0585 | X=0116.210-0389.790 | Y=0563.450-0574.690 | Hồ Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0094.340-0110.980 | Y=0571.330-0580.650 | 103
P=0585 | X=0459.290-0475.930 | Y=0571.330-0580.650 | 510
P=0585 | X=0505.390-0522.030 | Y=0571.330-0580.650 | 360
P=0585 | X=0116.210-0341.780 | Y=0580.970-0592.210 | - Có bề rộng ≥ 5m, cách đường giao thông ≤600m.
P=0585 | X=0116.210-0393.400 | Y=0598.250-0609.490 | - Có bề rộng từ ≤3m đến <5m, cách đường giao thông ≤400m.
P=0585 | X=0116.210-0401.470 | Y=0616.270-0627.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0585 | X=0116.210-0404.150 | Y=0627.790-0639.030 | Đường Lê Quang Định đoạn từ Đường Hùng Vương đến Đường
P=0585 | X=0116.210-0389.800 | Y=0639.310-0650.550 | Hồ Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0585 | X=0094.340-0342.250 | Y=0656.830-0671.150 | 104 - Có bề rộng ≥ 5m, cách đường giao thông >600m.
P=0585 | X=0459.290-0475.930 | Y=0661.830-0671.150 | 420
P=0585 | X=0505.390-0522.030 | Y=0661.830-0671.150 | 310
P=0585 | X=0116.210-0403.100 | Y=0674.350-0685.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0585 | X=0116.210-0169.170 | Y=0685.870-0697.110 | đến ≤600m.
P=0585 | X=0116.210-0339.380 | Y=0703.410-0714.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0586 | X=0116.210-0401.470 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0586 | X=0116.210-0404.150 | Y=0090.260-0101.500 | Đường Lê Quang Định đoạn từ Đường Hùng Vương đến Đường
P=0586 | X=0116.210-0389.790 | Y=0101.780-0113.020 | Hồ Thị Hương có hiện trạng là đường nhựa, bê tông xi măng:
P=0586 | X=0094.340-0110.980 | Y=0109.660-0118.980 | 105
P=0586 | X=0459.290-0475.930 | Y=0109.660-0118.980 | 340
P=0586 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 250
P=0586 | X=0116.210-0393.640 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
