TABLE=037 | AREA=Xã Bàu Hàm | SECTION=agricultural | SEGMENTS=2
P=1254 | X=0117.170-0402.230 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trường
P=1254 | X=0117.170-0390.700 | Y=0346.660-0357.900 | An - Tân Thành đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1254 | X=0117.170-0383.070 | Y=0357.940-0369.180 | Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1254 | X=0097.970-0109.090 | Y=0365.820-0375.140 | 74
P=1254 | X=0453.050-0469.690 | Y=0365.820-0375.140 | 180
P=1254 | X=0505.630-0522.270 | Y=0365.820-0375.140 | 160
P=1254 | X=0117.170-0402.980 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1254 | X=0117.170-0340.810 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1254 | X=0117.170-0402.430 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1254 | X=0117.170-0387.980 | Y=0422.280-0433.520 | Đường Trường An - Tân Thành đoạn từ Đường Trảng Bom -
P=1254 | X=0117.170-0394.060 | Y=0433.800-0445.040 | Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê
P=1254 | X=0097.970-0177.330 | Y=0445.320-0456.760 | 75 tông xi măng:
P=1254 | X=0453.050-0469.690 | Y=0447.440-0456.760 | 340
P=1254 | X=0505.630-0522.270 | Y=0447.440-0456.760 | 310
P=1254 | X=0117.170-0348.250 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1254 | X=0117.170-0394.360 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1254 | X=0117.170-0402.430 | Y=0498.140-0509.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1254 | X=0117.170-0387.980 | Y=0509.660-0520.900 | Đường Trường An - Tân Thành đoạn từ Đường Trảng Bom -
P=1254 | X=0117.170-0394.060 | Y=0521.180-0532.420 | Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê
P=1254 | X=0117.170-0177.330 | Y=0532.490-0543.730 | tông xi măng:
P=1254 | X=0097.970-0348.720 | Y=0549.250-0561.250 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1254 | X=0453.050-0469.690 | Y=0549.250-0558.570 | 260
P=1254 | X=0505.630-0522.270 | Y=0549.250-0558.570 | 240
P=1254 | X=0117.170-0404.060 | Y=0567.530-0578.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1254 | X=0117.170-0178.290 | Y=0579.050-0590.290 | đến ≤1.000m.
P=1254 | X=0117.170-0340.340 | Y=0596.570-0607.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1254 | X=0117.170-0402.430 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1254 | X=0117.170-0387.980 | Y=0625.870-0637.110 | Đường Trường An - Tân Thành đoạn từ Đường Trảng Bom -
P=1254 | X=0117.170-0394.060 | Y=0637.390-0648.630 | Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê
P=1254 | X=0097.970-0177.330 | Y=0648.910-0660.350 | 77 tông xi măng:
P=1254 | X=0453.050-0469.690 | Y=0651.030-0660.350 | 180
P=1254 | X=0505.630-0522.270 | Y=0651.030-0660.350 | 160
P=1254 | X=0117.170-0402.980 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1254 | X=0117.170-0340.810 | Y=0683.950-0695.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1254 | X=0097.970-0206.230 | Y=0701.730-0712.970 | 78 Đường Tân Thành -
P=1254 | X=0223.030-0371.500 | Y=0701.730-0712.970 | Đường Trảng Bom - Hương lộ 24
P=1254 | X=0453.050-0469.690 | Y=0703.620-0712.940 | 500
P=1254 | X=0505.630-0522.270 | Y=0703.620-0712.940 | 450
P=1255 | X=0117.170-0166.220 | Y=0072.500-0083.740 | Trường An
P=1255 | X=0223.030-0274.940 | Y=0074.380-0083.700 | Thanh Bình
P=1255 | X=0117.170-0385.660 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1255 | X=0117.170-0407.500 | Y=0101.780-0113.020 | Thành - Trường An đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1255 | X=0117.170-0383.070 | Y=0113.300-0124.540 | Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1255 | X=0097.970-0109.090 | Y=0121.210-0130.530 | 79
P=1255 | X=0453.050-0469.690 | Y=0121.210-0130.530 | 340
P=1255 | X=0505.630-0522.270 | Y=0121.210-0130.530 | 310
P=1255 | X=0117.170-0348.250 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1255 | X=0117.170-0382.110 | Y=0148.370-0159.610 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1255 | X=0117.170-0385.660 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1255 | X=0117.170-0407.500 | Y=0177.410-0188.650 | Thành - Trường An đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1255 | X=0117.170-0383.070 | Y=0188.930-0200.170 | Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1255 | X=0097.970-0348.720 | Y=0206.470-0220.790 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1255 | X=0453.050-0469.690 | Y=0211.470-0220.790 | 260
P=1255 | X=0505.630-0522.270 | Y=0211.470-0220.790 | 240
P=1255 | X=0117.170-0404.060 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1255 | X=0117.170-0178.290 | Y=0235.510-0246.750 | đến ≤1.000m.
P=1255 | X=0117.170-0340.340 | Y=0253.030-0264.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1255 | X=0117.170-0385.660 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1255 | X=0117.170-0407.500 | Y=0282.340-0293.580 | Thành - Trường An đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1255 | X=0117.170-0383.070 | Y=0293.860-0305.100 | Hương lộ 24 có hiện trạng là đường nhựa, bê tông xi măng:
P=1255 | X=0097.970-0109.090 | Y=0301.740-0311.060 | 81
P=1255 | X=0453.050-0469.690 | Y=0301.740-0311.060 | 180
P=1255 | X=0505.630-0522.270 | Y=0301.740-0311.060 | 160
P=1255 | X=0117.170-0402.980 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1255 | X=0117.170-0340.810 | Y=0328.900-0340.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1255 | X=0117.170-0402.430 | Y=0346.660-0357.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1255 | X=0117.170-0387.980 | Y=0357.940-0369.180 | Đường Tân Thành - Trường An đoạn từ Đường Trảng Bom -
P=1255 | X=0117.170-0394.060 | Y=0369.480-0380.720 | Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê
P=1255 | X=0097.970-0177.330 | Y=0381.000-0392.440 | 82 tông xi măng:
P=1255 | X=0453.050-0469.690 | Y=0383.120-0392.440 | 340
P=1255 | X=0505.630-0522.270 | Y=0383.120-0392.440 | 310
P=1255 | X=0117.170-0348.250 | Y=0398.520-0409.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1255 | X=0117.170-0394.360 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1255 | X=0117.170-0402.430 | Y=0433.800-0445.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1255 | X=0117.170-0387.980 | Y=0445.320-0456.560 | Đường Tân Thành - Trường An đoạn từ Đường Trảng Bom -
P=1255 | X=0117.170-0394.060 | Y=0456.860-0468.100 | Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê
P=1255 | X=0117.170-0177.330 | Y=0468.380-0479.620 | tông xi măng:
P=1255 | X=0097.970-0348.720 | Y=0484.900-0497.140 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1255 | X=0453.050-0469.690 | Y=0484.900-0494.220 | 260
P=1255 | X=0505.630-0522.270 | Y=0484.900-0494.220 | 240
P=1255 | X=0117.170-0404.070 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1255 | X=0117.170-0178.290 | Y=0514.940-0526.180 | đến ≤1.000m.
P=1255 | X=0117.170-0340.340 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1255 | X=0117.170-0402.430 | Y=0550.010-0561.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1255 | X=0117.170-0387.980 | Y=0561.530-0572.770 | Đường Tân Thành - Trường An đoạn từ Đường Trảng Bom -
P=1255 | X=0117.170-0394.060 | Y=0573.050-0584.290 | Thanh Bình đến Hương lộ 24 có hiện trạng là đường nhựa, bê
P=1255 | X=0097.970-0177.320 | Y=0584.570-0596.010 | 84 tông xi măng:
P=1255 | X=0453.050-0469.690 | Y=0586.690-0596.010 | 180
P=1255 | X=0505.630-0522.270 | Y=0586.690-0596.010 | 160
P=1255 | X=0117.170-0402.980 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1255 | X=0117.170-0340.810 | Y=0619.630-0630.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1255 | X=0117.170-0197.350 | Y=0637.390-0648.630 | Đường Đức Huy -
P=1255 | X=0223.030-0403.910 | Y=0637.390-0648.630 | Đường Trảng Bom - Giáp ranh xã Thống
P=1255 | X=0097.970-0109.090 | Y=0645.030-0654.350 | 85
P=1255 | X=0453.050-0469.690 | Y=0645.030-0654.350 | 530
P=1255 | X=0505.630-0522.270 | Y=0645.030-0654.350 | 470
P=1255 | X=0117.170-0274.940 | Y=0648.910-0660.150 | Thanh Bình - Dốc Mơ Thanh Bình
P=1255 | X=0315.240-0336.280 | Y=0650.790-0660.110 | Nhất
P=1255 | X=0117.170-0414.140 | Y=0666.670-0677.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đức Huy -
P=1255 | X=0117.170-0397.870 | Y=0678.190-0689.430 | Thanh Bình - Dốc Mơ đoạn từ Đường Trảng Bom - Thanh Bình
P=1255 | X=0097.970-0109.090 | Y=0685.830-0695.150 | 86
P=1255 | X=0453.050-0469.690 | Y=0685.830-0695.150 | 360
P=1255 | X=0505.630-0522.270 | Y=0685.830-0695.150 | 330
P=1255 | X=0117.170-0395.740 | Y=0689.710-0700.950 | đến Giáp ranh xã Thống Nhất có hiện trạng là đường nhựa, bê
P=1255 | X=0117.170-0177.330 | Y=0701.250-0712.490 | tông xi măng:
P=1256 | X=0117.170-0348.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1256 | X=0117.170-0382.100 | Y=0096.020-0107.260 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1256 | X=0117.170-0414.140 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đức Huy -
P=1256 | X=0117.170-0397.870 | Y=0125.330-0136.570 | Thanh Bình - Dốc Mơ đoạn từ Đường Trảng Bom - Thanh Bình
P=1256 | X=0117.170-0395.740 | Y=0136.850-0148.090 | đến Giáp ranh xã Thống Nhất có hiện trạng là đường nhựa, bê
P=1256 | X=0117.170-0177.330 | Y=0148.370-0159.610 | tông xi măng:
P=1256 | X=0097.970-0348.720 | Y=0164.890-0176.890 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1256 | X=0453.050-0469.690 | Y=0164.890-0174.210 | 290
P=1256 | X=0505.630-0522.270 | Y=0164.890-0174.210 | 260
P=1256 | X=0117.170-0404.060 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1256 | X=0117.170-0178.290 | Y=0194.690-0205.930 | đến ≤1.000m.
P=1256 | X=0117.170-0340.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1256 | X=0117.170-0414.140 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đức Huy -
P=1256 | X=0117.170-0397.870 | Y=0241.510-0252.750 | Thanh Bình - Dốc Mơ đoạn từ Đường Trảng Bom - Thanh Bình
P=1256 | X=0117.170-0395.740 | Y=0253.030-0264.270 | đến Giáp ranh xã Thống Nhất có hiện trạng là đường nhựa, bê
P=1256 | X=0097.970-0177.330 | Y=0264.550-0275.990 | 88 tông xi măng:
P=1256 | X=0453.050-0469.690 | Y=0266.670-0275.990 | 200
P=1256 | X=0505.630-0522.270 | Y=0266.670-0275.990 | 180
P=1256 | X=0117.170-0402.980 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1256 | X=0117.170-0340.810 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1256 | X=0117.170-0402.430 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1256 | X=0117.170-0396.710 | Y=0328.900-0340.140 | Đường Đức Huy - Thanh Bình - Dốc Mơ đoạn từ Đường Trảng
P=1256 | X=0117.170-0404.370 | Y=0340.420-0351.660 | Bom - Thanh Bình đến Giáp ranh xã Thống Nhất có hiện trạng là
P=1256 | X=0097.970-0252.940 | Y=0351.700-0363.140 | 89 đường nhựa, bê tông xi măng:
P=1256 | X=0453.050-0469.690 | Y=0353.820-0363.140 | 360
P=1256 | X=0505.630-0522.270 | Y=0353.820-0363.140 | 330
P=1256 | X=0117.170-0348.250 | Y=0369.240-0380.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1256 | X=0117.170-0394.360 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1256 | X=0117.170-0402.430 | Y=0404.520-0415.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1256 | X=0117.170-0396.710 | Y=0416.040-0427.280 | Đường Đức Huy - Thanh Bình - Dốc Mơ đoạn từ Đường Trảng
P=1256 | X=0117.170-0404.370 | Y=0427.560-0438.800 | Bom - Thanh Bình đến Giáp ranh xã Thống Nhất có hiện trạng là
P=1256 | X=0117.170-0252.940 | Y=0439.080-0450.320 | đường nhựa, bê tông xi măng:
P=1256 | X=0097.970-0348.720 | Y=0455.620-0467.860 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1256 | X=0453.050-0469.690 | Y=0455.620-0464.940 | 290
P=1256 | X=0505.630-0522.270 | Y=0455.620-0464.940 | 260
P=1256 | X=0117.170-0404.060 | Y=0474.140-0485.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1256 | X=0117.170-0178.290 | Y=0485.660-0496.900 | đến ≤1.000m.
P=1256 | X=0117.170-0340.340 | Y=0503.180-0514.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1256 | X=0117.170-0402.430 | Y=0520.940-0532.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1256 | X=0117.170-0396.710 | Y=0532.220-0543.460 | Đường Đức Huy - Thanh Bình - Dốc Mơ đoạn từ Đường Trảng
P=1256 | X=0117.170-0404.370 | Y=0543.770-0555.010 | Bom - Thanh Bình đến Giáp ranh xã Thống Nhất có hiện trạng là
P=1256 | X=0097.970-0252.940 | Y=0555.290-0566.730 | 91 đường nhựa, bê tông xi măng:
P=1256 | X=0453.050-0469.690 | Y=0557.410-0566.730 | 200
P=1256 | X=0505.630-0522.270 | Y=0557.410-0566.730 | 180
P=1256 | X=0117.170-0402.980 | Y=0572.810-0584.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1256 | X=0117.170-0340.810 | Y=0590.330-0601.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1256 | X=0315.240-0404.780 | Y=0608.090-0619.330 | Đường Sông Thao -
P=1256 | X=0097.970-0165.730 | Y=0613.850-0625.090 | 92 Đường 3/2
P=1256 | X=0223.030-0293.230 | Y=0613.850-0625.090 | Đường tỉnh 762
P=1256 | X=0453.050-0469.690 | Y=0615.730-0625.050 | 500
P=1256 | X=0505.630-0522.270 | Y=0615.730-0625.050 | 450
P=1256 | X=0315.240-0356.990 | Y=0621.510-0630.830 | Bàu Hàm
P=1256 | X=0117.170-0407.260 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3/2 đoạn
P=1256 | X=0117.170-0390.710 | Y=0648.910-0660.150 | từ Đường tỉnh 762 đến Đường Sông Thao - Bàu Hàm có hiện
P=1256 | X=0117.170-0288.950 | Y=0660.430-0671.670 | trạng là đường nhựa, bê tông xi măng:
P=1256 | X=0097.970-0109.090 | Y=0668.310-0677.630 | 93
P=1256 | X=0453.050-0469.690 | Y=0668.310-0677.630 | 340
P=1256 | X=0505.630-0522.270 | Y=0668.310-0677.630 | 310
P=1256 | X=0117.170-0348.250 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1256 | X=0117.170-0382.080 | Y=0695.470-0706.710 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1257 | X=0117.170-0407.260 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 3/2 đoạn
P=1257 | X=0117.170-0390.710 | Y=0090.020-0101.260 | từ Đường tỉnh 762 đến Đường Sông Thao - Bàu Hàm có hiện
P=1257 | X=0117.170-0288.950 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=1257 | X=0097.970-0348.720 | Y=0119.090-0133.170 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1257 | X=0453.050-0469.690 | Y=0123.850-0133.170 | 260
P=1257 | X=0505.630-0522.270 | Y=0123.850-0133.170 | 240
P=1257 | X=0117.170-0404.060 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1257 | X=0117.170-0178.290 | Y=0148.130-0159.370 | đến ≤1.000m.
P=1257 | X=0117.170-0340.340 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1257 | X=0117.170-0402.430 | Y=0183.170-0194.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1257 | X=0117.170-0407.980 | Y=0194.690-0205.930 | Đường 3/2 đoạn từ Đường tỉnh 762 đến Đường Sông Thao - Bàu
P=1257 | X=0117.170-0348.010 | Y=0206.230-0217.470 | Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1257 | X=0097.970-0109.090 | Y=0214.110-0223.430 | 95
P=1257 | X=0453.050-0469.690 | Y=0214.110-0223.430 | 180
P=1257 | X=0505.630-0522.270 | Y=0214.110-0223.430 | 160
P=1257 | X=0117.170-0402.980 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1257 | X=0117.170-0340.810 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1257 | X=0117.170-0402.430 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1257 | X=0117.170-0407.980 | Y=0270.550-0281.790 | Đường 3/2 đoạn từ Đường tỉnh 762 đến Đường Sông Thao - Bàu
P=1257 | X=0117.170-0348.010 | Y=0282.100-0293.340 | Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1257 | X=0097.970-0109.090 | Y=0289.980-0299.300 | 96
P=1257 | X=0453.050-0469.690 | Y=0289.980-0299.300 | 340
P=1257 | X=0505.630-0522.270 | Y=0289.980-0299.300 | 310
P=1257 | X=0117.170-0348.250 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1257 | X=0117.170-0394.360 | Y=0317.140-0328.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1257 | X=0117.170-0402.430 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1257 | X=0117.170-0407.980 | Y=0346.420-0357.660 | Đường 3/2 đoạn từ Đường tỉnh 762 đến Đường Sông Thao - Bàu
P=1257 | X=0117.170-0348.010 | Y=0357.700-0368.940 | Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1257 | X=0097.970-0348.720 | Y=0375.240-0389.560 | 97 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1257 | X=0453.050-0469.690 | Y=0380.240-0389.560 | 260
P=1257 | X=0505.630-0522.270 | Y=0380.240-0389.560 | 240
P=1257 | X=0117.170-0404.060 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1257 | X=0117.170-0178.290 | Y=0404.280-0415.520 | đến ≤1.000m.
P=1257 | X=0117.170-0340.340 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1257 | X=0117.170-0402.430 | Y=0439.560-0450.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1257 | X=0117.170-0407.980 | Y=0451.100-0462.340 | Đường 3/2 đoạn từ Đường tỉnh 762 đến Đường Sông Thao - Bàu
P=1257 | X=0117.170-0348.010 | Y=0462.620-0473.860 | Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1257 | X=0097.970-0109.090 | Y=0470.500-0479.820 | 98
P=1257 | X=0453.050-0469.690 | Y=0470.500-0479.820 | 180
P=1257 | X=0505.630-0522.270 | Y=0470.500-0479.820 | 160
P=1257 | X=0117.170-0402.980 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1257 | X=0117.170-0340.810 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1257 | X=0117.170-0206.710 | Y=0515.420-0526.660 | Đường Sông Thao -
P=1257 | X=0223.030-0308.300 | Y=0515.420-0526.660 | Giáp ranh xã Hưng
P=1257 | X=0315.240-0397.160 | Y=0521.180-0532.420 | Đường 19 tháng 5
P=1257 | X=0097.970-0109.090 | Y=0523.060-0532.380 | 99
P=1257 | X=0453.050-0469.690 | Y=0523.060-0532.380 | 530
P=1257 | X=0505.630-0522.270 | Y=0523.060-0532.380 | 470
P=1257 | X=0117.170-0158.920 | Y=0528.820-0538.140 | Bàu Hàm
P=1257 | X=0223.030-0248.340 | Y=0528.820-0538.140 | Thịnh
P=1257 | X=0117.170-0391.670 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1257 | X=0117.170-0411.590 | Y=0556.010-0567.250 | Thao - Bàu Hàm đoạn từ Giáp ranh xã Hưng Thịnh đến Đường 19
P=1257 | X=0117.170-0360.250 | Y=0567.530-0578.770 | tháng 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1257 | X=0095.060-0111.700 | Y=0575.410-0584.730 | 100
P=1257 | X=0453.050-0469.690 | Y=0575.410-0584.730 | 360
P=1257 | X=0505.630-0522.270 | Y=0575.410-0584.730 | 330
P=1257 | X=0117.170-0348.250 | Y=0585.050-0596.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1257 | X=0117.170-0382.080 | Y=0602.570-0613.810 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1257 | X=0117.170-0391.670 | Y=0620.350-0631.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1257 | X=0117.170-0411.590 | Y=0631.870-0643.110 | Thao - Bàu Hàm đoạn từ Giáp ranh xã Hưng Thịnh đến Đường 19
P=1257 | X=0117.170-0360.250 | Y=0643.390-0654.630 | tháng 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1257 | X=0095.060-0348.720 | Y=0660.910-0674.990 | 101 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1257 | X=0453.050-0469.690 | Y=0665.670-0674.990 | 290
P=1257 | X=0505.630-0522.270 | Y=0665.670-0674.990 | 260
P=1257 | X=0117.170-0404.060 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1257 | X=0117.170-0178.300 | Y=0689.950-0701.190 | đến ≤1.000m.
P=1257 | X=0117.170-0340.340 | Y=0707.490-0718.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1258 | X=0117.170-0391.670 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1258 | X=0117.170-0411.590 | Y=0090.020-0101.260 | Thao - Bàu Hàm đoạn từ Giáp ranh xã Hưng Thịnh đến Đường 19
P=1258 | X=0117.170-0360.250 | Y=0101.540-0112.780 | tháng 5 có hiện trạng là đường nhựa, bê tông xi măng:
P=1258 | X=0095.060-0111.700 | Y=0109.420-0118.740 | 102
P=1258 | X=0453.050-0469.690 | Y=0109.420-0118.740 | 200
P=1258 | X=0505.630-0522.270 | Y=0109.420-0118.740 | 180
P=1258 | X=0117.170-0402.980 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1258 | X=0117.170-0340.810 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1258 | X=0117.170-0402.430 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1258 | X=0117.170-0404.390 | Y=0165.650-0176.890 | Đường Sông Thao - Bàu Hàm đoạn từ Giáp ranh xã Hưng Thịnh
P=1258 | X=0117.170-0397.150 | Y=0177.170-0188.410 | đến Đường 19 tháng 5 có hiện trạng là đường nhựa, bê tông xi
P=1258 | X=0095.060-0145.170 | Y=0188.690-0200.130 | 103 măng:
P=1258 | X=0453.050-0469.690 | Y=0190.810-0200.130 | 360
P=1258 | X=0505.630-0522.270 | Y=0190.810-0200.130 | 330
P=1258 | X=0117.170-0348.250 | Y=0206.230-0217.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1258 | X=0117.170-0394.360 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1258 | X=0117.170-0402.430 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1258 | X=0117.170-0404.390 | Y=0253.030-0264.270 | Đường Sông Thao - Bàu Hàm đoạn từ Giáp ranh xã Hưng Thịnh
P=1258 | X=0117.170-0397.150 | Y=0264.550-0275.790 | đến Đường 19 tháng 5 có hiện trạng là đường nhựa, bê tông xi
P=1258 | X=0117.170-0145.170 | Y=0276.070-0287.310 | măng:
P=1258 | X=0095.060-0348.720 | Y=0292.620-0304.860 | 104 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1258 | X=0453.050-0469.690 | Y=0292.620-0301.940 | 290
P=1258 | X=0505.630-0522.270 | Y=0292.620-0301.940 | 260
P=1258 | X=0117.170-0404.060 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1258 | X=0117.170-0178.290 | Y=0322.660-0333.900 | đến ≤1.000m.
