TABLE=064 | AREA=Phường Phước Long | SECTION=agricultural | SEGMENTS=1
P=2018 | X=0295.320-0342.190 | Y=0201.670-0212.910 | Nghệ Tĩnh
P=2018 | X=0187.750-0276.580 | Y=0219.670-0230.910 | Ngã ba đường Hàm
P=2018 | X=0295.320-0350.600 | Y=0219.670-0230.910 | Đường Trần
P=2018 | X=0093.860-0185.160 | Y=0225.430-0236.670 | 39 Đường Trần Phú
P=2018 | X=0394.940-0411.580 | Y=0227.310-0236.630 | 294
P=2018 | X=0433.850-0450.490 | Y=0227.310-0236.630 | 235
P=2018 | X=0472.490-0489.130 | Y=0227.310-0236.630 | 188
P=2018 | X=0295.320-0341.480 | Y=0231.190-0242.430 | Hưng Đạo
P=2018 | X=0187.750-0208.240 | Y=0233.070-0242.390 | Nghi
P=2018 | X=0109.490-0172.470 | Y=0249.190-0260.430 | Đường Thanh
P=2018 | X=0093.860-0104.980 | Y=0256.830-0266.150 | 40
P=2018 | X=0187.750-0238.020 | Y=0256.830-0266.150 | Toàn tuyến
P=2018 | X=0394.940-0411.580 | Y=0256.830-0266.150 | 294
P=2018 | X=0433.850-0450.490 | Y=0256.830-0266.150 | 235
P=2018 | X=0472.490-0489.130 | Y=0256.830-0266.150 | 188
P=2018 | X=0109.490-0130.200 | Y=0262.590-0271.910 | Niên
P=2018 | X=0187.750-0291.300 | Y=0278.710-0289.950 | Ngã ba giáp đường 6/1
P=2018 | X=0109.490-0184.470 | Y=0284.500-0295.740 | Đường Phan Bội
P=2018 | X=0295.320-0364.300 | Y=0284.500-0295.740 | Đường Nguyễn
P=2018 | X=0187.750-0285.620 | Y=0290.260-0301.500 | và đường Nguyễn Tất
P=2018 | X=0093.860-0104.980 | Y=0292.140-0301.460 | 41
P=2018 | X=0394.940-0411.580 | Y=0292.140-0301.460 | 294
P=2018 | X=0433.850-0450.490 | Y=0292.140-0301.460 | 235
P=2018 | X=0472.490-0489.130 | Y=0292.140-0301.460 | 188
P=2018 | X=0109.490-0133.350 | Y=0297.900-0307.220 | Châu
P=2018 | X=0295.320-0304.600 | Y=0297.900-0307.220 | Xí
P=2018 | X=0187.750-0216.160 | Y=0303.660-0312.980 | Thành
P=2018 | X=0109.490-0161.090 | Y=0319.780-0331.020 | Đường Kim
P=2018 | X=0295.320-0364.300 | Y=0319.780-0331.020 | Đường Nguyễn
P=2018 | X=0187.750-0285.220 | Y=0325.540-0336.780 | Đường Hồ Long Thủy
P=2018 | X=0093.860-0104.980 | Y=0327.420-0336.740 | 42
P=2018 | X=0394.940-0411.580 | Y=0327.420-0336.740 | 294
P=2018 | X=0433.850-0450.490 | Y=0327.420-0336.740 | 235
P=2018 | X=0472.490-0489.130 | Y=0327.420-0336.740 | 188
P=2018 | X=0109.490-0133.330 | Y=0331.300-0342.540 | Đồng
P=2018 | X=0295.320-0337.150 | Y=0331.300-0342.540 | Văn Giáp
P=2018 | X=0093.860-0238.020 | Y=0349.300-0360.540 | 43 Đường Bà Triệu Toàn tuyến
P=2018 | X=0394.940-0411.580 | Y=0351.180-0360.500 | 294
P=2018 | X=0433.850-0450.490 | Y=0351.180-0360.500 | 235
P=2018 | X=0472.490-0489.130 | Y=0351.180-0360.500 | 188
P=2018 | X=0109.490-0177.500 | Y=0367.320-0378.560 | Đường Cao Bá
P=2018 | X=0093.860-0104.980 | Y=0374.960-0384.280 | 44
P=2018 | X=0187.750-0238.020 | Y=0374.960-0384.280 | Toàn tuyến
P=2018 | X=0394.940-0411.580 | Y=0374.960-0384.280 | 294
P=2018 | X=0433.850-0450.490 | Y=0374.960-0384.280 | 235
P=2018 | X=0472.490-0489.130 | Y=0374.960-0384.280 | 188
P=2018 | X=0109.490-0131.250 | Y=0380.720-0390.040 | Quát
P=2018 | X=0109.490-0167.420 | Y=0396.840-0408.080 | Đường Phan
P=2018 | X=0093.860-0104.980 | Y=0404.480-0413.800 | 45
P=2018 | X=0187.750-0238.020 | Y=0404.480-0413.800 | Toàn tuyến
P=2018 | X=0394.940-0411.580 | Y=0404.480-0413.800 | 294
P=2018 | X=0433.850-0450.490 | Y=0404.480-0413.800 | 235
P=2018 | X=0472.490-0489.130 | Y=0404.480-0413.800 | 188
P=2018 | X=0109.490-0151.880 | Y=0408.360-0419.600 | Đình Giót
P=2018 | X=0109.490-0173.420 | Y=0426.360-0437.600 | Đường Hoàng
P=2018 | X=0093.860-0104.980 | Y=0434.000-0443.320 | 46
P=2018 | X=0187.750-0238.020 | Y=0434.000-0443.320 | Toàn tuyến
P=2018 | X=0394.940-0411.580 | Y=0434.000-0443.320 | 294
P=2018 | X=0433.850-0450.490 | Y=0434.000-0443.320 | 235
P=2018 | X=0472.490-0489.130 | Y=0434.000-0443.320 | 188
P=2018 | X=0109.490-0130.210 | Y=0439.760-0449.080 | Diệu
P=2018 | X=0109.490-0364.300 | Y=0455.900-0467.140 | Đường Nguyễn Ngã ba giáp đường Hồ Đường Nguyễn
P=2018 | X=0093.860-0104.980 | Y=0463.540-0472.860 | 47
P=2018 | X=0394.940-0411.580 | Y=0463.540-0472.860 | 294
P=2018 | X=0433.850-0450.490 | Y=0463.540-0472.860 | 235
P=2018 | X=0472.490-0489.130 | Y=0463.540-0472.860 | 188
P=2018 | X=0109.490-0151.320 | Y=0467.420-0478.660 | Văn Giáp
P=2018 | X=0187.750-0235.060 | Y=0469.300-0478.620 | Long Thủy
P=2018 | X=0295.320-0304.600 | Y=0469.300-0478.620 | Xí
P=2018 | X=0109.490-0178.470 | Y=0485.420-0496.660 | Đường Nguyễn
P=2018 | X=0295.320-0371.030 | Y=0485.420-0496.660 | Hết tuyến đường
P=2018 | X=0187.750-0268.820 | Y=0491.180-0502.420 | Đường Nguyễn Xí
P=2018 | X=0093.860-0104.980 | Y=0493.060-0502.380 | 48
P=2018 | X=0394.940-0411.580 | Y=0493.060-0502.380 | 294
P=2018 | X=0433.850-0450.490 | Y=0493.060-0502.380 | 235
P=2018 | X=0472.490-0489.130 | Y=0493.060-0502.380 | 188
P=2018 | X=0109.490-0151.320 | Y=0496.940-0508.180 | Văn Giáp
P=2018 | X=0295.320-0318.680 | Y=0498.820-0508.140 | nhựa
P=2018 | X=0109.490-0180.870 | Y=0514.940-0526.180 | Đường nối Trần
P=2018 | X=0295.320-0349.400 | Y=0516.820-0526.140 | Ngã ba giáp
P=2018 | X=0187.750-0274.740 | Y=0520.460-0531.700 | Ngã ba giáp đường
P=2018 | X=0295.320-0362.620 | Y=0526.220-0537.460 | đường Nguyễn
P=2018 | X=0093.860-0176.060 | Y=0528.100-0537.420 | 49 Quang Khải và
P=2018 | X=0394.940-0411.580 | Y=0528.100-0537.420 | 294
P=2018 | X=0433.850-0450.490 | Y=0528.100-0537.420 | 235
P=2018 | X=0472.490-0489.130 | Y=0528.100-0537.420 | 188
P=2018 | X=0187.750-0263.940 | Y=0533.860-0543.180 | Trần Quang Khải
P=2018 | X=0109.490-0184.710 | Y=0537.770-0549.010 | Nguyễn Văn Trỗi
P=2018 | X=0295.320-0333.070 | Y=0537.770-0549.010 | Văn Trỗi
P=2018 | X=0109.490-0177.480 | Y=0555.770-0567.010 | Đường hẻm Lê
P=2018 | X=0109.490-0185.890 | Y=0567.290-0578.530 | Văn Duyệt (Cách
P=2018 | X=0187.750-0288.670 | Y=0573.050-0584.290 | Ngã ba giáp đường Lê
P=2018 | X=0093.860-0175.800 | Y=0580.690-0590.010 | 50 ngã ba Lý Thái
P=2018 | X=0295.320-0338.370 | Y=0580.690-0590.010 | Hết tuyến
P=2018 | X=0394.940-0411.580 | Y=0580.690-0590.010 | 294
P=2018 | X=0433.850-0450.490 | Y=0580.690-0590.010 | 235
P=2018 | X=0472.490-0489.130 | Y=0580.690-0590.010 | 188
P=2018 | X=0187.750-0234.500 | Y=0584.570-0595.810 | Văn Duyệt
P=2018 | X=0109.490-0169.090 | Y=0590.330-0601.570 | Tổ và Lê Văn
P=2018 | X=0109.490-0161.310 | Y=0603.730-0613.050 | Duyệt 50m)
P=2018 | X=0109.490-0357.320 | Y=0619.870-0631.110 | Đường vào sân Ngã ba giáp đường Lê Ranh sân vận
P=2018 | X=0093.860-0104.980 | Y=0627.510-0636.830 | 51
P=2018 | X=0394.940-0411.580 | Y=0627.510-0636.830 | 294
P=2018 | X=0433.850-0450.490 | Y=0627.510-0636.830 | 235
P=2018 | X=0472.490-0489.130 | Y=0627.510-0636.830 | 188
P=2018 | X=0109.490-0150.860 | Y=0631.390-0642.630 | vận động
P=2018 | X=0187.750-0234.500 | Y=0631.390-0642.630 | Văn Duyệt
P=2018 | X=0295.320-0317.480 | Y=0631.390-0642.630 | động
P=2018 | X=0109.490-0167.900 | Y=0649.390-0660.630 | Đường Hùng
P=2018 | X=0187.750-0274.020 | Y=0649.390-0660.630 | Từ đường Hồ Long
P=2018 | X=0295.320-0371.720 | Y=0651.270-0660.590 | Cầu giáp ranh xã
P=2018 | X=0093.860-0104.980 | Y=0657.030-0666.350 | 52
P=2018 | X=0394.940-0411.580 | Y=0657.030-0666.350 | 294
P=2018 | X=0433.850-0450.490 | Y=0657.030-0666.350 | 235
P=2018 | X=0472.490-0489.130 | Y=0657.030-0666.350 | 188
P=2018 | X=0109.490-0140.770 | Y=0660.910-0672.150 | Vương
P=2018 | X=0295.320-0367.310 | Y=0660.910-0672.150 | Long Giang (cũ)
P=2018 | X=0187.750-0210.070 | Y=0662.790-0672.110 | Thủy
P=2018 | X=0109.490-0175.310 | Y=0678.910-0690.150 | Đường hẻm ra
P=2018 | X=0093.860-0163.090 | Y=0690.430-0701.670 | 53 đường Trần
P=2018 | X=0187.750-0238.020 | Y=0692.310-0701.630 | Toàn tuyến
P=2018 | X=0394.940-0411.580 | Y=0692.310-0701.630 | 294
P=2018 | X=0433.850-0450.490 | Y=0692.310-0701.630 | 235
P=2018 | X=0472.490-0489.130 | Y=0692.310-0701.630 | 188
P=2018 | X=0109.490-0169.330 | Y=0701.970-0713.210 | Hưng Đạo và
P=2019 | X=0109.490-0170.770 | Y=0072.740-0083.980 | đường Tự Do
P=2019 | X=0109.490-0164.770 | Y=0090.740-0101.980 | Đường Trần
P=2019 | X=0295.320-0367.660 | Y=0096.500-0107.740 | Đường Lê Hồng
P=2019 | X=0093.860-0285.220 | Y=0102.260-0113.500 | 54 Quang Khải (nối Đường Hồ Long Thủy
P=2019 | X=0394.940-0411.580 | Y=0104.140-0113.460 | 294
P=2019 | X=0433.850-0450.490 | Y=0104.140-0113.460 | 235
P=2019 | X=0472.490-0489.130 | Y=0104.140-0113.460 | 188
P=2019 | X=0295.320-0324.210 | Y=0109.900-0119.220 | Phong
P=2019 | X=0109.490-0126.280 | Y=0115.660-0124.980 | dài)
P=2019 | X=0295.320-0365.030 | Y=0133.690-0143.010 | Hết tuyến (thửa
P=2019 | X=0109.490-0169.990 | Y=0137.570-0148.810 | Đường Phạm
P=2019 | X=0187.750-0281.220 | Y=0137.570-0148.810 | Đường Xô Viết Nghệ
P=2019 | X=0295.320-0371.020 | Y=0143.330-0154.570 | đất số 44, tờ bản
P=2019 | X=0093.860-0104.980 | Y=0145.210-0154.530 | 55
P=2019 | X=0394.940-0411.580 | Y=0145.210-0154.530 | 294
P=2019 | X=0433.850-0450.490 | Y=0145.210-0154.530 | 235
P=2019 | X=0472.490-0489.130 | Y=0145.210-0154.530 | 188
P=2019 | X=0187.750-0207.980 | Y=0149.090-0160.330 | Tĩnh
P=2019 | X=0109.490-0155.640 | Y=0150.970-0160.290 | Hồng Thái
P=2019 | X=0295.320-0336.840 | Y=0154.850-0166.090 | đồ số 05)
P=2019 | X=0295.320-0363.330 | Y=0172.850-0184.090 | Đến hết đường
P=2019 | X=0109.490-0277.380 | Y=0178.610-0189.850 | Đường Nguyễn Đường Nguyễn Văn
P=2019 | X=0093.860-0104.980 | Y=0186.250-0195.570 | 56
P=2019 | X=0295.320-0366.680 | Y=0186.250-0195.570 | nhựa (giáp ranh
P=2019 | X=0394.940-0411.580 | Y=0186.250-0195.570 | 294
P=2019 | X=0433.850-0450.490 | Y=0186.250-0195.570 | 235
P=2019 | X=0472.490-0489.130 | Y=0186.250-0195.570 | 188
P=2019 | X=0109.490-0118.770 | Y=0192.010-0201.330 | Xí
P=2019 | X=0187.750-0209.180 | Y=0192.010-0201.330 | Giáp
P=2019 | X=0295.320-0328.910 | Y=0197.530-0206.850 | bến xe)
P=2019 | X=0109.490-0273.550 | Y=0213.670-0224.910 | Đường Cù Chính Đường Cách Mạng
P=2019 | X=0295.320-0357.810 | Y=0219.430-0230.670 | Đến hết tuyến
P=2019 | X=0093.860-0104.980 | Y=0221.310-0230.630 | 57
P=2019 | X=0394.940-0411.580 | Y=0221.310-0230.630 | 294
P=2019 | X=0433.850-0450.490 | Y=0221.310-0230.630 | 235
P=2019 | X=0472.490-0489.130 | Y=0221.310-0230.630 | 188
P=2019 | X=0109.490-0126.130 | Y=0227.070-0236.390 | Lan
P=2019 | X=0187.750-0238.860 | Y=0227.070-0236.390 | Tháng Tám
P=2019 | X=0109.490-0183.510 | Y=0243.190-0254.430 | Đường Hồ Huân
P=2019 | X=0187.750-0236.310 | Y=0248.950-0260.190 | Đường 6/1
P=2019 | X=0295.320-0357.810 | Y=0248.950-0260.190 | Đến hết tuyến
P=2019 | X=0093.860-0104.980 | Y=0250.830-0260.150 | 58
P=2019 | X=0394.940-0411.580 | Y=0250.830-0260.150 | 294
P=2019 | X=0433.850-0450.490 | Y=0250.830-0260.150 | 235
P=2019 | X=0472.490-0489.130 | Y=0250.830-0260.150 | 188
P=2019 | X=0109.490-0141.250 | Y=0256.590-0265.910 | Nghiệp
P=2019 | X=0109.490-0186.880 | Y=0272.710-0283.950 | Đường nhựa bên
P=2019 | X=0295.320-0367.640 | Y=0278.470-0289.710 | Đường Hồ Long
P=2019 | X=0187.750-0282.980 | Y=0284.260-0295.500 | Đường Lê Văn Duyệt
P=2019 | X=0093.860-0169.840 | Y=0286.140-0295.460 | 59 hông sân vận
P=2019 | X=0394.940-0411.580 | Y=0286.140-0295.460 | 294
P=2019 | X=0433.850-0450.490 | Y=0286.140-0295.460 | 235
P=2019 | X=0472.490-0489.130 | Y=0286.140-0295.460 | 188
P=2019 | X=0295.320-0317.640 | Y=0291.900-0301.220 | Thủy
P=2019 | X=0109.490-0131.650 | Y=0295.780-0307.020 | động
P=2019 | X=0109.490-0186.880 | Y=0313.780-0325.020 | Đường nhựa đầu
P=2019 | X=0109.490-0186.860 | Y=0325.300-0336.540 | nối ra đường bên
P=2019 | X=0093.860-0104.980 | Y=0332.940-0342.260 | 60
P=2019 | X=0187.750-0238.020 | Y=0332.940-0342.260 | Toàn tuyến
P=2019 | X=0394.940-0411.580 | Y=0332.940-0342.260 | 294
P=2019 | X=0433.850-0450.490 | Y=0332.940-0342.260 | 235
P=2019 | X=0472.490-0489.130 | Y=0332.940-0342.260 | 188
P=2019 | X=0109.490-0169.840 | Y=0338.700-0348.020 | hông sân vận
P=2019 | X=0109.490-0131.650 | Y=0348.340-0359.580 | động
P=2019 | X=0109.490-0185.670 | Y=0366.360-0377.600 | Đường bên hông
P=2019 | X=0295.320-0371.570 | Y=0366.360-0377.600 | Thửa đất số 193,
P=2019 | X=0187.750-0269.700 | Y=0372.120-0383.360 | Đường Lý Thái Tổ
P=2019 | X=0093.860-0104.980 | Y=0374.000-0383.320 | 61
P=2019 | X=0394.940-0411.580 | Y=0374.000-0383.320 | 294
P=2019 | X=0433.850-0450.490 | Y=0374.000-0383.320 | 235
P=2019 | X=0472.490-0489.130 | Y=0374.000-0383.320 | 188
P=2019 | X=0295.320-0365.240 | Y=0377.880-0389.120 | tờ bản đồ số 03
P=2019 | X=0109.490-0176.290 | Y=0379.760-0389.080 | công an PCCC
P=2019 | X=0109.490-0176.450 | Y=0395.880-0407.120 | Đường Lê Quý
P=2019 | X=0295.320-0372.710 | Y=0395.880-0407.120 | Giáp đường Trần
P=2019 | X=0187.750-0258.660 | Y=0401.640-0412.880 | Giáp đường 6/1
P=2019 | X=0093.860-0104.980 | Y=0403.520-0412.840 | 62
P=2019 | X=0394.940-0411.580 | Y=0403.520-0412.840 | 294
P=2019 | X=0433.850-0450.490 | Y=0403.520-0412.840 | 235
P=2019 | X=0472.490-0489.130 | Y=0403.520-0412.840 | 188
P=2019 | X=0109.490-0127.820 | Y=0407.400-0418.640 | Đôn
P=2019 | X=0295.320-0341.480 | Y=0407.400-0418.640 | Hưng Đạo
P=2019 | X=0295.320-0367.900 | Y=0427.280-0436.600 | Hết ranh nhà trẻ
P=2019 | X=0295.320-0362.870 | Y=0436.920-0448.160 | Tuổi Thơ (thửa
P=2019 | X=0109.490-0176.450 | Y=0442.680-0453.920 | Đường Lê Quý
P=2019 | X=0187.750-0292.980 | Y=0442.680-0453.920 | Giáp đường Trần Hưng
P=2019 | X=0295.320-0373.430 | Y=0448.200-0459.440 | đất số 12 và thửa
P=2019 | X=0093.860-0104.980 | Y=0450.080-0459.400 | 63
P=2019 | X=0394.940-0411.580 | Y=0450.080-0459.400 | 294
P=2019 | X=0433.850-0450.490 | Y=0450.080-0459.400 | 235
P=2019 | X=0472.490-0489.130 | Y=0450.080-0459.400 | 188
P=2019 | X=0109.490-0127.820 | Y=0453.980-0465.220 | Đôn
P=2019 | X=0187.750-0206.070 | Y=0453.980-0465.220 | Đạo
P=2019 | X=0295.320-0371.020 | Y=0459.740-0470.980 | đất số 64, tờ bản
P=2019 | X=0295.320-0342.360 | Y=0471.260-0482.500 | đồ số 125)
P=2019 | X=0187.750-0282.420 | Y=0491.140-0500.460 | Hết ranh nhà trẻ Tuổi
P=2019 | X=0109.490-0176.450 | Y=0500.780-0512.020 | Đường Lê Quý
P=2019 | X=0187.750-0372.670 | Y=0500.780-0512.020 | Thơ (thửa đất số 12 và Giáp đường Đinh
P=2019 | X=0093.860-0104.980 | Y=0508.420-0517.740 | 64
P=2019 | X=0394.940-0411.580 | Y=0508.420-0517.740 | 294
P=2019 | X=0433.850-0450.490 | Y=0508.420-0517.740 | 235
P=2019 | X=0472.490-0489.130 | Y=0508.420-0517.740 | 188
P=2019 | X=0109.490-0127.820 | Y=0512.300-0523.540 | Đôn
P=2019 | X=0187.750-0338.300 | Y=0512.300-0523.540 | thửa đất số 64, tờ bản Công Trứ
P=2019 | X=0187.750-0234.790 | Y=0523.820-0535.060 | đồ số 125)
P=2019 | X=0109.490-0287.440 | Y=0541.850-0553.090 | Đường nội ô chợ Giáp đường Đinh Tiên
P=2019 | X=0295.320-0366.200 | Y=0547.610-0558.850 | Giáp đường 6/1
P=2019 | X=0093.860-0104.980 | Y=0549.490-0558.810 | 65
P=2019 | X=0394.940-0411.580 | Y=0549.490-0558.810 | 294
P=2019 | X=0433.850-0450.490 | Y=0549.490-0558.810 | 235
P=2019 | X=0472.490-0489.130 | Y=0549.490-0558.810 | 188
P=2019 | X=0109.490-0165.260 | Y=0553.370-0564.610 | Phước Long
P=2019 | X=0187.750-0217.130 | Y=0555.250-0564.570 | Hoàng
P=2019 | X=0295.320-0349.400 | Y=0573.250-0582.570 | Ngã ba giao
P=2019 | X=0109.490-0289.640 | Y=0577.130-0588.370 | Đường Nguyễn Ngã ba giao đường Võ
P=2019 | X=0295.320-0367.100 | Y=0582.890-0594.130 | đường Tôn Đức
P=2019 | X=0093.860-0104.980 | Y=0584.770-0594.090 | 66
P=2019 | X=0394.940-0411.580 | Y=0584.770-0594.090 | 294
P=2019 | X=0433.850-0450.490 | Y=0584.770-0594.090 | 235
P=2019 | X=0472.490-0489.130 | Y=0584.770-0594.090 | 188
P=2019 | X=0187.750-0225.590 | Y=0588.650-0599.890 | Văn Kiệt
P=2019 | X=0109.490-0155.170 | Y=0590.530-0599.850 | Tất Thành
P=2019 | X=0295.320-0323.720 | Y=0596.290-0605.610 | Thắng
P=2019 | X=0109.490-0294.670 | Y=0612.410-0623.650 | Đường Nguyễn Ngã ba giao đường Tôn
P=2019 | X=0093.860-0104.980 | Y=0620.070-0629.390 | 67
P=2019 | X=0295.320-0363.310 | Y=0620.070-0629.390 | Cầu Suối Dung
P=2019 | X=0394.940-0411.580 | Y=0620.070-0629.390 | 294
P=2019 | X=0433.850-0450.490 | Y=0620.070-0629.390 | 235
P=2019 | X=0472.490-0489.130 | Y=0620.070-0629.390 | 188
P=2019 | X=0187.750-0238.020 | Y=0623.950-0635.190 | Đức Thắng
P=2019 | X=0109.490-0155.170 | Y=0625.830-0635.150 | Tất Thành
P=2019 | X=0187.750-0282.660 | Y=0643.830-0653.150 | Cầu Suối Dung (thửa
P=2019 | X=0109.490-0178.470 | Y=0647.710-0658.950 | Đường Nguyễn
P=2019 | X=0295.320-0360.450 | Y=0647.710-0658.950 | Ngã ba đường
P=2019 | X=0187.750-0285.060 | Y=0653.470-0664.710 | đất số 2, tờ bản đồ số
P=2019 | X=0093.860-0104.980 | Y=0655.350-0664.670 | 68
P=2019 | X=0394.940-0411.580 | Y=0655.350-0664.670 | 294
P=2019 | X=0433.850-0450.490 | Y=0655.350-0664.670 | 235
P=2019 | X=0472.490-0489.130 | Y=0655.350-0664.670 | 188
P=2019 | X=0295.320-0365.030 | Y=0659.230-0670.470 | Trần Hưng Đạo
P=2019 | X=0109.490-0155.170 | Y=0661.110-0670.430 | Tất Thành
P=2019 | X=0187.750-0207.670 | Y=0666.630-0675.950 | 116)
P=2019 | X=0295.320-0364.540 | Y=0682.750-0693.990 | Tượng Đức Mẹ
P=2019 | X=0109.490-0292.980 | Y=0688.510-0699.750 | Đường Nguyễn Giáp đường Trần Hưng
P=2019 | X=0295.320-0366.060 | Y=0694.270-0705.510 | (thửa đất số 78,
P=2019 | X=0093.860-0104.980 | Y=0696.150-0705.470 | 69
P=2019 | X=0394.940-0411.580 | Y=0696.150-0705.470 | 294
P=2019 | X=0433.850-0450.490 | Y=0696.150-0705.470 | 235
P=2019 | X=0472.490-0489.130 | Y=0696.150-0705.470 | 188
P=2019 | X=0187.750-0206.070 | Y=0700.050-0711.290 | Đạo
P=2019 | X=0109.490-0155.170 | Y=0701.940-0711.260 | Tất Thành
P=2019 | X=0295.320-0368.520 | Y=0705.810-0717.050 | tờ bản đồ số 62)
P=2020 | X=0187.750-0283.620 | Y=0078.740-0089.980 | Tượng Đức Mẹ (thửa
P=2020 | X=0109.490-0178.470 | Y=0084.500-0095.740 | Đường Nguyễn
P=2020 | X=0187.750-0355.650 | Y=0090.260-0101.500 | đất số 78, tờ bản đồ số Cầu Thác Mẹ
P=2020 | X=0093.860-0104.980 | Y=0092.140-0101.460 | 70
P=2020 | X=0394.940-0411.580 | Y=0092.140-0101.460 | 294
P=2020 | X=0433.850-0450.490 | Y=0092.140-0101.460 | 235
P=2020 | X=0472.490-0489.130 | Y=0092.140-0101.460 | 188
P=2020 | X=0109.490-0155.170 | Y=0097.900-0107.220 | Tất Thành
P=2020 | X=0187.750-0202.150 | Y=0103.660-0112.980 | 62)
P=2020 | X=0109.490-0178.470 | Y=0119.810-0131.050 | Đường Nguyễn
P=2020 | X=0295.320-0373.390 | Y=0121.690-0131.010 | Giáp ranh xã Phú
P=2020 | X=0093.860-0104.980 | Y=0127.450-0136.770 | 71
P=2020 | X=0187.750-0248.110 | Y=0127.450-0136.770 | Cầu Thác Mẹ
P=2020 | X=0394.940-0411.580 | Y=0127.450-0136.770 | 294
P=2020 | X=0433.850-0450.490 | Y=0127.450-0136.770 | 235
P=2020 | X=0472.490-0489.130 | Y=0127.450-0136.770 | 188
P=2020 | X=0295.320-0322.040 | Y=0131.330-0142.570 | Nghĩa
P=2020 | X=0109.490-0155.170 | Y=0133.210-0142.530 | Tất Thành
P=2020 | X=0109.490-0162.380 | Y=0149.330-0160.570 | Đường Ngô
P=2020 | X=0187.750-0279.060 | Y=0149.330-0160.570 | Giáp đường Nguyễn
P=2020 | X=0295.320-0363.330 | Y=0149.330-0160.570 | Giáp đường Lê
P=2020 | X=0093.860-0104.980 | Y=0156.970-0166.290 | 72
P=2020 | X=0394.940-0411.580 | Y=0156.970-0166.290 | 294
P=2020 | X=0433.850-0450.490 | Y=0156.970-0166.290 | 235
P=2020 | X=0472.490-0489.130 | Y=0156.970-0166.290 | 188
P=2020 | X=0295.320-0335.000 | Y=0160.850-0172.090 | Quý Đôn
P=2020 | X=0109.490-0139.090 | Y=0162.730-0172.050 | Quyền
P=2020 | X=0187.750-0233.430 | Y=0162.730-0172.050 | Tất Thành
P=2020 | X=0109.490-0372.710 | Y=0178.850-0190.090 | Đường Nguyễn Giáp đường Đinh Tiên Giáp đường Trần
P=2020 | X=0093.860-0104.980 | Y=0186.490-0195.810 | 73
P=2020 | X=0394.940-0411.580 | Y=0186.490-0195.810 | 294
P=2020 | X=0433.850-0450.490 | Y=0186.490-0195.810 | 235
P=2020 | X=0472.490-0489.130 | Y=0186.490-0195.810 | 188
P=2020 | X=0295.320-0341.480 | Y=0190.370-0201.610 | Hưng Đạo
P=2020 | X=0109.490-0156.370 | Y=0192.250-0201.570 | Chí Thanh
P=2020 | X=0187.750-0217.130 | Y=0192.250-0201.570 | Hoàng
P=2020 | X=0295.320-0364.550 | Y=0210.270-0219.590 | Hết tuyến nhựa
P=2020 | X=0295.320-0361.910 | Y=0221.550-0230.870 | hiện hữu (thửa
P=2020 | X=0109.490-0164.760 | Y=0231.190-0242.430 | Đường Đinh
P=2020 | X=0187.750-0279.060 | Y=0231.190-0242.430 | Giáp đường Nguyễn
P=2020 | X=0295.320-0371.020 | Y=0231.190-0242.430 | đất số 03, tờ bản
P=2020 | X=0093.860-0104.980 | Y=0238.830-0248.150 | 74
P=2020 | X=0394.940-0411.580 | Y=0238.830-0248.150 | 294
P=2020 | X=0433.850-0450.490 | Y=0238.830-0248.150 | 235
P=2020 | X=0472.490-0489.130 | Y=0238.830-0248.150 | 188
P=2020 | X=0295.320-0352.770 | Y=0242.710-0253.950 | đồ số 122 và
P=2020 | X=0109.490-0152.470 | Y=0244.590-0253.910 | Công Trứ
P=2020 | X=0187.750-0233.430 | Y=0244.590-0253.910 | Tất Thành
P=2020 | X=0295.320-0362.690 | Y=0254.230-0265.470 | thửa đất số 25,
P=2020 | X=0295.320-0368.520 | Y=0265.750-0276.990 | tờ bản đồ số 54)
P=2020 | X=0093.860-0238.020 | Y=0283.780-0295.020 | 75 Đường Yên Thế Toàn tuyến
P=2020 | X=0394.940-0411.580 | Y=0285.660-0294.980 | 294
P=2020 | X=0433.850-0450.490 | Y=0285.660-0294.980 | 235
P=2020 | X=0472.490-0489.130 | Y=0285.660-0294.980 | 188
P=2020 | X=0187.750-0279.060 | Y=0301.780-0313.020 | Giáp đường Nguyễn
P=2020 | X=0295.320-0358.920 | Y=0301.780-0313.020 | Đập tràn Thủy
P=2020 | X=0093.860-0172.230 | Y=0307.540-0318.780 | 76 Đường Lê Lợi
P=2020 | X=0394.940-0411.580 | Y=0309.420-0318.740 | 294
P=2020 | X=0433.850-0450.490 | Y=0309.420-0318.740 | 235
P=2020 | X=0472.490-0489.130 | Y=0309.420-0318.740 | 188
P=2020 | X=0295.320-0357.120 | Y=0313.300-0324.540 | điện Thác Mơ
P=2020 | X=0187.750-0233.430 | Y=0315.180-0324.500 | Tất Thành
P=2020 | X=0109.490-0279.060 | Y=0331.300-0342.540 | Đường Nguyễn Giáp đường Nguyễn
P=2020 | X=0295.320-0372.710 | Y=0331.300-0342.540 | Giáp đường Trần
P=2020 | X=0093.860-0104.980 | Y=0338.940-0348.260 | 77
P=2020 | X=0394.940-0411.580 | Y=0338.940-0348.260 | 294
P=2020 | X=0433.850-0450.490 | Y=0338.940-0348.260 | 235
P=2020 | X=0472.490-0489.130 | Y=0338.940-0348.260 | 188
P=2020 | X=0109.490-0159.010 | Y=0342.820-0354.060 | Văn Huyên
