TABLE=042 | AREA=Xã Thống Nhất | SECTION=agricultural | SEGMENTS=1
P=1479 | X=0118.130-0420.650 | Y=0260.230-0271.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1479 | X=0118.130-0410.130 | Y=0271.750-0282.990 | Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có hiện trạng là
P=1479 | X=0118.130-0253.900 | Y=0283.300-0294.540 | đường nhựa, bê tông xi măng:
P=1479 | X=0098.210-0349.680 | Y=0300.820-0314.900 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1479 | X=0463.850-0480.490 | Y=0305.580-0314.900 | 130
P=1479 | X=0505.390-0522.030 | Y=0305.580-0314.900 | 100
P=1479 | X=0118.130-0424.550 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1479 | X=0118.130-0159.810 | Y=0329.860-0341.100 | ≤1.000m.
P=1479 | X=0118.130-0341.300 | Y=0347.380-0358.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1479 | X=0118.130-0420.650 | Y=0365.400-0376.640 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1479 | X=0118.130-0410.130 | Y=0376.920-0388.160 | Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có hiện trạng là
P=1479 | X=0118.130-0253.900 | Y=0388.200-0399.440 | đường nhựa, bê tông xi măng:
P=1479 | X=0098.210-0109.330 | Y=0396.080-0405.400 | 32
P=1479 | X=0469.610-0480.730 | Y=0396.080-0405.400 | 90
P=1479 | X=0511.150-0522.270 | Y=0396.080-0405.400 | 50
P=1479 | X=0118.130-0403.940 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1479 | X=0118.130-0341.770 | Y=0423.240-0434.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1479 | X=0118.130-0430.010 | Y=0441.240-0452.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1479 | X=0118.130-0435.860 | Y=0452.780-0464.020 | lộ 20 đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có hiện
P=1479 | X=0118.130-0289.910 | Y=0464.300-0475.540 | trạng là đường nhựa, bê tông xi măng:
P=1479 | X=0098.210-0109.330 | Y=0472.180-0481.500 | 33
P=1479 | X=0463.850-0480.490 | Y=0472.180-0481.500 | 160
P=1479 | X=0505.390-0522.030 | Y=0472.180-0481.500 | 150
P=1479 | X=0118.130-0349.220 | Y=0481.820-0493.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1479 | X=0118.130-0395.320 | Y=0499.340-0510.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1479 | X=0118.130-0430.010 | Y=0517.340-0528.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1479 | X=0118.130-0435.860 | Y=0528.860-0540.100 | lộ 20 đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có hiện
P=1479 | X=0118.130-0289.940 | Y=0540.410-0551.650 | trạng là đường nhựa, bê tông xi măng:
P=1479 | X=0098.210-0349.680 | Y=0557.930-0572.010 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1479 | X=0463.850-0480.490 | Y=0562.690-0572.010 | 130
P=1479 | X=0505.390-0522.030 | Y=0562.690-0572.010 | 100
P=1479 | X=0118.130-0424.550 | Y=0575.450-0586.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1479 | X=0118.130-0159.810 | Y=0586.970-0598.210 | ≤1.000m.
P=1479 | X=0118.130-0341.300 | Y=0604.250-0615.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1479 | X=0118.130-0430.010 | Y=0622.270-0633.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1479 | X=0118.130-0435.860 | Y=0633.790-0645.030 | lộ 20 đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có hiện
P=1479 | X=0118.130-0289.910 | Y=0645.310-0656.550 | trạng là đường nhựa, bê tông xi măng:
P=1479 | X=0098.210-0109.330 | Y=0653.190-0662.510 | 35
P=1479 | X=0469.610-0480.730 | Y=0653.190-0662.510 | 90
P=1479 | X=0511.150-0522.270 | Y=0653.190-0662.510 | 50
P=1479 | X=0118.130-0403.940 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1479 | X=0118.130-0341.770 | Y=0680.350-0691.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1479 | X=0259.060-0431.820 | Y=0698.350-0709.590 | Hết chợ Túc Trưng Hết Trường THPT
P=1479 | X=0098.210-0166.690 | Y=0700.230-0709.550 | 36 Quốc lộ 20
P=1479 | X=0463.850-0480.490 | Y=0700.230-0709.550 | 270
P=1479 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 230
P=1480 | X=0350.520-0389.020 | Y=0072.740-0083.980 | Điểu Cải
P=1480 | X=0118.130-0420.650 | Y=0090.740-0101.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1480 | X=0118.130-0419.020 | Y=0102.260-0113.500 | Hết chợ Túc Trưng đến Hết Trường THPT Điểu Cải có hiện trạng là
P=1480 | X=0118.130-0253.900 | Y=0113.780-0125.020 | đường nhựa, bê tông xi măng:
P=1480 | X=0098.210-0109.330 | Y=0121.690-0131.010 | 37
P=1480 | X=0463.850-0480.490 | Y=0121.690-0131.010 | 160
P=1480 | X=0505.390-0522.030 | Y=0121.690-0131.010 | 150
P=1480 | X=0118.130-0349.210 | Y=0131.330-0142.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1480 | X=0118.130-0395.320 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1480 | X=0118.130-0420.650 | Y=0166.850-0178.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1480 | X=0118.130-0419.020 | Y=0178.370-0189.610 | Hết chợ Túc Trưng đến Hết Trường THPT Điểu Cải có hiện trạng là
P=1480 | X=0118.130-0253.900 | Y=0189.650-0200.890 | đường nhựa, bê tông xi măng:
P=1480 | X=0098.210-0349.720 | Y=0207.190-0221.510 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1480 | X=0463.850-0480.490 | Y=0212.190-0221.510 | 130
P=1480 | X=0505.390-0522.030 | Y=0212.190-0221.510 | 100
P=1480 | X=0118.130-0424.550 | Y=0224.710-0235.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1480 | X=0118.130-0159.810 | Y=0236.230-0247.470 | ≤1.000m.
P=1480 | X=0118.130-0341.300 | Y=0253.750-0264.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1480 | X=0118.130-0420.650 | Y=0271.750-0282.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1480 | X=0118.130-0419.020 | Y=0283.300-0294.540 | Hết chợ Túc Trưng đến Hết Trường THPT Điểu Cải có hiện trạng là
P=1480 | X=0118.130-0253.900 | Y=0294.820-0306.060 | đường nhựa, bê tông xi măng:
P=1480 | X=0098.210-0109.330 | Y=0302.700-0312.020 | 39
P=1480 | X=0469.610-0480.730 | Y=0302.700-0312.020 | 90
P=1480 | X=0511.150-0522.270 | Y=0302.700-0312.020 | 50
P=1480 | X=0118.130-0403.940 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1480 | X=0118.130-0341.770 | Y=0329.860-0341.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1480 | X=0118.130-0430.010 | Y=0347.860-0359.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1480 | X=0118.130-0422.850 | Y=0359.380-0370.620 | lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết Trường THPT Điểu Cải có
P=1480 | X=0118.130-0311.770 | Y=0370.920-0382.160 | hiện trạng là đường nhựa, bê tông xi măng:
P=1480 | X=0098.210-0109.330 | Y=0378.800-0388.120 | 40
P=1480 | X=0463.850-0480.490 | Y=0378.800-0388.120 | 160
P=1480 | X=0505.390-0522.030 | Y=0378.800-0388.120 | 150
P=1480 | X=0118.130-0349.210 | Y=0388.200-0399.440 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1480 | X=0118.130-0395.320 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1480 | X=0118.130-0430.010 | Y=0423.720-0434.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1480 | X=0118.130-0422.850 | Y=0435.240-0446.480 | lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết Trường THPT Điểu Cải có
P=1480 | X=0118.130-0311.770 | Y=0446.760-0458.000 | hiện trạng là đường nhựa, bê tông xi măng:
P=1480 | X=0098.210-0349.680 | Y=0464.300-0478.620 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1480 | X=0463.850-0480.490 | Y=0469.300-0478.620 | 130
P=1480 | X=0505.390-0522.030 | Y=0469.300-0478.620 | 100
P=1480 | X=0118.130-0424.550 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1480 | X=0118.130-0159.810 | Y=0493.340-0504.580 | ≤1.000m.
P=1480 | X=0118.130-0341.300 | Y=0510.860-0522.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1480 | X=0118.130-0430.010 | Y=0528.860-0540.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1480 | X=0118.130-0422.850 | Y=0540.410-0551.650 | lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết Trường THPT Điểu Cải có
P=1480 | X=0118.130-0311.770 | Y=0551.930-0563.170 | hiện trạng là đường nhựa, bê tông xi măng:
P=1480 | X=0098.210-0109.330 | Y=0559.810-0569.130 | 42
P=1480 | X=0469.610-0480.730 | Y=0559.810-0569.130 | 90
P=1480 | X=0511.150-0522.270 | Y=0559.810-0569.130 | 50
P=1480 | X=0118.130-0403.940 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1480 | X=0118.130-0341.770 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1480 | X=0350.520-0415.320 | Y=0604.970-0616.210 | Hết ranh đại lý
P=1480 | X=0098.210-0191.670 | Y=0616.270-0627.510 | 43 Đường Cầu Ván
P=1480 | X=0350.520-0425.260 | Y=0616.270-0627.510 | Bưu điện ấp Tân
P=1480 | X=0259.060-0307.640 | Y=0618.150-0627.470 | Quốc lộ 20
P=1480 | X=0463.850-0480.490 | Y=0618.150-0627.470 | 230
P=1480 | X=0505.390-0522.030 | Y=0618.150-0627.470 | 200
P=1480 | X=0350.520-0367.180 | Y=0629.670-0638.990 | Lập
P=1480 | X=0118.130-0433.210 | Y=0645.790-0657.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu Ván đoạn
P=1480 | X=0118.130-0433.660 | Y=0657.310-0668.550 | từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp Tân Lập có hiện trạng là
P=1480 | X=0118.130-0253.900 | Y=0668.830-0680.070 | đường nhựa, bê tông xi măng:
P=1480 | X=0098.210-0109.330 | Y=0676.710-0686.030 | 44
P=1480 | X=0463.850-0480.490 | Y=0676.710-0686.030 | 140
P=1480 | X=0505.390-0522.030 | Y=0676.710-0686.030 | 110
P=1480 | X=0118.130-0349.210 | Y=0686.350-0697.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1480 | X=0118.130-0395.320 | Y=0703.890-0715.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1481 | X=0118.130-0433.210 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu Ván đoạn
P=1481 | X=0118.130-0433.660 | Y=0090.260-0101.500 | từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp Tân Lập có hiện trạng là
P=1481 | X=0118.130-0253.900 | Y=0101.780-0113.020 | đường nhựa, bê tông xi măng:
P=1481 | X=0098.210-0349.680 | Y=0119.330-0133.410 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1481 | X=0463.850-0480.490 | Y=0124.090-0133.410 | 110
P=1481 | X=0511.150-0522.270 | Y=0124.090-0133.410 | 70
P=1481 | X=0118.130-0424.550 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1481 | X=0118.130-0159.810 | Y=0148.370-0159.610 | ≤1.000m.
P=1481 | X=0118.130-0341.320 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1481 | X=0118.130-0433.210 | Y=0183.650-0194.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu Ván đoạn
P=1481 | X=0118.130-0433.660 | Y=0195.170-0206.410 | từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp Tân Lập có hiện trạng là
P=1481 | X=0118.130-0253.900 | Y=0206.710-0217.950 | đường nhựa, bê tông xi măng:
P=1481 | X=0098.210-0109.330 | Y=0214.590-0223.910 | 46
P=1481 | X=0469.610-0480.730 | Y=0214.590-0223.910 | 70
P=1481 | X=0511.150-0522.270 | Y=0214.590-0223.910 | 40
P=1481 | X=0118.130-0403.940 | Y=0224.230-0235.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1481 | X=0118.130-0341.770 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1481 | X=0118.130-0403.390 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1481 | X=0118.130-0424.060 | Y=0271.270-0282.510 | Đường Cầu Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp
P=1481 | X=0118.130-0364.330 | Y=0282.820-0294.060 | Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1481 | X=0098.210-0109.330 | Y=0290.700-0300.020 | 47
P=1481 | X=0463.850-0480.490 | Y=0290.700-0300.020 | 140
P=1481 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 110
P=1481 | X=0118.130-0349.220 | Y=0300.340-0311.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1481 | X=0118.130-0395.320 | Y=0317.860-0329.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1481 | X=0118.130-0403.390 | Y=0335.860-0347.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1481 | X=0118.130-0424.060 | Y=0347.380-0358.620 | Đường Cầu Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp
P=1481 | X=0118.130-0364.360 | Y=0358.900-0370.140 | Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1481 | X=0098.210-0349.680 | Y=0376.200-0390.520 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1481 | X=0463.850-0480.490 | Y=0381.200-0390.520 | 110
P=1481 | X=0511.150-0522.270 | Y=0381.200-0390.520 | 70
P=1481 | X=0118.130-0424.550 | Y=0393.720-0404.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1481 | X=0118.130-0159.810 | Y=0405.240-0416.480 | ≤1.000m.
P=1481 | X=0118.130-0341.300 | Y=0422.760-0434.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1481 | X=0118.130-0403.390 | Y=0440.760-0452.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1481 | X=0118.130-0424.060 | Y=0452.300-0463.540 | Đường Cầu Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp
P=1481 | X=0118.130-0364.330 | Y=0463.820-0475.060 | Tân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1481 | X=0098.210-0109.330 | Y=0471.700-0481.020 | 49
P=1481 | X=0469.610-0480.730 | Y=0471.700-0481.020 | 70
P=1481 | X=0511.150-0522.270 | Y=0471.700-0481.020 | 40
P=1481 | X=0118.130-0403.940 | Y=0481.340-0492.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1481 | X=0118.130-0341.770 | Y=0498.860-0510.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1481 | X=0259.060-0345.560 | Y=0516.860-0528.100 | Hết ranh đại lý Bưu
P=1481 | X=0098.210-0191.670 | Y=0522.620-0533.860 | 50 Đường Cầu Ván
P=1481 | X=0350.520-0406.700 | Y=0524.500-0533.820 | Xã Gia Kiệm
P=1481 | X=0463.850-0480.490 | Y=0524.500-0533.820 | 230
P=1481 | X=0505.390-0522.030 | Y=0524.500-0533.820 | 200
P=1481 | X=0259.060-0331.650 | Y=0528.380-0539.620 | điện ấp Tân Lập
P=1481 | X=0118.130-0433.210 | Y=0546.410-0557.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu Ván đoạn
P=1481 | X=0118.130-0431.060 | Y=0557.930-0569.170 | từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã Gia Kiệm có hiện trạng
P=1481 | X=0118.130-0264.460 | Y=0569.450-0580.690 | là đường nhựa, bê tông xi măng:
P=1481 | X=0098.210-0109.330 | Y=0577.330-0586.650 | 51
P=1481 | X=0463.850-0480.490 | Y=0577.330-0586.650 | 140
P=1481 | X=0505.390-0522.030 | Y=0577.330-0586.650 | 110
P=1481 | X=0118.130-0349.220 | Y=0586.970-0598.210 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1481 | X=0118.130-0395.320 | Y=0604.250-0615.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1481 | X=0118.130-0433.210 | Y=0622.270-0633.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu Ván đoạn
P=1481 | X=0118.130-0431.060 | Y=0633.790-0645.030 | từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã Gia Kiệm có hiện trạng
P=1481 | X=0118.130-0264.460 | Y=0645.310-0656.550 | là đường nhựa, bê tông xi măng:
P=1481 | X=0098.210-0109.330 | Y=0658.950-0668.270 | 52
P=1481 | X=0463.850-0480.490 | Y=0658.950-0668.270 | 110
P=1481 | X=0511.150-0522.270 | Y=0658.950-0668.270 | 70
P=1481 | X=0118.130-0349.680 | Y=0662.830-0674.070 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1481 | X=0118.130-0424.550 | Y=0680.350-0691.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1481 | X=0118.130-0159.810 | Y=0691.870-0703.110 | ≤1.000m.
P=1482 | X=0118.130-0341.300 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1482 | X=0118.130-0433.210 | Y=0096.740-0107.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu Ván đoạn
P=1482 | X=0118.130-0431.060 | Y=0108.260-0119.500 | từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã Gia Kiệm có hiện trạng
P=1482 | X=0118.130-0264.460 | Y=0119.810-0131.050 | là đường nhựa, bê tông xi măng:
P=1482 | X=0098.210-0109.330 | Y=0127.690-0137.010 | 53
P=1482 | X=0469.610-0480.730 | Y=0127.690-0137.010 | 70
P=1482 | X=0511.150-0522.270 | Y=0127.690-0137.010 | 40
P=1482 | X=0118.130-0403.940 | Y=0137.330-0148.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1482 | X=0118.130-0341.770 | Y=0154.850-0166.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1482 | X=0118.130-0403.390 | Y=0172.850-0184.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1482 | X=0118.130-0427.190 | Y=0184.370-0195.610 | Đường Cầu Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã
P=1482 | X=0118.130-0368.660 | Y=0195.650-0206.890 | Gia Kiệm có hiện trạng là đường nhựa, bê tông xi măng:
P=1482 | X=0098.210-0109.330 | Y=0203.550-0212.870 | 54
P=1482 | X=0463.850-0480.490 | Y=0203.550-0212.870 | 140
P=1482 | X=0505.390-0522.030 | Y=0203.550-0212.870 | 110
P=1482 | X=0118.130-0349.210 | Y=0213.190-0224.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1482 | X=0118.130-0395.320 | Y=0230.710-0241.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1482 | X=0118.130-0403.390 | Y=0248.710-0259.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1482 | X=0118.130-0427.190 | Y=0260.230-0271.470 | Đường Cầu Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã
P=1482 | X=0118.130-0368.660 | Y=0271.750-0282.990 | Gia Kiệm có hiện trạng là đường nhựa, bê tông xi măng:
P=1482 | X=0098.210-0349.680 | Y=0289.300-0303.620 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1482 | X=0463.850-0480.490 | Y=0294.300-0303.620 | 110
P=1482 | X=0511.150-0522.270 | Y=0294.300-0303.620 | 70
P=1482 | X=0118.130-0424.550 | Y=0306.820-0318.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1482 | X=0118.130-0159.810 | Y=0318.340-0329.580 | ≤1.000m.
P=1482 | X=0118.130-0341.300 | Y=0335.860-0347.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1482 | X=0118.130-0403.390 | Y=0353.860-0365.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1482 | X=0118.130-0427.190 | Y=0365.400-0376.640 | Đường Cầu Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã
P=1482 | X=0118.130-0368.660 | Y=0376.920-0388.160 | Gia Kiệm có hiện trạng là đường nhựa, bê tông xi măng:
P=1482 | X=0098.210-0109.330 | Y=0384.800-0394.120 | 56
P=1482 | X=0469.610-0480.730 | Y=0384.800-0394.120 | 70
P=1482 | X=0511.150-0522.270 | Y=0384.800-0394.120 | 40
P=1482 | X=0118.130-0403.940 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1482 | X=0118.130-0341.770 | Y=0411.720-0422.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1482 | X=0350.520-0429.500 | Y=0429.720-0440.960 | Hết trường THCS
P=1482 | X=0098.210-0188.300 | Y=0435.480-0446.720 | 57 Đường tỉnh 763
P=1482 | X=0259.060-0307.640 | Y=0437.360-0446.680 | Quốc lộ 20
P=1482 | X=0463.850-0480.490 | Y=0437.360-0446.680 | 270
P=1482 | X=0505.390-0522.030 | Y=0437.360-0446.680 | 230
P=1482 | X=0350.520-0387.940 | Y=0443.120-0452.440 | Phú Túc
P=1482 | X=0118.130-0429.850 | Y=0459.260-0470.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=1482 | X=0118.130-0423.830 | Y=0470.780-0482.020 | từ Quốc lộ 20 đến Hết trường THCS Phú Túc có hiện trạng là đường
P=1482 | X=0118.130-0221.240 | Y=0482.300-0493.540 | nhựa, bê tông xi măng:
P=1482 | X=0098.210-0109.330 | Y=0490.180-0499.500 | 58
P=1482 | X=0463.850-0480.490 | Y=0490.180-0499.500 | 160
P=1482 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 150
P=1482 | X=0118.130-0349.210 | Y=0499.820-0511.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1482 | X=0118.130-0395.320 | Y=0517.340-0528.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1482 | X=0118.130-0429.850 | Y=0535.370-0546.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=1482 | X=0118.130-0423.830 | Y=0546.890-0558.130 | từ Quốc lộ 20 đến Hết trường THCS Phú Túc có hiện trạng là đường
P=1482 | X=0118.130-0221.240 | Y=0558.410-0569.650 | nhựa, bê tông xi măng:
P=1482 | X=0098.210-0349.680 | Y=0575.930-0590.010 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1482 | X=0463.850-0480.490 | Y=0580.690-0590.010 | 130
P=1482 | X=0505.390-0522.030 | Y=0580.690-0590.010 | 100
P=1482 | X=0118.130-0424.550 | Y=0593.450-0604.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1482 | X=0118.130-0159.810 | Y=0604.970-0616.210 | ≤1.000m.
P=1482 | X=0118.130-0341.300 | Y=0622.270-0633.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1482 | X=0118.130-0429.850 | Y=0640.270-0651.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 763 đoạn
P=1482 | X=0118.130-0423.830 | Y=0651.790-0663.030 | từ Quốc lộ 20 đến Hết trường THCS Phú Túc có hiện trạng là đường
P=1482 | X=0118.130-0221.240 | Y=0663.310-0674.550 | nhựa, bê tông xi măng:
P=1482 | X=0098.210-0109.330 | Y=0671.190-0680.510 | 60
P=1482 | X=0469.610-0480.730 | Y=0671.190-0680.510 | 90
P=1482 | X=0511.150-0522.270 | Y=0671.190-0680.510 | 50
P=1482 | X=0118.130-0403.960 | Y=0680.830-0692.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1482 | X=0118.130-0341.770 | Y=0698.350-0709.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1483 | X=0118.130-0403.390 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1483 | X=0118.130-0431.180 | Y=0090.260-0101.500 | Đường tỉnh 763 đoạn từ Quốc lộ 20 đến Hết trường THCS Phú Túc có
P=1483 | X=0118.130-0311.770 | Y=0101.780-0113.020 | hiện trạng là đường nhựa, bê tông xi măng:
P=1483 | X=0098.210-0109.330 | Y=0109.660-0118.980 | 61
P=1483 | X=0463.850-0480.490 | Y=0109.660-0118.980 | 160
P=1483 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 150
P=1483 | X=0118.130-0349.210 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1483 | X=0118.130-0395.320 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1483 | X=0118.130-0403.390 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1483 | X=0118.130-0431.180 | Y=0166.370-0177.610 | Đường tỉnh 763 đoạn từ Quốc lộ 20 đến Hết trường THCS Phú Túc có
P=1483 | X=0118.130-0311.770 | Y=0177.650-0188.890 | hiện trạng là đường nhựa, bê tông xi măng:
P=1483 | X=0098.210-0349.680 | Y=0195.170-0209.510 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1483 | X=0463.850-0480.490 | Y=0200.190-0209.510 | 130
P=1483 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 100
