TABLE=056 | AREA=Phường Bình Phước | SECTION=agricultural | SEGMENTS=1
P=1870 | X=0097.250-0113.890 | Y=0519.220-0528.540 | 284
P=1870 | X=0414.860-0431.500 | Y=0519.220-0528.540 | 430
P=1870 | X=0459.530-0476.170 | Y=0519.220-0528.540 | 340
P=1870 | X=0505.390-0522.030 | Y=0519.220-0528.540 | 200
P=1870 | X=0121.730-0274.740 | Y=0523.100-0534.340 | Tiến Thành (cũ) hoặc đường Duẩn
P=1870 | X=0320.760-0340.530 | Y=0530.740-0540.060 | Xoài
P=1870 | X=0121.730-0223.100 | Y=0536.530-0545.850 | Lê Duẩn trong phạm vi
P=1870 | X=0121.730-0249.300 | Y=0546.170-0557.410 | 200m có bề rộng mặt đường
P=1870 | X=0121.730-0243.720 | Y=0557.690-0568.930 | dưới 4m chưa được đầu tư
P=1870 | X=0121.730-0246.380 | Y=0569.210-0580.450 | mặt đường nhựa, bê tông xi
P=1870 | X=0121.730-0147.010 | Y=0580.490-0591.730 | măng
P=1870 | X=0121.730-0249.040 | Y=0598.250-0609.490 | Các tuyến đường giao thông
P=1870 | X=0121.730-0238.750 | Y=0609.770-0621.010 | đấu nối trực tiếp ra đường
P=1870 | X=0121.730-0249.030 | Y=0623.190-0632.510 | Quốc lộ 14 từ HLLG vào sâu
P=1870 | X=0121.730-0308.370 | Y=0632.830-0644.070 | trên 200m đến 500m có bề Ngã tư Đồng
P=1870 | X=0320.760-0366.450 | Y=0632.830-0644.070 | Đường Lê
P=1870 | X=0097.250-0113.890 | Y=0640.470-0649.790 | 285
P=1870 | X=0414.860-0431.500 | Y=0640.470-0649.790 | 430
P=1870 | X=0459.530-0476.170 | Y=0640.470-0649.790 | 340
P=1870 | X=0505.390-0522.030 | Y=0640.470-0649.790 | 200
P=1870 | X=0121.730-0234.300 | Y=0644.350-0655.590 | rộng mặt đường dưới 4m
P=1870 | X=0250.900-0270.670 | Y=0646.230-0655.550 | Xoài
P=1870 | X=0320.760-0344.600 | Y=0646.230-0655.550 | Duẩn
P=1870 | X=0121.730-0222.470 | Y=0655.870-0667.110 | chưa được đầu tư mặt
P=1870 | X=0121.730-0226.710 | Y=0667.390-0678.630 | đường nhựa, bê tông xi
P=1870 | X=0121.730-0147.010 | Y=0678.910-0690.150 | măng
P=1870 | X=0121.730-0296.590 | Y=0696.670-0707.910 | Các tuyến đường giao thông Đường Lê
P=1870 | X=0320.760-0364.760 | Y=0698.550-0707.870 | Giáp ranh
P=1870 | X=0097.250-0113.890 | Y=0704.340-0713.660 | 286
P=1870 | X=0414.860-0431.500 | Y=0704.340-0713.660 | 430
P=1870 | X=0459.530-0476.170 | Y=0704.340-0713.660 | 340
P=1870 | X=0505.390-0522.030 | Y=0704.340-0713.660 | 200
P=1870 | X=0121.730-0274.740 | Y=0708.210-0719.450 | đấu nối trực tiếp ra đường Duẩn
P=1870 | X=0320.760-0383.020 | Y=0708.210-0719.450 | phường Đồng
P=1871 | X=0121.730-0249.030 | Y=0074.380-0083.700 | Quốc lộ 14 từ HLLG vào sâu
P=1871 | X=0320.760-0340.530 | Y=0074.380-0083.700 | Xoài
P=1871 | X=0121.730-0241.620 | Y=0084.020-0095.260 | trên 200m đến 500m có bề
P=1871 | X=0121.730-0234.300 | Y=0095.540-0106.780 | rộng mặt đường dưới 4m
P=1871 | X=0121.730-0222.470 | Y=0107.060-0118.300 | chưa được đầu tư mặt
P=1871 | X=0121.730-0226.710 | Y=0118.610-0129.850 | đường nhựa, bê tông xi
P=1871 | X=0121.730-0147.010 | Y=0130.130-0141.370 | măng
P=1871 | X=0121.730-0249.040 | Y=0147.650-0158.890 | Các tuyến đường giao thông
P=1871 | X=0121.730-0238.750 | Y=0159.170-0170.410 | đấu nối trực tiếp ra đường
P=1871 | X=0121.730-0249.030 | Y=0172.570-0181.890 | Quốc lộ 14 từ HLLG vào sâu
P=1871 | X=0121.730-0239.920 | Y=0184.090-0193.410 | trên 500m có khoảng cách
P=1871 | X=0121.730-0244.400 | Y=0193.730-0204.970 | từ điểm đấu nối đến Ngã tư
P=1871 | X=0250.900-0308.370 | Y=0199.510-0210.750 | Ngã tư Đồng
P=1871 | X=0320.760-0366.450 | Y=0199.510-0210.750 | Đường Lê
P=1871 | X=0097.250-0239.680 | Y=0205.270-0216.510 | 287 Đồng Xoài hoặc đường Lê
P=1871 | X=0414.860-0431.500 | Y=0207.150-0216.470 | 430
P=1871 | X=0459.530-0476.170 | Y=0207.150-0216.470 | 340
P=1871 | X=0505.390-0522.030 | Y=0207.150-0216.470 | 200
P=1871 | X=0250.900-0270.670 | Y=0212.910-0222.230 | Xoài
P=1871 | X=0320.760-0344.600 | Y=0212.910-0222.230 | Duẩn
P=1871 | X=0121.730-0250.440 | Y=0218.670-0227.990 | Duẩn trong phạm vi 200m có
P=1871 | X=0121.730-0248.250 | Y=0228.310-0239.550 | bề rộng mặt đường dưới 4m
P=1871 | X=0121.730-0222.470 | Y=0239.830-0251.070 | chưa được đầu tư mặt
P=1871 | X=0121.730-0226.710 | Y=0251.350-0262.590 | đường nhựa, bê tông xi
P=1871 | X=0121.730-0147.010 | Y=0262.870-0274.110 | măng
P=1871 | X=0121.730-0249.040 | Y=0280.630-0291.870 | Các tuyến đường giao thông
P=1871 | X=0121.730-0238.750 | Y=0291.940-0303.180 | đấu nối trực tiếp ra đường
P=1871 | X=0121.730-0249.030 | Y=0305.340-0314.660 | Quốc lộ 14 từ HLLG vào sâu
P=1871 | X=0121.730-0239.920 | Y=0316.860-0326.180 | trên 500m có khoảng cách
P=1871 | X=0121.730-0232.710 | Y=0326.500-0337.740 | từ điểm đấu nối đến giáp
P=1871 | X=0320.760-0364.760 | Y=0334.140-0343.460 | Giáp ranh
P=1871 | X=0121.730-0233.440 | Y=0338.020-0349.260 | ranh phường Tiến Thành
P=1871 | X=0250.900-0296.590 | Y=0338.020-0349.260 | Đường Lê
P=1871 | X=0320.760-0383.020 | Y=0343.780-0355.020 | phường Đồng
P=1871 | X=0097.250-0113.890 | Y=0345.660-0354.980 | 288
P=1871 | X=0414.860-0431.500 | Y=0345.660-0354.980 | 430
P=1871 | X=0459.530-0476.170 | Y=0345.660-0354.980 | 340
P=1871 | X=0505.390-0522.030 | Y=0345.660-0354.980 | 200
P=1871 | X=0121.730-0274.740 | Y=0349.540-0360.780 | (cũ) hoặc đường Lê Duẩn Duẩn
P=1871 | X=0320.760-0340.530 | Y=0357.180-0366.500 | Xoài
P=1871 | X=0121.730-0237.540 | Y=0362.940-0372.260 | trong phạm vi 200m có bề
P=1871 | X=0121.730-0234.300 | Y=0372.600-0383.840 | rộng mặt đường dưới 4m
P=1871 | X=0121.730-0222.470 | Y=0384.120-0395.360 | chưa được đầu tư mặt
P=1871 | X=0121.730-0226.710 | Y=0395.640-0406.880 | đường nhựa, bê tông xi
P=1871 | X=0121.730-0147.010 | Y=0407.160-0418.400 | măng
P=1871 | X=0121.730-0249.040 | Y=0424.920-0436.160 | Các tuyến đường giao thông
P=1871 | X=0121.730-0238.750 | Y=0436.200-0447.440 | đấu nối trực tiếp ra đường
P=1871 | X=0121.730-0249.030 | Y=0449.600-0458.920 | Quốc lộ 14 từ HLLG vào sâu
P=1871 | X=0250.900-0308.370 | Y=0453.500-0464.740 | Ngã tư Đồng
P=1871 | X=0320.760-0366.450 | Y=0453.500-0464.740 | Đường Lê
P=1871 | X=0097.250-0236.420 | Y=0461.140-0470.460 | 289 trên 500m có bề rộng mặt
P=1871 | X=0414.860-0431.500 | Y=0461.140-0470.460 | 430
P=1871 | X=0459.530-0476.170 | Y=0461.140-0470.460 | 340
P=1871 | X=0505.390-0522.030 | Y=0461.140-0470.460 | 200
P=1871 | X=0250.900-0270.670 | Y=0466.900-0476.220 | Xoài
P=1871 | X=0320.760-0344.600 | Y=0466.900-0476.220 | Duẩn
P=1871 | X=0121.730-0244.660 | Y=0470.780-0482.020 | đường dưới 4m chưa được
P=1871 | X=0121.730-0245.910 | Y=0482.300-0493.540 | đầu tư mặt đường nhựa, bê
P=1871 | X=0121.730-0179.170 | Y=0493.820-0505.060 | tông xi măng
P=1871 | X=0121.730-0249.040 | Y=0511.580-0522.820 | Các tuyến đường giao thông
P=1871 | X=0121.730-0238.750 | Y=0523.100-0534.340 | đấu nối trực tiếp ra đường
P=1871 | X=0121.730-0249.060 | Y=0536.530-0545.850 | Quốc lộ 14 từ HLLG vào sâu
P=1871 | X=0320.760-0364.760 | Y=0536.530-0545.850 | Giáp ranh
P=1871 | X=0250.900-0296.590 | Y=0540.410-0551.650 | Đường Lê
P=1871 | X=0320.760-0383.020 | Y=0546.170-0557.410 | phường Đồng
P=1871 | X=0097.250-0236.420 | Y=0548.050-0557.370 | 290 trên 500m có bề rộng mặt
P=1871 | X=0414.860-0431.500 | Y=0548.050-0557.370 | 430
P=1871 | X=0459.530-0476.170 | Y=0548.050-0557.370 | 340
P=1871 | X=0505.390-0522.030 | Y=0548.050-0557.370 | 200
P=1871 | X=0250.900-0274.740 | Y=0553.810-0563.130 | Duẩn
P=1871 | X=0121.730-0244.660 | Y=0557.690-0568.930 | đường dưới 4m chưa được
P=1871 | X=0320.760-0340.530 | Y=0559.570-0568.890 | Xoài
P=1871 | X=0121.730-0245.910 | Y=0569.210-0580.450 | đầu tư mặt đường nhựa, bê
P=1871 | X=0121.730-0179.170 | Y=0580.490-0591.730 | tông xi măng
P=1871 | X=0121.730-0249.040 | Y=0598.250-0609.490 | Các tuyến đường giao thông
P=1871 | X=0121.730-0238.750 | Y=0609.770-0621.010 | đấu nối trực tiếp ra đường
P=1871 | X=0121.730-0244.240 | Y=0621.310-0632.550 | Phú Riềng Đỏ từ HLLG vào
P=1871 | X=0121.730-0234.160 | Y=0632.830-0644.070 | sâu đến 100m có khoảng
P=1871 | X=0121.730-0234.900 | Y=0644.350-0655.590 | cách từ điểm đấu nối đến
P=1871 | X=0250.900-0308.370 | Y=0644.350-0655.590 | Ngã tư Đồng
P=1871 | X=0320.760-0389.230 | Y=0644.350-0655.590 | Đường Trương
P=1871 | X=0097.250-0113.890 | Y=0651.990-0661.310 | 291
P=1871 | X=0414.860-0431.500 | Y=0651.990-0661.310 | 430
P=1871 | X=0459.530-0476.170 | Y=0651.990-0661.310 | 340
P=1871 | X=0505.390-0522.030 | Y=0651.990-0661.310 | 200
P=1871 | X=0121.730-0226.390 | Y=0655.870-0667.110 | Ngã tư Đồng Xoài hoặc
P=1871 | X=0320.760-0368.140 | Y=0655.870-0667.110 | Công Định
P=1871 | X=0250.900-0270.670 | Y=0657.750-0667.070 | Xoài
P=1871 | X=0121.730-0240.180 | Y=0667.390-0678.630 | Đường Trương Công Định
P=1871 | X=0121.730-0241.860 | Y=0680.790-0690.110 | trong phạm vi 200m trở lên
P=1871 | X=0121.730-0250.180 | Y=0690.430-0701.670 | có bề rộng mặt đường từ 4m
P=1871 | X=0121.730-0242.420 | Y=0701.970-0713.210 | trở lên đã được đầu tư mặt
P=1872 | X=0121.730-0226.710 | Y=0072.500-0083.740 | đường nhựa, bê tông xi
P=1872 | X=0121.730-0147.010 | Y=0084.020-0095.260 | măng
P=1872 | X=0121.730-0249.060 | Y=0101.780-0113.020 | Các tuyến đường giao thông
P=1872 | X=0121.730-0238.750 | Y=0113.300-0124.540 | đấu nối trực tiếp ra đường
P=1872 | X=0121.730-0244.240 | Y=0124.850-0136.090 | Phú Riềng Đỏ từ HLLG vào
P=1872 | X=0121.730-0234.160 | Y=0136.370-0147.610 | sâu đến 100m có khoảng
P=1872 | X=0121.730-0234.900 | Y=0147.650-0158.890 | cách từ điểm đấu nối đến
P=1872 | X=0320.760-0364.760 | Y=0155.290-0164.610 | Giáp ranh
P=1872 | X=0121.730-0319.370 | Y=0159.170-0170.410 | Đường Trương Công Định Đường Trương
P=1872 | X=0320.760-0374.630 | Y=0164.930-0176.170 | huyện Đồng
P=1872 | X=0097.250-0113.890 | Y=0166.810-0176.130 | 292
P=1872 | X=0414.860-0431.500 | Y=0166.810-0176.130 | 430
P=1872 | X=0459.530-0476.170 | Y=0166.810-0176.130 | 340
P=1872 | X=0505.390-0522.030 | Y=0166.810-0176.130 | 200
P=1872 | X=0121.730-0298.260 | Y=0170.690-0181.930 | hoặc Giáp ranh huyện Đồng Công Định
P=1872 | X=0320.760-0358.670 | Y=0176.450-0187.690 | Phú (cũ)
P=1872 | X=0121.730-0223.100 | Y=0182.210-0193.450 | Phú (cũ) trong phạm vi
P=1872 | X=0121.730-0247.940 | Y=0195.610-0204.930 | 200m trở lên có bề rộng mặt
P=1872 | X=0121.730-0226.230 | Y=0205.270-0216.510 | đường từ 4m trở lên đã
P=1872 | X=0121.730-0229.600 | Y=0216.790-0228.030 | được đầu tư mặt đường
P=1872 | X=0121.730-0222.130 | Y=0228.310-0239.550 | nhựa, bê tông xi măng
P=1872 | X=0121.730-0249.040 | Y=0246.070-0257.310 | Các tuyến đường giao thông
P=1872 | X=0121.730-0238.750 | Y=0257.590-0268.830 | đấu nối trực tiếp ra đường
P=1872 | X=0121.730-0244.240 | Y=0269.110-0280.350 | Phú Riềng Đỏ từ HLLG vào
P=1872 | X=0250.900-0308.370 | Y=0274.870-0286.110 | Ngã tư Đồng
P=1872 | X=0320.760-0389.230 | Y=0274.870-0286.110 | Đường Trương
P=1872 | X=0097.250-0235.350 | Y=0280.630-0291.870 | 293 sâu đến 100m có bề rộng
P=1872 | X=0414.860-0431.500 | Y=0282.510-0291.830 | 430
P=1872 | X=0459.530-0476.170 | Y=0282.510-0291.830 | 340
P=1872 | X=0505.390-0522.030 | Y=0282.510-0291.830 | 200
P=1872 | X=0320.760-0368.140 | Y=0286.420-0297.660 | Công Định
P=1872 | X=0250.900-0270.670 | Y=0288.300-0297.620 | Xoài
P=1872 | X=0121.730-0245.670 | Y=0291.940-0303.180 | mặt đường từ 4m trở lên đã
P=1872 | X=0121.730-0229.600 | Y=0303.460-0314.700 | được đầu tư mặt đường
P=1872 | X=0121.730-0222.160 | Y=0316.860-0326.180 | nhựa, bê tông xi măng
P=1872 | X=0121.730-0249.040 | Y=0332.740-0343.980 | Các tuyến đường giao thông
P=1872 | X=0121.730-0238.750 | Y=0344.260-0355.500 | đấu nối trực tiếp ra đường
P=1872 | X=0121.730-0244.240 | Y=0355.780-0367.020 | Phú Riềng Đỏ từ HLLG vào
P=1872 | X=0320.760-0364.760 | Y=0357.660-0366.980 | Giáp ranh
P=1872 | X=0250.900-0319.370 | Y=0361.540-0372.780 | Đường Trương
P=1872 | X=0097.250-0235.350 | Y=0367.320-0378.560 | 294 sâu đến 100m có bề rộng
P=1872 | X=0320.760-0374.630 | Y=0367.320-0378.560 | huyện Đồng
P=1872 | X=0414.860-0431.500 | Y=0369.200-0378.520 | 430
P=1872 | X=0459.530-0476.170 | Y=0369.200-0378.520 | 340
P=1872 | X=0505.390-0522.030 | Y=0369.200-0378.520 | 200
P=1872 | X=0250.900-0298.280 | Y=0373.080-0384.320 | Công Định
P=1872 | X=0121.730-0245.670 | Y=0378.840-0390.080 | mặt đường từ 4m trở lên đã
P=1872 | X=0320.760-0358.670 | Y=0378.840-0390.080 | Phú (cũ)
P=1872 | X=0121.730-0229.600 | Y=0390.360-0401.600 | được đầu tư mặt đường
P=1872 | X=0121.730-0222.120 | Y=0401.880-0413.120 | nhựa, bê tông xi măng
P=1872 | X=0121.730-0249.040 | Y=0419.640-0430.880 | Các tuyến đường giao thông
P=1872 | X=0121.730-0238.750 | Y=0431.160-0442.400 | đấu nối trực tiếp ra đường
P=1872 | X=0121.730-0244.240 | Y=0442.440-0453.680 | Phú Riềng Đỏ từ HLLG vào
P=1872 | X=0121.730-0246.620 | Y=0453.980-0465.220 | sâu trên 100m đến 200m có
P=1872 | X=0121.730-0234.900 | Y=0465.500-0476.740 | khoảng cách từ điểm đấu
P=1872 | X=0121.730-0308.370 | Y=0477.020-0488.260 | nối đến Ngã tư Đồng Xoài Ngã tư Đồng
P=1872 | X=0320.760-0389.230 | Y=0477.020-0488.260 | Đường Trương
P=1872 | X=0097.250-0113.890 | Y=0484.660-0493.980 | 295
P=1872 | X=0414.860-0431.500 | Y=0484.660-0493.980 | 430
P=1872 | X=0459.530-0476.170 | Y=0484.660-0493.980 | 340
P=1872 | X=0505.390-0522.030 | Y=0484.660-0493.980 | 200
P=1872 | X=0121.730-0270.670 | Y=0488.540-0499.780 | hoặc Đường Trương Công Xoài
P=1872 | X=0320.760-0368.140 | Y=0488.540-0499.780 | Công Định
P=1872 | X=0121.730-0249.110 | Y=0500.060-0511.300 | Định trong phạm vi 200m trở
P=1872 | X=0121.730-0249.720 | Y=0511.580-0522.820 | lên có bề rộng mặt đường từ
P=1872 | X=0121.730-0239.610 | Y=0523.100-0534.340 | 4m trở lên đã được đầu tư
P=1872 | X=0121.730-0246.380 | Y=0534.650-0545.890 | mặt đường nhựa, bê tông xi
P=1872 | X=0121.730-0147.010 | Y=0546.170-0557.410 | măng
P=1872 | X=0121.730-0249.040 | Y=0563.930-0575.170 | Các tuyến đường giao thông
P=1872 | X=0121.730-0238.750 | Y=0575.450-0586.690 | đấu nối trực tiếp ra đường
P=1872 | X=0121.730-0244.240 | Y=0586.730-0597.970 | Phú Riềng Đỏ từ HLLG vào
P=1872 | X=0121.730-0246.620 | Y=0598.250-0609.490 | sâu trên 100m đến 200m có
P=1872 | X=0121.730-0234.900 | Y=0609.770-0621.010 | khoảng cách từ điểm đấu
P=1872 | X=0121.730-0225.740 | Y=0621.310-0632.550 | nối đến Đường Trương
P=1872 | X=0320.760-0364.760 | Y=0623.190-0632.510 | Giáp ranh
P=1872 | X=0250.900-0319.370 | Y=0627.070-0638.310 | Đường Trương
P=1872 | X=0097.250-0240.380 | Y=0632.830-0644.070 | 296 Công Định hoặc Giáp ranh
P=1872 | X=0320.760-0374.630 | Y=0632.830-0644.070 | huyện Đồng
P=1872 | X=0414.860-0431.500 | Y=0634.710-0644.030 | 430
P=1872 | X=0459.530-0476.170 | Y=0634.710-0644.030 | 340
P=1872 | X=0505.390-0522.030 | Y=0634.710-0644.030 | 200
P=1872 | X=0250.900-0298.260 | Y=0638.590-0649.830 | Công Định
P=1872 | X=0121.730-0242.050 | Y=0644.350-0655.590 | huyện Đồng Phú (cũ) trong
P=1872 | X=0320.760-0358.670 | Y=0644.350-0655.590 | Phú (cũ)
P=1872 | X=0121.730-0243.540 | Y=0657.750-0667.070 | phạm vi 200m trở lên có bề
P=1872 | X=0121.730-0238.550 | Y=0667.390-0678.630 | rộng mặt đường từ 4m trở
P=1872 | X=0121.730-0226.790 | Y=0678.910-0690.150 | lên đã được đầu tư mặt
P=1872 | X=0121.730-0226.710 | Y=0690.430-0701.670 | đường nhựa, bê tông xi
P=1872 | X=0121.730-0147.010 | Y=0701.970-0713.210 | măng
P=1873 | X=0121.730-0249.040 | Y=0078.500-0089.740 | Các tuyến đường giao thông
P=1873 | X=0121.730-0238.750 | Y=0090.020-0101.260 | đấu nối trực tiếp ra đường
P=1873 | X=0121.730-0244.240 | Y=0101.540-0112.780 | Phú Riềng Đỏ từ HLLG vào
P=1873 | X=0121.730-0308.370 | Y=0113.060-0124.300 | sâu trên 100m đến 200m có Ngã tư Đồng
P=1873 | X=0320.760-0389.230 | Y=0113.060-0124.300 | Đường Trương
P=1873 | X=0097.250-0113.900 | Y=0120.730-0130.050 | 297
P=1873 | X=0414.860-0431.500 | Y=0120.730-0130.050 | 430
P=1873 | X=0459.530-0476.170 | Y=0120.730-0130.050 | 340
P=1873 | X=0505.390-0522.030 | Y=0120.730-0130.050 | 200
P=1873 | X=0121.730-0270.670 | Y=0124.610-0135.850 | bề rộng mặt đường từ 4m Xoài
P=1873 | X=0320.760-0368.140 | Y=0124.610-0135.850 | Công Định
P=1873 | X=0121.730-0242.420 | Y=0136.130-0147.370 | trở lên đã được đầu tư mặt
P=1873 | X=0121.730-0226.710 | Y=0147.410-0158.650 | đường nhựa, bê tông xi
P=1873 | X=0121.730-0147.010 | Y=0158.930-0170.170 | măng
P=1873 | X=0121.730-0249.040 | Y=0176.690-0187.930 | Các tuyến đường giao thông
P=1873 | X=0121.730-0238.750 | Y=0188.210-0199.450 | đấu nối trực tiếp ra đường
P=1873 | X=0121.730-0244.240 | Y=0199.750-0210.990 | Phú Riềng Đỏ từ HLLG vào
P=1873 | X=0320.760-0364.760 | Y=0207.390-0216.710 | Giáp ranh
P=1873 | X=0121.730-0319.370 | Y=0211.270-0222.510 | sâu trên 100m đến 200m có Đường Trương
P=1873 | X=0320.760-0374.630 | Y=0217.030-0228.270 | huyện Đồng
P=1873 | X=0097.250-0113.890 | Y=0218.910-0228.230 | 298
P=1873 | X=0414.860-0431.500 | Y=0218.910-0228.230 | 430
P=1873 | X=0459.530-0476.170 | Y=0218.910-0228.230 | 340
P=1873 | X=0505.390-0522.030 | Y=0218.910-0228.230 | 200
P=1873 | X=0121.730-0298.260 | Y=0222.790-0234.030 | bề rộng mặt đường từ 4m Công Định
P=1873 | X=0320.760-0358.670 | Y=0228.550-0239.790 | Phú (cũ)
P=1873 | X=0121.730-0242.420 | Y=0234.310-0245.550 | trở lên đã được đầu tư mặt
P=1873 | X=0121.730-0226.710 | Y=0245.830-0257.070 | đường nhựa, bê tông xi
P=1873 | X=0121.730-0147.010 | Y=0257.350-0268.590 | măng
P=1873 | X=0121.730-0249.040 | Y=0275.110-0286.350 | Các tuyến đường giao thông
P=1873 | X=0121.730-0238.750 | Y=0286.660-0297.900 | đấu nối trực tiếp ra đường
P=1873 | X=0121.730-0244.240 | Y=0297.940-0309.180 | Phú Riềng Đỏ từ HLLG vào
P=1873 | X=0121.730-0246.620 | Y=0309.460-0320.700 | sâu trên 200m đến 500m có
P=1873 | X=0121.730-0234.900 | Y=0320.980-0332.220 | khoảng cách từ điểm đấu
P=1873 | X=0121.730-0308.370 | Y=0332.500-0343.740 | nối đến Ngã tư Đồng Xoài Ngã tư Đồng
P=1873 | X=0320.760-0389.230 | Y=0332.500-0343.740 | Đường Trương
P=1873 | X=0097.250-0113.890 | Y=0340.140-0349.460 | 299
P=1873 | X=0414.860-0431.500 | Y=0340.140-0349.460 | 430
P=1873 | X=0459.530-0476.170 | Y=0340.140-0349.460 | 340
P=1873 | X=0505.390-0522.030 | Y=0340.140-0349.460 | 200
P=1873 | X=0121.730-0270.670 | Y=0344.020-0355.260 | hoặc Đường Trương Công Xoài
P=1873 | X=0320.760-0368.140 | Y=0344.020-0355.260 | Công Định
P=1873 | X=0121.730-0249.110 | Y=0355.540-0366.780 | Định trong phạm vi 200m trở
P=1873 | X=0121.730-0249.720 | Y=0367.080-0378.320 | lên có bề rộng mặt đường từ
P=1873 | X=0121.730-0239.610 | Y=0378.600-0389.840 | 4m trở lên đã được đầu tư
P=1873 | X=0121.730-0246.380 | Y=0390.120-0401.360 | mặt đường nhựa, bê tông xi
P=1873 | X=0121.730-0147.010 | Y=0401.640-0412.880 | măng
P=1873 | X=0121.730-0249.040 | Y=0419.400-0430.640 | Các tuyến đường giao thông
P=1873 | X=0121.730-0238.750 | Y=0430.920-0442.160 | đấu nối trực tiếp ra đường
P=1873 | X=0121.730-0244.240 | Y=0442.200-0453.440 | Phú Riềng Đỏ từ HLLG vào
P=1873 | X=0121.730-0246.620 | Y=0453.740-0464.980 | sâu trên 200m đến 500m có
P=1873 | X=0121.730-0234.900 | Y=0465.260-0476.500 | khoảng cách từ điểm đấu
P=1873 | X=0121.730-0225.740 | Y=0476.780-0488.020 | nối đến Đường Trương
P=1873 | X=0320.760-0364.760 | Y=0478.660-0487.980 | Giáp ranh
P=1873 | X=0250.900-0319.370 | Y=0482.540-0493.780 | Đường Trương
P=1873 | X=0097.250-0240.380 | Y=0488.300-0499.540 | 300 Công Định hoặc Giáp ranh
P=1873 | X=0320.760-0374.630 | Y=0488.300-0499.540 | huyện Đồng
P=1873 | X=0414.860-0431.500 | Y=0490.180-0499.500 | 430
P=1873 | X=0459.530-0476.170 | Y=0490.180-0499.500 | 340
P=1873 | X=0505.390-0522.030 | Y=0490.180-0499.500 | 200
P=1873 | X=0250.900-0298.260 | Y=0494.060-0505.300 | Công Định
P=1873 | X=0121.730-0242.050 | Y=0499.820-0511.060 | huyện Đồng Phú (cũ) trong
P=1873 | X=0320.760-0358.670 | Y=0499.820-0511.060 | Phú (cũ)
P=1873 | X=0121.730-0243.540 | Y=0513.220-0522.540 | phạm vi 200m trở lên có bề
P=1873 | X=0121.730-0238.550 | Y=0522.860-0534.100 | rộng mặt đường từ 4m trở
P=1873 | X=0121.730-0226.790 | Y=0534.410-0545.650 | lên đã được đầu tư mặt
P=1873 | X=0121.730-0226.710 | Y=0545.930-0557.170 | đường nhựa, bê tông xi
P=1873 | X=0121.730-0147.010 | Y=0557.450-0568.690 | măng
P=1873 | X=0121.730-0249.040 | Y=0575.210-0586.450 | Các tuyến đường giao thông
P=1873 | X=0121.730-0238.750 | Y=0586.490-0597.730 | đấu nối trực tiếp ra đường
P=1873 | X=0121.730-0244.240 | Y=0598.010-0609.250 | Phú Riềng Đỏ từ HLLG vào
P=1873 | X=0121.730-0308.370 | Y=0609.530-0620.770 | sâu trên 200m đến 500m có Ngã tư Đồng
P=1873 | X=0320.760-0389.230 | Y=0609.530-0620.770 | Đường Trương
P=1873 | X=0097.250-0113.890 | Y=0617.170-0626.490 | 301
P=1873 | X=0414.860-0431.500 | Y=0617.170-0626.490 | 430
P=1873 | X=0459.530-0476.170 | Y=0617.170-0626.490 | 340
P=1873 | X=0505.390-0522.030 | Y=0617.170-0626.490 | 200
P=1873 | X=0121.730-0270.670 | Y=0621.070-0632.310 | bề rộng mặt đường từ 4m Xoài
P=1873 | X=0320.760-0368.140 | Y=0621.070-0632.310 | Công Định
P=1873 | X=0121.730-0242.420 | Y=0632.590-0643.830 | trở lên đã được đầu tư mặt
P=1873 | X=0121.730-0226.710 | Y=0644.110-0655.350 | đường nhựa, bê tông xi
P=1873 | X=0121.730-0147.010 | Y=0655.630-0666.870 | măng
P=1873 | X=0121.730-0249.040 | Y=0673.390-0684.630 | Các tuyến đường giao thông
P=1873 | X=0320.760-0364.760 | Y=0681.030-0690.350 | Giáp ranh
P=1873 | X=0121.730-0319.370 | Y=0684.910-0696.150 | đấu nối trực tiếp ra đường Đường Trương
P=1873 | X=0320.760-0374.630 | Y=0690.670-0701.910 | huyện Đồng
P=1873 | X=0097.250-0113.890 | Y=0692.550-0701.870 | 302
P=1873 | X=0414.860-0431.500 | Y=0692.550-0701.870 | 430
P=1873 | X=0459.530-0476.170 | Y=0692.550-0701.870 | 340
P=1873 | X=0505.390-0522.030 | Y=0692.550-0701.870 | 200
P=1873 | X=0121.730-0298.260 | Y=0696.430-0707.670 | Phú Riềng Đỏ từ HLLG vào Công Định
P=1873 | X=0320.760-0358.670 | Y=0702.210-0713.450 | Phú (cũ)
P=1873 | X=0121.730-0246.620 | Y=0707.970-0719.210 | sâu trên 200m đến 500m có
P=1874 | X=0121.730-0236.710 | Y=0072.500-0083.740 | bề rộng mặt đường từ 4m
P=1874 | X=0121.730-0242.420 | Y=0084.020-0095.260 | trở lên đã được đầu tư mặt
P=1874 | X=0121.730-0226.710 | Y=0095.540-0106.780 | đường nhựa, bê tông xi
P=1874 | X=0121.730-0147.010 | Y=0107.060-0118.300 | măng
P=1874 | X=0121.730-0249.040 | Y=0124.850-0136.090 | Các tuyến đường giao thông
P=1874 | X=0121.730-0238.750 | Y=0136.370-0147.610 | đấu nối trực tiếp ra đường
P=1874 | X=0121.730-0244.270 | Y=0147.650-0158.890 | Phú Riềng Đỏ từ HLLG vào
P=1874 | X=0121.730-0234.640 | Y=0161.050-0170.370 | sâu trên 500m có khoảng
P=1874 | X=0121.730-0234.900 | Y=0170.690-0181.930 | cách từ điểm đấu nối đến
