TABLE=002 | AREA=Phường Trấn Biên | SECTION=agricultural | SEGMENTS=1
P=0036 | X=0468.890-0485.530 | Y=0231.870-0241.190 | 670
P=0036 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 450
P=0036 | X=0113.090-0390.520 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0036 | X=0113.090-0339.380 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0036 | X=0346.680-0433.410 | Y=0278.670-0287.990 | Hết ranh giới Trung
P=0036 | X=0093.140-0195.010 | Y=0288.340-0299.580 | 134 Đường 30 tháng 4
P=0036 | X=0252.580-0430.330 | Y=0288.340-0299.580 | Ngã năm Biên Hùng tâm Giao dịch Bưu
P=0036 | X=0460.730-0485.780 | Y=0290.220-0299.540 | 1.500
P=0036 | X=0505.390-0522.030 | Y=0290.220-0299.540 | 970
P=0036 | X=0346.680-0427.430 | Y=0301.740-0311.060 | Chính Viễn Thông
P=0036 | X=0113.090-0449.000 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30 tháng 4 đoạn từ
P=0036 | X=0113.090-0427.890 | Y=0329.140-0340.380 | Ngã năm Biên Hùng đến Hết ranh giới Trung tâm Giao dịch Bưu Chính
P=0036 | X=0113.090-0373.700 | Y=0340.660-0351.900 | Viễn Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0036 | X=0093.140-0109.780 | Y=0348.540-0357.860 | 135
P=0036 | X=0460.730-0485.780 | Y=0348.540-0357.860 | 1.030
P=0036 | X=0505.390-0522.030 | Y=0348.540-0357.860 | 680
P=0036 | X=0113.090-0336.000 | Y=0357.940-0369.180 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0036 | X=0113.090-0390.280 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0036 | X=0113.090-0449.000 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30 tháng 4 đoạn từ
P=0036 | X=0113.090-0427.890 | Y=0404.760-0416.000 | Ngã năm Biên Hùng đến Hết ranh giới Trung tâm Giao dịch Bưu Chính
P=0036 | X=0113.090-0373.700 | Y=0416.280-0427.520 | Viễn Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0036 | X=0093.140-0336.260 | Y=0433.800-0448.120 | 136 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0036 | X=0468.890-0485.530 | Y=0438.800-0448.120 | 860
P=0036 | X=0505.390-0522.030 | Y=0438.800-0448.120 | 570
P=0036 | X=0113.090-0419.510 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0036 | X=0113.090-0146.610 | Y=0462.860-0474.100 | ≤600m.
P=0036 | X=0113.090-0336.260 | Y=0480.380-0491.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0036 | X=0113.090-0449.000 | Y=0498.140-0509.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30 tháng 4 đoạn từ
P=0036 | X=0113.090-0427.890 | Y=0509.660-0520.900 | Ngã năm Biên Hùng đến Hết ranh giới Trung tâm Giao dịch Bưu Chính
P=0036 | X=0113.090-0373.700 | Y=0521.180-0532.420 | Viễn Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0036 | X=0093.140-0109.780 | Y=0529.060-0538.380 | 137
P=0036 | X=0468.890-0485.530 | Y=0529.060-0538.380 | 670
P=0036 | X=0505.390-0522.030 | Y=0529.060-0538.380 | 450
P=0036 | X=0113.090-0390.520 | Y=0538.490-0549.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0036 | X=0113.090-0336.730 | Y=0556.010-0567.250 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0036 | X=0113.090-0446.660 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường 30
P=0036 | X=0113.090-0429.060 | Y=0585.290-0596.530 | tháng 4 đoạn từ Ngã năm Biên Hùng đến Hết ranh giới Trung tâm Giao
P=0036 | X=0113.090-0446.210 | Y=0596.810-0608.050 | dịch Bưu Chính Viễn Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0036 | X=0093.140-0109.780 | Y=0604.690-0614.010 | 138
P=0036 | X=0460.730-0485.780 | Y=0604.690-0614.010 | 1.030
P=0036 | X=0505.390-0522.030 | Y=0604.690-0614.010 | 680
P=0036 | X=0113.090-0336.000 | Y=0614.330-0625.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0036 | X=0113.090-0390.280 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0036 | X=0113.090-0446.660 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường 30
P=0036 | X=0113.090-0429.060 | Y=0661.150-0672.390 | tháng 4 đoạn từ Ngã năm Biên Hùng đến Hết ranh giới Trung tâm Giao
P=0036 | X=0113.090-0446.210 | Y=0672.670-0683.910 | dịch Bưu Chính Viễn Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0036 | X=0093.140-0109.780 | Y=0680.550-0689.870 | 139
P=0036 | X=0468.890-0485.530 | Y=0680.550-0689.870 | 860
P=0036 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 570
P=0036 | X=0113.090-0336.260 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0036 | X=0113.090-0419.510 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0037 | X=0113.090-0146.610 | Y=0072.500-0083.740 | ≤600m.
P=0037 | X=0113.090-0336.260 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0037 | X=0113.090-0446.660 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường 30
P=0037 | X=0113.090-0429.060 | Y=0119.330-0130.570 | tháng 4 đoạn từ Ngã năm Biên Hùng đến Hết ranh giới Trung tâm Giao
P=0037 | X=0113.090-0446.210 | Y=0130.850-0142.090 | dịch Bưu Chính Viễn Thông có hiện trạng là đường nhựa, bê tông xi măng:
P=0037 | X=0093.140-0109.780 | Y=0138.730-0148.050 | 140
P=0037 | X=0468.890-0485.530 | Y=0138.730-0148.050 | 670
P=0037 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 450
P=0037 | X=0113.090-0390.520 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0037 | X=0113.090-0339.380 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0037 | X=0252.580-0434.620 | Y=0183.410-0194.650 | Đường Cách Mạng Hết Sở Giáo dục và
P=0037 | X=0093.140-0217.110 | Y=0189.170-0200.410 | 141 Đường Nguyễn Văn Trị
P=0037 | X=0460.730-0485.780 | Y=0191.050-0200.370 | 1.500
P=0037 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 970
P=0037 | X=0346.680-0381.830 | Y=0194.930-0206.170 | Đào tạo
P=0037 | X=0252.580-0289.380 | Y=0196.810-0206.130 | Tháng 8
P=0037 | X=0252.580-0425.750 | Y=0212.710-0223.950 | Hết Sở Giáo dục và Đường Phan Chu
P=0037 | X=0093.140-0217.110 | Y=0218.470-0229.710 | 142 Đường Nguyễn Văn Trị
P=0037 | X=0460.730-0485.780 | Y=0220.350-0229.670 | 1.500
P=0037 | X=0505.390-0522.030 | Y=0220.350-0229.670 | 970
P=0037 | X=0252.580-0287.710 | Y=0224.230-0235.470 | Đào tạo
P=0037 | X=0346.680-0369.780 | Y=0226.110-0235.430 | Trinh
P=0037 | X=0113.090-0433.690 | Y=0241.990-0253.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Trị
P=0037 | X=0113.090-0437.770 | Y=0253.510-0264.750 | đoạn từ Hết Sở Giáo dục và Đào tạo đến Đường Phan Chu Trinh có hiện
P=0037 | X=0113.090-0284.870 | Y=0265.030-0276.270 | trạng là đường nhựa, bê tông xi măng:
P=0037 | X=0093.140-0109.780 | Y=0272.910-0282.230 | 143
P=0037 | X=0460.730-0485.780 | Y=0272.910-0282.230 | 1.030
P=0037 | X=0505.390-0522.030 | Y=0272.910-0282.230 | 680
P=0037 | X=0113.090-0336.000 | Y=0282.580-0293.820 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0037 | X=0113.090-0390.280 | Y=0300.100-0311.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0037 | X=0113.090-0433.690 | Y=0317.860-0329.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Trị
P=0037 | X=0113.090-0437.770 | Y=0329.380-0340.620 | đoạn từ Hết Sở Giáo dục và Đào tạo đến Đường Phan Chu Trinh có hiện
P=0037 | X=0113.090-0284.870 | Y=0340.900-0352.140 | trạng là đường nhựa, bê tông xi măng:
P=0037 | X=0093.140-0336.260 | Y=0358.420-0372.500 | 144 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0037 | X=0468.890-0485.530 | Y=0363.180-0372.500 | 860
P=0037 | X=0505.390-0522.030 | Y=0363.180-0372.500 | 570
P=0037 | X=0113.090-0419.510 | Y=0375.720-0386.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0037 | X=0113.090-0146.610 | Y=0387.240-0398.480 | ≤600m.
P=0037 | X=0113.090-0336.260 | Y=0404.760-0416.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0037 | X=0113.090-0433.690 | Y=0422.520-0433.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Trị
P=0037 | X=0113.090-0437.770 | Y=0434.040-0445.280 | đoạn từ Hết Sở Giáo dục và Đào tạo đến Đường Phan Chu Trinh có hiện
P=0037 | X=0113.090-0284.870 | Y=0445.560-0456.800 | trạng là đường nhựa, bê tông xi măng:
P=0037 | X=0093.140-0109.780 | Y=0453.460-0462.780 | 145
P=0037 | X=0468.890-0485.530 | Y=0453.460-0462.780 | 670
P=0037 | X=0505.390-0522.030 | Y=0453.460-0462.780 | 450
P=0037 | X=0113.090-0390.520 | Y=0463.100-0474.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0037 | X=0113.090-0336.730 | Y=0480.620-0491.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0037 | X=0113.090-0432.730 | Y=0498.380-0509.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0037 | X=0113.090-0428.390 | Y=0509.900-0521.140 | Nguyễn Văn Trị đoạn từ Hết Sở Giáo dục và Đào tạo đến Đường Phan
P=0037 | X=0113.090-0366.520 | Y=0521.420-0532.660 | Chu Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0037 | X=0093.140-0109.780 | Y=0529.300-0538.620 | 146
P=0037 | X=0460.730-0485.780 | Y=0529.300-0538.620 | 1.030
P=0037 | X=0505.390-0522.030 | Y=0529.300-0538.620 | 680
P=0037 | X=0113.090-0336.000 | Y=0538.970-0550.210 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0037 | X=0113.090-0390.280 | Y=0556.250-0567.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0037 | X=0113.090-0432.730 | Y=0574.010-0585.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0037 | X=0113.090-0428.390 | Y=0585.530-0596.770 | Nguyễn Văn Trị đoạn từ Hết Sở Giáo dục và Đào tạo đến Đường Phan
P=0037 | X=0113.090-0366.490 | Y=0597.050-0608.290 | Chu Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0037 | X=0093.140-0336.260 | Y=0614.570-0628.910 | 147 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0037 | X=0468.890-0485.530 | Y=0619.590-0628.910 | 860
P=0037 | X=0505.390-0522.030 | Y=0619.590-0628.910 | 570
P=0037 | X=0113.090-0419.510 | Y=0632.110-0643.350 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0037 | X=0113.090-0146.610 | Y=0643.630-0654.870 | ≤600m.
P=0037 | X=0113.090-0336.260 | Y=0661.150-0672.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0037 | X=0113.090-0432.730 | Y=0678.910-0690.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0037 | X=0093.140-0428.390 | Y=0690.430-0701.670 | 148 Nguyễn Văn Trị đoạn từ Hết Sở Giáo dục và Đào tạo đến Đường Phan
P=0037 | X=0468.890-0485.530 | Y=0692.310-0701.630 | 670
P=0037 | X=0505.390-0522.030 | Y=0692.310-0701.630 | 450
P=0037 | X=0113.090-0366.490 | Y=0701.970-0713.210 | Chu Trinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0038 | X=0113.090-0390.520 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0038 | X=0113.090-0339.380 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0038 | X=0252.580-0331.630 | Y=0113.780-0125.020 | Đường Phan Chu
P=0038 | X=0346.680-0427.180 | Y=0113.780-0125.020 | Đường Nguyễn Ái
P=0038 | X=0093.140-0217.110 | Y=0119.570-0130.810 | 149 Đường Nguyễn Văn Trị
P=0038 | X=0460.730-0485.780 | Y=0121.450-0130.770 | 1.500
P=0038 | X=0505.390-0522.030 | Y=0121.450-0130.770 | 970
P=0038 | X=0252.580-0275.680 | Y=0127.210-0136.530 | Trinh
P=0038 | X=0346.680-0370.700 | Y=0127.210-0136.530 | Quốc
P=0038 | X=0113.090-0433.690 | Y=0143.090-0154.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Trị
P=0038 | X=0113.090-0444.970 | Y=0154.610-0165.850 | đoạn từ Đường Phan Chu Trinh đến Đường Nguyễn Ái Quốc có hiện trạng
P=0038 | X=0113.090-0259.420 | Y=0166.130-0177.370 | là đường nhựa, bê tông xi măng:
P=0038 | X=0093.140-0109.780 | Y=0174.010-0183.330 | 150
P=0038 | X=0460.730-0485.780 | Y=0174.010-0183.330 | 1.030
P=0038 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 680
P=0038 | X=0113.090-0336.000 | Y=0183.410-0194.650 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0038 | X=0113.090-0390.280 | Y=0200.950-0212.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0038 | X=0113.090-0433.690 | Y=0218.710-0229.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Trị
P=0038 | X=0113.090-0444.970 | Y=0230.230-0241.470 | đoạn từ Đường Phan Chu Trinh đến Đường Nguyễn Ái Quốc có hiện trạng
P=0038 | X=0113.090-0259.420 | Y=0241.750-0252.990 | là đường nhựa, bê tông xi măng:
P=0038 | X=0093.140-0336.260 | Y=0259.270-0273.590 | 151 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0038 | X=0468.890-0485.530 | Y=0264.270-0273.590 | 860
P=0038 | X=0505.390-0522.030 | Y=0264.270-0273.590 | 570
P=0038 | X=0113.090-0419.510 | Y=0276.790-0288.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0038 | X=0113.090-0146.610 | Y=0288.340-0299.580 | ≤600m.
P=0038 | X=0113.090-0336.260 | Y=0305.860-0317.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0038 | X=0113.090-0433.690 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn Trị
P=0038 | X=0113.090-0444.970 | Y=0335.140-0346.380 | đoạn từ Đường Phan Chu Trinh đến Đường Nguyễn Ái Quốc có hiện trạng
P=0038 | X=0113.090-0259.420 | Y=0346.660-0357.900 | là đường nhựa, bê tông xi măng:
P=0038 | X=0093.140-0109.780 | Y=0354.540-0363.860 | 152
P=0038 | X=0468.890-0485.530 | Y=0354.540-0363.860 | 670
P=0038 | X=0505.390-0522.030 | Y=0354.540-0363.860 | 450
P=0038 | X=0113.090-0390.520 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0038 | X=0113.090-0336.760 | Y=0381.480-0392.720 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0038 | X=0113.090-0432.730 | Y=0399.240-0410.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0038 | X=0113.090-0429.820 | Y=0410.760-0422.000 | Nguyễn Văn Trị đoạn từ Đường Phan Chu Trinh đến Đường Nguyễn Ái
P=0038 | X=0113.090-0346.570 | Y=0422.280-0433.520 | Quốc có hiện trạng là đường nhựa, bê tông xi măng:
P=0038 | X=0093.140-0109.780 | Y=0430.160-0439.480 | 153
P=0038 | X=0460.730-0485.780 | Y=0430.160-0439.480 | 1.030
P=0038 | X=0505.390-0522.030 | Y=0430.160-0439.480 | 680
P=0038 | X=0113.090-0336.000 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0038 | X=0113.090-0390.280 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0038 | X=0113.090-0432.730 | Y=0475.100-0486.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0038 | X=0113.090-0429.820 | Y=0486.620-0497.860 | Nguyễn Văn Trị đoạn từ Đường Phan Chu Trinh đến Đường Nguyễn Ái
P=0038 | X=0113.090-0346.570 | Y=0498.140-0509.380 | Quốc có hiện trạng là đường nhựa, bê tông xi măng:
P=0038 | X=0093.140-0336.260 | Y=0515.660-0529.740 | 154 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0038 | X=0468.890-0485.530 | Y=0520.420-0529.740 | 860
P=0038 | X=0505.390-0522.030 | Y=0520.420-0529.740 | 570
P=0038 | X=0113.090-0419.510 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0038 | X=0113.090-0146.610 | Y=0544.490-0555.730 | ≤600m.
P=0038 | X=0113.090-0336.260 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0038 | X=0113.090-0432.730 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0038 | X=0113.090-0429.820 | Y=0591.290-0602.530 | Nguyễn Văn Trị đoạn từ Đường Phan Chu Trinh đến Đường Nguyễn Ái
P=0038 | X=0113.090-0346.570 | Y=0602.810-0614.050 | Quốc có hiện trạng là đường nhựa, bê tông xi măng:
P=0038 | X=0093.140-0109.780 | Y=0610.690-0620.010 | 155
P=0038 | X=0468.890-0485.530 | Y=0610.690-0620.010 | 670
P=0038 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 450
P=0038 | X=0113.090-0390.520 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0038 | X=0113.090-0339.380 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0038 | X=0252.580-0333.080 | Y=0655.630-0666.870 | Đường Nguyễn Ái
P=0038 | X=0346.680-0432.500 | Y=0655.630-0666.870 | Đường Cách Mạng
P=0038 | X=0093.140-0226.460 | Y=0661.390-0672.630 | 156 Đường Phan Đình Phùng
P=0038 | X=0460.730-0485.780 | Y=0663.270-0672.590 | 1.500
P=0038 | X=0505.390-0522.030 | Y=0663.270-0672.590 | 970
P=0038 | X=0252.580-0276.580 | Y=0669.030-0678.350 | Quốc
P=0038 | X=0346.680-0383.480 | Y=0669.030-0678.350 | Tháng 8
P=0038 | X=0113.090-0443.240 | Y=0684.910-0696.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Đình Phùng
P=0038 | X=0093.140-0439.930 | Y=0696.430-0707.670 | 157 đoạn từ Đường Nguyễn Ái Quốc đến Đường Cách Mạng Tháng 8 có hiện
P=0038 | X=0460.730-0485.780 | Y=0698.310-0707.630 | 1.030
P=0038 | X=0505.390-0522.030 | Y=0698.310-0707.630 | 680
P=0038 | X=0113.090-0284.870 | Y=0707.970-0719.210 | trạng là đường nhựa, bê tông xi măng:
P=0039 | X=0113.090-0336.010 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0039 | X=0113.090-0390.280 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0039 | X=0113.090-0443.240 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Đình Phùng
P=0039 | X=0113.090-0439.930 | Y=0125.330-0136.570 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Cách Mạng Tháng 8 có hiện
P=0039 | X=0113.090-0284.870 | Y=0136.850-0148.090 | trạng là đường nhựa, bê tông xi măng:
P=0039 | X=0093.140-0336.260 | Y=0154.370-0168.450 | 158 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0039 | X=0468.890-0485.530 | Y=0159.130-0168.450 | 860
P=0039 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 570
P=0039 | X=0113.090-0419.510 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0039 | X=0113.090-0146.610 | Y=0183.170-0194.410 | ≤600m.
P=0039 | X=0113.090-0336.260 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0039 | X=0113.090-0443.240 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan Đình Phùng
P=0039 | X=0113.090-0439.930 | Y=0229.990-0241.230 | đoạn từ Đường Nguyễn Ái Quốc đến Đường Cách Mạng Tháng 8 có hiện
P=0039 | X=0113.090-0284.870 | Y=0241.510-0252.750 | trạng là đường nhựa, bê tông xi măng:
P=0039 | X=0093.140-0109.780 | Y=0249.390-0258.710 | 159
P=0039 | X=0468.890-0485.530 | Y=0249.390-0258.710 | 670
P=0039 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 450
P=0039 | X=0113.090-0390.520 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0039 | X=0113.090-0336.730 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0039 | X=0113.090-0432.730 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0039 | X=0113.090-0447.140 | Y=0305.860-0317.100 | Phan Đình Phùng đoạn từ Đường Nguyễn Ái Quốc đến Đường Cách Mạng
P=0039 | X=0113.090-0359.290 | Y=0317.380-0328.620 | Tháng 8 có hiện trạng là đường nhựa, bê tông xi măng:
P=0039 | X=0093.140-0109.780 | Y=0325.260-0334.580 | 160
P=0039 | X=0460.730-0485.780 | Y=0325.260-0334.580 | 1.030
P=0039 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 680
P=0039 | X=0113.090-0336.000 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0039 | X=0113.090-0390.280 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0039 | X=0113.090-0432.730 | Y=0369.960-0381.200 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0039 | X=0113.090-0447.140 | Y=0381.480-0392.720 | Phan Đình Phùng đoạn từ Đường Nguyễn Ái Quốc đến Đường Cách Mạng
P=0039 | X=0113.090-0359.290 | Y=0393.000-0404.240 | Tháng 8 có hiện trạng là đường nhựa, bê tông xi măng:
P=0039 | X=0093.140-0336.260 | Y=0410.520-0424.840 | 161 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0039 | X=0468.890-0485.530 | Y=0415.520-0424.840 | 860
P=0039 | X=0505.390-0522.030 | Y=0415.520-0424.840 | 570
P=0039 | X=0113.090-0419.510 | Y=0428.040-0439.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0039 | X=0113.090-0146.610 | Y=0439.560-0450.800 | ≤600m.
P=0039 | X=0113.090-0336.260 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0039 | X=0113.090-0432.730 | Y=0474.860-0486.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0039 | X=0113.090-0447.140 | Y=0486.380-0497.620 | Phan Đình Phùng đoạn từ Đường Nguyễn Ái Quốc đến Đường Cách Mạng
P=0039 | X=0113.090-0359.290 | Y=0497.900-0509.140 | Tháng 8 có hiện trạng là đường nhựa, bê tông xi măng:
P=0039 | X=0093.140-0109.780 | Y=0505.780-0515.100 | 162
P=0039 | X=0468.890-0485.530 | Y=0505.780-0515.100 | 670
P=0039 | X=0505.390-0522.030 | Y=0505.780-0515.100 | 450
P=0039 | X=0113.090-0390.520 | Y=0515.420-0526.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0039 | X=0113.090-0339.380 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0039 | X=0252.580-0334.500 | Y=0550.490-0561.730 | Đường Phan Đình
P=0039 | X=0093.140-0227.680 | Y=0556.250-0567.490 | 163 Đường Hưng Đạo Vương
P=0039 | X=0346.680-0437.000 | Y=0556.250-0567.490 | Ngã năm Biên Hùng
P=0039 | X=0460.730-0485.780 | Y=0558.130-0567.450 | 1.500
P=0039 | X=0505.390-0522.030 | Y=0558.130-0567.450 | 970
P=0039 | X=0252.580-0281.470 | Y=0563.890-0573.210 | Phùng
P=0039 | X=0113.090-0444.460 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hưng Đạo Vương
P=0039 | X=0113.090-0447.610 | Y=0591.290-0602.530 | đoạn từ Đường Phan Đình Phùng đến Ngã năm Biên Hùng có hiện trạng là
P=0039 | X=0113.090-0248.860 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=0039 | X=0093.140-0109.780 | Y=0610.690-0620.010 | 164
P=0039 | X=0460.730-0485.780 | Y=0610.690-0620.010 | 1.030
P=0039 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 680
P=0039 | X=0113.090-0336.000 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0039 | X=0113.090-0390.300 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0039 | X=0113.090-0444.460 | Y=0655.630-0666.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hưng Đạo Vương
P=0039 | X=0113.090-0447.610 | Y=0667.150-0678.390 | đoạn từ Đường Phan Đình Phùng đến Ngã năm Biên Hùng có hiện trạng là
P=0039 | X=0093.140-0248.860 | Y=0677.670-0689.910 | 165 đường nhựa, bê tông xi măng:
P=0039 | X=0468.890-0485.530 | Y=0677.670-0686.990 | 860
P=0039 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 570
P=0039 | X=0113.090-0336.260 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0040 | X=0113.090-0419.510 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0040 | X=0113.090-0146.610 | Y=0090.020-0101.260 | ≤600m.
