TABLE=067 | AREA=Xã Đồng Tâm | SECTION=agricultural | SEGMENTS=1
P=2031 | X=0112.610-0179.190 | Y=0259.750-0270.990 | trên địa bàn xã
P=2031 | X=0090.020-0169.140 | Y=0277.510-0288.750 | 68. Xã Đồng Phú
P=2031 | X=0293.160-0353.800 | Y=0295.540-0306.780 | Đoạn đường
P=2031 | X=0400.940-0417.330 | Y=0297.420-0306.740 | Giá
P=2031 | X=0434.330-0450.720 | Y=0297.420-0306.740 | Giá
P=2031 | X=0467.930-0484.320 | Y=0297.420-0306.740 | Giá
P=2031 | X=0499.390-0515.780 | Y=0303.180-0312.500 | Giá
P=2031 | X=0401.660-0416.780 | Y=0307.060-0318.300 | đất
P=2031 | X=0434.810-0449.930 | Y=0307.060-0318.300 | đất
P=2031 | X=0468.410-0483.530 | Y=0307.060-0318.300 | đất
P=2031 | X=0500.110-0515.230 | Y=0312.820-0324.060 | đất
P=2031 | X=0396.380-0486.790 | Y=0320.460-0329.780 | trồng trồng nuôi
P=2031 | X=0092.180-0214.480 | Y=0324.340-0335.580 | TT Tên đường giao thông
P=2031 | X=0495.790-0519.230 | Y=0326.220-0335.540 | rừng
P=2031 | X=0400.940-0417.580 | Y=0331.980-0341.300 | cây
P=2031 | X=0434.090-0488.730 | Y=0331.980-0341.300 | cây trồng
P=2031 | X=0267.940-0313.240 | Y=0333.220-0344.460 | Điểm đầu
P=2031 | X=0335.880-0383.820 | Y=0333.220-0344.460 | Điểm cuối
P=2031 | X=0498.910-0516.110 | Y=0337.740-0347.060 | sản
P=2031 | X=0401.900-0486.730 | Y=0343.500-0352.820 | lâu hàng thủy
P=2031 | X=0497.230-0517.870 | Y=0349.260-0358.580 | xuất
P=2031 | X=0398.780-0484.650 | Y=0353.140-0364.380 | năm năm sản
P=2031 | X=0327.240-0387.340 | Y=0371.400-0382.640 | Đường Tổ 99
P=2031 | X=0327.240-0384.750 | Y=0382.920-0394.160 | (Tân Phú cũ,
P=2031 | X=0254.500-0298.510 | Y=0384.800-0394.120 | Giáp ranh
P=2031 | X=0107.330-0246.790 | Y=0388.680-0399.920 | Đường Cách Mạng Tháng Tám
P=2031 | X=0254.500-0316.760 | Y=0394.200-0405.440 | phường Đồng
P=2031 | X=0327.240-0380.710 | Y=0394.200-0405.440 | hết ranh đất
P=2031 | X=0095.570-0101.170 | Y=0396.080-0405.400 | 1
P=2031 | X=0408.620-0425.260 | Y=0396.080-0405.400 | 448
P=2031 | X=0442.250-0458.890 | Y=0396.080-0405.400 | 358
P=2031 | X=0475.850-0492.490 | Y=0396.080-0405.400 | 251
P=2031 | X=0107.330-0179.570 | Y=0399.960-0411.200 | (đường ĐT 741)
P=2031 | X=0327.240-0377.420 | Y=0405.720-0416.960 | khu dân cư
P=2031 | X=0254.500-0274.270 | Y=0407.600-0416.920 | Xoài
P=2031 | X=0327.240-0352.680 | Y=0419.120-0428.440 | 17ha)
P=2031 | X=0254.500-0314.600 | Y=0435.240-0446.480 | Đường Tổ 99
P=2031 | X=0254.500-0312.010 | Y=0446.760-0458.000 | (Tân Phú cũ,
P=2031 | X=0107.330-0246.790 | Y=0452.540-0463.780 | Đường Cách Mạng Tháng Tám
P=2031 | X=0327.240-0382.390 | Y=0452.540-0463.780 | Hết ranh đất
P=2031 | X=0254.500-0307.970 | Y=0458.300-0469.540 | hết ranh đất
P=2031 | X=0095.570-0101.170 | Y=0460.180-0469.500 | 2
P=2031 | X=0408.620-0425.260 | Y=0460.180-0469.500 | 448
P=2031 | X=0442.250-0458.890 | Y=0460.180-0469.500 | 358
P=2031 | X=0475.850-0492.490 | Y=0460.180-0469.500 | 251
P=2031 | X=0107.330-0179.570 | Y=0464.060-0475.300 | (đường ĐT 741)
P=2031 | X=0327.240-0390.600 | Y=0465.940-0475.260 | Hạt Kiểm Lâm
P=2031 | X=0254.500-0304.680 | Y=0469.820-0481.060 | khu dân cư
P=2031 | X=0254.500-0279.940 | Y=0483.220-0492.540 | 17ha)
P=2031 | X=0327.240-0368.370 | Y=0499.340-0510.580 | Đầu ranh
P=2031 | X=0107.330-0390.200 | Y=0510.860-0522.100 | Đường Cách Mạng Tháng Tám Giáp ranh đất Trường Trung
P=2031 | X=0095.570-0101.170 | Y=0518.500-0527.820 | 3
P=2031 | X=0408.620-0425.260 | Y=0518.500-0527.820 | 448
P=2031 | X=0442.250-0458.890 | Y=0518.500-0527.820 | 358
P=2031 | X=0475.850-0492.490 | Y=0518.500-0527.820 | 251
P=2031 | X=0107.330-0179.570 | Y=0522.380-0533.620 | (đường ĐT 741)
P=2031 | X=0254.500-0392.380 | Y=0522.380-0533.620 | Hạt Kiểm Lâm học cơ sở Tân
P=2031 | X=0327.240-0358.510 | Y=0533.930-0545.170 | Phú cũ
P=2031 | X=0327.240-0381.820 | Y=0551.930-0563.170 | Đường Tổ 6
P=2031 | X=0254.500-0295.630 | Y=0557.690-0568.930 | Đầu ranh
P=2031 | X=0327.240-0384.750 | Y=0563.450-0574.690 | (Tân Phú cũ,
P=2031 | X=0107.330-0317.460 | Y=0569.210-0580.450 | Đường Cách Mạng Tháng Tám Trường Trung
P=2031 | X=0327.240-0387.350 | Y=0574.970-0586.210 | đường xuống
P=2031 | X=0095.570-0101.170 | Y=0576.850-0586.170 | 4
P=2031 | X=0408.620-0425.260 | Y=0576.850-0586.170 | 448
P=2031 | X=0442.250-0458.890 | Y=0576.850-0586.170 | 358
P=2031 | X=0475.850-0492.490 | Y=0576.850-0586.170 | 251
P=2031 | X=0107.330-0179.570 | Y=0580.490-0591.730 | (đường ĐT 741)
P=2031 | X=0254.500-0319.640 | Y=0580.490-0591.730 | học cơ sở Tân
P=2031 | X=0327.240-0372.440 | Y=0586.250-0597.490 | khu Trũng
P=2031 | X=0254.500-0285.770 | Y=0592.010-0603.250 | Phú cũ
P=2031 | X=0327.240-0369.960 | Y=0597.770-0609.010 | Đồng Ca)
P=2031 | X=0254.500-0309.080 | Y=0615.770-0627.010 | Đường Tổ 6
P=2031 | X=0254.500-0312.010 | Y=0627.310-0638.550 | (Tân Phú cũ,
P=2031 | X=0107.330-0246.790 | Y=0633.070-0644.310 | Đường Cách Mạng Tháng Tám
P=2031 | X=0327.240-0384.680 | Y=0634.950-0644.270 | Giáp ranh xã
P=2031 | X=0254.500-0314.610 | Y=0638.830-0650.070 | đường xuống
P=2031 | X=0095.570-0101.170 | Y=0640.710-0650.030 | 5
P=2031 | X=0408.620-0425.260 | Y=0640.710-0650.030 | 448
P=2031 | X=0442.250-0458.890 | Y=0640.710-0650.030 | 358
P=2031 | X=0475.850-0492.490 | Y=0640.710-0650.030 | 251
P=2031 | X=0107.330-0179.570 | Y=0644.590-0655.830 | (đường ĐT 741)
P=2031 | X=0327.240-0387.020 | Y=0644.590-0655.830 | Tân Tiến (cũ)
P=2031 | X=0254.500-0301.370 | Y=0650.350-0661.590 | Khu Trũng
P=2031 | X=0254.500-0297.220 | Y=0661.870-0673.110 | Đồng Ca)
P=2031 | X=0254.500-0311.960 | Y=0681.750-0691.070 | Giáp ranh thị
P=2031 | X=0327.240-0392.630 | Y=0681.750-0691.070 | Hết ranh Thửa
P=2031 | X=0095.570-0174.610 | Y=0691.390-0702.630 | 6 Đường ĐT 741
P=2031 | X=0327.240-0392.390 | Y=0691.390-0702.630 | đất số 74 là số
P=2031 | X=0254.500-0312.650 | Y=0693.270-0702.590 | trấn Tân Phú
P=2031 | X=0408.620-0425.260 | Y=0693.270-0702.590 | 252
P=2031 | X=0442.250-0458.890 | Y=0693.270-0702.590 | 202
P=2031 | X=0475.850-0492.490 | Y=0693.270-0702.590 | 161
P=2031 | X=0254.500-0271.780 | Y=0702.930-0714.170 | (cũ)
P=2031 | X=0327.240-0386.870 | Y=0702.930-0714.170 | 87, tờ bản đồ
P=2032 | X=0327.240-0357.080 | Y=0074.620-0083.940 | số 222
P=2032 | X=0327.240-0387.340 | Y=0090.740-0101.980 | Đường Tổ 33
P=2032 | X=0254.500-0325.400 | Y=0098.380-0107.700 | Giáp ranh Thửa
P=2032 | X=0327.240-0384.700 | Y=0102.260-0113.500 | (Thửa đất số
P=2032 | X=0254.500-0310.570 | Y=0108.020-0119.260 | đất số 74, tờ
P=2032 | X=0327.240-0392.390 | Y=0113.780-0125.020 | 192, tờ bản đồ
P=2032 | X=0254.500-0317.720 | Y=0119.570-0130.810 | bản đồ số 222
P=2032 | X=0327.240-0360.360 | Y=0127.210-0136.530 | số 222)
P=2032 | X=0095.570-0174.610 | Y=0133.970-0145.210 | 7 Đường ĐT 741
P=2032 | X=0408.620-0425.260 | Y=0135.850-0145.170 | 252
P=2032 | X=0442.250-0458.890 | Y=0135.850-0145.170 | 202
P=2032 | X=0475.850-0492.490 | Y=0135.850-0145.170 | 161
P=2032 | X=0254.500-0314.600 | Y=0137.090-0148.330 | Đường Tổ 32
P=2032 | X=0327.240-0384.230 | Y=0142.850-0154.090 | Đường tổ 28
P=2032 | X=0254.500-0311.960 | Y=0148.610-0159.850 | (Thửa đất số
P=2032 | X=0327.240-0381.340 | Y=0154.370-0165.610 | (thửa đất số
P=2032 | X=0254.500-0314.130 | Y=0160.130-0171.370 | 87, tờ bản đồ
P=2032 | X=0327.240-0392.390 | Y=0165.650-0176.890 | 318, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0173.290-0182.610 | số 222)
P=2032 | X=0327.240-0360.360 | Y=0179.050-0188.370 | số 222)
P=2032 | X=0254.500-0314.600 | Y=0195.170-0206.410 | Đường Tổ 33
P=2032 | X=0327.240-0387.340 | Y=0195.170-0206.410 | Đường Tổ 27
P=2032 | X=0254.500-0311.960 | Y=0206.710-0217.950 | (Thửa đất số
P=2032 | X=0327.240-0381.340 | Y=0206.710-0217.950 | (thửa đất số
P=2032 | X=0254.500-0319.650 | Y=0218.230-0229.470 | 206, tờ bản đồ
P=2032 | X=0327.240-0392.390 | Y=0218.230-0229.470 | 143, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0231.630-0240.950 | số 222)
P=2032 | X=0327.240-0360.360 | Y=0231.630-0240.950 | số 224)
P=2032 | X=0095.570-0174.610 | Y=0238.630-0249.870 | 8 Đường ĐT 741
P=2032 | X=0408.620-0425.260 | Y=0240.510-0249.830 | 252
P=2032 | X=0442.250-0458.890 | Y=0240.510-0249.830 | 202
P=2032 | X=0475.850-0492.490 | Y=0240.510-0249.830 | 161
P=2032 | X=0254.500-0314.600 | Y=0247.270-0258.510 | Đường Tổ 28
P=2032 | X=0327.240-0387.340 | Y=0247.270-0258.510 | Đường Tổ 22
P=2032 | X=0254.500-0311.960 | Y=0258.790-0270.030 | (Thửa đất số
P=2032 | X=0327.240-0381.340 | Y=0258.790-0270.030 | (thửa đất số
P=2032 | X=0254.500-0319.650 | Y=0270.310-0281.550 | 211, tờ bản đồ
P=2032 | X=0327.240-0392.390 | Y=0270.310-0281.550 | 147, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0283.740-0293.060 | số 222)
P=2032 | X=0327.240-0360.360 | Y=0283.740-0293.060 | số 224)
P=2032 | X=0327.240-0387.340 | Y=0299.860-0311.100 | Đường Tổ 23
P=2032 | X=0254.500-0314.600 | Y=0311.380-0322.620 | Đường Tổ 27
P=2032 | X=0327.240-0369.080 | Y=0313.260-0322.580 | (Hết ranh
P=2032 | X=0254.500-0311.960 | Y=0322.900-0334.140 | (Thửa đất số
P=2032 | X=0327.240-0381.340 | Y=0322.900-0334.140 | Thửa đất số
P=2032 | X=0254.500-0319.650 | Y=0334.180-0345.420 | 142, tờ bản đồ
P=2032 | X=0327.240-0392.390 | Y=0334.180-0345.420 | 256, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0347.580-0356.900 | số 224)
P=2032 | X=0327.240-0360.360 | Y=0347.580-0356.900 | số 224)
P=2032 | X=0095.570-0174.610 | Y=0354.580-0365.820 | 9 Đường ĐT 741
P=2032 | X=0408.620-0425.260 | Y=0356.460-0365.780 | 252
P=2032 | X=0442.250-0458.890 | Y=0356.460-0365.780 | 202
P=2032 | X=0475.850-0492.490 | Y=0356.460-0365.780 | 161
P=2032 | X=0254.500-0314.600 | Y=0363.220-0374.460 | Đường Tổ 22
P=2032 | X=0327.240-0387.340 | Y=0363.220-0374.460 | Đường Tổ 18
P=2032 | X=0254.500-0311.960 | Y=0374.760-0386.000 | (Thửa đất số
P=2032 | X=0327.240-0369.080 | Y=0376.640-0385.960 | (Hết ranh
P=2032 | X=0254.500-0319.650 | Y=0386.280-0397.520 | 395, tờ bản đồ
P=2032 | X=0327.240-0381.340 | Y=0386.280-0397.520 | Thửa đất số
P=2032 | X=0327.240-0392.390 | Y=0397.800-0409.040 | 424, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0399.680-0409.000 | số 224)
P=2032 | X=0327.240-0360.360 | Y=0411.200-0420.520 | số 224)
P=2032 | X=0254.500-0314.600 | Y=0427.320-0438.560 | Đường Tổ 23
P=2032 | X=0254.500-0311.960 | Y=0438.840-0450.080 | (Thửa đất số
P=2032 | X=0254.500-0319.650 | Y=0450.380-0461.620 | 388, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0463.780-0473.100 | số 224)
P=2032 | X=0327.240-0384.680 | Y=0466.660-0475.980 | Giáp ranh xã
P=2032 | X=0092.900-0174.610 | Y=0470.540-0481.780 | 10 Đường ĐT 741
P=2032 | X=0408.620-0425.260 | Y=0472.420-0481.740 | 252
P=2032 | X=0442.250-0458.890 | Y=0472.420-0481.740 | 202
P=2032 | X=0475.850-0492.490 | Y=0472.420-0481.740 | 161
P=2032 | X=0254.500-0384.140 | Y=0476.300-0490.660 | Đường Tổ 18 Tân Lập (cũ)
P=2032 | X=0254.500-0311.960 | Y=0490.940-0502.180 | (Thửa đất số
P=2032 | X=0254.500-0319.650 | Y=0502.220-0513.460 | 275, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0515.620-0524.940 | số 224)
P=2032 | X=0327.240-0373.660 | Y=0531.740-0542.980 | Đường Tổ
P=2032 | X=0327.240-0391.990 | Y=0543.290-0554.530 | 23B (Thửa đất
P=2032 | X=0327.240-0391.900 | Y=0556.690-0566.010 | số 158, tờ bản
P=2032 | X=0327.240-0374.310 | Y=0566.330-0577.570 | đồ số 234)
P=2032 | X=0254.500-0311.940 | Y=0568.210-0577.530 | Giáp ranh xã
P=2032 | X=0092.900-0174.610 | Y=0572.090-0583.330 | 11 Đường ĐT 741
P=2032 | X=0408.620-0425.260 | Y=0573.970-0583.290 | 252
P=2032 | X=0442.250-0458.890 | Y=0573.970-0583.290 | 202
P=2032 | X=0475.850-0492.490 | Y=0573.970-0583.290 | 161
P=2032 | X=0511.150-0522.270 | Y=0573.970-0583.290 | 54
P=2032 | X=0254.500-0311.380 | Y=0577.850-0589.090 | Tân Lập (cũ)
P=2032 | X=0327.240-0390.150 | Y=0577.850-0589.090 | Đường lộ 26B
P=2032 | X=0327.240-0384.700 | Y=0589.370-0600.610 | (Thửa đất số
P=2032 | X=0327.240-0392.390 | Y=0600.890-0612.130 | 113, tờ bản đồ
P=2032 | X=0327.240-0360.360 | Y=0614.290-0623.610 | số 234)
P=2032 | X=0254.500-0381.820 | Y=0630.430-0641.670 | Đường Tổ 23B Đường Tổ 9
P=2032 | X=0254.500-0311.960 | Y=0641.950-0653.190 | (Thửa đất số
P=2032 | X=0327.240-0384.700 | Y=0641.950-0653.190 | (Thửa đất số
P=2032 | X=0092.900-0174.610 | Y=0647.710-0658.950 | 12 Đường ĐT 741
P=2032 | X=0408.620-0425.260 | Y=0649.590-0658.910 | 252
P=2032 | X=0442.250-0458.890 | Y=0649.590-0658.910 | 202
P=2032 | X=0475.850-0492.490 | Y=0649.590-0658.910 | 161
P=2032 | X=0511.150-0522.270 | Y=0649.590-0658.910 | 54
P=2032 | X=0254.500-0386.870 | Y=0653.470-0664.710 | 181, tờ bản đồ 54, tờ bản đồ
P=2032 | X=0254.500-0287.620 | Y=0666.630-0675.950 | số 234)
P=2032 | X=0327.240-0360.360 | Y=0666.630-0675.950 | số 243)
P=2032 | X=0254.500-0309.080 | Y=0682.750-0693.990 | Đường Tổ 9
P=2032 | X=0327.240-0391.400 | Y=0684.630-0693.950 | Tiếp giáp ranh
P=2032 | X=0092.900-0174.610 | Y=0694.270-0705.510 | 13 Đường ĐT 741
P=2032 | X=0254.500-0311.960 | Y=0694.270-0705.510 | (Thửa đất số
P=2032 | X=0327.240-0381.340 | Y=0694.270-0705.510 | Thửa đất số
P=2032 | X=0408.620-0425.260 | Y=0696.150-0705.470 | 252
P=2032 | X=0442.250-0458.890 | Y=0696.150-0705.470 | 202
P=2032 | X=0475.850-0492.490 | Y=0696.150-0705.470 | 161
P=2032 | X=0511.150-0522.270 | Y=0696.150-0705.470 | 54
P=2032 | X=0254.500-0314.130 | Y=0705.810-0717.050 | 17, tờ bản đồ
P=2032 | X=0327.240-0386.870 | Y=0705.810-0717.050 | 98, tờ bản đồ
P=2033 | X=0254.500-0287.620 | Y=0074.620-0083.940 | số 242)
P=2033 | X=0327.240-0360.360 | Y=0074.620-0083.940 | số 188)
P=2033 | X=0254.500-0371.240 | Y=0090.740-0101.980 | Thửa đất số 98, Giáp ranh
P=2033 | X=0092.900-0174.610 | Y=0102.260-0113.500 | 14 Đường ĐT 741
P=2033 | X=0254.500-0310.520 | Y=0102.260-0113.500 | tờ bản đồ số
P=2033 | X=0327.240-0390.700 | Y=0104.140-0113.460 | Thành phố Hồ
P=2033 | X=0408.620-0425.260 | Y=0104.140-0113.460 | 252
P=2033 | X=0442.250-0458.890 | Y=0104.140-0113.460 | 202
P=2033 | X=0475.850-0492.490 | Y=0104.140-0113.460 | 161
P=2033 | X=0511.150-0522.270 | Y=0104.140-0113.460 | 54
P=2033 | X=0254.500-0274.420 | Y=0115.660-0124.980 | 188)
P=2033 | X=0327.240-0367.390 | Y=0115.660-0124.980 | Chí Minh
P=2033 | X=0092.900-0240.150 | Y=0131.810-0143.050 | 15 Đường Nguyễn Thị Minh Khai
P=2033 | X=0254.500-0304.760 | Y=0133.690-0143.010 | Toàn tuyến
P=2033 | X=0408.620-0425.260 | Y=0133.690-0143.010 | 266
P=2033 | X=0442.250-0458.890 | Y=0133.690-0143.010 | 213
P=2033 | X=0475.850-0492.490 | Y=0133.690-0143.010 | 170
P=2033 | X=0092.900-0207.970 | Y=0149.810-0161.050 | 16 Đường Mai Thúc Loan
P=2033 | X=0254.500-0304.760 | Y=0151.690-0161.010 | Toàn tuyến
P=2033 | X=0408.620-0425.260 | Y=0151.690-0161.010 | 266
P=2033 | X=0442.250-0458.890 | Y=0151.690-0161.010 | 213
P=2033 | X=0475.850-0492.490 | Y=0151.690-0161.010 | 170
P=2033 | X=0092.900-0216.390 | Y=0167.810-0179.050 | 17 Đường Nguyễn Thị Định
P=2033 | X=0254.500-0304.760 | Y=0169.690-0179.010 | Toàn tuyến
P=2033 | X=0408.620-0425.260 | Y=0169.690-0179.010 | 266
P=2033 | X=0442.250-0458.890 | Y=0169.690-0179.010 | 213
P=2033 | X=0475.850-0492.490 | Y=0169.690-0179.010 | 170
P=2033 | X=0092.900-0224.790 | Y=0185.810-0197.050 | 18 Đường Nguyễn Tất Thành
P=2033 | X=0254.500-0304.760 | Y=0187.690-0197.010 | Toàn tuyến
P=2033 | X=0408.620-0425.260 | Y=0187.690-0197.010 | 266
P=2033 | X=0442.250-0458.890 | Y=0187.690-0197.010 | 213
P=2033 | X=0475.850-0492.490 | Y=0187.690-0197.010 | 170
P=2033 | X=0254.500-0317.460 | Y=0205.710-0215.030 | Giáp ranh khu
P=2033 | X=0327.240-0387.340 | Y=0209.590-0220.830 | Đường Tổ 29
P=2033 | X=0092.900-0204.150 | Y=0215.350-0226.590 | 19 Đường Phú Riềng Đỏ
P=2033 | X=0254.500-0309.080 | Y=0217.230-0226.550 | công nghiệp
P=2033 | X=0408.620-0425.260 | Y=0217.230-0226.550 | 448
P=2033 | X=0442.250-0458.890 | Y=0217.230-0226.550 | 358
P=2033 | X=0475.850-0492.490 | Y=0217.230-0226.550 | 215
P=2033 | X=0327.240-0385.300 | Y=0221.110-0232.350 | (Tân Phú cũ)
P=2033 | X=0254.500-0319.140 | Y=0226.870-0238.110 | Bắc Đồng Phú
P=2033 | X=0327.240-0359.000 | Y=0244.870-0256.110 | Đường
P=2033 | X=0254.500-0314.600 | Y=0250.630-0261.870 | Đường Tổ 29
P=2033 | X=0092.900-0204.150 | Y=0256.390-0267.630 | 20 Đường Phú Riềng Đỏ
P=2033 | X=0327.240-0382.300 | Y=0256.390-0267.630 | Nguyễn Văn
P=2033 | X=0408.620-0425.260 | Y=0258.270-0267.590 | 448
P=2033 | X=0442.250-0458.890 | Y=0258.270-0267.590 | 358
P=2033 | X=0475.850-0492.490 | Y=0258.270-0267.590 | 215
P=2033 | X=0254.500-0312.560 | Y=0261.910-0273.150 | (Tân Phú cũ)
P=2033 | X=0327.240-0346.280 | Y=0269.550-0278.870 | Linh
P=2033 | X=0107.330-0188.550 | Y=0285.700-0296.940 | Đường Phú Riềng
P=2033 | X=0254.500-0323.480 | Y=0288.820-0300.060 | Đường Nguyễn
P=2033 | X=0327.240-0390.480 | Y=0294.580-0305.820 | Đường Âu Cơ
P=2033 | X=0092.900-0104.020 | Y=0296.460-0305.780 | 21
P=2033 | X=0408.620-0425.260 | Y=0296.460-0305.780 | 448
P=2033 | X=0442.250-0458.890 | Y=0296.460-0305.780 | 358
P=2033 | X=0475.850-0492.490 | Y=0296.460-0305.780 | 215
P=2033 | X=0254.500-0294.170 | Y=0300.340-0311.580 | Văn Linh
P=2033 | X=0107.330-0120.130 | Y=0303.220-0314.460 | Đỏ
P=2033 | X=0327.240-0387.740 | Y=0321.220-0332.460 | Đường Phạm
P=2033 | X=0092.900-0204.150 | Y=0326.980-0338.220 | 22 Đường Phú Riềng Đỏ
P=2033 | X=0254.500-0317.740 | Y=0326.980-0338.220 | Đường Âu Cơ
P=2033 | X=0408.620-0425.260 | Y=0328.860-0338.180 | 448
P=2033 | X=0442.250-0458.890 | Y=0328.860-0338.180 | 358
P=2033 | X=0475.850-0492.490 | Y=0328.860-0338.180 | 215
P=2033 | X=0327.240-0381.340 | Y=0334.620-0343.940 | Ngọc Thạch
P=2033 | X=0254.500-0315.000 | Y=0350.740-0361.980 | Đường Phạm
P=2033 | X=0327.240-0384.680 | Y=0352.620-0361.940 | Giáp ranh xã
P=2033 | X=0092.900-0204.150 | Y=0356.500-0367.740 | 23 Đường Phú Riềng Đỏ
P=2033 | X=0408.620-0425.260 | Y=0358.380-0367.700 | 448
P=2033 | X=0442.250-0458.890 | Y=0358.380-0367.700 | 358
P=2033 | X=0475.850-0492.490 | Y=0358.380-0367.700 | 215
P=2033 | X=0327.240-0380.380 | Y=0362.260-0373.500 | Tân Tiến cũ
P=2033 | X=0254.500-0308.600 | Y=0364.140-0373.460 | Ngọc Thạch
P=2033 | X=0092.900-0191.920 | Y=0380.280-0391.520 | 24 Đường Lý Nam Đế
P=2033 | X=0254.500-0304.760 | Y=0382.160-0391.480 | Toàn tuyến
P=2033 | X=0408.620-0425.260 | Y=0382.160-0391.480 | 266
P=2033 | X=0442.250-0458.890 | Y=0382.160-0391.480 | 213
P=2033 | X=0475.850-0492.490 | Y=0382.160-0391.480 | 170
P=2033 | X=0254.500-0306.420 | Y=0398.280-0409.520 | Đường Tôn
P=2033 | X=0327.240-0379.640 | Y=0398.280-0409.520 | Đường Phú
P=2033 | X=0092.900-0218.800 | Y=0404.040-0415.280 | 25 Đường Nguyễn Hữu Thọ
P=2033 | X=0408.620-0425.260 | Y=0405.920-0415.240 | 266
P=2033 | X=0442.250-0458.890 | Y=0405.920-0415.240 | 213
P=2033 | X=0475.850-0492.490 | Y=0405.920-0415.240 | 170
P=2033 | X=0254.500-0304.760 | Y=0409.800-0421.040 | Đức Thắng
P=2033 | X=0327.240-0369.100 | Y=0409.800-0421.040 | Riềng Đỏ
P=2033 | X=0327.240-0385.170 | Y=0427.800-0439.040 | Đường Cách
P=2033 | X=0254.500-0306.900 | Y=0439.320-0450.560 | Đường Phú
P=2033 | X=0327.240-0383.490 | Y=0441.200-0450.520 | Mạng Tháng
P=2033 | X=0092.900-0218.800 | Y=0445.080-0456.320 | 26 Đường Nguyễn Hữu Thọ
P=2033 | X=0408.620-0425.260 | Y=0446.960-0456.280 | 266
P=2033 | X=0442.250-0458.890 | Y=0446.960-0456.280 | 213
P=2033 | X=0475.850-0492.490 | Y=0446.960-0456.280 | 170
P=2033 | X=0254.500-0296.360 | Y=0450.860-0462.100 | Riềng Đỏ
P=2033 | X=0327.240-0385.180 | Y=0450.860-0462.100 | Tám (Đường
P=2033 | X=0327.240-0363.470 | Y=0462.380-0473.620 | ĐT 741)
P=2033 | X=0254.500-0312.430 | Y=0480.380-0491.620 | Đường Cách
P=2033 | X=0327.240-0385.650 | Y=0491.900-0503.140 | Đường Hùng
P=2033 | X=0254.500-0310.750 | Y=0493.780-0503.100 | Mạng Tháng
P=2033 | X=0092.900-0218.800 | Y=0497.660-0508.900 | 27 Đường Nguyễn Hữu Thọ
P=2033 | X=0408.620-0425.260 | Y=0499.540-0508.860 | 266
P=2033 | X=0442.250-0458.890 | Y=0499.540-0508.860 | 213
P=2033 | X=0475.850-0492.490 | Y=0499.540-0508.860 | 170
P=2033 | X=0254.500-0358.520 | Y=0503.420-0514.660 | Tám (đường ĐT Vương
P=2033 | X=0254.500-0274.420 | Y=0516.820-0526.140 | 741)
P=2033 | X=0254.500-0306.420 | Y=0532.970-0544.210 | Đường Tôn
P=2033 | X=0327.240-0379.640 | Y=0532.970-0544.210 | Đường Phú
P=2033 | X=0092.900-0218.540 | Y=0538.490-0549.730 | 28 Đường Nguyễn Văn Linh
P=2033 | X=0408.620-0425.260 | Y=0540.370-0549.690 | 266
P=2033 | X=0442.250-0458.890 | Y=0540.370-0549.690 | 213
P=2033 | X=0475.850-0492.490 | Y=0540.370-0549.690 | 170
P=2033 | X=0254.500-0304.760 | Y=0544.250-0555.490 | Đức Thắng
P=2033 | X=0327.240-0369.100 | Y=0544.250-0555.490 | Riềng Đỏ
P=2033 | X=0327.240-0385.170 | Y=0562.250-0573.490 | Đường Cách
P=2033 | X=0254.500-0306.900 | Y=0573.770-0585.010 | Đường Phú
P=2033 | X=0327.240-0383.490 | Y=0575.650-0584.970 | Mạng Tháng
P=2033 | X=0092.900-0218.540 | Y=0579.530-0590.770 | 29 Đường Nguyễn Văn Linh
P=2033 | X=0408.620-0425.260 | Y=0581.410-0590.730 | 266
P=2033 | X=0442.250-0458.890 | Y=0581.410-0590.730 | 213
P=2033 | X=0475.850-0492.490 | Y=0581.410-0590.730 | 170
P=2033 | X=0254.500-0296.360 | Y=0585.290-0596.530 | Riềng Đỏ
P=2033 | X=0327.240-0383.500 | Y=0585.290-0596.530 | Tám (đường
P=2033 | X=0327.240-0363.470 | Y=0596.810-0608.050 | ĐT 741)
P=2033 | X=0254.500-0312.430 | Y=0614.810-0626.050 | Đường Cách
P=2033 | X=0327.240-0385.650 | Y=0626.350-0637.590 | Đường Hùng
P=2033 | X=0254.500-0310.750 | Y=0628.230-0637.550 | Mạng Tháng
P=2033 | X=0092.900-0218.540 | Y=0632.110-0643.350 | 30 Đường Nguyễn Văn Linh
P=2033 | X=0408.620-0425.260 | Y=0633.990-0643.310 | 266
P=2033 | X=0442.250-0458.890 | Y=0633.990-0643.310 | 213
P=2033 | X=0475.850-0492.490 | Y=0633.990-0643.310 | 170
P=2033 | X=0254.500-0358.520 | Y=0637.870-0649.110 | Tám (đường ĐT Vương
P=2033 | X=0254.500-0274.420 | Y=0651.270-0660.590 | 741)
P=2033 | X=0254.500-0306.420 | Y=0667.390-0678.630 | Đường Tôn
