TABLE=036 | AREA=Xã An Viễn | SECTION=agricultural | SEGMENTS=2
P=1236 | X=0117.170-0288.950 | Y=0694.750-0705.990 | trạng là đường nhựa, bê tông xi măng:
P=1237 | X=0117.170-0402.980 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1237 | X=0117.170-0340.810 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1237 | X=0117.170-0402.430 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1237 | X=0117.170-0395.970 | Y=0125.330-0136.570 | Đường ấp 5 - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp sông
P=1237 | X=0117.170-0408.940 | Y=0136.850-0148.090 | Buông trừ đoạn từ đường vào khu công nghiệp Giang Điền về hai
P=1237 | X=0097.970-0373.930 | Y=0148.370-0159.810 | 54 phía 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1237 | X=0453.050-0469.690 | Y=0150.490-0159.810 | 450
P=1237 | X=0505.390-0522.030 | Y=0150.490-0159.810 | 410
P=1237 | X=0117.170-0348.260 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1237 | X=0117.170-0394.360 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1237 | X=0117.170-0402.430 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1237 | X=0117.170-0395.970 | Y=0212.470-0223.710 | Đường ấp 5 - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp sông
P=1237 | X=0117.170-0408.940 | Y=0223.990-0235.230 | Buông trừ đoạn từ đường vào khu công nghiệp Giang Điền về hai
P=1237 | X=0117.170-0373.930 | Y=0235.510-0246.750 | phía 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1237 | X=0097.970-0348.720 | Y=0252.270-0264.270 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1237 | X=0453.050-0469.690 | Y=0252.270-0261.590 | 350
P=1237 | X=0505.390-0522.030 | Y=0252.270-0261.590 | 310
P=1237 | X=0117.170-0404.060 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1237 | X=0117.170-0178.290 | Y=0282.100-0293.340 | đến ≤1.000m.
P=1237 | X=0117.170-0340.340 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1237 | X=0117.170-0402.430 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1237 | X=0117.170-0395.970 | Y=0328.900-0340.140 | Đường ấp 5 - ấp 6 đoạn từ Đường Mai Chí Thọ đến Giáp sông
P=1237 | X=0117.170-0408.940 | Y=0340.420-0351.660 | Buông trừ đoạn từ đường vào khu công nghiệp Giang Điền về hai
P=1237 | X=0097.970-0373.930 | Y=0351.700-0363.140 | 56 phía 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1237 | X=0453.050-0469.690 | Y=0353.820-0363.140 | 230
P=1237 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 220
P=1237 | X=0117.170-0402.980 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1237 | X=0117.170-0340.810 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1237 | X=0097.970-0207.520 | Y=0404.520-0415.760 | 57 Đường liên ấp 2-3-4
P=1237 | X=0223.030-0277.140 | Y=0404.520-0415.760 | Đường ấp 2
P=1237 | X=0315.240-0405.100 | Y=0406.400-0415.720 | Hết ranh xã An Viễn
P=1237 | X=0453.050-0469.690 | Y=0406.400-0415.720 | 670
P=1237 | X=0505.390-0522.030 | Y=0406.400-0415.720 | 600
P=1237 | X=0117.170-0409.580 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên ấp 2-
P=1237 | X=0117.170-0408.690 | Y=0433.800-0445.040 | 3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn có hiện trạng là
P=1237 | X=0117.170-0252.940 | Y=0445.320-0456.560 | đường nhựa, bê tông xi măng:
P=1237 | X=0097.970-0109.090 | Y=0453.220-0462.540 | 58
P=1237 | X=0453.050-0469.690 | Y=0453.220-0462.540 | 450
P=1237 | X=0505.390-0522.030 | Y=0453.220-0462.540 | 410
P=1237 | X=0117.170-0348.250 | Y=0462.860-0474.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1237 | X=0117.170-0382.080 | Y=0480.380-0491.620 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1237 | X=0117.170-0409.580 | Y=0498.140-0509.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên ấp 2-
P=1237 | X=0117.170-0408.690 | Y=0509.660-0520.900 | 3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn có hiện trạng là
P=1237 | X=0117.170-0252.940 | Y=0521.180-0532.420 | đường nhựa, bê tông xi măng:
P=1237 | X=0097.970-0348.720 | Y=0538.490-0552.810 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1237 | X=0453.050-0469.690 | Y=0543.490-0552.810 | 350
P=1237 | X=0505.390-0522.030 | Y=0543.490-0552.810 | 310
P=1237 | X=0117.170-0404.060 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1237 | X=0117.170-0178.290 | Y=0567.530-0578.770 | đến ≤1.000m.
P=1237 | X=0117.170-0340.340 | Y=0585.050-0596.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1237 | X=0117.170-0409.580 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên ấp 2-
P=1237 | X=0117.170-0408.690 | Y=0614.330-0625.570 | 3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn có hiện trạng là
P=1237 | X=0117.170-0252.940 | Y=0625.870-0637.110 | đường nhựa, bê tông xi măng:
P=1237 | X=0097.970-0109.090 | Y=0633.750-0643.070 | 60
P=1237 | X=0453.050-0469.690 | Y=0633.750-0643.070 | 230
P=1237 | X=0505.390-0522.030 | Y=0633.750-0643.070 | 220
P=1237 | X=0117.170-0402.980 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1237 | X=0117.170-0340.820 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1237 | X=0117.170-0402.430 | Y=0678.670-0689.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1237 | X=0097.970-0413.030 | Y=0690.190-0701.430 | 61 Đường liên ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn
P=1237 | X=0453.050-0469.690 | Y=0692.070-0701.390 | 450
P=1237 | X=0505.390-0522.030 | Y=0692.070-0701.390 | 410
P=1237 | X=0117.170-0324.020 | Y=0701.730-0712.970 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0117.170-0348.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1238 | X=0117.170-0394.360 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1238 | X=0117.170-0402.430 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1238 | X=0117.170-0413.030 | Y=0125.330-0136.570 | Đường liên ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn
P=1238 | X=0117.170-0324.020 | Y=0136.850-0148.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0097.970-0348.720 | Y=0154.370-0168.450 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1238 | X=0453.050-0469.690 | Y=0159.130-0168.450 | 350
P=1238 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 310
P=1238 | X=0117.170-0404.060 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1238 | X=0117.170-0178.290 | Y=0183.170-0194.410 | đến ≤1.000m.
P=1238 | X=0117.170-0340.340 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1238 | X=0117.170-0402.430 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1238 | X=0117.170-0413.030 | Y=0229.990-0241.230 | Đường liên ấp 2-3-4 đoạn từ Đường ấp 2 đến Hết ranh xã An Viễn
P=1238 | X=0117.170-0324.020 | Y=0241.510-0252.750 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0097.970-0109.090 | Y=0249.390-0258.710 | 63
P=1238 | X=0453.050-0469.690 | Y=0249.390-0258.710 | 230
P=1238 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 220
P=1238 | X=0117.170-0402.980 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1238 | X=0117.170-0340.810 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1238 | X=0223.030-0293.230 | Y=0294.340-0305.580 | Đường tỉnh 777
P=1238 | X=0097.970-0171.250 | Y=0305.860-0317.100 | 64 Đường ấp 2
P=1238 | X=0223.030-0405.590 | Y=0305.860-0317.100 | (đường Trảng Bom - Đường liên ấp 2-3-4
P=1238 | X=0453.050-0469.690 | Y=0307.740-0317.060 | 670
P=1238 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 600
P=1238 | X=0223.030-0279.680 | Y=0319.260-0328.580 | Long Thành)
P=1238 | X=0117.170-0412.780 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2 đoạn
P=1238 | X=0117.170-0407.270 | Y=0346.660-0357.900 | từ Đường tỉnh 777 (đường Trảng Bom - Long Thành) đến Đường
P=1238 | X=0117.170-0382.130 | Y=0357.940-0369.180 | liên ấp 2-3-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0097.970-0109.090 | Y=0365.820-0375.140 | 65
P=1238 | X=0453.050-0469.690 | Y=0365.820-0375.140 | 450
P=1238 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 410
P=1238 | X=0117.170-0348.280 | Y=0375.480-0386.720 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1238 | X=0117.170-0382.080 | Y=0393.000-0404.240 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1238 | X=0117.170-0412.780 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2 đoạn
P=1238 | X=0117.170-0407.270 | Y=0422.280-0433.520 | từ Đường tỉnh 777 (đường Trảng Bom - Long Thành) đến Đường
P=1238 | X=0117.170-0382.150 | Y=0433.800-0445.040 | liên ấp 2-3-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0097.970-0348.720 | Y=0451.340-0465.420 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1238 | X=0453.050-0469.690 | Y=0456.100-0465.420 | 350
P=1238 | X=0505.390-0522.030 | Y=0456.100-0465.420 | 310
P=1238 | X=0117.170-0404.060 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1238 | X=0117.170-0178.290 | Y=0480.380-0491.620 | đến ≤1.000m.
P=1238 | X=0117.170-0340.340 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1238 | X=0117.170-0412.780 | Y=0515.660-0526.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2 đoạn
P=1238 | X=0117.170-0407.270 | Y=0527.180-0538.420 | từ Đường tỉnh 777 (đường Trảng Bom - Long Thành) đến Đường
P=1238 | X=0117.170-0382.130 | Y=0538.490-0549.730 | liên ấp 2-3-4 có hiện trạng là đường nhựa, bê tông xi măng:
P=1238 | X=0097.970-0109.090 | Y=0546.370-0555.690 | 67
P=1238 | X=0453.050-0469.690 | Y=0546.370-0555.690 | 230
P=1238 | X=0505.390-0522.030 | Y=0546.370-0555.690 | 220
P=1238 | X=0117.170-0402.980 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1238 | X=0117.170-0340.810 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1238 | X=0117.170-0402.430 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1238 | X=0117.170-0400.780 | Y=0602.810-0614.050 | Đường ấp 2 đoạn từ Đường tỉnh 777 (đường Trảng Bom - Long
P=1238 | X=0117.170-0407.980 | Y=0614.330-0625.570 | Thành) đến Đường liên ấp 2-3-4 có hiện trạng là đường nhựa, bê
P=1238 | X=0097.970-0177.330 | Y=0625.870-0637.310 | 68 tông xi măng:
P=1238 | X=0453.050-0469.690 | Y=0627.990-0637.310 | 450
P=1238 | X=0505.390-0522.030 | Y=0627.990-0637.310 | 410
P=1238 | X=0117.170-0348.250 | Y=0643.390-0654.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1238 | X=0117.170-0394.360 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1238 | X=0117.170-0402.430 | Y=0678.670-0689.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1238 | X=0097.970-0400.780 | Y=0690.190-0701.430 | 69 Đường ấp 2 đoạn từ Đường tỉnh 777 (đường Trảng Bom - Long
P=1238 | X=0453.050-0469.690 | Y=0692.070-0701.390 | 350
P=1238 | X=0505.390-0522.030 | Y=0692.070-0701.390 | 310
P=1238 | X=0117.170-0407.980 | Y=0701.730-0712.970 | Thành) đến Đường liên ấp 2-3-4 có hiện trạng là đường nhựa, bê
P=1239 | X=0117.170-0177.330 | Y=0072.500-0083.740 | tông xi măng:
P=1239 | X=0117.170-0348.720 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1239 | X=0117.170-0404.060 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1239 | X=0117.170-0178.290 | Y=0119.090-0130.330 | đến ≤1.000m.
P=1239 | X=0117.170-0340.340 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1239 | X=0117.170-0402.430 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1239 | X=0117.170-0400.780 | Y=0165.650-0176.890 | Đường ấp 2 đoạn từ Đường tỉnh 777 (đường Trảng Bom - Long
P=1239 | X=0117.170-0407.980 | Y=0177.170-0188.410 | Thành) đến Đường liên ấp 2-3-4 có hiện trạng là đường nhựa, bê
P=1239 | X=0097.970-0177.330 | Y=0188.690-0200.130 | 70 tông xi măng:
P=1239 | X=0453.050-0469.690 | Y=0190.810-0200.130 | 230
P=1239 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 220
P=1239 | X=0117.170-0402.980 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1239 | X=0117.170-0340.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1239 | X=0315.240-0403.160 | Y=0241.510-0252.750 | Đường lô cao su xã
P=1239 | X=0097.970-0171.250 | Y=0247.270-0258.510 | 71 Đường ấp 2
P=1239 | X=0223.030-0313.410 | Y=0247.270-0258.510 | Đường liên ấp 2-3-4
P=1239 | X=0453.050-0469.690 | Y=0249.150-0258.470 | 670
P=1239 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 600
P=1239 | X=0315.240-0350.600 | Y=0254.910-0264.230 | An Viễn
P=1239 | X=0117.170-0412.780 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2 đoạn
P=1239 | X=0117.170-0402.460 | Y=0282.340-0293.580 | từ Đường liên ấp 2-3-4 đến Đường lô cao su xã An Viễn có hiện
P=1239 | X=0117.170-0288.950 | Y=0293.860-0305.100 | trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0097.970-0109.090 | Y=0301.740-0311.060 | 72
P=1239 | X=0453.050-0469.690 | Y=0301.740-0311.060 | 450
P=1239 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 410
P=1239 | X=0117.170-0348.250 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1239 | X=0117.170-0382.080 | Y=0328.900-0340.140 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1239 | X=0117.170-0412.780 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2 đoạn
P=1239 | X=0117.170-0402.460 | Y=0357.940-0369.180 | từ Đường liên ấp 2-3-4 đến Đường lô cao su xã An Viễn có hiện
P=1239 | X=0117.170-0288.950 | Y=0369.480-0380.720 | trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0097.970-0348.720 | Y=0387.000-0401.320 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1239 | X=0453.050-0469.690 | Y=0392.000-0401.320 | 350
P=1239 | X=0505.390-0522.030 | Y=0392.000-0401.320 | 310
P=1239 | X=0117.170-0404.060 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1239 | X=0117.170-0178.290 | Y=0416.040-0427.280 | đến ≤1.000m.
P=1239 | X=0117.170-0340.340 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1239 | X=0117.170-0412.780 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 2 đoạn
P=1239 | X=0117.170-0402.460 | Y=0462.860-0474.100 | từ Đường liên ấp 2-3-4 đến Đường lô cao su xã An Viễn có hiện
P=1239 | X=0117.170-0288.950 | Y=0474.380-0485.620 | trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0097.970-0109.090 | Y=0482.260-0491.580 | 74
P=1239 | X=0453.050-0469.690 | Y=0482.260-0491.580 | 230
P=1239 | X=0505.390-0522.030 | Y=0482.260-0491.580 | 220
P=1239 | X=0117.170-0402.980 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1239 | X=0117.170-0340.810 | Y=0509.420-0520.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1239 | X=0117.170-0402.430 | Y=0527.180-0538.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1239 | X=0117.170-0411.320 | Y=0538.490-0549.730 | Đường ấp 2 đoạn từ Đường liên ấp 2-3-4 đến Đường lô cao su xã
P=1239 | X=0117.170-0361.930 | Y=0550.010-0561.250 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0097.970-0109.090 | Y=0557.890-0567.210 | 75
P=1239 | X=0453.050-0469.690 | Y=0557.890-0567.210 | 450
P=1239 | X=0505.390-0522.030 | Y=0557.890-0567.210 | 410
P=1239 | X=0117.170-0348.250 | Y=0567.530-0578.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1239 | X=0117.170-0394.360 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1239 | X=0117.170-0402.430 | Y=0602.810-0614.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1239 | X=0117.170-0411.320 | Y=0614.330-0625.570 | Đường ấp 2 đoạn từ Đường liên ấp 2-3-4 đến Đường lô cao su xã
P=1239 | X=0117.170-0361.930 | Y=0625.870-0637.110 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=1239 | X=0097.970-0348.720 | Y=0643.390-0657.470 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1239 | X=0453.050-0469.690 | Y=0648.150-0657.470 | 350
P=1239 | X=0505.390-0522.030 | Y=0648.150-0657.470 | 310
P=1239 | X=0117.170-0404.060 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1239 | X=0117.170-0178.290 | Y=0672.430-0683.670 | đến ≤1.000m.
P=1239 | X=0117.170-0340.340 | Y=0689.950-0701.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1239 | X=0097.970-0402.430 | Y=0707.730-0718.970 | 77 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1239 | X=0453.050-0469.690 | Y=0709.620-0718.940 | 230
P=1239 | X=0505.390-0522.030 | Y=0709.620-0718.940 | 220
P=1240 | X=0117.170-0411.320 | Y=0072.500-0083.740 | Đường ấp 2 đoạn từ Đường liên ấp 2-3-4 đến Đường lô cao su xã
P=1240 | X=0117.170-0361.960 | Y=0084.020-0095.260 | An Viễn có hiện trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0117.170-0402.980 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1240 | X=0117.170-0340.810 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1240 | X=0315.240-0393.910 | Y=0136.850-0148.090 | Bên phải, đến hết
P=1240 | X=0315.240-0408.220 | Y=0148.370-0159.610 | ranh thửa đất số 189
P=1240 | X=0315.240-0406.530 | Y=0159.650-0170.890 | tờ BĐĐC số 31; Bên
P=1240 | X=0097.970-0189.510 | Y=0165.410-0176.650 | 78 Đường Lê Duẩn
P=1240 | X=0223.030-0266.100 | Y=0167.290-0176.610 | Quốc lộ 1
P=1240 | X=0453.050-0469.690 | Y=0167.290-0176.610 | 700
P=1240 | X=0505.390-0522.030 | Y=0167.290-0176.610 | 630
P=1240 | X=0315.240-0390.940 | Y=0171.170-0182.410 | trái, đến hết ranh
P=1240 | X=0315.240-0400.360 | Y=0182.690-0193.930 | thửa đất số 784, tờ
P=1240 | X=0315.240-0370.780 | Y=0194.210-0205.450 | BĐĐC số 31
P=1240 | X=0117.170-0406.070 | Y=0211.990-0223.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=1240 | X=0117.170-0405.870 | Y=0223.510-0234.750 | đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 189 tờ
P=1240 | X=0117.170-0406.790 | Y=0235.030-0246.270 | BĐĐC số 31; Bên trái, đến hết ranh thửa đất số 784, tờ BĐĐC số
P=1240 | X=0097.970-0337.940 | Y=0246.550-0257.990 | 79 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0453.050-0469.690 | Y=0248.670-0257.990 | 480
P=1240 | X=0505.390-0522.030 | Y=0248.670-0257.990 | 430
P=1240 | X=0117.170-0348.250 | Y=0264.070-0275.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1240 | X=0117.170-0382.080 | Y=0281.620-0292.860 | - Có bề rộng ≥3m đến <5m, cách đường giao thông ≤500m.
P=1240 | X=0117.170-0406.070 | Y=0299.380-0310.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=1240 | X=0117.170-0405.870 | Y=0310.900-0322.140 | đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 189 tờ
P=1240 | X=0117.170-0406.790 | Y=0322.420-0333.660 | BĐĐC số 31; Bên trái, đến hết ranh thửa đất số 784, tờ BĐĐC số
P=1240 | X=0117.170-0337.940 | Y=0333.700-0344.940 | 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0097.970-0348.720 | Y=0350.460-0362.460 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1240 | X=0453.050-0469.690 | Y=0350.460-0359.780 | 370
P=1240 | X=0505.390-0522.030 | Y=0350.460-0359.780 | 330
P=1240 | X=0117.170-0404.060 | Y=0368.760-0380.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1240 | X=0117.170-0178.290 | Y=0380.280-0391.520 | đến ≤1.000m.
P=1240 | X=0117.170-0340.340 | Y=0397.800-0409.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1240 | X=0117.170-0406.070 | Y=0415.560-0426.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=1240 | X=0117.170-0405.870 | Y=0427.080-0438.320 | đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh thửa đất số 189 tờ
P=1240 | X=0117.170-0406.790 | Y=0438.600-0449.840 | BĐĐC số 31; Bên trái, đến hết ranh thửa đất số 784, tờ BĐĐC số
P=1240 | X=0097.970-0337.970 | Y=0450.140-0461.580 | 81 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=1240 | X=0453.050-0469.690 | Y=0452.260-0461.580 | 250
P=1240 | X=0505.390-0522.030 | Y=0452.260-0461.580 | 230
P=1240 | X=0117.170-0402.980 | Y=0467.660-0478.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1240 | X=0117.170-0340.810 | Y=0485.180-0496.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1240 | X=0117.170-0402.430 | Y=0502.940-0514.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1240 | X=0117.170-0395.740 | Y=0514.220-0525.460 | Đường Lê Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh
P=1240 | X=0117.170-0413.020 | Y=0525.740-0536.980 | thửa đất số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh thửa đất số
P=1240 | X=0117.170-0386.110 | Y=0537.290-0548.530 | 784, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi
P=1240 | X=0097.970-0109.090 | Y=0545.170-0554.490 | 82
P=1240 | X=0453.050-0469.690 | Y=0545.170-0554.490 | 480
P=1240 | X=0505.390-0522.030 | Y=0545.170-0554.490 | 430
P=1240 | X=0117.170-0145.170 | Y=0548.810-0560.050 | măng:
P=1240 | X=0117.170-0348.250 | Y=0566.330-0577.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1240 | X=0117.170-0394.360 | Y=0583.850-0595.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1240 | X=0117.170-0402.430 | Y=0601.610-0612.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1240 | X=0117.170-0395.740 | Y=0613.130-0624.370 | Đường Lê Duẩn đoạn từ Quốc lộ 1 đến Bên phải, đến hết ranh
P=1240 | X=0117.170-0413.020 | Y=0624.670-0635.910 | thửa đất số 189 tờ BĐĐC số 31; Bên trái, đến hết ranh thửa đất số
P=1240 | X=0117.170-0386.110 | Y=0636.190-0647.430 | 784, tờ BĐĐC số 31 có hiện trạng là đường nhựa, bê tông xi
P=1240 | X=0097.970-0145.170 | Y=0647.710-0659.150 | 83 măng:
P=1240 | X=0453.050-0469.690 | Y=0649.830-0659.150 | 370
P=1240 | X=0505.390-0522.030 | Y=0649.830-0659.150 | 330
P=1240 | X=0117.170-0348.720 | Y=0665.230-0676.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1240 | X=0117.170-0404.060 | Y=0682.510-0693.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1240 | X=0117.170-0178.290 | Y=0694.030-0705.270 | đến ≤1.000m.
