TABLE=027 | AREA=Xã Xuân Bắc | SECTION=agricultural | SEGMENTS=1
P=0941 | X=0095.060-0318.020 | Y=0677.670-0689.910 | 31 có hiện trạng là đường nhựa, bê tông xi măng:
P=0941 | X=0458.090-0474.730 | Y=0677.670-0686.990 | 260
P=0941 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 150
P=0941 | X=0111.170-0342.720 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0942 | X=0111.170-0417.590 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0942 | X=0111.170-0152.850 | Y=0090.020-0101.260 | ≤1.000m.
P=0942 | X=0111.170-0334.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0942 | X=0111.170-0411.740 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bắc -
P=0942 | X=0111.170-0423.340 | Y=0136.850-0148.090 | Long Khánh đoạn từ Đường tỉnh 763 đến Giáp ranh phường Bảo Vinh
P=0942 | X=0111.170-0318.020 | Y=0148.370-0159.610 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0942 | X=0095.060-0106.180 | Y=0156.250-0165.570 | 32
P=0942 | X=0458.090-0474.730 | Y=0156.250-0165.570 | 180
P=0942 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 110
P=0942 | X=0111.170-0396.980 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0942 | X=0111.170-0334.810 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0942 | X=0111.170-0396.430 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0942 | X=0111.170-0405.340 | Y=0212.470-0223.710 | Đường Xuân Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến Giáp
P=0942 | X=0111.170-0422.670 | Y=0223.990-0235.230 | ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0942 | X=0095.060-0106.180 | Y=0231.870-0241.190 | 33
P=0942 | X=0458.090-0474.730 | Y=0231.870-0241.190 | 330
P=0942 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 200
P=0942 | X=0111.170-0342.250 | Y=0241.510-0252.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0942 | X=0111.170-0388.360 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0942 | X=0111.170-0396.430 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0942 | X=0111.170-0405.340 | Y=0288.340-0299.580 | Đường Xuân Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến Giáp
P=0942 | X=0111.170-0422.670 | Y=0299.860-0311.100 | ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0942 | X=0095.060-0342.720 | Y=0317.380-0331.460 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0942 | X=0458.090-0474.730 | Y=0322.140-0331.460 | 260
P=0942 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 150
P=0942 | X=0111.170-0417.590 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0942 | X=0111.170-0152.850 | Y=0346.420-0357.660 | ≤1.000m.
P=0942 | X=0111.170-0334.340 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0942 | X=0111.170-0396.430 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0942 | X=0111.170-0405.340 | Y=0393.000-0404.240 | Đường Xuân Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến Giáp
P=0942 | X=0111.170-0422.670 | Y=0404.520-0415.760 | ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0942 | X=0095.060-0106.180 | Y=0412.400-0421.720 | 35
P=0942 | X=0458.090-0474.730 | Y=0412.400-0421.720 | 180
P=0942 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 110
P=0942 | X=0111.170-0396.980 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0942 | X=0111.170-0334.810 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0942 | X=0111.170-0215.910 | Y=0457.340-0468.580 | Đường Xuân Bắc - Bảo
P=0942 | X=0334.680-0418.700 | Y=0457.340-0468.580 | Đường Xuân Bắc -
P=0942 | X=0245.140-0315.310 | Y=0463.100-0474.340 | Đường tỉnh 763
P=0942 | X=0095.060-0106.180 | Y=0464.980-0474.300 | 36
P=0942 | X=0458.090-0474.730 | Y=0464.980-0474.300 | 500
P=0942 | X=0505.390-0522.030 | Y=0464.980-0474.300 | 370
P=0942 | X=0111.170-0141.260 | Y=0470.740-0480.060 | Quang
P=0942 | X=0334.680-0388.540 | Y=0470.740-0480.060 | Long Khánh
P=0942 | X=0111.170-0411.740 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bắc -
P=0942 | X=0111.170-0403.180 | Y=0498.140-0509.380 | Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân Bắc - Long
P=0942 | X=0111.170-0349.700 | Y=0509.660-0520.900 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0942 | X=0095.060-0106.180 | Y=0517.540-0526.860 | 37
P=0942 | X=0458.090-0474.730 | Y=0517.540-0526.860 | 350
P=0942 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 230
P=0942 | X=0111.170-0342.250 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0942 | X=0111.170-0388.360 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0942 | X=0111.170-0411.740 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bắc -
P=0942 | X=0111.170-0403.180 | Y=0573.770-0585.010 | Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân Bắc - Long
P=0942 | X=0111.170-0349.700 | Y=0585.290-0596.530 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0942 | X=0095.060-0342.720 | Y=0602.810-0617.130 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0942 | X=0458.090-0474.730 | Y=0607.810-0617.130 | 290
P=0942 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 180
P=0942 | X=0111.170-0417.590 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0942 | X=0111.170-0152.850 | Y=0631.870-0643.110 | ≤1.000m.
P=0942 | X=0111.170-0334.340 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0942 | X=0111.170-0411.740 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bắc -
P=0942 | X=0111.170-0403.180 | Y=0678.670-0689.910 | Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân Bắc - Long
P=0942 | X=0095.060-0349.700 | Y=0689.190-0701.430 | 39 Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0942 | X=0458.090-0474.730 | Y=0689.190-0698.510 | 200
P=0942 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 130
P=0942 | X=0111.170-0396.980 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0943 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0943 | X=0111.170-0396.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0943 | X=0111.170-0412.550 | Y=0107.780-0119.020 | Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường
P=0943 | X=0111.170-0396.440 | Y=0119.330-0130.570 | Xuân Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0943 | X=0095.060-0139.170 | Y=0130.850-0142.290 | 40 măng:
P=0943 | X=0458.090-0474.730 | Y=0132.970-0142.290 | 350
P=0943 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 230
P=0943 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0943 | X=0111.170-0388.360 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0943 | X=0111.170-0396.430 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0943 | X=0111.170-0412.550 | Y=0194.930-0206.170 | Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường
P=0943 | X=0111.170-0396.440 | Y=0206.470-0217.710 | Xuân Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0943 | X=0111.170-0139.170 | Y=0217.990-0229.230 | măng:
P=0943 | X=0095.060-0342.720 | Y=0234.750-0246.750 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0943 | X=0458.090-0474.730 | Y=0234.750-0244.070 | 290
P=0943 | X=0505.390-0522.030 | Y=0234.750-0244.070 | 180
P=0943 | X=0111.170-0417.590 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0943 | X=0111.170-0152.850 | Y=0264.550-0275.790 | ≤1.000m.
P=0943 | X=0111.170-0334.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0943 | X=0111.170-0396.430 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0943 | X=0111.170-0412.550 | Y=0311.380-0322.620 | Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường
P=0943 | X=0111.170-0396.440 | Y=0322.900-0334.140 | Xuân Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0943 | X=0095.060-0139.170 | Y=0334.420-0345.860 | 42 măng:
P=0943 | X=0458.090-0474.730 | Y=0336.540-0345.860 | 200
P=0943 | X=0505.390-0522.030 | Y=0336.540-0345.860 | 130
P=0943 | X=0111.170-0396.980 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0943 | X=0111.170-0334.810 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0943 | X=0334.680-0415.660 | Y=0388.880-0398.200 | Mét thứ 500 (thửa
P=0943 | X=0111.170-0230.550 | Y=0398.520-0409.760 | Đường tổ 6 ấp 3B xã Xuân
P=0943 | X=0334.680-0418.790 | Y=0398.520-0409.760 | đất số 5, tờ bản đồ
P=0943 | X=0245.140-0315.310 | Y=0404.280-0415.520 | Đường tỉnh 763
P=0943 | X=0095.060-0106.180 | Y=0406.160-0415.480 | 43
P=0943 | X=0458.090-0474.730 | Y=0406.160-0415.480 | 470
P=0943 | X=0505.390-0522.030 | Y=0406.160-0415.480 | 330
P=0943 | X=0111.170-0128.450 | Y=0411.920-0421.240 | Bắc
P=0943 | X=0334.680-0401.470 | Y=0411.920-0421.240 | số 62, xã Xuân
P=0943 | X=0334.680-0355.320 | Y=0423.440-0432.760 | Bắc)
P=0943 | X=0111.170-0421.420 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp 3B xã
P=0943 | X=0111.170-0420.990 | Y=0450.860-0462.100 | Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ 500 (thửa đất số 5, tờ
P=0943 | X=0111.170-0413.740 | Y=0462.380-0473.620 | bản đồ số 62, xã Xuân Bắc) có hiện trạng là đường nhựa, bê tông xi
P=0943 | X=0095.060-0139.170 | Y=0473.900-0485.340 | 44 măng:
P=0943 | X=0458.090-0474.730 | Y=0476.020-0485.340 | 330
P=0943 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 200
P=0943 | X=0111.170-0342.250 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0943 | X=0111.170-0388.360 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0943 | X=0111.170-0421.420 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp 3B xã
P=0943 | X=0111.170-0420.990 | Y=0538.010-0549.250 | Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ 500 (thửa đất số 5, tờ
P=0943 | X=0111.170-0413.740 | Y=0549.530-0560.770 | bản đồ số 62, xã Xuân Bắc) có hiện trạng là đường nhựa, bê tông xi
P=0943 | X=0111.170-0139.170 | Y=0561.050-0572.290 | măng:
P=0943 | X=0095.060-0342.720 | Y=0577.810-0589.810 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0943 | X=0458.090-0474.730 | Y=0577.810-0587.130 | 260
P=0943 | X=0505.390-0522.030 | Y=0577.810-0587.130 | 150
P=0943 | X=0111.170-0417.590 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0943 | X=0111.170-0152.850 | Y=0607.610-0618.850 | ≤1.000m.
P=0943 | X=0111.170-0334.340 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0943 | X=0111.170-0421.420 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp 3B xã
P=0943 | X=0111.170-0420.990 | Y=0654.430-0665.670 | Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ 500 (thửa đất số 5, tờ
P=0943 | X=0095.060-0413.740 | Y=0665.950-0680.030 | 46 bản đồ số 62, xã Xuân Bắc) có hiện trạng là đường nhựa, bê tông xi
P=0943 | X=0458.090-0474.730 | Y=0670.710-0680.030 | 180
P=0943 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 110
P=0943 | X=0111.170-0139.170 | Y=0677.470-0688.710 | măng:
P=0943 | X=0111.170-0396.980 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0944 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0944 | X=0111.170-0396.430 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0944 | X=0111.170-0417.520 | Y=0107.780-0119.020 | Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ
P=0944 | X=0111.170-0405.580 | Y=0119.330-0130.570 | 500 (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có hiện trạng là
P=0944 | X=0095.060-0246.940 | Y=0130.850-0142.290 | 47 đường nhựa, bê tông xi măng:
P=0944 | X=0458.090-0474.730 | Y=0132.970-0142.290 | 330
P=0944 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 200
P=0944 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0944 | X=0111.170-0388.360 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0944 | X=0111.170-0396.430 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0944 | X=0111.170-0417.520 | Y=0194.930-0206.170 | Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ
P=0944 | X=0111.170-0405.580 | Y=0206.470-0217.710 | 500 (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có hiện trạng là
P=0944 | X=0111.170-0246.940 | Y=0217.990-0229.230 | đường nhựa, bê tông xi măng:
P=0944 | X=0095.060-0342.720 | Y=0234.750-0246.750 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0944 | X=0458.090-0474.730 | Y=0234.750-0244.070 | 260
P=0944 | X=0505.390-0522.030 | Y=0234.750-0244.070 | 150
P=0944 | X=0111.170-0417.590 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0944 | X=0111.170-0152.850 | Y=0264.550-0275.790 | ≤1.000m.
P=0944 | X=0111.170-0334.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0944 | X=0111.170-0396.430 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0944 | X=0111.170-0417.520 | Y=0311.380-0322.620 | Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ
P=0944 | X=0111.170-0405.580 | Y=0322.900-0334.140 | 500 (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có hiện trạng là
P=0944 | X=0095.060-0246.940 | Y=0334.420-0345.860 | 49 đường nhựa, bê tông xi măng:
P=0944 | X=0458.090-0474.730 | Y=0336.540-0345.860 | 180
P=0944 | X=0505.390-0522.030 | Y=0336.540-0345.860 | 110
P=0944 | X=0111.170-0396.980 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0944 | X=0111.170-0334.810 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0944 | X=0245.140-0326.120 | Y=0388.880-0398.200 | Mét thứ 500 (thửa
P=0944 | X=0111.170-0230.550 | Y=0398.520-0409.760 | Đường tổ 6 ấp 3B xã Xuân
P=0944 | X=0245.140-0411.340 | Y=0398.520-0409.760 | đất số 5, tờ bản đồ Đường tổ 3+4 ấp
P=0944 | X=0095.060-0106.180 | Y=0406.160-0415.480 | 50
P=0944 | X=0458.090-0474.730 | Y=0406.160-0415.480 | 470
P=0944 | X=0505.390-0522.030 | Y=0406.160-0415.480 | 330
P=0944 | X=0111.170-0128.450 | Y=0411.920-0421.240 | Bắc
P=0944 | X=0245.140-0311.930 | Y=0411.920-0421.240 | số 62, xã Xuân
P=0944 | X=0334.680-0406.460 | Y=0411.920-0421.240 | 3B xã Xuân Bắc
P=0944 | X=0245.140-0265.780 | Y=0423.440-0432.760 | Bắc)
P=0944 | X=0111.170-0421.420 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp 3B xã
P=0944 | X=0111.170-0405.570 | Y=0450.860-0462.100 | Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5, tờ bản đồ số 62, xã
P=0944 | X=0111.170-0402.450 | Y=0462.380-0473.620 | Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc có hiện trạng là
P=0944 | X=0095.060-0246.940 | Y=0473.900-0485.340 | 51 đường nhựa, bê tông xi măng:
P=0944 | X=0458.090-0474.730 | Y=0476.020-0485.340 | 330
P=0944 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 200
P=0944 | X=0111.170-0342.250 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0944 | X=0111.170-0388.360 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0944 | X=0111.170-0421.420 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp 3B xã
P=0944 | X=0111.170-0405.570 | Y=0538.010-0549.250 | Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5, tờ bản đồ số 62, xã
P=0944 | X=0111.170-0402.450 | Y=0549.530-0560.770 | Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc có hiện trạng là
P=0944 | X=0111.170-0246.940 | Y=0561.050-0572.290 | đường nhựa, bê tông xi măng:
P=0944 | X=0095.060-0342.720 | Y=0577.810-0589.810 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0944 | X=0458.090-0474.730 | Y=0577.810-0587.130 | 260
P=0944 | X=0505.390-0522.030 | Y=0577.810-0587.130 | 150
P=0944 | X=0111.170-0417.590 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0944 | X=0111.170-0152.850 | Y=0607.610-0618.850 | ≤1.000m.
P=0944 | X=0111.170-0334.340 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0944 | X=0111.170-0421.420 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp 3B xã
P=0944 | X=0111.170-0405.570 | Y=0654.430-0665.670 | Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5, tờ bản đồ số 62, xã
P=0944 | X=0095.060-0402.450 | Y=0665.950-0680.030 | 53 Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc có hiện trạng là
P=0944 | X=0458.090-0474.730 | Y=0670.710-0680.030 | 180
P=0944 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 110
P=0944 | X=0111.170-0246.940 | Y=0677.470-0688.710 | đường nhựa, bê tông xi măng:
P=0944 | X=0111.170-0396.980 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0945 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0945 | X=0111.170-0396.460 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0945 | X=0111.170-0412.630 | Y=0107.780-0119.020 | Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5,
P=0945 | X=0111.170-0419.900 | Y=0119.330-0130.570 | tờ bản đồ số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc
P=0945 | X=0095.060-0318.020 | Y=0130.850-0142.290 | 54 có hiện trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0458.090-0474.730 | Y=0132.970-0142.290 | 330
P=0945 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 200
P=0945 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0945 | X=0111.170-0388.360 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0945 | X=0111.170-0396.430 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0945 | X=0111.170-0412.630 | Y=0194.930-0206.170 | Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5,
P=0945 | X=0111.170-0419.900 | Y=0206.470-0217.710 | tờ bản đồ số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc
P=0945 | X=0111.170-0318.020 | Y=0217.990-0229.230 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0095.060-0342.720 | Y=0234.750-0246.750 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0945 | X=0458.090-0474.730 | Y=0234.750-0244.070 | 260
P=0945 | X=0505.390-0522.030 | Y=0234.750-0244.070 | 150
P=0945 | X=0111.170-0417.590 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0945 | X=0111.170-0152.850 | Y=0264.550-0275.790 | ≤1.000m.
P=0945 | X=0111.170-0334.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0945 | X=0111.170-0396.430 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0945 | X=0111.170-0412.630 | Y=0311.380-0322.620 | Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5,
P=0945 | X=0111.170-0419.900 | Y=0322.900-0334.140 | tờ bản đồ số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc
P=0945 | X=0095.060-0318.020 | Y=0334.420-0345.860 | 56 có hiện trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0458.090-0474.730 | Y=0336.540-0345.860 | 180
P=0945 | X=0505.390-0522.030 | Y=0336.540-0345.860 | 110
P=0945 | X=0111.170-0396.980 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0945 | X=0111.170-0334.810 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0945 | X=0334.680-0407.260 | Y=0388.880-0398.200 | Hết mét thứ 800
P=0945 | X=0111.170-0242.070 | Y=0398.520-0409.760 | Đường tổ 3+4 ấp 3B xã Xuân
P=0945 | X=0334.680-0423.160 | Y=0398.520-0409.760 | (thửa đất số 106, tờ
P=0945 | X=0245.140-0315.310 | Y=0404.280-0415.520 | Đường tỉnh 763
P=0945 | X=0095.060-0106.180 | Y=0406.160-0415.480 | 57
P=0945 | X=0458.090-0474.730 | Y=0406.160-0415.480 | 470
P=0945 | X=0505.390-0522.030 | Y=0406.160-0415.480 | 330
P=0945 | X=0334.680-0408.930 | Y=0410.040-0421.280 | bản đồ số 65, xã
P=0945 | X=0111.170-0128.450 | Y=0411.920-0421.240 | Bắc
P=0945 | X=0334.680-0381.260 | Y=0423.440-0432.760 | Xuân Bắc)
P=0945 | X=0111.170-0419.430 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4 ấp 3B
P=0945 | X=0111.170-0415.990 | Y=0450.860-0462.100 | xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 800 (thửa đất
P=0945 | X=0111.170-0415.270 | Y=0462.380-0473.620 | số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng là đường nhựa,
P=0945 | X=0095.060-0185.250 | Y=0473.900-0485.340 | 58 bê tông xi măng:
P=0945 | X=0458.090-0474.730 | Y=0476.020-0485.340 | 330
P=0945 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 200
P=0945 | X=0111.170-0342.250 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0945 | X=0111.170-0388.360 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0945 | X=0111.170-0419.430 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 3+4 ấp 3B
P=0945 | X=0111.170-0415.990 | Y=0538.010-0549.250 | xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Hết mét thứ 800 (thửa đất
P=0945 | X=0111.170-0415.270 | Y=0549.530-0560.770 | số 106, tờ bản đồ số 65, xã Xuân Bắc) có hiện trạng là đường nhựa,
P=0945 | X=0111.170-0185.250 | Y=0561.050-0572.290 | bê tông xi măng:
P=0945 | X=0095.060-0342.760 | Y=0577.810-0589.810 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0945 | X=0458.090-0474.730 | Y=0577.810-0587.130 | 260
P=0945 | X=0505.390-0522.030 | Y=0577.810-0587.130 | 150
P=0945 | X=0111.170-0417.590 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0945 | X=0111.170-0152.850 | Y=0607.610-0618.850 | ≤1.000m.
