TABLE=022 | AREA=Phường Hàng Gòn | SECTION=agricultural | SEGMENTS=1
P=0705 | X=0104.930-0345.110 | Y=0672.670-0683.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0705 | X=0104.930-0392.890 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0705 | X=0091.700-0417.020 | Y=0707.970-0719.210 | 31 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tân -
P=0705 | X=0451.370-0468.010 | Y=0709.860-0719.180 | 260
P=0705 | X=0505.390-0522.030 | Y=0709.860-0719.180 | 210
P=0706 | X=0104.930-0404.380 | Y=0072.500-0083.740 | Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã Hàng Gòn cũ có
P=0706 | X=0104.930-0307.240 | Y=0084.020-0095.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=0706 | X=0104.930-0345.350 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0706 | X=0104.930-0403.280 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0706 | X=0104.930-0167.680 | Y=0130.610-0141.850 | đến ≤1.000m.
P=0706 | X=0104.930-0336.710 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0706 | X=0104.930-0417.020 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tân -
P=0706 | X=0104.930-0404.380 | Y=0177.170-0188.410 | Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã Hàng Gòn cũ có
P=0706 | X=0104.930-0307.630 | Y=0188.690-0199.930 | hiện trạng là đường nhựa, bê tông xi măng:
P=0706 | X=0091.700-0102.820 | Y=0196.570-0205.890 | 32
P=0706 | X=0451.370-0468.010 | Y=0196.570-0205.890 | 170
P=0706 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 140
P=0706 | X=0104.930-0401.790 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0706 | X=0104.930-0337.200 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0706 | X=0104.930-0400.780 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0706 | X=0104.930-0416.140 | Y=0253.030-0264.270 | Đường Xuân Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã
P=0706 | X=0104.930-0385.830 | Y=0264.550-0275.790 | Hàng Gòn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0706 | X=0091.700-0102.820 | Y=0272.430-0281.750 | 33
P=0706 | X=0451.370-0468.010 | Y=0272.430-0281.750 | 320
P=0706 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 250
P=0706 | X=0104.930-0345.110 | Y=0282.100-0293.340 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0706 | X=0104.930-0392.890 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0706 | X=0104.930-0400.780 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0706 | X=0104.930-0416.140 | Y=0328.900-0340.140 | Đường Xuân Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã
P=0706 | X=0104.930-0385.800 | Y=0340.420-0351.660 | Hàng Gòn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0706 | X=0091.700-0345.350 | Y=0357.700-0372.020 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0706 | X=0451.370-0468.010 | Y=0362.700-0372.020 | 260
P=0706 | X=0505.390-0522.030 | Y=0362.700-0372.020 | 210
P=0706 | X=0104.930-0403.280 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0706 | X=0104.930-0167.680 | Y=0386.760-0398.000 | đến ≤1.000m.
P=0706 | X=0104.930-0336.710 | Y=0404.280-0415.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0706 | X=0104.930-0400.780 | Y=0422.040-0433.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0706 | X=0104.930-0416.140 | Y=0433.560-0444.800 | Đường Xuân Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã
P=0706 | X=0104.930-0385.800 | Y=0445.080-0456.320 | Hàng Gòn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0706 | X=0091.700-0102.820 | Y=0452.980-0462.300 | 35
P=0706 | X=0451.370-0468.010 | Y=0452.980-0462.300 | 170
P=0706 | X=0505.390-0522.030 | Y=0452.980-0462.300 | 140
P=0706 | X=0104.930-0401.790 | Y=0462.620-0473.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0706 | X=0104.930-0337.200 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0706 | X=0322.440-0404.260 | Y=0497.900-0509.140 | Hết ranh thửa đất
P=0706 | X=0322.440-0412.860 | Y=0509.420-0520.660 | số 135 tờ BĐĐC số
P=0706 | X=0322.440-0415.500 | Y=0520.940-0532.180 | 22 về bên trái và hết
P=0706 | X=0104.930-0219.720 | Y=0526.460-0537.700 | Đường Xuân Tân - Hàng
P=0706 | X=0234.340-0321.020 | Y=0526.460-0537.700 | Ranh giới xã Hàng
P=0706 | X=0322.440-0412.770 | Y=0532.220-0543.460 | ranh thửa đất số 90
P=0706 | X=0091.700-0102.820 | Y=0534.100-0543.420 | 36
P=0706 | X=0451.370-0468.010 | Y=0534.100-0543.420 | 500
P=0706 | X=0505.390-0522.030 | Y=0534.100-0543.420 | 400
P=0706 | X=0234.340-0267.300 | Y=0538.010-0549.250 | Gòn cũ
P=0706 | X=0104.930-0123.970 | Y=0539.890-0549.210 | Gòn
P=0706 | X=0322.440-0402.130 | Y=0543.770-0555.010 | tờ BĐĐC số 22 +
P=0706 | X=0322.440-0402.610 | Y=0555.290-0566.530 | 60m về bên phải,
P=0706 | X=0322.440-0409.180 | Y=0566.810-0578.050 | phường Hàng Gòn
P=0706 | X=0104.930-0413.000 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tân
P=0706 | X=0104.930-0412.510 | Y=0596.090-0607.330 | - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ đến Hết ranh thửa
P=0706 | X=0104.930-0414.750 | Y=0607.610-0618.850 | đất số 135 tờ BĐĐC số 22 về bên trái và hết ranh thửa đất số 90 tờ
P=0706 | X=0104.930-0408.220 | Y=0619.150-0630.390 | BĐĐC số 22 + 60m về bên phải, phường Hàng Gòn có hiện trạng
P=0706 | X=0091.700-0102.820 | Y=0627.030-0636.350 | 37
P=0706 | X=0451.370-0468.010 | Y=0627.030-0636.350 | 320
P=0706 | X=0505.390-0522.030 | Y=0627.030-0636.350 | 250
P=0706 | X=0104.930-0257.640 | Y=0630.670-0641.910 | là đường nhựa, bê tông xi măng:
P=0706 | X=0104.930-0345.110 | Y=0648.190-0659.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0706 | X=0104.930-0392.890 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0706 | X=0104.930-0413.000 | Y=0683.470-0694.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tân
P=0706 | X=0091.700-0412.510 | Y=0694.750-0705.990 | 38 - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ đến Hết ranh thửa
P=0706 | X=0451.370-0468.010 | Y=0696.630-0705.950 | 260
P=0706 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 210
P=0706 | X=0104.930-0414.750 | Y=0706.290-0717.530 | đất số 135 tờ BĐĐC số 22 về bên trái và hết ranh thửa đất số 90 tờ
P=0707 | X=0104.930-0408.010 | Y=0072.500-0083.740 | BĐĐC số 22 + 60m về bên phải, phường Hàng Gòn có hiện trạng
P=0707 | X=0104.930-0257.640 | Y=0084.020-0095.260 | là đường nhựa, bê tông xi măng:
P=0707 | X=0104.930-0345.350 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0707 | X=0104.930-0403.280 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0707 | X=0104.930-0167.680 | Y=0130.610-0141.850 | đến ≤1.000m.
P=0707 | X=0104.930-0336.710 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0707 | X=0104.930-0413.000 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Tân
P=0707 | X=0104.930-0412.510 | Y=0177.170-0188.410 | - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ đến Hết ranh thửa
P=0707 | X=0104.930-0414.750 | Y=0188.690-0199.930 | đất số 135 tờ BĐĐC số 22 về bên trái và hết ranh thửa đất số 90 tờ
P=0707 | X=0104.930-0408.010 | Y=0200.230-0211.470 | BĐĐC số 22 + 60m về bên phải, phường Hàng Gòn có hiện trạng
P=0707 | X=0091.700-0102.820 | Y=0208.110-0217.430 | 39
P=0707 | X=0451.370-0468.010 | Y=0208.110-0217.430 | 170
P=0707 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 140
P=0707 | X=0104.930-0257.640 | Y=0211.750-0222.990 | là đường nhựa, bê tông xi măng:
P=0707 | X=0104.930-0401.790 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0707 | X=0104.930-0337.200 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0707 | X=0104.930-0400.780 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0707 | X=0104.930-0406.780 | Y=0276.070-0287.310 | Đường Xuân Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ
P=0707 | X=0104.930-0397.260 | Y=0287.620-0298.860 | đến Hết ranh thửa đất số 135 tờ BĐĐC số 22 về bên trái và hết
P=0707 | X=0104.930-0400.710 | Y=0299.140-0310.380 | ranh thửa đất số 90 tờ BĐĐC số 22 + 60m về bên phải, phường
P=0707 | X=0091.700-0102.820 | Y=0307.020-0316.340 | 40
P=0707 | X=0451.370-0468.010 | Y=0307.020-0316.340 | 320
P=0707 | X=0505.390-0522.030 | Y=0307.020-0316.340 | 250
P=0707 | X=0104.930-0372.020 | Y=0310.660-0321.900 | Hàng Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0707 | X=0104.930-0345.110 | Y=0327.940-0339.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0707 | X=0104.930-0392.890 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0707 | X=0104.930-0400.780 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0707 | X=0104.930-0406.780 | Y=0374.760-0386.000 | Đường Xuân Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ
P=0707 | X=0104.930-0397.260 | Y=0386.280-0397.520 | đến Hết ranh thửa đất số 135 tờ BĐĐC số 22 về bên trái và hết
P=0707 | X=0104.930-0400.710 | Y=0397.800-0409.040 | ranh thửa đất số 90 tờ BĐĐC số 22 + 60m về bên phải, phường
P=0707 | X=0104.930-0371.870 | Y=0409.320-0420.560 | Hàng Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0707 | X=0091.700-0102.820 | Y=0420.080-0429.400 | 41
P=0707 | X=0451.370-0468.010 | Y=0420.080-0429.400 | 260
P=0707 | X=0505.390-0522.030 | Y=0420.080-0429.400 | 210
P=0707 | X=0104.930-0345.350 | Y=0426.840-0438.080 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0707 | X=0104.930-0403.280 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0707 | X=0104.930-0167.680 | Y=0455.900-0467.140 | đến ≤1.000m.
P=0707 | X=0104.930-0336.710 | Y=0473.420-0484.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0707 | X=0104.930-0400.780 | Y=0491.180-0502.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0707 | X=0104.930-0406.780 | Y=0502.460-0513.700 | Đường Xuân Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ
P=0707 | X=0104.930-0397.260 | Y=0513.980-0525.220 | đến Hết ranh thửa đất số 135 tờ BĐĐC số 22 về bên trái và hết
P=0707 | X=0104.930-0400.710 | Y=0525.500-0536.740 | ranh thửa đất số 90 tờ BĐĐC số 22 + 60m về bên phải, phường
P=0707 | X=0091.700-0102.820 | Y=0533.380-0542.700 | 42
P=0707 | X=0451.370-0468.010 | Y=0533.380-0542.700 | 170
P=0707 | X=0505.390-0522.030 | Y=0533.380-0542.700 | 140
P=0707 | X=0104.930-0371.870 | Y=0537.050-0548.290 | Hàng Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0707 | X=0104.930-0401.790 | Y=0554.570-0565.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0707 | X=0104.930-0337.200 | Y=0572.090-0583.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0707 | X=0104.930-0221.650 | Y=0589.850-0601.090 | Đường Hàng Gòn - Xuân
P=0707 | X=0322.440-0400.920 | Y=0589.850-0601.090 | Ngã ba đường đi
P=0707 | X=0234.340-0292.500 | Y=0595.610-0606.850 | Nhà máy mủ
P=0707 | X=0091.700-0102.820 | Y=0597.490-0606.810 | 43
P=0707 | X=0451.370-0468.010 | Y=0597.490-0606.810 | 500
P=0707 | X=0505.390-0522.030 | Y=0597.490-0606.810 | 400
P=0707 | X=0104.930-0123.970 | Y=0601.370-0612.610 | Quế
P=0707 | X=0322.440-0368.600 | Y=0601.370-0612.610 | Xuân Quế
P=0707 | X=0104.930-0412.760 | Y=0619.150-0630.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng Gòn
P=0707 | X=0104.930-0409.100 | Y=0630.670-0641.910 | - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba đường đi Xuân Quế
P=0707 | X=0104.930-0321.430 | Y=0642.190-0653.430 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0707 | X=0091.700-0102.820 | Y=0650.070-0659.390 | 44
P=0707 | X=0451.370-0468.010 | Y=0650.070-0659.390 | 320
P=0707 | X=0505.390-0522.030 | Y=0650.070-0659.390 | 250
P=0707 | X=0104.930-0345.110 | Y=0659.710-0670.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0707 | X=0104.930-0392.890 | Y=0677.230-0688.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0707 | X=0104.930-0412.760 | Y=0694.750-0705.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng Gòn
P=0707 | X=0091.700-0102.820 | Y=0702.420-0711.740 | 45
P=0707 | X=0451.370-0468.010 | Y=0702.420-0711.740 | 260
P=0707 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 210
P=0707 | X=0104.930-0409.160 | Y=0706.290-0717.530 | - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba đường đi Xuân Quế
P=0708 | X=0104.930-0321.130 | Y=0072.500-0083.740 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0708 | X=0104.930-0345.350 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0708 | X=0104.930-0403.280 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0708 | X=0104.930-0167.680 | Y=0119.090-0130.330 | đến ≤1.000m.
P=0708 | X=0104.930-0336.710 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0708 | X=0104.930-0412.760 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng Gòn
P=0708 | X=0104.930-0409.100 | Y=0165.650-0176.890 | - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba đường đi Xuân Quế
P=0708 | X=0104.930-0321.130 | Y=0177.170-0188.410 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0708 | X=0091.700-0102.820 | Y=0185.050-0194.370 | 46
P=0708 | X=0451.370-0468.010 | Y=0185.050-0194.370 | 170
P=0708 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 140
P=0708 | X=0104.930-0401.790 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0708 | X=0104.930-0337.200 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0708 | X=0104.930-0400.780 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0708 | X=0104.930-0400.300 | Y=0241.510-0252.750 | Đường Hàng Gòn - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba
P=0708 | X=0104.930-0384.740 | Y=0253.030-0264.270 | đường đi Xuân Quế có hiện trạng là đường nhựa, bê tông xi
P=0708 | X=0091.700-0133.840 | Y=0264.550-0275.990 | 47 măng:
P=0708 | X=0451.370-0468.010 | Y=0266.670-0275.990 | 320
P=0708 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 250
P=0708 | X=0104.930-0345.110 | Y=0282.100-0293.340 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0708 | X=0104.930-0392.890 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0708 | X=0104.930-0400.780 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0708 | X=0104.930-0400.300 | Y=0328.900-0340.140 | Đường Hàng Gòn - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba
P=0708 | X=0104.930-0384.740 | Y=0340.420-0351.660 | đường đi Xuân Quế có hiện trạng là đường nhựa, bê tông xi
P=0708 | X=0104.930-0133.840 | Y=0351.700-0362.940 | măng:
P=0708 | X=0091.700-0345.350 | Y=0368.480-0380.480 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0708 | X=0451.370-0468.010 | Y=0368.480-0377.800 | 260
P=0708 | X=0505.390-0522.030 | Y=0368.480-0377.800 | 210
P=0708 | X=0104.930-0403.280 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0708 | X=0104.930-0167.680 | Y=0398.280-0409.520 | đến ≤1.000m.
P=0708 | X=0104.930-0336.710 | Y=0415.800-0427.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0708 | X=0104.930-0400.780 | Y=0433.560-0444.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0708 | X=0104.930-0400.300 | Y=0445.080-0456.320 | Đường Hàng Gòn - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba
P=0708 | X=0104.930-0384.740 | Y=0456.620-0467.860 | đường đi Xuân Quế có hiện trạng là đường nhựa, bê tông xi
P=0708 | X=0091.700-0133.840 | Y=0468.140-0479.580 | 49 măng:
P=0708 | X=0451.370-0468.010 | Y=0470.260-0479.580 | 170
P=0708 | X=0505.390-0522.030 | Y=0470.260-0479.580 | 140
P=0708 | X=0104.930-0401.790 | Y=0485.660-0496.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0708 | X=0104.930-0337.200 | Y=0503.180-0514.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0708 | X=0104.930-0221.650 | Y=0520.940-0532.180 | Đường Hàng Gòn - Xuân
P=0708 | X=0234.340-0409.130 | Y=0520.940-0532.180 | Ngã ba đường đi Giáp ranh xã Xuân
P=0708 | X=0091.700-0102.820 | Y=0528.340-0537.660 | 50
P=0708 | X=0451.370-0468.010 | Y=0528.340-0537.660 | 500
P=0708 | X=0505.390-0522.030 | Y=0528.340-0537.660 | 400
P=0708 | X=0104.930-0123.970 | Y=0532.220-0543.460 | Quế
P=0708 | X=0322.440-0341.940 | Y=0532.220-0543.460 | Quế
P=0708 | X=0234.340-0280.500 | Y=0534.100-0543.420 | Xuân Quế
P=0708 | X=0104.930-0413.000 | Y=0550.010-0561.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng Gòn
P=0708 | X=0104.930-0410.380 | Y=0561.530-0572.770 | - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế đến Giáp ranh xã
P=0708 | X=0104.930-0371.450 | Y=0573.050-0584.290 | Xuân Quế có hiện trạng là đường nhựa, bê tông xi măng:
P=0708 | X=0091.700-0102.820 | Y=0580.930-0590.250 | 51
P=0708 | X=0451.370-0468.010 | Y=0580.930-0590.250 | 320
P=0708 | X=0505.390-0522.030 | Y=0580.930-0590.250 | 250
P=0708 | X=0104.930-0345.120 | Y=0590.570-0601.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0708 | X=0104.930-0392.890 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0708 | X=0104.930-0413.000 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng Gòn
P=0708 | X=0104.930-0410.380 | Y=0637.390-0648.630 | - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế đến Giáp ranh xã
P=0708 | X=0104.930-0371.450 | Y=0648.910-0660.150 | Xuân Quế có hiện trạng là đường nhựa, bê tông xi măng:
P=0708 | X=0091.700-0102.820 | Y=0662.550-0671.870 | 52
P=0708 | X=0451.370-0468.010 | Y=0662.550-0671.870 | 260
P=0708 | X=0505.390-0522.030 | Y=0662.550-0671.870 | 210
P=0708 | X=0104.930-0345.350 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0708 | X=0104.930-0403.280 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0708 | X=0104.930-0167.680 | Y=0695.470-0706.710 | đến ≤1.000m.
P=0709 | X=0104.930-0336.710 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0709 | X=0104.930-0413.000 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng Gòn
P=0709 | X=0104.930-0410.380 | Y=0107.780-0119.020 | - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế đến Giáp ranh xã
P=0709 | X=0104.930-0371.450 | Y=0119.330-0130.570 | Xuân Quế có hiện trạng là đường nhựa, bê tông xi măng:
P=0709 | X=0091.700-0102.820 | Y=0127.210-0136.530 | 53
P=0709 | X=0451.370-0468.010 | Y=0127.210-0136.530 | 170
P=0709 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 140
P=0709 | X=0104.930-0401.790 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0709 | X=0104.930-0337.200 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0709 | X=0104.930-0400.780 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0709 | X=0104.930-0413.480 | Y=0183.410-0194.650 | Đường Hàng Gòn - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế
P=0709 | X=0104.930-0411.860 | Y=0194.930-0206.170 | đến Giáp ranh xã Xuân Quế có hiện trạng là đường nhựa, bê tông
P=0709 | X=0091.700-0144.130 | Y=0206.470-0217.910 | 54 xi măng:
P=0709 | X=0451.370-0468.010 | Y=0208.590-0217.910 | 320
P=0709 | X=0505.390-0522.030 | Y=0208.590-0217.910 | 250
P=0709 | X=0104.930-0345.110 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0709 | X=0104.930-0392.890 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0709 | X=0104.930-0400.780 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0709 | X=0104.930-0413.480 | Y=0270.790-0282.030 | Đường Hàng Gòn - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế
P=0709 | X=0104.930-0411.860 | Y=0282.340-0293.580 | đến Giáp ranh xã Xuân Quế có hiện trạng là đường nhựa, bê tông
P=0709 | X=0104.930-0144.130 | Y=0293.860-0305.100 | xi măng:
P=0709 | X=0091.700-0345.350 | Y=0310.380-0322.620 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0709 | X=0451.370-0468.010 | Y=0310.380-0319.700 | 260
P=0709 | X=0505.390-0522.030 | Y=0310.380-0319.700 | 210
P=0709 | X=0104.930-0403.280 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0709 | X=0104.930-0167.680 | Y=0340.420-0351.660 | đến ≤1.000m.
P=0709 | X=0104.930-0336.710 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0709 | X=0104.930-0400.780 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0709 | X=0104.930-0413.480 | Y=0387.000-0398.240 | Đường Hàng Gòn - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế
P=0709 | X=0104.930-0411.860 | Y=0398.520-0409.760 | đến Giáp ranh xã Xuân Quế có hiện trạng là đường nhựa, bê tông
P=0709 | X=0091.700-0144.130 | Y=0410.040-0421.480 | 56 xi măng:
P=0709 | X=0451.370-0468.010 | Y=0412.160-0421.480 | 170
P=0709 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 140
P=0709 | X=0104.930-0401.790 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0709 | X=0104.930-0337.200 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0709 | X=0322.440-0409.580 | Y=0462.860-0474.100 | Đường Xuân Tân -
P=0709 | X=0091.700-0190.470 | Y=0468.620-0479.860 | 57 Đường Quốc lộ 56
P=0709 | X=0234.340-0314.360 | Y=0468.620-0479.860 | Đường Quốc lộ 1
P=0709 | X=0451.370-0468.010 | Y=0470.500-0479.820 | 600
P=0709 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 490
P=0709 | X=0322.440-0369.320 | Y=0476.260-0485.580 | Hàng Gòn
P=0709 | X=0104.930-0415.660 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quốc lộ 56
P=0709 | X=0104.930-0398.020 | Y=0503.660-0514.900 | đoạn từ Đường Quốc lộ 1 đến Đường Xuân Tân - Hàng Gòn có
P=0709 | X=0104.930-0307.240 | Y=0515.180-0526.420 | hiện trạng là đường nhựa, bê tông xi măng:
P=0709 | X=0091.700-0102.820 | Y=0523.060-0532.380 | 58
P=0709 | X=0451.370-0468.010 | Y=0523.060-0532.380 | 400
P=0709 | X=0505.390-0522.030 | Y=0523.060-0532.380 | 320
P=0709 | X=0104.930-0336.470 | Y=0532.490-0543.730 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0709 | X=0104.930-0392.890 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
