TABLE=063 | AREA=Phường Phước Bình | SECTION=agricultural | SEGMENTS=1
P=2005 | X=0505.390-0522.030 | Y=0465.940-0475.260 | 188
P=2005 | X=0108.290-0121.810 | Y=0471.700-0481.020 | ích
P=2005 | X=0093.380-0248.100 | Y=0487.820-0499.060 | 23 Đường Nguyễn Kim Toàn tuyến
P=2005 | X=0437.690-0454.330 | Y=0489.700-0499.020 | 294
P=2005 | X=0471.530-0488.170 | Y=0489.700-0499.020 | 235
P=2005 | X=0505.390-0522.030 | Y=0489.700-0499.020 | 188
P=2005 | X=0309.240-0415.670 | Y=0505.820-0517.060 | Ngã ba đường Phan Bá
P=2005 | X=0309.240-0415.510 | Y=0517.340-0528.580 | Vành (hết ranh thửa đất
P=2005 | X=0108.290-0183.960 | Y=0523.100-0534.340 | Đường Đinh Văn
P=2005 | X=0197.830-0274.230 | Y=0528.860-0540.100 | Đường 3 tháng 2
P=2005 | X=0309.240-0406.060 | Y=0528.860-0540.100 | số 165 và thửa đất số
P=2005 | X=0093.380-0104.500 | Y=0530.740-0540.060 | 24
P=2005 | X=0437.690-0454.330 | Y=0530.740-0540.060 | 294
P=2005 | X=0471.530-0488.170 | Y=0530.740-0540.060 | 235
P=2005 | X=0505.390-0522.030 | Y=0530.740-0540.060 | 188
P=2005 | X=0108.290-0129.330 | Y=0536.530-0545.850 | Chất
P=2005 | X=0309.240-0412.300 | Y=0542.290-0551.610 | 187, cùng thuộc tờ bản
P=2005 | X=0309.240-0350.760 | Y=0551.930-0563.170 | đồ số 50)
P=2005 | X=0197.830-0304.270 | Y=0569.930-0581.170 | Ngã ba đường Phan Bá
P=2005 | X=0108.290-0183.960 | Y=0581.450-0592.690 | Đường Đinh Văn
P=2005 | X=0197.830-0303.170 | Y=0581.450-0592.690 | Vành (Từ ranh thửa đất
P=2005 | X=0309.240-0396.690 | Y=0587.210-0598.450 | Đường Phạm Hùng
P=2005 | X=0093.380-0104.500 | Y=0589.090-0598.410 | 25
P=2005 | X=0437.690-0454.330 | Y=0589.090-0598.410 | 294
P=2005 | X=0471.530-0488.170 | Y=0589.090-0598.410 | 235
P=2005 | X=0505.390-0522.030 | Y=0589.090-0598.410 | 188
P=2005 | X=0197.830-0298.530 | Y=0592.970-0604.210 | số 164, 186, tờ bản đồ
P=2005 | X=0108.290-0129.330 | Y=0594.850-0604.170 | Chất
P=2005 | X=0197.830-0225.430 | Y=0606.130-0615.450 | số 50)
P=2005 | X=0108.290-0187.330 | Y=0622.270-0633.510 | Đường Đặng Văn
P=2005 | X=0197.830-0284.190 | Y=0625.390-0636.630 | Đường Nguyễn Tất
P=2005 | X=0309.240-0381.100 | Y=0631.150-0642.390 | Đường Độc Lập
P=2005 | X=0093.380-0104.500 | Y=0633.030-0642.350 | 26
P=2005 | X=0437.690-0454.330 | Y=0633.030-0642.350 | 294
P=2005 | X=0471.530-0488.170 | Y=0633.030-0642.350 | 235
P=2005 | X=0505.390-0522.030 | Y=0633.030-0642.350 | 188
P=2005 | X=0197.830-0226.240 | Y=0638.790-0648.110 | Thành
P=2005 | X=0108.290-0127.750 | Y=0641.670-0650.990 | Ngữ
P=2005 | X=0197.830-0284.190 | Y=0657.790-0669.030 | Đường Nguyễn Tất
P=2005 | X=0093.380-0188.950 | Y=0663.550-0674.790 | 27 Đường Lê Văn Sỹ
P=2005 | X=0309.240-0381.100 | Y=0663.550-0674.790 | Đường Độc Lập
P=2005 | X=0437.690-0454.330 | Y=0665.430-0674.750 | 294
P=2005 | X=0471.530-0488.170 | Y=0665.430-0674.750 | 235
P=2005 | X=0505.390-0522.030 | Y=0665.430-0674.750 | 188
P=2005 | X=0197.830-0226.240 | Y=0671.190-0680.510 | Thành
P=2005 | X=0108.290-0181.100 | Y=0687.310-0698.550 | Đường Trần Đại
P=2005 | X=0197.830-0274.730 | Y=0693.070-0704.310 | Đường Điểu Ong
P=2005 | X=0309.240-0404.380 | Y=0693.070-0704.310 | Đường Trường chinh
P=2005 | X=0093.380-0104.500 | Y=0694.950-0704.270 | 28
P=2005 | X=0437.690-0454.330 | Y=0694.950-0704.270 | 294
P=2005 | X=0471.530-0488.170 | Y=0694.950-0704.270 | 235
P=2005 | X=0505.390-0522.030 | Y=0694.950-0704.270 | 188
P=2005 | X=0108.290-0135.010 | Y=0698.830-0710.070 | Nghĩa
P=2006 | X=0108.290-0181.100 | Y=0078.740-0089.980 | Đường Trần Đại
P=2006 | X=0197.830-0295.140 | Y=0084.500-0095.740 | Đường Trường Chinh
P=2006 | X=0309.240-0417.310 | Y=0084.500-0095.740 | Đường Võ Nguyên Giáp
P=2006 | X=0093.380-0104.500 | Y=0086.380-0095.700 | 29
P=2006 | X=0437.690-0454.330 | Y=0086.380-0095.700 | 294
P=2006 | X=0471.530-0488.170 | Y=0086.380-0095.700 | 235
P=2006 | X=0505.390-0522.030 | Y=0086.380-0095.700 | 188
P=2006 | X=0108.290-0135.010 | Y=0090.260-0101.500 | Nghĩa
P=2006 | X=0108.290-0289.150 | Y=0108.260-0119.500 | Đường Đoàn Đức Đường Nguyễn Hữu
P=2006 | X=0309.240-0411.560 | Y=0114.050-0125.290 | Đường Nơ Trang Long
P=2006 | X=0093.380-0104.500 | Y=0115.930-0125.250 | 30
P=2006 | X=0437.690-0454.330 | Y=0115.930-0125.250 | 294
P=2006 | X=0471.530-0488.170 | Y=0115.930-0125.250 | 235
P=2006 | X=0505.390-0522.030 | Y=0115.930-0125.250 | 188
P=2006 | X=0108.290-0127.800 | Y=0121.690-0131.010 | Thái
P=2006 | X=0197.830-0215.190 | Y=0121.690-0131.010 | Thọ
P=2006 | X=0197.830-0284.190 | Y=0137.810-0149.050 | Đường Nguyễn Tất
P=2006 | X=0093.380-0185.160 | Y=0143.570-0154.810 | 31 Đường Điểu Ong
P=2006 | X=0309.240-0381.100 | Y=0143.570-0154.810 | Đường Độc Lập
P=2006 | X=0437.690-0454.330 | Y=0145.450-0154.770 | 294
P=2006 | X=0471.530-0488.170 | Y=0145.450-0154.770 | 235
P=2006 | X=0505.390-0522.030 | Y=0145.450-0154.770 | 188
P=2006 | X=0197.830-0226.240 | Y=0151.210-0160.530 | Thành
P=2006 | X=0108.290-0189.500 | Y=0167.330-0178.570 | Đường Phạm Văn
P=2006 | X=0309.240-0395.590 | Y=0167.330-0178.570 | Đường Nguyễn Tất
P=2006 | X=0197.830-0269.700 | Y=0173.090-0184.330 | Đường Độc Lập
P=2006 | X=0093.380-0104.500 | Y=0174.970-0184.290 | 32
P=2006 | X=0437.690-0454.330 | Y=0174.970-0184.290 | 294
P=2006 | X=0471.530-0488.170 | Y=0174.970-0184.290 | 235
P=2006 | X=0505.390-0522.030 | Y=0174.970-0184.290 | 188
P=2006 | X=0108.290-0132.130 | Y=0178.850-0190.090 | Đồng
P=2006 | X=0309.240-0337.650 | Y=0180.730-0190.050 | Thành
P=2006 | X=0108.290-0284.190 | Y=0196.850-0208.090 | Đường Phạm Văn Đường Nguyễn Tất
P=2006 | X=0309.240-0420.710 | Y=0202.630-0213.870 | Đường Nguyễn Hữu Thọ
P=2006 | X=0093.380-0104.500 | Y=0204.510-0213.830 | 33
P=2006 | X=0437.690-0454.330 | Y=0204.510-0213.830 | 294
P=2006 | X=0471.530-0488.170 | Y=0204.510-0213.830 | 235
P=2006 | X=0505.390-0522.030 | Y=0204.510-0213.830 | 188
P=2006 | X=0108.290-0132.130 | Y=0208.390-0219.630 | Đồng
P=2006 | X=0197.830-0226.240 | Y=0210.270-0219.590 | Thành
P=2006 | X=0108.290-0177.270 | Y=0226.390-0237.630 | Đường Nguyễn
P=2006 | X=0309.240-0395.590 | Y=0226.390-0237.630 | Đường Nguyễn Tất
P=2006 | X=0197.830-0286.990 | Y=0231.910-0243.150 | Đường Mai Chí Thọ
P=2006 | X=0093.380-0104.500 | Y=0233.790-0243.110 | 34
P=2006 | X=0437.690-0454.330 | Y=0233.790-0243.110 | 294
P=2006 | X=0471.530-0488.170 | Y=0233.790-0243.110 | 235
P=2006 | X=0505.390-0522.030 | Y=0233.790-0243.110 | 188
P=2006 | X=0108.290-0147.960 | Y=0237.670-0248.910 | Văn Linh
P=2006 | X=0309.240-0337.650 | Y=0239.550-0248.870 | Thành
P=2006 | X=0108.290-0177.270 | Y=0255.670-0266.910 | Đường Nguyễn
P=2006 | X=0197.830-0269.700 | Y=0261.430-0272.670 | Đường Độc Lập
P=2006 | X=0309.240-0401.480 | Y=0261.430-0272.670 | Đường Lê Anh Xuân
P=2006 | X=0093.380-0104.500 | Y=0263.310-0272.630 | 35
P=2006 | X=0437.690-0454.330 | Y=0263.310-0272.630 | 294
P=2006 | X=0471.530-0488.170 | Y=0263.310-0272.630 | 235
P=2006 | X=0505.390-0522.030 | Y=0263.310-0272.630 | 188
P=2006 | X=0108.290-0158.780 | Y=0269.070-0278.390 | Công Hoan
P=2006 | X=0108.290-0286.900 | Y=0285.220-0296.460 | Đường Nguyễn Tri Đường Phùng Khắc
P=2006 | X=0309.240-0413.100 | Y=0290.980-0302.220 | Đường Lý Thường Kiệt
P=2006 | X=0093.380-0104.500 | Y=0292.860-0302.180 | 36
P=2006 | X=0437.690-0454.330 | Y=0292.860-0302.180 | 294
P=2006 | X=0471.530-0488.170 | Y=0292.860-0302.180 | 235
P=2006 | X=0505.390-0522.030 | Y=0292.860-0302.180 | 188
P=2006 | X=0108.290-0145.080 | Y=0296.740-0307.980 | Phương
P=2006 | X=0197.830-0226.720 | Y=0298.620-0307.940 | Khoan
P=2006 | X=0108.290-0176.790 | Y=0314.740-0325.980 | Đường Trường
P=2006 | X=0197.830-0284.190 | Y=0314.740-0325.980 | Đường Nguyễn Tất
P=2006 | X=0309.240-0381.100 | Y=0320.500-0331.740 | Đường Độc Lập
P=2006 | X=0093.380-0104.500 | Y=0322.380-0331.700 | 37
P=2006 | X=0437.690-0454.330 | Y=0322.380-0331.700 | 294
P=2006 | X=0471.530-0488.170 | Y=0322.380-0331.700 | 235
P=2006 | X=0505.390-0522.030 | Y=0322.380-0331.700 | 188
P=2006 | X=0108.290-0134.530 | Y=0328.140-0337.460 | Chinh
P=2006 | X=0197.830-0226.240 | Y=0328.140-0337.460 | Thành
P=2006 | X=0309.240-0395.590 | Y=0344.260-0355.500 | Đường Nguyễn Tất
P=2006 | X=0093.380-0180.630 | Y=0350.020-0361.260 | 38 Đường Lê Duẩn
P=2006 | X=0197.830-0286.990 | Y=0350.020-0361.260 | Đường Mai Chí Thọ
P=2006 | X=0437.690-0454.330 | Y=0351.900-0361.220 | 294
P=2006 | X=0471.530-0488.170 | Y=0351.900-0361.220 | 235
P=2006 | X=0505.390-0522.030 | Y=0351.900-0361.220 | 188
P=2006 | X=0309.240-0337.650 | Y=0357.660-0366.980 | Thành
P=2006 | X=0108.290-0174.610 | Y=0373.800-0385.040 | Đường Lê Anh
P=2006 | X=0197.830-0293.470 | Y=0373.800-0385.040 | Đường Nguyễn Công
P=2006 | X=0309.240-0406.540 | Y=0379.560-0390.800 | Đường Trường Chinh
P=2006 | X=0093.380-0104.500 | Y=0381.440-0390.760 | 39
P=2006 | X=0437.690-0454.330 | Y=0381.440-0390.760 | 294
P=2006 | X=0471.530-0488.170 | Y=0381.440-0390.760 | 235
P=2006 | X=0505.390-0522.030 | Y=0381.440-0390.760 | 188
P=2006 | X=0108.290-0131.420 | Y=0387.200-0396.520 | Xuân
P=2006 | X=0197.830-0221.690 | Y=0387.200-0396.520 | Hoan
P=2006 | X=0108.290-0174.610 | Y=0403.320-0414.560 | Đường Lê Anh
P=2006 | X=0197.830-0295.140 | Y=0409.080-0420.320 | Đường Trường Chinh
P=2006 | X=0309.240-0381.100 | Y=0409.080-0420.320 | Đường Độc Lập
P=2006 | X=0093.380-0104.500 | Y=0410.960-0420.280 | 40
P=2006 | X=0437.690-0454.330 | Y=0410.960-0420.280 | 294
P=2006 | X=0471.530-0488.170 | Y=0410.960-0420.280 | 235
P=2006 | X=0505.390-0522.030 | Y=0410.960-0420.280 | 188
P=2006 | X=0108.290-0131.420 | Y=0416.720-0426.040 | Xuân
P=2006 | X=0108.290-0192.370 | Y=0432.840-0444.080 | Đường Võ Nguyên
P=2006 | X=0309.240-0395.590 | Y=0432.840-0444.080 | Đường Nguyễn Tất
P=2006 | X=0197.830-0269.700 | Y=0438.600-0449.840 | Đường Độc Lập
P=2006 | X=0093.380-0104.500 | Y=0440.480-0449.800 | 41
P=2006 | X=0437.690-0454.330 | Y=0440.480-0449.800 | 294
P=2006 | X=0471.530-0488.170 | Y=0440.480-0449.800 | 235
P=2006 | X=0505.390-0522.030 | Y=0440.480-0449.800 | 188
P=2006 | X=0108.290-0129.720 | Y=0446.240-0455.560 | Giáp
P=2006 | X=0309.240-0337.650 | Y=0446.240-0455.560 | Thành
P=2006 | X=0108.290-0284.190 | Y=0462.380-0473.620 | Đường Võ Nguyên Đường Nguyễn Tất
P=2006 | X=0309.240-0420.710 | Y=0468.140-0479.380 | Đường Nguyễn Hữu Thọ
P=2006 | X=0093.380-0104.500 | Y=0470.020-0479.340 | 42
P=2006 | X=0437.690-0454.330 | Y=0470.020-0479.340 | 294
P=2006 | X=0471.530-0488.170 | Y=0470.020-0479.340 | 235
P=2006 | X=0505.390-0522.030 | Y=0470.020-0479.340 | 188
P=2006 | X=0108.290-0129.720 | Y=0475.780-0485.100 | Giáp
P=2006 | X=0197.830-0226.240 | Y=0475.780-0485.100 | Thành
P=2006 | X=0093.380-0283.080 | Y=0491.900-0503.140 | 43 Đường Bế Văn Đàn Đường Bùi Văn Dù
P=2006 | X=0309.240-0377.740 | Y=0491.900-0503.140 | Đường Độc lập
P=2006 | X=0437.690-0454.330 | Y=0493.780-0503.100 | 294
P=2006 | X=0471.530-0488.170 | Y=0493.780-0503.100 | 235
P=2006 | X=0505.390-0522.030 | Y=0493.780-0503.100 | 188
P=2006 | X=0309.240-0387.740 | Y=0509.900-0521.140 | Ngã ba đường Lý
P=2006 | X=0197.830-0298.730 | Y=0521.420-0532.660 | Ngã ba đường Võ Văn
P=2006 | X=0309.240-0421.190 | Y=0521.420-0532.660 | Thường Kiệt - Đường Võ
P=2006 | X=0093.380-0292.980 | Y=0532.970-0544.210 | 44 Đường Võ Văn Kiệt Kiệt - Đường Nguyễn
P=2006 | X=0309.240-0413.500 | Y=0532.970-0544.210 | Văn Kiệt (hết ranh thửa
P=2006 | X=0437.690-0454.330 | Y=0534.850-0544.170 | 294
P=2006 | X=0471.530-0488.170 | Y=0534.850-0544.170 | 235
P=2006 | X=0505.390-0522.030 | Y=0534.850-0544.170 | 188
P=2006 | X=0309.240-0417.580 | Y=0544.250-0555.490 | đất số 163, tờ bản đồ số
P=2006 | X=0197.830-0243.510 | Y=0546.130-0555.450 | Tất Thành
P=2006 | X=0309.240-0323.640 | Y=0557.650-0566.970 | 26)
P=2006 | X=0197.830-0276.340 | Y=0573.770-0585.010 | Ngã ba đường Lý
P=2006 | X=0309.240-0408.450 | Y=0573.770-0585.010 | Ngã tư đường Võ Văn
P=2006 | X=0197.830-0295.850 | Y=0585.290-0596.530 | Thường Kiệt - Võ Văn
P=2006 | X=0309.240-0409.410 | Y=0585.290-0596.530 | Kiệt - Đường Liên Khu
P=2006 | X=0093.380-0195.590 | Y=0591.050-0602.290 | 45 Đường Võ Văn Kiệt
P=2006 | X=0437.690-0454.330 | Y=0592.930-0602.250 | 294
P=2006 | X=0471.530-0488.170 | Y=0592.930-0602.250 | 235
P=2006 | X=0505.390-0522.030 | Y=0592.930-0602.250 | 188
P=2006 | X=0197.830-0296.920 | Y=0596.810-0608.050 | Kiệt (Từ ranh thửa đất
P=2006 | X=0309.240-0417.190 | Y=0596.810-0608.050 | vực 4 (hết ranh thửa đất
P=2006 | X=0197.830-0282.340 | Y=0608.330-0619.570 | 72, tờ bản đồ số 7)
P=2006 | X=0309.240-0407.180 | Y=0608.330-0619.570 | số 71, tờ bản đồ số 7)
P=2006 | X=0197.830-0297.050 | Y=0626.350-0637.590 | Ngã tư đường Võ Văn
P=2006 | X=0309.240-0405.590 | Y=0632.110-0643.350 | Hết ranh điểm trường
P=2006 | X=0197.830-0298.010 | Y=0637.870-0649.110 | Kiệt - Đường Liên Khu
P=2006 | X=0309.240-0418.390 | Y=0643.630-0654.870 | tiểu học thôn 7 (thửa đất
P=2006 | X=0197.830-0301.490 | Y=0649.390-0660.630 | vực 4 (từ ranh thửa đất
P=2006 | X=0093.380-0195.590 | Y=0655.150-0666.390 | 46 Đường Võ Văn Kiệt
P=2006 | X=0309.240-0417.190 | Y=0655.150-0666.390 | số 89 và thửa đất số 95,
P=2006 | X=0437.690-0454.330 | Y=0657.030-0666.350 | 224
P=2006 | X=0471.530-0488.170 | Y=0657.030-0666.350 | 179
P=2006 | X=0505.390-0522.030 | Y=0657.030-0666.350 | 143
P=2006 | X=0197.830-0292.310 | Y=0662.790-0672.110 | 65, 13, cùng thuộc tờ
P=2006 | X=0309.240-0417.100 | Y=0666.670-0677.910 | cùng thuộc tờ bản đồ số
P=2006 | X=0197.830-0303.650 | Y=0672.430-0683.670 | bản đồ số 7 và thửa đất
P=2006 | X=0309.240-0323.640 | Y=0680.070-0689.390 | 78)
P=2006 | X=0197.830-0306.820 | Y=0683.950-0695.190 | số 92, tờ bản đồ số 101)
P=2006 | X=0093.380-0294.190 | Y=0701.970-0713.210 | 47 Đường Võ Văn Kiệt Hết ranh điểm trường
P=2006 | X=0309.240-0398.860 | Y=0701.970-0713.210 | Đường Lý Tự Trọng
P=2006 | X=0437.690-0454.330 | Y=0703.860-0713.180 | 224
P=2006 | X=0471.530-0488.170 | Y=0703.860-0713.180 | 179
P=2006 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 143
P=2007 | X=0197.830-0306.420 | Y=0074.620-0083.940 | tiểu học thôn 7 (hết ranh
P=2007 | X=0197.830-0292.610 | Y=0084.260-0095.500 | thửa đất số 89 và hết
P=2007 | X=0197.830-0288.030 | Y=0095.780-0107.020 | ranh thửa đất số 95,
P=2007 | X=0197.830-0305.720 | Y=0107.300-0118.540 | cùng thuộc tờ bản đồ số
P=2007 | X=0197.830-0212.230 | Y=0120.730-0130.050 | 78)
P=2007 | X=0108.290-0190.210 | Y=0136.850-0148.090 | Đường Phan Đình
P=2007 | X=0197.830-0283.080 | Y=0142.610-0153.850 | Đường Bùi Văn Dù
P=2007 | X=0309.240-0381.100 | Y=0142.610-0153.850 | Đường Độc Lập
P=2007 | X=0093.380-0104.500 | Y=0144.490-0153.810 | 48
P=2007 | X=0437.690-0454.330 | Y=0144.490-0153.810 | 294
P=2007 | X=0471.530-0488.170 | Y=0144.490-0153.810 | 235
P=2007 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 188
P=2007 | X=0108.290-0126.680 | Y=0150.250-0159.570 | Giót
P=2007 | X=0197.830-0420.690 | Y=0166.370-0177.610 | Giao lộ Lê Duẩn - Phùng Giao lộ Nguyễn Văn Linh
P=2007 | X=0093.380-0197.440 | Y=0172.130-0183.370 | 49 Đường Mai Chí Thọ
P=2007 | X=0437.690-0454.330 | Y=0174.010-0183.330 | 294
P=2007 | X=0471.530-0488.170 | Y=0174.010-0183.330 | 235
P=2007 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 188
P=2007 | X=0197.830-0252.390 | Y=0179.530-0188.850 | Khắc Khoan
P=2007 | X=0309.240-0401.740 | Y=0179.530-0188.850 | - Phùng Khắc Khoan
P=2007 | X=0108.290-0177.270 | Y=0195.650-0206.890 | Đường Nguyễn
P=2007 | X=0197.830-0285.290 | Y=0201.430-0212.670 | Đường Phạm Hùng
P=2007 | X=0309.240-0396.540 | Y=0201.430-0212.670 | Đường Võ Văn Kiệt
P=2007 | X=0093.380-0104.500 | Y=0203.310-0212.630 | 50
P=2007 | X=0437.690-0454.330 | Y=0203.310-0212.630 | 294
P=2007 | X=0471.530-0488.170 | Y=0203.310-0212.630 | 235
P=2007 | X=0505.390-0522.030 | Y=0203.310-0212.630 | 188
P=2007 | X=0108.290-0147.980 | Y=0209.070-0218.390 | Hữu Thọ
P=2007 | X=0108.290-0295.140 | Y=0225.190-0236.430 | Đường Phùng Khắc Giao lộ Lê Duẩn - Mai
P=2007 | X=0309.240-0420.690 | Y=0225.190-0236.430 | Giao lộ Nguyễn Văn Linh
P=2007 | X=0093.380-0104.500 | Y=0232.830-0242.150 | 51
P=2007 | X=0437.690-0454.330 | Y=0232.830-0242.150 | 294
P=2007 | X=0471.530-0488.170 | Y=0232.830-0242.150 | 235
P=2007 | X=0505.390-0522.030 | Y=0232.830-0242.150 | 188
P=2007 | X=0108.290-0137.180 | Y=0238.590-0247.910 | Khoan
P=2007 | X=0197.830-0233.710 | Y=0238.590-0247.910 | Chí Thọ
P=2007 | X=0309.240-0370.070 | Y=0238.590-0247.910 | - Mai Chí Thọ
P=2007 | X=0108.290-0192.400 | Y=0254.710-0265.950 | Đường Lý Thường
P=2007 | X=0197.830-0418.780 | Y=0260.470-0271.710 | Giáp đường Võ Văn Kiệt Giáp đường Phạm Hùng
P=2007 | X=0093.380-0104.500 | Y=0262.350-0271.670 | 52
P=2007 | X=0437.690-0454.330 | Y=0262.350-0271.670 | 294
P=2007 | X=0471.530-0488.170 | Y=0262.350-0271.670 | 235
P=2007 | X=0505.390-0522.030 | Y=0262.350-0271.670 | 188
P=2007 | X=0108.290-0125.730 | Y=0268.110-0277.430 | Kiệt
P=2007 | X=0093.380-0177.990 | Y=0284.260-0295.500 | 53 Đường Tô Hiệu
P=2007 | X=0197.830-0396.540 | Y=0284.260-0295.500 | Đường Võ Nguyên Giáp Đường Võ Văn Kiệt
P=2007 | X=0437.690-0454.330 | Y=0286.140-0295.460 | 294
P=2007 | X=0471.530-0488.170 | Y=0286.140-0295.460 | 235
P=2007 | X=0505.390-0522.030 | Y=0286.140-0295.460 | 188
P=2007 | X=0108.290-0177.270 | Y=0302.260-0313.500 | Đường Nguyễn
P=2007 | X=0197.830-0396.540 | Y=0308.020-0319.260 | Đường Võ Nguyên Giáp Đường Võ Văn Kiệt
P=2007 | X=0093.380-0104.500 | Y=0309.900-0319.220 | 54
P=2007 | X=0437.690-0454.330 | Y=0309.900-0319.220 | 294
P=2007 | X=0471.530-0488.170 | Y=0309.900-0319.220 | 235
P=2007 | X=0505.390-0522.030 | Y=0309.900-0319.220 | 188
P=2007 | X=0108.290-0152.510 | Y=0315.660-0324.980 | Duy Trình
P=2007 | X=0108.290-0183.960 | Y=0331.780-0343.020 | Đường Trần Văn
P=2007 | X=0197.830-0285.290 | Y=0337.540-0348.780 | Đường Phạm Hùng
P=2007 | X=0309.240-0396.540 | Y=0337.540-0348.780 | Đường Võ Văn Kiệt
P=2007 | X=0093.380-0104.500 | Y=0339.420-0348.740 | 55
P=2007 | X=0437.690-0454.330 | Y=0339.420-0348.740 | 294
P=2007 | X=0471.530-0488.170 | Y=0339.420-0348.740 | 235
P=2007 | X=0505.390-0522.030 | Y=0339.420-0348.740 | 188
P=2007 | X=0108.290-0123.480 | Y=0345.180-0354.500 | Trà
P=2007 | X=0108.290-0185.640 | Y=0361.300-0372.540 | Đường Nơ Trang
P=2007 | X=0093.380-0104.500 | Y=0368.960-0378.280 | 56
P=2007 | X=0197.830-0248.100 | Y=0368.960-0378.280 | Toàn tuyến
P=2007 | X=0437.690-0454.330 | Y=0368.960-0378.280 | 294
P=2007 | X=0471.530-0488.170 | Y=0368.960-0378.280 | 235
P=2007 | X=0505.390-0522.030 | Y=0368.960-0378.280 | 188
P=2007 | X=0108.290-0130.450 | Y=0374.720-0384.040 | Long
P=2007 | X=0108.290-0189.250 | Y=0390.840-0402.080 | Đường Trần Xuân
P=2007 | X=0197.830-0394.860 | Y=0396.600-0407.840 | Đường Võ Nguyên Giáp Đường Võ văn Kiệt
P=2007 | X=0093.380-0104.500 | Y=0398.480-0407.800 | 57
P=2007 | X=0437.690-0454.330 | Y=0398.480-0407.800 | 294
P=2007 | X=0471.530-0488.170 | Y=0398.480-0407.800 | 235
P=2007 | X=0505.390-0522.030 | Y=0398.480-0407.800 | 188
P=2007 | X=0108.290-0131.650 | Y=0404.240-0413.560 | Soạn
P=2007 | X=0108.290-0196.870 | Y=0420.360-0431.600 | Đường Huỳnh Thúc
P=2007 | X=0197.830-0285.290 | Y=0426.120-0437.360 | Đường Phạm Hùng
P=2007 | X=0309.240-0420.450 | Y=0426.120-0437.360 | Đường Nguyễn Văn Linh
P=2007 | X=0093.380-0104.500 | Y=0428.000-0437.320 | 58
P=2007 | X=0437.690-0454.330 | Y=0428.000-0437.320 | 294
P=2007 | X=0471.530-0488.170 | Y=0428.000-0437.320 | 235
P=2007 | X=0505.390-0522.030 | Y=0428.000-0437.320 | 188
P=2007 | X=0108.290-0137.180 | Y=0433.760-0443.080 | Kháng
P=2007 | X=0108.290-0187.340 | Y=0449.900-0461.140 | Đường Phan Chu
P=2007 | X=0197.830-0270.180 | Y=0455.660-0466.900 | Đường Lê Duẩn
P=2007 | X=0309.240-0396.540 | Y=0455.660-0466.900 | Đường Võ Văn Kiệt
P=2007 | X=0093.380-0104.500 | Y=0457.540-0466.860 | 59
P=2007 | X=0437.690-0454.330 | Y=0457.540-0466.860 | 294
P=2007 | X=0471.530-0488.170 | Y=0457.540-0466.860 | 235
P=2007 | X=0505.390-0522.030 | Y=0457.540-0466.860 | 188
P=2007 | X=0108.290-0131.390 | Y=0463.300-0472.620 | Trinh
P=2007 | X=0108.290-0193.830 | Y=0479.420-0490.660 | Đường Nguyễn Thị
P=2007 | X=0197.830-0417.310 | Y=0485.180-0496.420 | Đường Đặng Văn Ngữ Đường Võ Nguyên Giáp
P=2007 | X=0093.380-0104.500 | Y=0487.060-0496.380 | 60
P=2007 | X=0437.690-0454.330 | Y=0487.060-0496.380 | 294
P=2007 | X=0471.530-0488.170 | Y=0487.060-0496.380 | 235
P=2007 | X=0505.390-0522.030 | Y=0487.060-0496.380 | 188
P=2007 | X=0108.290-0152.760 | Y=0492.820-0502.140 | Minh Khai
P=2007 | X=0093.380-0176.790 | Y=0508.940-0520.180 | 61 Đường Tố Hữu
P=2007 | X=0197.830-0285.290 | Y=0508.940-0520.180 | Đường Phạm Hùng
P=2007 | X=0309.240-0381.100 | Y=0508.940-0520.180 | Đường Độc Lập
P=2007 | X=0437.690-0454.330 | Y=0510.820-0520.140 | 294
P=2007 | X=0471.530-0488.170 | Y=0510.820-0520.140 | 235
P=2007 | X=0505.390-0522.030 | Y=0510.820-0520.140 | 188
P=2007 | X=0108.290-0180.550 | Y=0526.940-0538.180 | Đường Tô Ngọc
P=2007 | X=0093.380-0104.500 | Y=0534.370-0543.690 | 62
P=2007 | X=0197.830-0248.100 | Y=0534.370-0543.690 | Toàn tuyến
P=2007 | X=0437.690-0454.330 | Y=0534.370-0543.690 | 294
P=2007 | X=0471.530-0488.170 | Y=0534.370-0543.690 | 235
P=2007 | X=0505.390-0522.030 | Y=0534.370-0543.690 | 188
P=2007 | X=0108.290-0126.130 | Y=0540.130-0549.450 | Vân
P=2007 | X=0093.380-0381.100 | Y=0556.250-0567.490 | 63 Đường Bùi Văn Dù Đường Võ Nguyên Giáp Đường Độc Lập
P=2007 | X=0437.690-0454.330 | Y=0558.130-0567.450 | 294
P=2007 | X=0471.530-0488.170 | Y=0558.130-0567.450 | 235
P=2007 | X=0505.390-0522.030 | Y=0558.130-0567.450 | 188
P=2007 | X=0108.290-0177.270 | Y=0574.250-0585.490 | Đường Nguyễn
P=2007 | X=0197.830-0292.990 | Y=0580.010-0591.250 | Đường Trường chinh
P=2007 | X=0309.240-0417.310 | Y=0580.010-0591.250 | Đường Võ Nguyên Giáp
P=2007 | X=0093.380-0104.500 | Y=0581.890-0591.210 | 64
P=2007 | X=0437.690-0454.330 | Y=0581.890-0591.210 | 294
