TABLE=083 | AREA=Xã Đắk Nhau | SECTION=agricultural | SEGMENTS=1
P=2094 | X=0090.500-0156.130 | Y=0548.330-0559.570 | 32 Đường số 1
P=2094 | X=0203.830-0254.100 | Y=0550.210-0559.530 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0550.210-0559.530 | 98
P=2094 | X=0430.730-0441.850 | Y=0550.210-0559.530 | 78
P=2094 | X=0473.930-0485.050 | Y=0550.210-0559.530 | 62
P=2094 | X=0511.150-0522.270 | Y=0550.210-0559.530 | 32
P=2094 | X=0090.500-0156.130 | Y=0566.330-0577.570 | 33 Đường số 2
P=2094 | X=0203.830-0254.100 | Y=0568.210-0577.530 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0568.210-0577.530 | 98
P=2094 | X=0430.730-0441.850 | Y=0568.210-0577.530 | 78
P=2094 | X=0473.930-0485.050 | Y=0568.210-0577.530 | 62
P=2094 | X=0511.150-0522.270 | Y=0568.210-0577.530 | 32
P=2094 | X=0090.500-0156.130 | Y=0584.330-0595.570 | 34 Đường số 3
P=2094 | X=0203.830-0254.100 | Y=0586.210-0595.530 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0586.210-0595.530 | 98
P=2094 | X=0430.730-0441.850 | Y=0586.210-0595.530 | 78
P=2094 | X=0473.930-0485.050 | Y=0586.210-0595.530 | 62
P=2094 | X=0511.150-0522.270 | Y=0586.210-0595.530 | 32
P=2094 | X=0090.500-0156.130 | Y=0602.330-0613.570 | 35 Đường số 4
P=2094 | X=0203.830-0254.100 | Y=0604.210-0613.530 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0604.210-0613.530 | 98
P=2094 | X=0430.730-0441.850 | Y=0604.210-0613.530 | 78
P=2094 | X=0473.930-0485.050 | Y=0604.210-0613.530 | 62
P=2094 | X=0511.150-0522.270 | Y=0604.210-0613.530 | 32
P=2094 | X=0090.500-0156.130 | Y=0620.350-0631.590 | 36 Đường số 6
P=2094 | X=0203.830-0254.100 | Y=0622.230-0631.550 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0622.230-0631.550 | 98
P=2094 | X=0430.730-0441.850 | Y=0622.230-0631.550 | 78
P=2094 | X=0473.930-0485.050 | Y=0622.230-0631.550 | 62
P=2094 | X=0511.150-0522.270 | Y=0622.230-0631.550 | 32
P=2094 | X=0102.770-0202.690 | Y=0638.350-0649.590 | Đường 4B - Bê tông xi
P=2094 | X=0090.500-0254.100 | Y=0649.870-0661.110 | 37 măng (Nhà ông Phát Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0651.750-0661.070 | 98
P=2094 | X=0430.730-0441.850 | Y=0651.750-0661.070 | 78
P=2094 | X=0473.930-0485.050 | Y=0651.750-0661.070 | 62
P=2094 | X=0511.150-0522.270 | Y=0651.750-0661.070 | 32
P=2094 | X=0102.770-0142.850 | Y=0663.270-0672.590 | thợ mộc)
P=2094 | X=0102.770-0180.880 | Y=0679.390-0690.630 | Các tuyến đường
P=2094 | X=0090.500-0189.230 | Y=0692.790-0702.110 | 38 thuộc khu TTHC xã
P=2094 | X=0203.830-0254.100 | Y=0692.790-0702.110 | Toàn tuyến
P=2094 | X=0387.260-0398.380 | Y=0692.790-0702.110 | 98
P=2094 | X=0430.730-0441.850 | Y=0692.790-0702.110 | 78
P=2094 | X=0473.930-0485.050 | Y=0692.790-0702.110 | 62
P=2094 | X=0511.150-0522.270 | Y=0692.790-0702.110 | 32
P=2094 | X=0102.770-0147.250 | Y=0702.450-0713.690 | Đak Nhau
P=2095 | X=0102.770-0198.630 | Y=0078.740-0089.980 | Tuyến đường số 7 và
P=2095 | X=0090.500-0254.100 | Y=0092.140-0101.460 | 39 7A thuộc Khu TTHC Toàn tuyến
P=2095 | X=0387.260-0398.380 | Y=0092.140-0101.460 | 98
P=2095 | X=0430.730-0441.850 | Y=0092.140-0101.460 | 78
P=2095 | X=0473.930-0485.050 | Y=0092.140-0101.460 | 62
P=2095 | X=0511.150-0522.270 | Y=0092.140-0101.460 | 32
P=2095 | X=0102.770-0175.330 | Y=0101.780-0113.020 | xã Đường 10 cũ
