TABLE=034 | AREA=Xã Xuân Đông | SECTION=agricultural | SEGMENTS=1
P=1124 | X=0505.390-0522.030 | Y=0254.910-0264.230 | 130
P=1124 | X=0128.210-0369.320 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1124 | X=0128.210-0170.350 | Y=0277.950-0287.270 | >1.000m.
P=1124 | X=0128.210-0351.850 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1124 | X=0128.210-0401.740 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1124 | X=0128.210-0384.210 | Y=0322.900-0334.140 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp ranh xã
P=1124 | X=0128.210-0398.140 | Y=0334.420-0345.660 | Cẩm Mỹ đến Giáp Nhà văn hóa ấp 3 xã Xuân Tây cũ có hiện
P=1124 | X=0128.210-0299.990 | Y=0345.700-0356.940 | trạng là đường nhựa, bê tông xi măng:
P=1124 | X=0100.610-0117.250 | Y=0347.820-0357.140 | 131
P=1124 | X=0447.290-0463.930 | Y=0347.820-0357.140 | 350
P=1124 | X=0505.390-0522.030 | Y=0347.820-0357.140 | 230
P=1124 | X=0128.210-0359.290 | Y=0363.220-0374.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1124 | X=0128.210-0405.400 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1124 | X=0128.210-0401.740 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1124 | X=0128.210-0384.200 | Y=0410.040-0421.280 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp ranh xã
P=1124 | X=0128.210-0398.140 | Y=0421.560-0432.800 | Cẩm Mỹ đến Giáp Nhà văn hóa ấp 3 xã Xuân Tây cũ có hiện
P=1124 | X=0128.210-0299.990 | Y=0433.080-0444.320 | trạng là đường nhựa, bê tông xi măng:
P=1124 | X=0100.610-0117.250 | Y=0449.600-0458.920 | 132
P=1124 | X=0447.290-0463.930 | Y=0449.600-0458.920 | 290
P=1124 | X=0505.390-0522.030 | Y=0449.600-0458.920 | 180
P=1124 | X=0128.210-0359.760 | Y=0450.620-0461.860 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1124 | X=0128.210-0381.520 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1124 | X=0128.210-0223.180 | Y=0479.660-0490.900 | >500m đến ≤1.000m.
P=1124 | X=0128.210-0351.380 | Y=0497.180-0508.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1124 | X=0128.210-0401.740 | Y=0514.940-0526.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1124 | X=0128.210-0384.200 | Y=0526.220-0537.460 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp ranh xã
P=1124 | X=0128.210-0398.140 | Y=0537.770-0549.010 | Cẩm Mỹ đến Giáp Nhà văn hóa ấp 3 xã Xuân Tây cũ có hiện
P=1124 | X=0128.210-0299.990 | Y=0549.290-0560.530 | trạng là đường nhựa, bê tông xi măng:
P=1124 | X=0100.610-0117.250 | Y=0557.170-0566.490 | 133
P=1124 | X=0447.290-0463.930 | Y=0557.170-0566.490 | 200
P=1124 | X=0505.390-0522.030 | Y=0557.170-0566.490 | 130
P=1124 | X=0128.210-0369.320 | Y=0566.810-0578.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1124 | X=0128.210-0170.350 | Y=0580.210-0589.530 | >1.000m.
P=1124 | X=0128.210-0351.850 | Y=0595.850-0607.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1124 | X=0249.460-0310.970 | Y=0613.610-0624.850 | Giáp Nhà văn
P=1124 | X=0128.210-0248.350 | Y=0619.390-0630.630 | Đường Nhân Nghĩa - Xuân
P=1124 | X=0249.460-0302.090 | Y=0625.150-0636.390 | hóa ấp 3 xã
P=1124 | X=0100.610-0117.250 | Y=0627.030-0636.350 | 134
P=1124 | X=0327.720-0391.550 | Y=0627.030-0636.350 | Cầu Xuân Tây
P=1124 | X=0447.290-0463.930 | Y=0627.030-0636.350 | 500
P=1124 | X=0505.390-0522.030 | Y=0627.030-0636.350 | 370
P=1124 | X=0128.210-0152.070 | Y=0630.910-0642.150 | Đông
P=1124 | X=0249.460-0305.690 | Y=0636.670-0647.910 | Xuân Tây cũ
P=1124 | X=0128.210-0403.190 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1124 | X=0128.210-0395.970 | Y=0665.950-0677.190 | Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn hóa ấp 3 xã Xuân
P=1124 | X=0128.210-0391.420 | Y=0677.470-0688.710 | Tây cũ đến Cầu Xuân Tây có hiện trạng là đường nhựa, bê
P=1124 | X=0100.610-0117.250 | Y=0682.230-0691.550 | 135
P=1124 | X=0447.290-0463.930 | Y=0682.230-0691.550 | 350
P=1124 | X=0505.390-0522.030 | Y=0682.230-0691.550 | 230
P=1124 | X=0128.210-0188.370 | Y=0688.750-0699.990 | tông xi măng:
P=1124 | X=0128.210-0359.290 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1125 | X=0128.210-0405.400 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1125 | X=0128.210-0403.190 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1125 | X=0128.210-0395.970 | Y=0107.780-0119.020 | Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn hóa ấp 3 xã Xuân
P=1125 | X=0128.210-0391.420 | Y=0119.330-0130.570 | Tây cũ đến Cầu Xuân Tây có hiện trạng là đường nhựa, bê
P=1125 | X=0128.210-0188.370 | Y=0130.850-0142.090 | tông xi măng:
P=1125 | X=0100.610-0117.250 | Y=0147.370-0156.690 | 136
P=1125 | X=0447.290-0463.930 | Y=0147.370-0156.690 | 290
P=1125 | X=0505.390-0522.030 | Y=0147.370-0156.690 | 180
P=1125 | X=0128.210-0359.760 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1125 | X=0128.210-0381.520 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1125 | X=0128.210-0223.180 | Y=0177.170-0188.410 | >500m đến ≤1.000m.
P=1125 | X=0128.210-0351.380 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1125 | X=0128.210-0403.190 | Y=0212.470-0223.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1125 | X=0128.210-0395.970 | Y=0223.990-0235.230 | Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn hóa ấp 3 xã Xuân
P=1125 | X=0128.210-0391.420 | Y=0235.510-0246.750 | Tây cũ đến Cầu Xuân Tây có hiện trạng là đường nhựa, bê
P=1125 | X=0128.210-0188.370 | Y=0247.030-0258.270 | tông xi măng:
P=1125 | X=0100.610-0117.250 | Y=0254.910-0264.230 | 137
P=1125 | X=0447.290-0463.930 | Y=0254.910-0264.230 | 200
P=1125 | X=0505.390-0522.030 | Y=0254.910-0264.230 | 130
P=1125 | X=0128.210-0369.320 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1125 | X=0128.210-0170.350 | Y=0277.950-0287.270 | >1.000m.
P=1125 | X=0128.210-0351.850 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1125 | X=0128.210-0401.740 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1125 | X=0128.210-0388.040 | Y=0322.900-0334.140 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn
P=1125 | X=0128.210-0396.930 | Y=0334.420-0345.660 | hóa ấp 3 xã Xuân Tây cũ đến Cầu Xuân Tây có hiện trạng là
P=1125 | X=0128.210-0263.980 | Y=0345.700-0356.940 | đường nhựa, bê tông xi măng:
P=1125 | X=0100.610-0117.250 | Y=0347.820-0357.140 | 138
P=1125 | X=0447.290-0463.930 | Y=0347.820-0357.140 | 350
P=1125 | X=0505.390-0522.030 | Y=0347.820-0357.140 | 230
P=1125 | X=0128.210-0359.290 | Y=0363.220-0374.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1125 | X=0128.210-0405.410 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1125 | X=0128.210-0401.740 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1125 | X=0128.210-0388.040 | Y=0410.040-0421.280 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn
P=1125 | X=0128.210-0396.930 | Y=0421.560-0432.800 | hóa ấp 3 xã Xuân Tây cũ đến Cầu Xuân Tây có hiện trạng là
P=1125 | X=0128.210-0263.980 | Y=0433.080-0444.320 | đường nhựa, bê tông xi măng:
P=1125 | X=0100.610-0117.250 | Y=0449.600-0458.920 | 139
P=1125 | X=0447.290-0463.930 | Y=0449.600-0458.920 | 290
P=1125 | X=0505.390-0522.030 | Y=0449.600-0458.920 | 180
P=1125 | X=0128.210-0359.770 | Y=0450.620-0461.860 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1125 | X=0128.210-0381.520 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1125 | X=0128.210-0223.180 | Y=0479.660-0490.900 | >500m đến ≤1.000m.
P=1125 | X=0128.210-0351.380 | Y=0497.180-0508.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1125 | X=0128.210-0401.740 | Y=0514.940-0526.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1125 | X=0128.210-0388.070 | Y=0526.220-0537.460 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn
P=1125 | X=0128.210-0396.930 | Y=0537.770-0549.010 | hóa ấp 3 xã Xuân Tây cũ đến Cầu Xuân Tây có hiện trạng là
P=1125 | X=0128.210-0263.980 | Y=0549.290-0560.530 | đường nhựa, bê tông xi măng:
P=1125 | X=0100.610-0117.250 | Y=0557.170-0566.490 | 140
P=1125 | X=0447.290-0463.930 | Y=0557.170-0566.490 | 200
P=1125 | X=0505.390-0522.030 | Y=0557.170-0566.490 | 130
P=1125 | X=0128.210-0369.320 | Y=0566.810-0578.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1125 | X=0128.210-0170.350 | Y=0580.210-0589.530 | >1.000m.
P=1125 | X=0128.210-0351.850 | Y=0595.850-0607.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1125 | X=0128.210-0248.350 | Y=0613.610-0624.850 | Đường Nhân Nghĩa - Xuân
P=1125 | X=0327.720-0397.910 | Y=0619.390-0630.630 | Đường tỉnh 765
P=1125 | X=0100.610-0117.250 | Y=0621.270-0630.590 | 141
P=1125 | X=0249.460-0313.290 | Y=0621.270-0630.590 | Cầu Xuân Tây
P=1125 | X=0447.290-0463.930 | Y=0621.270-0630.590 | 500
P=1125 | X=0505.390-0522.030 | Y=0621.270-0630.590 | 370
P=1125 | X=0128.210-0152.070 | Y=0625.150-0636.390 | Đông
P=1125 | X=0128.210-0403.190 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1125 | X=0128.210-0390.710 | Y=0654.430-0665.670 | Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường tỉnh
P=1125 | X=0128.210-0354.500 | Y=0665.950-0677.190 | 765 có hiện trạng là đường nhựa, bê tông xi măng:
P=1125 | X=0100.610-0117.250 | Y=0673.830-0683.150 | 142
P=1125 | X=0447.290-0463.930 | Y=0673.830-0683.150 | 350
P=1125 | X=0505.390-0522.030 | Y=0673.830-0683.150 | 230
P=1125 | X=0128.210-0359.290 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1125 | X=0128.210-0405.400 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1126 | X=0128.210-0403.190 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1126 | X=0128.210-0390.710 | Y=0090.020-0101.260 | Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường tỉnh
P=1126 | X=0128.210-0354.500 | Y=0101.540-0112.780 | 765 có hiện trạng là đường nhựa, bê tông xi măng:
P=1126 | X=0128.210-0359.780 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1126 | X=0100.610-0117.250 | Y=0123.850-0133.170 | 143
P=1126 | X=0447.290-0463.930 | Y=0123.850-0133.170 | 290
P=1126 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 180
P=1126 | X=0128.210-0381.520 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1126 | X=0128.210-0223.180 | Y=0148.130-0159.370 | >500m đến ≤1.000m.
P=1126 | X=0128.210-0351.380 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1126 | X=0128.210-0403.190 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1126 | X=0128.210-0390.710 | Y=0194.690-0205.930 | Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường tỉnh
P=1126 | X=0128.210-0354.500 | Y=0206.230-0217.470 | 765 có hiện trạng là đường nhựa, bê tông xi măng:
P=1126 | X=0100.610-0117.250 | Y=0219.870-0229.190 | 144
P=1126 | X=0447.290-0463.930 | Y=0219.870-0229.190 | 200
P=1126 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 130
P=1126 | X=0128.210-0369.320 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1126 | X=0128.210-0170.350 | Y=0237.150-0246.470 | >1.000m.
P=1126 | X=0128.210-0351.850 | Y=0252.790-0264.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1126 | X=0128.210-0401.740 | Y=0270.550-0281.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1126 | X=0128.210-0390.590 | Y=0282.100-0293.340 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây
P=1126 | X=0128.210-0396.680 | Y=0293.620-0304.860 | đến Đường tỉnh 765 có hiện trạng là đường nhựa, bê tông xi
P=1126 | X=0128.210-0156.210 | Y=0305.140-0316.380 | măng:
P=1126 | X=0100.610-0117.250 | Y=0307.260-0316.580 | 145
P=1126 | X=0447.290-0463.930 | Y=0307.260-0316.580 | 350
P=1126 | X=0505.390-0522.030 | Y=0307.260-0316.580 | 230
P=1126 | X=0128.210-0359.290 | Y=0322.660-0333.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1126 | X=0128.210-0405.400 | Y=0339.940-0351.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1126 | X=0128.210-0401.740 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1126 | X=0128.210-0390.590 | Y=0369.240-0380.480 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây
P=1126 | X=0128.210-0396.680 | Y=0380.760-0392.000 | đến Đường tỉnh 765 có hiện trạng là đường nhựa, bê tông xi
P=1126 | X=0128.210-0156.210 | Y=0392.280-0403.520 | măng:
P=1126 | X=0100.610-0117.250 | Y=0409.040-0418.360 | 146
P=1126 | X=0447.290-0463.930 | Y=0409.040-0418.360 | 290
P=1126 | X=0505.390-0522.030 | Y=0409.040-0418.360 | 180
P=1126 | X=0128.210-0359.760 | Y=0409.800-0421.040 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1126 | X=0128.210-0381.520 | Y=0427.320-0438.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1126 | X=0128.210-0223.180 | Y=0438.840-0450.080 | >500m đến ≤1.000m.
P=1126 | X=0128.210-0351.380 | Y=0456.380-0467.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1126 | X=0128.210-0401.740 | Y=0474.140-0485.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1126 | X=0128.210-0390.590 | Y=0485.660-0496.900 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây
P=1126 | X=0128.210-0396.680 | Y=0497.180-0508.420 | đến Đường tỉnh 765 có hiện trạng là đường nhựa, bê tông xi
P=1126 | X=0128.210-0156.210 | Y=0508.460-0519.700 | măng:
P=1126 | X=0100.610-0117.250 | Y=0516.340-0525.660 | 147
P=1126 | X=0447.290-0463.930 | Y=0516.340-0525.660 | 200
P=1126 | X=0505.390-0522.030 | Y=0516.340-0525.660 | 130
P=1126 | X=0128.210-0369.320 | Y=0525.980-0537.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1126 | X=0128.210-0170.350 | Y=0539.410-0548.730 | >1.000m.
P=1126 | X=0128.210-0351.850 | Y=0555.050-0566.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1126 | X=0128.210-0238.720 | Y=0572.810-0584.050 | Đường Xuân Bảo - Xuân
P=1126 | X=0327.720-0385.410 | Y=0572.810-0584.050 | Đường Xuân
P=1126 | X=0249.460-0306.900 | Y=0574.690-0584.010 | Giáp ranh xã
P=1126 | X=0100.610-0117.250 | Y=0580.450-0589.770 | 148
P=1126 | X=0447.290-0463.930 | Y=0580.450-0589.770 | 500
P=1126 | X=0505.390-0522.030 | Y=0580.450-0589.770 | 370
P=1126 | X=0249.460-0296.110 | Y=0584.330-0595.570 | Xuân Định
P=1126 | X=0128.210-0145.000 | Y=0586.210-0595.530 | Tây
P=1126 | X=0327.720-0397.340 | Y=0586.210-0595.530 | Phú - Xuân Tây
P=1126 | X=0128.210-0402.470 | Y=0602.090-0613.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1126 | X=0128.210-0398.630 | Y=0613.610-0624.850 | Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến Đường
P=1126 | X=0128.210-0402.920 | Y=0625.150-0636.390 | Xuân Phú - Xuân Tây có hiện trạng là đường nhựa, bê tông xi
P=1126 | X=0128.210-0156.210 | Y=0636.670-0647.910 | măng:
P=1126 | X=0100.610-0117.250 | Y=0638.790-0648.110 | 149
P=1126 | X=0447.290-0463.930 | Y=0638.790-0648.110 | 350
P=1126 | X=0505.390-0522.030 | Y=0638.790-0648.110 | 230
P=1126 | X=0128.210-0359.290 | Y=0654.190-0665.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1126 | X=0128.210-0405.400 | Y=0671.710-0682.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1126 | X=0128.210-0402.470 | Y=0689.470-0700.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1126 | X=0100.610-0117.250 | Y=0697.110-0706.430 | 150
P=1126 | X=0447.290-0463.930 | Y=0697.110-0706.430 | 290
P=1126 | X=0505.390-0522.030 | Y=0697.110-0706.430 | 180
P=1126 | X=0128.210-0398.630 | Y=0700.770-0712.010 | Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến Đường
P=1127 | X=0128.210-0402.920 | Y=0072.500-0083.740 | Xuân Phú - Xuân Tây có hiện trạng là đường nhựa, bê tông xi
P=1127 | X=0128.210-0156.210 | Y=0084.020-0095.260 | măng:
P=1127 | X=0128.210-0359.760 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1127 | X=0128.210-0381.530 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1127 | X=0128.210-0223.180 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1127 | X=0128.210-0351.380 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1127 | X=0128.210-0402.470 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1127 | X=0128.210-0398.630 | Y=0177.170-0188.410 | Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến Đường
P=1127 | X=0128.210-0402.940 | Y=0188.690-0199.930 | Xuân Phú - Xuân Tây có hiện trạng là đường nhựa, bê tông xi
P=1127 | X=0128.210-0156.210 | Y=0200.230-0211.470 | măng:
P=1127 | X=0100.610-0117.250 | Y=0208.110-0217.430 | 151
P=1127 | X=0447.290-0463.930 | Y=0208.110-0217.430 | 200
P=1127 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 130
P=1127 | X=0128.210-0369.320 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1127 | X=0128.210-0170.350 | Y=0231.150-0240.470 | >1.000m.
P=1127 | X=0128.210-0351.850 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1127 | X=0128.210-0401.740 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1127 | X=0128.210-0393.090 | Y=0276.070-0287.310 | ra Đường Xuân Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân
P=1127 | X=0128.210-0405.100 | Y=0287.620-0298.860 | Định đến Đường Xuân Phú - Xuân Tây có hiện trạng là đường
P=1127 | X=0128.210-0231.320 | Y=0299.140-0310.380 | nhựa, bê tông xi măng:
P=1127 | X=0100.610-0117.250 | Y=0301.260-0310.580 | 152
P=1127 | X=0447.290-0463.930 | Y=0301.260-0310.580 | 350
P=1127 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 230
P=1127 | X=0128.210-0359.290 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1127 | X=0128.210-0405.400 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1127 | X=0128.210-0401.740 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1127 | X=0128.210-0393.090 | Y=0363.220-0374.460 | ra Đường Xuân Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân
P=1127 | X=0128.210-0405.100 | Y=0374.760-0386.000 | Định đến Đường Xuân Phú - Xuân Tây có hiện trạng là đường
P=1127 | X=0128.210-0231.320 | Y=0386.280-0397.520 | nhựa, bê tông xi măng:
P=1127 | X=0100.610-0117.250 | Y=0403.040-0412.360 | 153
P=1127 | X=0447.290-0463.930 | Y=0403.040-0412.360 | 290
P=1127 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 180
P=1127 | X=0128.210-0359.760 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1127 | X=0128.210-0381.520 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1127 | X=0128.210-0223.180 | Y=0432.840-0444.080 | >500m đến ≤1.000m.
P=1127 | X=0128.210-0351.380 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1127 | X=0128.210-0401.740 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1127 | X=0128.210-0393.090 | Y=0479.660-0490.900 | ra Đường Xuân Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân
P=1127 | X=0128.210-0405.100 | Y=0491.180-0502.420 | Định đến Đường Xuân Phú - Xuân Tây có hiện trạng là đường
P=1127 | X=0128.210-0231.320 | Y=0502.460-0513.700 | nhựa, bê tông xi măng:
P=1127 | X=0100.610-0117.250 | Y=0510.340-0519.660 | 154
P=1127 | X=0447.290-0463.930 | Y=0510.340-0519.660 | 200
P=1127 | X=0505.390-0522.030 | Y=0510.340-0519.660 | 130
P=1127 | X=0128.210-0369.320 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1127 | X=0128.210-0170.350 | Y=0533.380-0542.700 | >1.000m.
P=1127 | X=0128.210-0351.850 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1127 | X=0128.210-0244.720 | Y=0566.810-0578.050 | Đường Xuân Đông - Xuân
P=1127 | X=0327.720-0397.910 | Y=0566.810-0578.050 | Đường tỉnh 765
P=1127 | X=0249.460-0319.630 | Y=0572.570-0583.810 | Đường tỉnh 765
P=1127 | X=0100.610-0117.250 | Y=0574.450-0583.770 | 155
P=1127 | X=0447.290-0463.930 | Y=0574.450-0583.770 | 500
P=1127 | X=0505.390-0522.030 | Y=0574.450-0583.770 | 370
P=1127 | X=0128.210-0145.000 | Y=0580.210-0589.530 | Tây
P=1127 | X=0327.720-0366.830 | Y=0580.210-0589.530 | + 2000m
P=1127 | X=0128.210-0402.470 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1127 | X=0128.210-0386.860 | Y=0607.610-0618.850 | Đông - Xuân Tây đoạn từ Đường tỉnh 765 đến Đường tỉnh
P=1127 | X=0128.210-0396.520 | Y=0619.150-0630.390 | 765 + 2000m có hiện trạng là đường nhựa, bê tông xi măng:
P=1127 | X=0100.610-0117.250 | Y=0627.030-0636.350 | 156
P=1127 | X=0447.290-0463.930 | Y=0627.030-0636.350 | 350
P=1127 | X=0505.390-0522.030 | Y=0627.030-0636.350 | 230
P=1127 | X=0128.210-0359.290 | Y=0636.670-0647.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1127 | X=0128.210-0405.400 | Y=0654.190-0665.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1127 | X=0128.210-0402.470 | Y=0671.950-0683.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1127 | X=0128.210-0386.860 | Y=0683.470-0694.710 | Đông - Xuân Tây đoạn từ Đường tỉnh 765 đến Đường tỉnh
P=1127 | X=0100.610-0117.250 | Y=0685.350-0694.670 | 157
P=1127 | X=0447.290-0463.930 | Y=0685.350-0694.670 | 290
P=1127 | X=0505.390-0522.030 | Y=0685.350-0694.670 | 180
P=1127 | X=0128.210-0396.520 | Y=0694.750-0705.990 | 765 + 2000m có hiện trạng là đường nhựa, bê tông xi măng:
P=1128 | X=0128.210-0359.760 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1128 | X=0128.210-0381.520 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1128 | X=0128.210-0223.180 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1128 | X=0128.210-0351.380 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1128 | X=0128.210-0402.470 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1128 | X=0128.210-0386.860 | Y=0154.370-0165.610 | Đông - Xuân Tây đoạn từ Đường tỉnh 765 đến Đường tỉnh
P=1128 | X=0128.210-0396.520 | Y=0165.650-0176.890 | 765 + 2000m có hiện trạng là đường nhựa, bê tông xi măng:
P=1128 | X=0100.610-0117.250 | Y=0179.290-0188.610 | 158
P=1128 | X=0447.290-0463.930 | Y=0179.290-0188.610 | 200
