TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=agricultural | SEGMENTS=1
P=1705 | X=0114.770-0400.580 | Y=0556.010-0567.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1705 | X=0114.770-0338.410 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1705 | X=0114.770-0400.030 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1705 | X=0114.770-0402.220 | Y=0602.810-0614.050 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến
P=1705 | X=0114.770-0380.350 | Y=0614.330-0625.570 | Hết chợ Núi Tượng có hiện trạng là đường nhựa, bê tông xi
P=1705 | X=0096.770-0142.770 | Y=0625.870-0637.310 | 33 măng:
P=1705 | X=0452.090-0468.730 | Y=0627.990-0637.310 | 130
P=1705 | X=0505.390-0522.030 | Y=0627.990-0637.310 | 100
P=1705 | X=0114.770-0345.850 | Y=0643.390-0654.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1705 | X=0114.770-0391.960 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1705 | X=0114.770-0400.030 | Y=0678.670-0689.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1705 | X=0096.770-0402.220 | Y=0690.190-0701.430 | 34 Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến
P=1705 | X=0457.850-0468.970 | Y=0692.070-0701.390 | 90
P=1705 | X=0511.150-0522.270 | Y=0692.070-0701.390 | 70
P=1705 | X=0114.770-0380.350 | Y=0701.730-0712.970 | Hết chợ Núi Tượng có hiện trạng là đường nhựa, bê tông xi
P=1706 | X=0114.770-0142.770 | Y=0072.500-0083.740 | măng:
P=1706 | X=0114.770-0346.320 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1706 | X=0114.770-0401.660 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1706 | X=0114.770-0175.890 | Y=0119.090-0130.330 | đến ≤1.000m.
P=1706 | X=0114.770-0337.940 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1706 | X=0114.770-0400.030 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1706 | X=0114.770-0402.220 | Y=0165.650-0176.890 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến
P=1706 | X=0114.770-0380.350 | Y=0177.170-0188.410 | Hết chợ Núi Tượng có hiện trạng là đường nhựa, bê tông xi
P=1706 | X=0096.770-0142.770 | Y=0188.690-0200.130 | 35 măng:
P=1706 | X=0457.850-0468.970 | Y=0190.810-0200.130 | 55
P=1706 | X=0511.150-0522.270 | Y=0190.810-0200.130 | 50
P=1706 | X=0114.770-0400.580 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1706 | X=0114.770-0338.410 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1706 | X=0114.770-0210.620 | Y=0241.510-0252.750 | Đường Phú Lập đi xã
P=1706 | X=0310.440-0408.960 | Y=0241.510-0252.750 | Ngã ba đi xã Nam Cát
P=1706 | X=0223.510-0310.280 | Y=0247.270-0258.510 | Hết chợ Núi Tượng
P=1706 | X=0096.770-0107.890 | Y=0249.150-0258.470 | 36
P=1706 | X=0452.090-0468.730 | Y=0249.150-0258.470 | 200
P=1706 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 170
P=1706 | X=0114.770-0176.740 | Y=0254.910-0264.230 | Nam Cát Tiên
P=1706 | X=0310.440-0330.190 | Y=0254.910-0264.230 | Tiên
P=1706 | X=0114.770-0403.180 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1706 | X=0114.770-0405.790 | Y=0282.340-0293.580 | đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng đến Ngã ba đi xã
P=1706 | X=0114.770-0386.190 | Y=0293.860-0305.100 | Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1706 | X=0096.770-0107.890 | Y=0301.740-0311.060 | 37
P=1706 | X=0452.090-0468.730 | Y=0301.740-0311.060 | 130
P=1706 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 100
P=1706 | X=0114.770-0345.850 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1706 | X=0114.770-0391.960 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1706 | X=0114.770-0403.180 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1706 | X=0114.770-0405.790 | Y=0357.940-0369.180 | đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng đến Ngã ba đi xã
P=1706 | X=0114.770-0386.190 | Y=0369.480-0380.720 | Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1706 | X=0096.770-0346.320 | Y=0387.000-0401.320 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1706 | X=0457.850-0468.970 | Y=0392.000-0401.320 | 90
P=1706 | X=0511.150-0522.270 | Y=0392.000-0401.320 | 70
P=1706 | X=0114.770-0401.660 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1706 | X=0114.770-0175.900 | Y=0416.040-0427.280 | đến ≤1.000m.
P=1706 | X=0114.770-0337.940 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1706 | X=0114.770-0403.180 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1706 | X=0114.770-0405.790 | Y=0462.860-0474.100 | đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng đến Ngã ba đi xã
P=1706 | X=0114.770-0386.190 | Y=0474.380-0485.620 | Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi măng:
P=1706 | X=0096.770-0107.890 | Y=0482.260-0491.580 | 39
P=1706 | X=0457.850-0468.970 | Y=0482.260-0491.580 | 55
P=1706 | X=0511.150-0522.270 | Y=0482.260-0491.580 | 50
P=1706 | X=0114.770-0400.580 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1706 | X=0114.770-0338.410 | Y=0509.420-0520.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1706 | X=0114.770-0400.030 | Y=0527.180-0538.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1706 | X=0114.770-0401.750 | Y=0538.490-0549.730 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng
P=1706 | X=0114.770-0401.740 | Y=0550.010-0561.250 | đến Ngã ba đi xã Nam Cát Tiên có hiện trạng là đường nhựa, bê
P=1706 | X=0096.770-0174.930 | Y=0561.530-0572.970 | 40 tông xi măng:
P=1706 | X=0452.090-0468.730 | Y=0563.650-0572.970 | 130
P=1706 | X=0505.390-0522.030 | Y=0563.650-0572.970 | 100
P=1706 | X=0114.770-0345.850 | Y=0579.050-0590.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1706 | X=0114.770-0391.960 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1706 | X=0114.770-0400.030 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1706 | X=0114.770-0401.750 | Y=0625.870-0637.110 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng
P=1706 | X=0114.770-0401.740 | Y=0637.390-0648.630 | đến Ngã ba đi xã Nam Cát Tiên có hiện trạng là đường nhựa, bê
P=1706 | X=0114.770-0174.930 | Y=0648.910-0660.150 | tông xi măng:
P=1706 | X=0096.770-0107.890 | Y=0656.790-0666.110 | 41
P=1706 | X=0457.850-0468.970 | Y=0656.790-0666.110 | 90
P=1706 | X=0511.150-0522.270 | Y=0656.790-0666.110 | 70
P=1706 | X=0114.770-0346.320 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1706 | X=0114.770-0401.660 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1706 | X=0114.770-0175.890 | Y=0695.470-0706.710 | đến ≤1.000m.
P=1707 | X=0114.770-0337.940 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1707 | X=0114.770-0400.030 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1707 | X=0114.770-0401.750 | Y=0107.780-0119.020 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng
P=1707 | X=0114.770-0401.740 | Y=0119.330-0130.570 | đến Ngã ba đi xã Nam Cát Tiên có hiện trạng là đường nhựa, bê
P=1707 | X=0096.770-0174.930 | Y=0130.850-0142.290 | 42 tông xi măng:
P=1707 | X=0457.850-0468.970 | Y=0132.970-0142.290 | 55
P=1707 | X=0511.150-0522.270 | Y=0132.970-0142.290 | 50
P=1707 | X=0114.770-0400.580 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1707 | X=0114.770-0338.410 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1707 | X=0114.770-0210.620 | Y=0183.410-0194.650 | Đường Phú Lập đi xã
P=1707 | X=0223.510-0303.410 | Y=0183.410-0194.650 | Ngã ba đi xã Nam
P=1707 | X=0096.770-0107.890 | Y=0191.050-0200.370 | 43
P=1707 | X=0310.440-0348.210 | Y=0191.050-0200.370 | Cầu 200
P=1707 | X=0452.090-0468.730 | Y=0191.050-0200.370 | 200
P=1707 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 170
P=1707 | X=0114.770-0176.740 | Y=0196.810-0206.130 | Nam Cát Tiên
P=1707 | X=0223.510-0261.490 | Y=0196.810-0206.130 | Cát Tiên
P=1707 | X=0114.770-0403.180 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1707 | X=0114.770-0401.750 | Y=0224.230-0235.470 | đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam Cát Tiên đến Cầu
P=1707 | X=0114.770-0341.060 | Y=0235.750-0246.990 | 200 có hiện trạng là đường nhựa, bê tông xi măng:
P=1707 | X=0096.770-0107.890 | Y=0243.630-0252.950 | 44
P=1707 | X=0452.090-0468.730 | Y=0243.630-0252.950 | 130
P=1707 | X=0505.390-0522.030 | Y=0243.630-0252.950 | 100
P=1707 | X=0114.770-0345.850 | Y=0253.270-0264.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1707 | X=0114.770-0391.960 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1707 | X=0114.770-0403.180 | Y=0288.580-0299.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1707 | X=0114.770-0401.750 | Y=0300.100-0311.340 | đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam Cát Tiên đến Cầu
P=1707 | X=0114.770-0341.060 | Y=0311.620-0322.860 | 200 có hiện trạng là đường nhựa, bê tông xi măng:
P=1707 | X=0096.770-0346.320 | Y=0329.140-0343.220 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1707 | X=0457.850-0468.970 | Y=0333.900-0343.220 | 90
P=1707 | X=0511.150-0522.270 | Y=0333.900-0343.220 | 70
P=1707 | X=0114.770-0401.660 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1707 | X=0114.770-0175.890 | Y=0357.940-0369.180 | đến ≤1.000m.
P=1707 | X=0114.770-0337.940 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1707 | X=0114.770-0403.180 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1707 | X=0114.770-0401.750 | Y=0404.760-0416.000 | đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam Cát Tiên đến Cầu
P=1707 | X=0114.770-0341.060 | Y=0416.280-0427.520 | 200 có hiện trạng là đường nhựa, bê tông xi măng:
P=1707 | X=0096.770-0107.890 | Y=0424.160-0433.480 | 46
P=1707 | X=0457.850-0468.970 | Y=0424.160-0433.480 | 55
P=1707 | X=0511.150-0522.270 | Y=0424.160-0433.480 | 50
P=1707 | X=0114.770-0400.580 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1707 | X=0114.770-0338.410 | Y=0451.340-0462.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1707 | X=0114.770-0400.030 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1707 | X=0114.770-0394.910 | Y=0480.620-0491.860 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam
P=1707 | X=0114.770-0391.670 | Y=0492.140-0503.380 | Cát Tiên đến Cầu 200 có hiện trạng là đường nhựa, bê tông xi
P=1707 | X=0096.770-0142.770 | Y=0503.660-0515.100 | 47 măng:
P=1707 | X=0452.090-0468.730 | Y=0505.780-0515.100 | 130
P=1707 | X=0505.390-0522.030 | Y=0505.780-0515.100 | 100
P=1707 | X=0114.770-0345.850 | Y=0521.180-0532.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1707 | X=0114.770-0391.960 | Y=0538.490-0549.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1707 | X=0114.770-0400.030 | Y=0556.250-0567.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1707 | X=0114.770-0394.910 | Y=0567.770-0579.010 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam
P=1707 | X=0114.770-0391.640 | Y=0579.290-0590.530 | Cát Tiên đến Cầu 200 có hiện trạng là đường nhựa, bê tông xi
P=1707 | X=0114.770-0142.770 | Y=0590.810-0602.050 | măng:
P=1707 | X=0096.770-0346.320 | Y=0607.570-0619.570 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1707 | X=0457.850-0468.970 | Y=0607.570-0616.890 | 90
P=1707 | X=0511.150-0522.270 | Y=0607.570-0616.890 | 70
P=1707 | X=0114.770-0401.660 | Y=0625.870-0637.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1707 | X=0114.770-0175.890 | Y=0637.390-0648.630 | đến ≤1.000m.
P=1707 | X=0114.770-0337.940 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1707 | X=0114.770-0400.030 | Y=0672.670-0683.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1707 | X=0114.770-0394.910 | Y=0684.190-0695.430 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam
P=1707 | X=0096.770-0107.890 | Y=0691.830-0701.150 | 49
P=1707 | X=0457.850-0468.970 | Y=0691.830-0701.150 | 55
P=1707 | X=0511.150-0522.270 | Y=0691.830-0701.150 | 50
P=1707 | X=0114.770-0391.640 | Y=0695.710-0706.950 | Cát Tiên đến Cầu 200 có hiện trạng là đường nhựa, bê tông xi
P=1707 | X=0114.770-0142.770 | Y=0707.250-0718.490 | măng:
P=1708 | X=0114.770-0400.580 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1708 | X=0114.770-0338.410 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1708 | X=0310.440-0402.220 | Y=0113.780-0125.020 | Hết ranh thửa đất số
P=1708 | X=0310.440-0408.460 | Y=0125.330-0136.570 | 490, tờ BĐĐC số 6 về
P=1708 | X=0114.770-0210.620 | Y=0136.850-0148.090 | Đường Phú Lập đi xã
P=1708 | X=0310.440-0391.180 | Y=0138.730-0148.050 | bên phải; hết ranh
P=1708 | X=0096.770-0107.890 | Y=0144.490-0153.810 | 50
P=1708 | X=0223.510-0261.310 | Y=0144.490-0153.810 | Cầu 200
P=1708 | X=0452.090-0468.730 | Y=0144.490-0153.810 | 200
P=1708 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 170
P=1708 | X=0310.440-0395.560 | Y=0148.370-0159.610 | thửa đất số 376, tờ
P=1708 | X=0114.770-0176.740 | Y=0150.250-0159.570 | Nam Cát Tiên
P=1708 | X=0310.440-0393.580 | Y=0159.650-0170.890 | BĐĐC số 6 về bên
P=1708 | X=0310.440-0324.430 | Y=0173.050-0182.370 | trái
P=1708 | X=0114.770-0403.180 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1708 | X=0114.770-0392.380 | Y=0200.470-0211.710 | đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết ranh thửa đất số
P=1708 | X=0114.770-0383.800 | Y=0211.990-0223.230 | 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1708 | X=0114.770-0393.080 | Y=0223.510-0234.750 | BĐĐC số 6 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=1708 | X=0096.770-0107.890 | Y=0231.390-0240.710 | 51
P=1708 | X=0452.090-0468.730 | Y=0231.390-0240.710 | 130
P=1708 | X=0505.390-0522.030 | Y=0231.390-0240.710 | 100
P=1708 | X=0114.770-0142.770 | Y=0235.030-0246.270 | măng:
P=1708 | X=0114.770-0345.850 | Y=0252.550-0263.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1708 | X=0114.770-0391.960 | Y=0270.070-0281.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1708 | X=0114.770-0403.180 | Y=0287.860-0299.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1708 | X=0114.770-0392.380 | Y=0299.380-0310.620 | đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết ranh thửa đất số
P=1708 | X=0114.770-0383.800 | Y=0310.900-0322.140 | 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1708 | X=0114.770-0393.080 | Y=0322.420-0333.660 | BĐĐC số 6 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=1708 | X=0114.770-0142.770 | Y=0333.700-0344.940 | măng:
P=1708 | X=0096.770-0107.890 | Y=0344.700-0354.020 | 52
P=1708 | X=0457.850-0468.970 | Y=0344.700-0354.020 | 90
P=1708 | X=0511.150-0522.270 | Y=0344.700-0354.020 | 70
P=1708 | X=0114.770-0346.320 | Y=0351.220-0362.460 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1708 | X=0114.770-0401.660 | Y=0368.760-0380.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1708 | X=0114.770-0175.890 | Y=0380.280-0391.520 | đến ≤1.000m.
P=1708 | X=0114.770-0337.940 | Y=0397.800-0409.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1708 | X=0114.770-0403.180 | Y=0415.560-0426.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1708 | X=0114.770-0392.380 | Y=0427.080-0438.320 | đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết ranh thửa đất số
P=1708 | X=0114.770-0383.800 | Y=0438.600-0449.840 | 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1708 | X=0114.770-0393.080 | Y=0450.140-0461.380 | BĐĐC số 6 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=1708 | X=0096.770-0107.890 | Y=0458.020-0467.340 | 53
P=1708 | X=0457.850-0468.970 | Y=0458.020-0467.340 | 55
P=1708 | X=0511.150-0522.270 | Y=0458.020-0467.340 | 50
P=1708 | X=0114.770-0142.770 | Y=0461.660-0472.900 | măng:
P=1708 | X=0114.770-0400.580 | Y=0479.180-0490.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1708 | X=0114.770-0338.410 | Y=0496.460-0507.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1708 | X=0114.770-0400.030 | Y=0514.220-0525.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1708 | X=0114.770-0390.310 | Y=0525.740-0536.980 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết
P=1708 | X=0114.770-0395.500 | Y=0537.290-0548.530 | ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa
P=1708 | X=0114.770-0382.780 | Y=0548.810-0560.050 | đất số 376, tờ BĐĐC số 6 về bên trái có hiện trạng là đường
P=1708 | X=0096.770-0107.890 | Y=0556.690-0566.010 | 54
P=1708 | X=0452.090-0468.730 | Y=0556.690-0566.010 | 130
P=1708 | X=0505.390-0522.030 | Y=0556.690-0566.010 | 100
P=1708 | X=0114.770-0217.880 | Y=0560.330-0571.570 | nhựa, bê tông xi măng:
P=1708 | X=0114.770-0345.850 | Y=0577.850-0589.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1708 | X=0114.770-0391.960 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1708 | X=0114.770-0400.060 | Y=0613.130-0624.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1708 | X=0114.770-0390.310 | Y=0624.670-0635.910 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết
P=1708 | X=0114.770-0395.500 | Y=0636.190-0647.430 | ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa
P=1708 | X=0114.770-0382.780 | Y=0647.710-0658.950 | đất số 376, tờ BĐĐC số 6 về bên trái có hiện trạng là đường
P=1708 | X=0096.770-0217.880 | Y=0659.230-0670.670 | 55 nhựa, bê tông xi măng:
P=1708 | X=0457.850-0468.970 | Y=0661.350-0670.670 | 90
P=1708 | X=0511.150-0522.270 | Y=0661.350-0670.670 | 70
P=1708 | X=0114.770-0346.360 | Y=0676.510-0687.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1708 | X=0114.770-0401.660 | Y=0694.030-0705.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1708 | X=0114.770-0175.890 | Y=0705.570-0716.810 | đến ≤1.000m.
P=1709 | X=0114.770-0337.940 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1709 | X=0114.770-0400.030 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1709 | X=0114.770-0390.310 | Y=0107.780-0119.020 | Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết
P=1709 | X=0114.770-0395.500 | Y=0119.330-0130.570 | ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa
P=1709 | X=0114.770-0382.780 | Y=0130.850-0142.090 | đất số 376, tờ BĐĐC số 6 về bên trái có hiện trạng là đường
P=1709 | X=0096.770-0107.890 | Y=0138.730-0148.050 | 56
P=1709 | X=0457.850-0468.970 | Y=0138.730-0148.050 | 55
P=1709 | X=0511.150-0522.270 | Y=0138.730-0148.050 | 50
P=1709 | X=0114.770-0217.880 | Y=0142.370-0153.610 | nhựa, bê tông xi măng:
P=1709 | X=0114.770-0400.580 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1709 | X=0114.770-0338.410 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1709 | X=0223.510-0302.210 | Y=0194.930-0206.170 | Hết ranh thửa đất
P=1709 | X=0223.510-0299.700 | Y=0206.470-0217.710 | số 490, tờ BĐĐC
P=1709 | X=0114.770-0210.620 | Y=0217.990-0229.230 | Đường Phú Lập đi xã
P=1709 | X=0223.510-0299.800 | Y=0219.870-0229.190 | số 6 về bên phải;
P=1709 | X=0310.440-0368.290 | Y=0223.750-0234.990 | Đường 600A
P=1709 | X=0096.770-0107.890 | Y=0225.630-0234.950 | 57
P=1709 | X=0452.090-0468.730 | Y=0225.630-0234.950 | 200
P=1709 | X=0505.390-0522.030 | Y=0225.630-0234.950 | 170
P=1709 | X=0223.510-0300.530 | Y=0229.510-0240.750 | hết ranh thửa đất
P=1709 | X=0114.770-0176.740 | Y=0231.390-0240.710 | Nam Cát Tiên
P=1709 | X=0223.510-0299.700 | Y=0241.030-0252.270 | số 376, tờ BĐĐC
P=1709 | X=0223.510-0292.020 | Y=0254.430-0263.750 | số 6 về bên trái
P=1709 | X=0114.770-0403.180 | Y=0270.310-0281.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1709 | X=0114.770-0397.900 | Y=0281.860-0293.100 | đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số 490, tờ BĐĐC
P=1709 | X=0114.770-0403.900 | Y=0293.380-0304.620 | số 6 về bên phải; hết ranh thửa đất số 376, tờ BĐĐC số 6 về bên
P=1709 | X=0114.770-0387.790 | Y=0304.900-0316.140 | trái đến Đường 600A có hiện trạng là đường nhựa, bê tông xi
P=1709 | X=0096.770-0107.890 | Y=0312.780-0322.100 | 58
P=1709 | X=0452.090-0468.730 | Y=0312.780-0322.100 | 130
P=1709 | X=0505.390-0522.030 | Y=0312.780-0322.100 | 100
P=1709 | X=0114.770-0142.770 | Y=0316.420-0327.660 | măng:
P=1709 | X=0114.770-0345.850 | Y=0333.700-0344.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1709 | X=0114.770-0391.970 | Y=0351.220-0362.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1709 | X=0114.770-0403.180 | Y=0369.000-0380.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
P=1709 | X=0114.770-0397.900 | Y=0380.520-0391.760 | đi xã Nam Cát Tiên đoạn từ Hết ranh thửa đất số 490, tờ BĐĐC
P=1709 | X=0114.770-0403.900 | Y=0392.040-0403.280 | số 6 về bên phải; hết ranh thửa đất số 376, tờ BĐĐC số 6 về bên
P=1709 | X=0114.770-0387.790 | Y=0403.560-0414.800 | trái đến Đường 600A có hiện trạng là đường nhựa, bê tông xi
P=1709 | X=0114.770-0142.770 | Y=0415.080-0426.320 | măng:
P=1709 | X=0096.770-0107.890 | Y=0425.840-0435.160 | 59
P=1709 | X=0457.850-0468.970 | Y=0425.840-0435.160 | 90
P=1709 | X=0511.150-0522.270 | Y=0425.840-0435.160 | 70
P=1709 | X=0114.770-0346.320 | Y=0432.600-0443.840 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1709 | X=0114.770-0401.660 | Y=0450.140-0461.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1709 | X=0114.770-0175.890 | Y=0461.660-0472.900 | đến ≤1.000m.
P=1709 | X=0114.770-0337.940 | Y=0479.180-0490.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1709 | X=0114.770-0403.180 | Y=0496.940-0508.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lập
